vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.5,60.0,3,0.75,1.3,[5.36 7.1 ],[2. 2.],5.0,0.0,6.77,0.02,0.9,0.0,5.1404,0.0685,24.6298,0.6424,-2.9768,0.0412,1.844,0.0033,0.256,1.27,0.0,0.5548,0.1856,4.0206,1.4468,0.3624,0.0553,0.2669,0.1209,95.3911,7.82,0.1903,0.012
1.5,60.0,4,0.75,1.3,[3.65 5.19],[2. 2.],5.02,0.0,6.6,0.0,0.9667,0.0,5.176,0.0638,25.4257,1.1991,-2.9972,0.0388,1.8479,0.0057,0.2521,1.27,0.0,,,,,,,,,,,,
1.5,60.0,20,0.75,1.3,[1.   7.29],[2. 2.],5.95,0.01,3.31,0.0,0.0,0.0,6.1522,0.0995,35.9818,2.3676,-3.4979,0.0592,1.8839,0.007,0.2161,1.294,0.0,7.1936,2.7655,13.6585,2.8476,0.662,0.0133,0.3168,0.0629,,,0.161,0.008
1.5,60.0,21,0.75,1.3,[2.5  3.84],[2. 2.],5.28,0.0,5.78,0.04,0.1333,0.0,5.4315,0.0847,29.4135,1.1377,-3.0865,0.0517,1.8613,0.0048,0.2387,1.294,0.0,0.0988,0.2267,13.5129,6.623,0.541,0.0683,0.5065,0.2051,146.1139,32.3361,0.1696,0.0421
1.5,60.0,22,0.75,1.3,[4.   3.16],[2. 2.],5.55,0.0,4.13,0.02,0.0,0.0,5.7517,0.0834,31.9094,1.9532,-3.27,0.0491,1.8706,0.0071,0.2294,1.294,0.0,1.7284,1.7685,12.3609,3.129,0.6199,0.0157,0.3671,0.0554,,,0.1631,0.006
1.5,65.0,20,0.63,1.36,[1.   3.76],[2. 2.],5.03,0.01,6.76,0.0,0.9,0.0,5.1632,0.0666,26.3898,0.6785,-2.3606,0.0314,1.8362,0.0034,0.2638,1.355,0.0,0.7909,0.1608,1.4957,1.4947,0.2312,0.049,0.3064,0.1259,109.9204,16.4975,0.1991,0.0213
1.5,65.0,21,0.63,1.36,[2.5  3.96],[2. 2.],5.58,0.0,4.48,0.0,0.0,0.0,5.7436,0.0854,32.4574,1.8394,-2.6274,0.042,1.8619,0.0069,0.2381,1.355,0.0,1.0101,1.3339,15.9202,3.0763,0.497,0.0183,0.4921,0.0573,,,0.1586,0.0066
1.5,65.0,22,0.63,1.36,[4.   4.48],[2. 2.],5.46,0.0,5.33,0.2,0.0,0.0,5.6435,0.0723,29.5797,0.7519,-2.5816,0.0342,1.8508,0.0032,0.2492,1.355,0.0,0.0572,0.2079,19.1316,2.5735,0.4816,0.0171,0.6142,0.0561,,,0.1512,0.0048
1.5,70.0,0,0.51,1.41,[6.5  4.82],[2. 2.],5.06,0.0,6.0,0.02,0.9667,0.0,5.233,0.0671,26.6675,1.3712,-1.8925,0.0246,1.8325,0.007,0.2675,1.38,0.0,0.4753,0.0892,1.6744,1.7625,0.1363,0.0295,0.2042,0.0849,97.6938,4.8947,0.2056,0.0081
1.5,70.0,1,0.51,1.41,[6.57 3.71],[2. 2.],5.21,0.01,5.97,0.0,0.4667,0.0,5.3806,0.0691,28.3592,0.7094,-1.947,0.027,1.8408,0.0033,0.2592,1.38,0.0,0.2114,0.2321,9.1181,6.875,0.2312,0.0712,0.4662,0.1705,86.0086,12.7671,0.1771,0.0203
1.5,70.0,2,0.51,1.41,[5.17 5.34],[2. 2.],5.12,0.02,5.94,0.0,0.8333,0.0,5.2515,0.084,27.3119,1.3279,-1.8986,0.032,1.8357,0.0066,0.2643,1.38,0.0,0.4089,0.1808,3.4135,4.2341,0.1622,0.0627,0.2613,0.1618,96.5339,7.5971,0.1991,0.0174
1.5,70.0,3,0.51,1.41,[4.92 3.76],[2. 2.],4.9,0.04,9.55,0.03,1.0,0.0,5.0237,0.0808,24.1453,1.353,-1.8149,0.0308,1.8188,0.0077,0.2812,1.38,0.0,0.5953,0.1909,2.2317,1.9102,0.0413,0.083,0.2125,0.3944,151.9783,47.0156,-1.703,1.3208
1.5,70.0,4,0.51,1.41,[5.87 6.59],[2. 2.],5.01,0.0,7.36,0.03,0.9667,0.0,5.1357,0.0829,25.7023,1.5254,-1.857,0.0311,1.8274,0.0082,0.2726,1.38,0.0,0.48,0.0962,1.7715,2.4749,0.1196,0.0433,0.5002,0.0853,89.5828,8.2087,0.1816,0.0094
1.5,70.0,20,0.51,1.41,[1. 7.],[2. 2.],5.06,0.0,7.73,0.01,0.7667,0.0,5.1935,0.0822,25.1308,0.7739,-1.842,0.0308,1.8196,0.0043,0.2804,1.405,0.0,0.6609,0.3784,5.1169,6.6923,0.1252,0.0699,0.6287,0.1415,98.1722,10.3964,0.1742,0.014
1.5,70.0,21,0.51,1.41,[2.5  3.38],[2. 2.],5.06,0.01,7.69,0.01,0.8667,0.0,5.1917,0.0627,26.1221,1.567,-1.8436,0.0227,1.8247,0.0082,0.2753,1.405,0.0,0.7312,0.3012,3.1627,4.7774,0.1156,0.0605,0.5931,0.1271,98.6666,9.0505,0.1768,0.0126
1.5,70.0,22,0.51,1.41,[4.   3.06],[2. 2.],5.58,0.0,3.81,0.11,0.0,0.0,5.7759,0.0775,33.254,1.0345,-2.0539,0.0297,1.8563,0.0039,0.2437,1.405,0.0,0.0916,0.248,11.1931,3.3049,0.3839,0.0134,0.409,0.066,,,0.1714,0.0069
1.5,75.0,20,0.39,1.45,[1.   4.54],[2. 2.],4.99,0.0,8.12,0.05,1.0,0.0,5.1093,0.0684,24.5254,1.2073,-1.3232,0.0187,1.8082,0.0069,0.2918,1.444,0.0,0.986,0.1131,1.3319,0.2469,-0.0584,0.0319,0.6061,0.0738,103.947,7.7534,0.1816,0.0051
1.5,75.0,21,0.39,1.45,[2.5  3.38],[2. 2.],5.08,0.0,6.43,0.0,0.8333,0.0,5.2024,0.0758,25.4891,1.2541,-1.3488,0.0197,1.8137,0.0068,0.2863,1.444,0.0,0.6728,0.2781,2.3676,4.5122,0.0068,0.0508,0.3602,0.1658,111.1943,10.2574,0.2004,0.0161
