
0,0
158.0135, 0.0002
3950.3386, 0.0025
6083.5214, 0.0065
7979.6840, 0.0100
9875.8465, 0.0140
12009.0293, 0.0170
14063.2054, 0.0192
16275.3950, 0.0235
17776.5237, 0.0275
19988.7133, 0.0312
22042.8894, 0.0347
23939.0519, 0.0382
26072.2348, 0.0429
28126.4108, 0.0472
30022.5734, 0.0509
32155.7562, 0.0562
34051.9187, 0.0604
36027.0880, 0.0649
38160.2709, 0.0706
39977.4266, 0.0746
42031.6027, 0.0806
44006.7720, 0.0879
46139.9549, 0.0919
48036.1174, 0.0978
50011.2867, 0.1048
51907.4492, 0.1103
53961.6253, 0.1161
56252.8217, 0.1253
57990.9707, 0.1325
60124.1535, 0.1418
61862.3025, 0.1528
63916.4786, 0.1523
