Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
1.8,56.25,0,0.56,1.736,53.269,0.22,3.345,0.307,-6.55,1.391,1.038,[0.323 5.201],[0.274 1.085]
1.8,60.0,0,0.17,1.724,56.448,0.219,3.008,0.315,-6.293,1.437,0.953,[0.416 5.274],[0.206 2.345]
1.8,63.75,0,0.0,1.701,60.798,0.217,2.552,0.323,-5.988,1.485,0.83,[1.688 6.434],[0.446 1.518]
1.8,67.5,0,0.0,,,,,,,,,[0.678 8.27 ],[0.32  1.309]
1.8,71.25,0,0.0,,,,,,,,,[0.514 7.029],[0.284 0.603]
1.8,75.0,0,0.0,,,,,,,,,[0.785 8.773],[0.485 1.233]
1.8,78.75,0,0.0,,,,,,,,,[0.096 3.473],[0.05  0.255]
1.8,82.5,0,0.0,,,,,,,,,[0.359 5.038],[0.101 1.093]
1.8,86.25,0,0.0,,,,,,,,,[0.266 5.275],[0.121 0.337]
1.8,90.0,0,0.0,,,,,,,,,[1.248 5.674],[0.678 0.435]
1.9,30.0,0,0.0,,,,,,,,,[0.17  6.948],[0.047 0.435]
1.9,33.75,0,0.83,1.866,29.368,0.227,7.772,0.208,-7.908,0.915,1.626,[0.577 2.552],[0.545 0.841]
1.9,37.5,0,1.0,1.872,33.427,0.228,6.536,0.237,-7.729,1.031,1.562,[0.198 5.376],[0.128 1.236]
1.9,41.25,0,1.0,1.882,37.942,0.228,5.501,0.267,-7.456,1.157,1.484,[1.308 3.29 ],[0.308 1.059]
1.9,45.0,0,0.94,1.868,41.506,0.226,4.888,0.283,-7.27,1.238,1.399,[0.647 7.273],[0.152 2.289]
1.9,48.75,0,0.78,1.829,45.465,0.223,4.355,0.292,-7.096,1.304,1.283,[0.345 6.213],[0.357 0.266]
1.9,52.5,0,0.67,1.83,49.144,0.222,3.846,0.308,-6.838,1.384,1.197,[2.469 5.4  ],[1.265 0.635]
1.9,56.25,0,0.22,1.814,53.023,0.22,3.376,0.32,-6.577,1.449,1.091,[0.531 4.422],[0.269 0.583]
1.9,60.0,0,0.17,1.828,56.901,0.219,2.929,0.336,-6.305,1.531,0.998,[3.097 5.912],[1.393 0.454]
1.9,63.75,0,0.0,1.802,61.316,0.218,2.494,0.344,-6.046,1.581,0.865,[0.271 3.122],[0.059 0.559]
1.9,67.5,0,0.0,,,,,,,,,[0.518 4.494],[0.083 0.13 ]
1.9,71.25,0,0.0,,,,,,,,,[0.256 8.169],[0.111 1.288]
1.9,75.0,0,0.0,,,,,,,,,[0.628 7.937],[0.204 1.384]
1.9,78.75,0,0.0,,,,,,,,,[0.492 6.585],[0.186 0.681]
1.9,82.5,0,0.0,,,,,,,,,[0.498 5.898],[0.192 1.505]
1.9,86.25,0,0.0,,,,,,,,,[0.374 2.286],[0.163 0.289]
1.9,90.0,0,0.0,,,,,,,,,[2.42  3.519],[1.137 1.157]
2.0,30.0,0,0.0,,,,,,,,,[1.27  6.734],[0.582 0.429]
2.0,33.75,0,0.67,1.976,29.407,0.225,7.812,0.219,-8.009,0.97,1.721,[0.183 5.054],[0.068 0.945]
2.0,37.5,0,0.94,1.976,33.73,0.227,6.449,0.252,-7.683,1.097,1.643,[0.351 2.694],[0.09 0.35]
2.0,41.25,0,0.94,1.963,37.693,0.226,5.637,0.273,-7.587,1.2,1.553,[1.005 7.417],[0.736 0.47 ]
2.0,45.0,0,1.0,1.958,41.709,0.226,4.877,0.297,-7.255,1.303,1.462,[0.2   8.745],[0.355 1.06 ]
2.0,48.75,0,0.83,1.933,45.377,0.224,4.344,0.31,-7.086,1.376,1.358,[0.489 2.219],[0.141 0.593]
2.0,52.5,0,0.72,1.946,49.606,0.222,3.759,0.331,-6.796,1.482,1.261,[0.253 3.872],[0.146 1.316]
2.0,56.25,0,0.22,1.921,53.148,0.221,3.355,0.341,-6.581,1.537,1.152,[0.306 6.604],[0.267 1.643]
2.0,60.0,0,0.28,1.912,57.232,0.221,2.874,0.356,-6.258,1.608,1.035,[0.086 5.887],[0.016 1.202]
2.0,63.75,0,0.0,1.909,60.709,0.218,2.537,0.364,-6.219,1.665,0.934,[0.177 5.915],[0.003 0.972]
2.0,67.5,0,0.0,,,,,,,,,[0.14 4.8 ],[0.109 0.769]
2.0,71.25,0,0.0,,,,,,,,,[0.438 5.909],[0.161 0.482]
2.0,75.0,0,0.0,,,,,,,,,[0.448 1.635],[0.26  3.288]
2.0,78.75,0,0.0,,,,,,,,,[0.184 5.883],[0.043 0.247]
2.0,82.5,0,0.0,,,,,,,,,[0.29  8.113],[0.266 0.908]
2.0,86.25,0,0.0,,,,,,,,,[0.778 7.021],[0.079 0.283]
2.0,90.0,0,0.0,,,,,,,,,[0.343 3.172],[0.228 0.184]
2.1,30.0,0,0.22,2.103,26.273,0.222,8.954,0.209,-8.175,0.931,1.886,[0.29  9.214],[0.092 0.256]
2.1,33.75,0,0.83,2.088,30.004,0.226,7.561,0.238,-7.775,1.044,1.808,[0.303 4.11 ],[0.091 0.194]
2.1,37.5,0,0.83,2.067,33.898,0.225,6.567,0.26,-7.797,1.153,1.716,[0.227 7.115],[0.118 0.444]
2.1,41.25,0,1.0,2.068,37.812,0.226,5.613,0.288,-7.542,1.268,1.634,[0.457 6.873],[0.132 0.872]
2.1,45.0,0,0.94,2.048,41.378,0.225,4.952,0.307,-7.323,1.354,1.537,[0.196 4.835],[0.101 0.348]
