k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y_est,Theta_x_est,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,443.525,-1.366,0.000,--,--,--,-0.051,0.068,0.844,1.531,-0.187,0.082,0.025,0.084,-0.010,0.996,0.300,-0.270,0.040,2.938,9.710,-0.865,False,False,0.000,0.000,0.000,18.033,0.150,-1.230,1.235,0.482,-1.034,0.692,-0.038,11.018,11.978,13.125,12.648,49134,52174,54810,53270,0.162,0.000,0.835,1.723,0.000,0.144,0.000,0.000,2.000,3.500,--
0,0,443.544,-1.366,0.000,--,--,--,-0.019,0.067,0.846,1.556,-0.191,0.117,0.026,0.080,-0.011,0.996,0.380,-0.480,0.003,3.106,9.238,-1.022,False,False,0.000,0.000,0.000,12.529,0.152,-1.251,1.233,0.483,-1.180,1.076,0.004,10.511,12.210,13.885,12.594,49130,52778,56552,53116,0.213,0.000,0.840,1.723,0.000,0.204,0.000,0.000,2.000,3.500,--
0,0,443.565,-1.366,0.000,--,--,--,0.015,0.066,0.849,1.580,-0.195,0.156,0.030,0.075,-0.012,0.997,0.430,-0.610,0.019,3.587,8.612,-1.162,False,False,0.000,0.000,0.000,9.041,0.152,-1.276,1.230,0.484,-1.285,1.186,-0.007,10.267,12.306,14.158,12.572,48870,53126,57038,53448,0.248,0.000,0.844,1.723,0.000,0.244,0.000,0.000,2.000,3.500,--
0,0,443.574,-1.366,0.000,--,--,--,0.032,0.065,0.850,1.591,-0.198,0.174,0.032,0.071,-0.012,0.997,0.390,-0.640,0.029,3.740,8.137,-1.165,False,False,0.000,0.000,0.000,7.889,0.157,-1.285,1.227,0.484,-1.311,0.983,-0.012,10.400,12.388,14.223,12.383,49552,53234,57208,54314,0.282,0.000,0.850,1.723,0.000,0.284,0.000,0.000,2.000,3.500,--
0,0,443.595,-1.366,0.000,--,--,--,0.066,0.064,0.854,1.612,-0.206,0.217,0.035,0.065,-0.012,0.997,0.370,-0.520,0.033,4.050,7.504,-1.165,False,False,0.000,0.000,0.000,6.289,0.164,-1.306,1.223,0.482,-1.081,0.706,-0.013,10.495,12.132,14.094,12.645,50712,53434,56720,54678,0.300,0.000,0.853,1.723,0.000,0.304,0.000,0.000,2.000,3.500,--
0,0,443.625,-1.366,0.000,--,--,--,0.118,0.061,0.861,1.641,-0.223,0.288,0.039,0.058,-0.014,0.997,0.070,-0.310,0.049,4.527,6.722,-1.324,False,False,0.000,0.000,0.000,4.622,0.177,-1.336,1.218,0.480,-0.791,0.481,-0.028,10.947,12.154,13.337,12.646,51556,53746,55870,54778,0.351,0.000,0.863,1.723,0.000,0.364,0.000,0.000,2.000,3.500,--
0,0,443.635,-1.366,0.000,--,--,--,0.135,0.060,0.863,1.649,-0.229,0.312,0.040,0.057,-0.014,0.997,-0.010,-0.250,0.071,4.683,6.565,-1.321,False,False,0.000,0.000,0.000,4.226,0.182,-1.347,1.212,0.479,-0.814,0.622,-0.051,11.108,12.120,13.051,12.550,51094,54214,56004,54848,0.386,0.000,0.870,1.723,0.000,0.404,0.000,0.000,2.000,3.500,--
0,0,443.663,-1.366,0.000,--,--,--,0.188,0.056,0.873,1.668,-0.247,0.391,0.039,0.051,-0.012,0.998,-0.210,-0.220,0.067,4.509,5.922,-1.197,False,False,0.000,0.000,0.000,3.318,0.196,-1.377,1.206,0.474,-0.595,0.531,-0.049,10.998,12.232,12.765,12.331,51870,54652,55792,54868,0.437,0.000,0.884,1.723,0.000,0.464,0.000,0.000,2.000,3.500,--
0,0,443.683,-1.366,0.000,--,--,--,0.224,0.053,0.881,1.681,-0.258,0.442,0.037,0.050,-0.012,0.998,-0.110,-0.260,0.062,4.349,5.761,-1.211,False,False,0.000,0.000,0.000,2.877,0.209,-1.394,1.198,0.472,-0.664,0.562,-0.046,10.888,12.145,12.810,12.303,51792,54654,56084,54998,0.472,0.000,0.893,1.723,0.000,0.504,0.000,0.000,2.000,3.500,--
0,0,443.704,-1.366,0.000,--,--,--,0.260,0.050,0.890,1.692,-0.266,0.489,0.036,0.047,-0.012,0.998,-0.110,-0.440,0.072,4.187,5.442,-1.231,False,False,0.000,0.000,0.000,2.429,0.223,-1.424,1.189,0.470,-0.752,0.755,-0.057,10.570,12.223,12.933,12.216,51028,54824,56342,54810,0.506,0.000,0.904,1.723,0.000,0.544,0.000,0.000,2.000,3.500,--
