k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,346.013,-1.366,0.000,--,--,--,0.022,-0.035,1.275,2.167,0.134,0.061,-0.035,0.089,0.000,0.995,0.120,-0.310,-0.046,-3.949,10.156,-0.351,False,False,0.000,0.000,0.000,13.054,-0.168,-2.693,0.804,0.516,-0.141,0.854,0.198,13.200,12.903,14.760,11.783,61388,60722,64736,58102,0.311,0.000,1.252,2.338,0.000,0.215,0.000,0.000,3.000,3.500,--
0,0,346.033,-1.366,0.000,--,--,--,0.066,-0.035,1.276,2.187,0.138,0.098,-0.033,0.084,0.000,0.996,0.040,-0.530,-0.042,-3.793,9.679,-0.321,False,False,0.000,0.000,0.000,8.173,-0.173,-2.722,0.803,0.528,-0.029,1.227,0.190,12.939,13.524,14.799,11.989,63460,64264,65534,59818,0.334,0.000,1.255,2.338,0.000,0.245,0.000,0.000,3.000,3.500,--
0,0,346.055,-1.366,0.000,--,--,--,0.112,-0.036,1.278,2.210,0.145,0.146,-0.033,0.080,0.000,0.996,0.070,-0.710,-0.059,-3.794,9.202,-0.305,False,False,0.000,0.000,0.000,5.468,-0.182,-2.757,0.802,0.532,-0.023,1.311,0.208,13.314,13.650,15.000,11.628,64300,65072,65534,60218,0.381,0.000,1.260,2.338,0.000,0.305,0.000,0.000,3.000,3.500,--
0,0,346.076,-1.366,0.000,--,--,--,0.158,-0.038,1.280,2.233,0.142,0.206,-0.032,0.075,-0.000,0.997,0.250,-0.880,-0.133,-3.638,8.566,-0.273,False,False,0.000,0.000,0.000,3.802,-0.185,-2.793,0.800,0.538,-0.193,1.640,0.287,13.250,13.447,15.000,11.176,64788,65248,65534,59638,0.428,0.000,1.267,2.338,0.000,0.365,0.000,0.000,3.000,3.500,--
0,0,346.096,-1.366,0.000,--,--,--,0.204,-0.038,1.285,2.251,0.142,0.282,-0.030,0.066,-0.001,0.997,0.490,-0.990,-0.169,-3.471,7.609,-0.390,False,False,0.000,0.000,0.000,2.770,-0.185,-2.830,0.796,0.538,-0.598,1.899,0.330,12.906,13.156,15.000,11.114,63974,64568,65534,59472,0.475,0.000,1.275,2.338,0.000,0.425,0.000,0.000,3.000,3.500,--
0,0,346.112,-1.366,0.000,--,--,--,0.249,-0.037,1.291,2.260,0.149,0.367,-0.025,0.058,-0.004,0.998,0.840,-1.130,-0.215,-2.822,6.650,-0.641,False,False,0.000,0.000,0.000,2.143,-0.190,-2.867,0.794,0.533,-0.788,1.931,0.379,12.352,12.436,15.000,11.133,64032,63802,65534,59274,0.545,0.000,1.289,2.338,0.000,0.515,0.000,0.000,3.000,3.500,--
0,0,346.131,-1.366,0.000,--,--,--,0.296,-0.037,1.298,2.270,0.147,0.451,-0.017,0.048,-0.007,0.999,1.080,-1.140,-0.210,-1.862,5.539,-0.884,False,False,0.000,0.000,0.000,1.729,-0.190,-2.906,0.781,0.526,-1.892,2.316,0.395,11.740,12.109,15.000,11.443,59798,60710,65534,59050,0.592,0.000,1.300,2.338,0.000,0.575,0.000,0.000,3.000,3.500,--
0,0,346.151,-1.366,0.000,--,--,--,0.342,-0.038,1.307,2.273,0.141,0.534,-0.007,0.039,-0.008,0.999,1.190,-1.090,-0.247,-0.755,4.435,-0.981,False,False,0.000,0.000,0.000,1.444,-0.184,-2.944,0.772,0.520,-2.169,2.313,0.440,11.566,11.562,15.000,11.335,58344,58334,65534,57766,0.638,0.000,1.312,2.338,0.000,0.635,0.000,0.000,3.000,3.500,--
0,0,346.173,-1.366,0.000,--,--,--,0.389,-0.040,1.318,2.271,0.128,0.617,0.003,0.029,-0.011,1.000,1.070,-0.950,-0.242,0.354,3.335,-1.259,False,False,0.000,0.000,0.000,1.229,-0.176,-2.981,0.761,0.510,-2.095,2.165,0.440,11.433,11.545,15.000,11.404,57472,56886,65352,56606,0.662,0.000,1.318,2.338,0.000,0.665,0.000,0.000,3.000,3.500,--
0,0,346.193,-1.366,0.000,--,--,--,0.435,-0.040,1.331,2.259,0.116,0.702,0.012,0.019,-0.014,1.000,0.730,-0.820,-0.209,1.458,2.240,-1.558,False,False,0.000,0.000,0.000,1.065,-0.156,-3.017,0.748,0.505,-1.625,2.078,0.415,11.720,11.309,15.000,10.955,57860,57452,65228,55662,0.709,0.000,1.332,2.338,0.000,0.725,0.000,0.000,3.000,3.500,--
0,0,346.213,-1.366,0.000,--,--,--,0.481,-0.043,1.344,2.245,0.085,0.779,0.018,0.012,-0.017,1.000,0.350,-0.610,-0.197,2.086,1.462,-1.877,False,False,0.000,0.000,0.000,0.940,-0.127,-3.054,0.734,0.495,-1.125,1.809,0.405,12.044,11.543,15.000,10.479,58164,56944,64742,54224,0.755,0.000,1.347,2.338,0.000,0.785,0.000,0.000,3.000,3.500,--
0,0,346.232,-1.366,0.000,--,--,--,0.526,-0.044,1.361,2.223,0.063,0.858,0.019,0.007,-0.019,1.000,-0.130,-0.410,-0.125,2.237,0.836,-2.204,False,False,0.000,0.000,0.000,0.837,-0.089,-3.093,0.718,0.492,-0.327,1.530,0.337,12.470,11.770,15.000,10.209,59400,58514,64862,53782,0.802,0.000,1.364,2.338,0.000,0.845,0.000,0.000,3.000,3.500,--
0,0,346.254,-1.366,0.000,--,--,--,0.572,-0.050,1.378,2.197,0.015,0.938,0.018,0.003,-0.022,1.000,-0.560,-0.090,-0.101,2.070,0.363,-2.531,False,False,0.000,0.000,0.000,0.747,-0.039,-3.133,0.701,0.484,0.201,1.152,0.310,12.726,12.000,14.929,10.103,60440,58706,63684,53346,0.849,0.000,1.381,2.338,0.000,0.905,0.000,0.000,3.000,3.500,--
0,0,346.276,-1.366,0.000,--,--,--,0.616,-0.054,1.397,2.169,-0.020,1.016,0.014,0.003,-0.024,1.000,-0.840,0.170,-0.076,1.595,0.355,-2.691,False,False,0.000,0.000,0.000,0.671,0.010,-3.183,0.691,0.481,0.430,0.806,0.281,13.125,12.070,13.715,10.130,61106,58680,62406,53786,0.896,0.000,1.400,2.338,0.000,0.965,0.000,0.000,3.000,3.500,--
0,0,346.296,-1.366,0.000,--,--,--,0.660,-0.057,1.418,2.145,-0.040,1.091,0.006,0.004,-0.025,1.000,-0.980,0.450,-0.077,0.647,0.492,-2.852,False,False,0.000,0.000,0.000,0.605,0.060,-3.246,0.671,0.475,0.688,0.489,0.275,13.418,11.918,13.107,10.070,61756,58318,61066,53624,0.942,0.000,1.420,2.338,0.000,1.025,0.000,0.000,3.000,3.500,--
