V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,45,0,3,--,4,False,True,False,--,0.52,-92.092,1.6,45.0,1.6,45.0,0.237,0.382,2.618,0.268,0.432,--,-118.901,118.901,-18.462,-0.1,0.752,nan,nan,nan,nan,--,0.72,[0.999 0.649 1.    0.386 0.777 0.134 1.   ],[ 0.52  -0.989  0.     0.03 ],[-93.  93.],--,1,0,0,0,0,0
1.6,55,0,0,--,4,False,True,False,--,0.507,-91.84,1.6,55.0,1.6,55.0,0.247,0.372,1.882,0.323,0.488,--,-125.841,125.841,-18.712,-0.328,0.843,nan,nan,nan,nan,--,0.706,[1.    0.617 1.    0.367 0.725 0.122 1.   ],[ 0.507 -0.986  0.     0.02 ],[-93.  93.],--,1,0,0,0,0,0
1.6,55,0,1,--,0,False,True,False,--,0.503,-86.532,1.6,55.0,1.6,55.0,0.249,0.374,1.871,0.326,0.49,--,-127.917,127.917,-18.319,-0.313,0.732,nan,nan,nan,nan,--,0.38,[0.997 0.61  1.    0.367 0.709 0.119 0.   ],[ 0.504 -0.928  0.001  0.017],[-93.  93.],--,0,0,0,0,1,0
1.6,55,0,2,--,4,False,True,False,--,0.514,-92.771,1.6,55.0,1.6,55.0,0.243,0.368,1.902,0.318,0.483,--,-121.484,121.484,-18.609,-0.338,0.921,nan,nan,nan,nan,--,0.711,[0.999 0.629 1.    0.358 0.758 0.13  1.   ],[ 0.514 -0.996  0.     0.024],[-93.  93.],--,1,0,0,0,0,0
1.6,55,0,3,--,4,False,True,False,--,0.506,-90.033,1.6,55.0,1.6,55.0,0.248,0.373,1.876,0.325,0.489,--,-123.288,123.288,-18.553,-0.347,0.894,nan,nan,nan,nan,--,0.708,[0.999 0.613 1.    0.36  0.745 0.127 1.   ],[ 0.505 -0.965  0.     0.018],[-93.  93.],--,1,0,0,0,0,0
1.6,65,0,0,--,0,False,True,False,--,0.518,-82.348,1.6,65.0,1.6,65.0,0.253,0.366,1.274,0.366,0.531,--,-130.122,130.122,-17.917,-0.552,0.782,nan,nan,nan,nan,--,0.372,[0.996 0.599 1.    0.34  0.691 0.115 0.   ],[ 0.518 -0.883  0.001  0.02 ],[-93.  93.],--,0,0,0,0,1,0
1.6,65,0,1,--,4,False,True,False,--,0.526,-88.675,1.6,65.0,1.6,65.0,0.25,0.364,1.282,0.363,0.528,--,-125.665,125.665,-18.456,-0.582,0.975,nan,nan,nan,nan,--,0.701,[0.999 0.605 1.    0.34  0.726 0.123 1.   ],[ 0.526 -0.95   0.001  0.023],[-93.  93.],--,1,0,0,0,0,0
1.6,65,0,2,--,0,False,True,False,--,0.504,-73.788,1.6,65.0,1.6,65.0,0.254,0.367,1.269,0.368,0.533,--,-142.966,142.966,-17.125,-0.485,0.398,nan,nan,nan,nan,--,0.35,[1.    0.595 1.    0.333 0.583 0.094 0.   ],[ 0.505 -0.803  0.001  0.018],[-93.  93.],--,0,0,0,0,1,0
1.6,65,0,3,--,0,False,True,False,--,0.502,-74.11,1.6,65.0,1.6,65.0,0.254,0.368,1.269,0.368,0.533,--,-138.656,138.656,-17.122,-0.497,0.477,nan,nan,nan,nan,--,0.357,[0.998 0.594 1.    0.333 0.62  0.101 0.   ],[ 0.503 -0.797  0.001  0.018],[-93.  93.],--,0,0,0,0,1,0
1.6,75,0,0,--,4,False,True,False,--,0.549,-92.647,1.6,75.0,1.6,75.0,0.252,0.358,0.748,0.389,0.553,--,-125.112,125.112,-18.804,-0.87,1.151,nan,nan,nan,nan,--,0.699,[1.    0.602 1.    0.321 0.731 0.124 1.   ],[ 0.549 -0.995  0.     0.034],[-93.  93.],--,1,0,0,0,0,0
1.6,75,0,1,--,4,False,True,False,--,0.537,-91.405,1.6,75.0,1.6,75.0,0.255,0.362,0.741,0.394,0.559,--,-128.334,128.334,-18.822,-0.87,1.091,nan,nan,nan,nan,--,0.695,[0.999 0.591 1.    0.326 0.705 0.118 1.   ],[ 0.537 -0.981  0.     0.027],[-93.  93.],--,1,0,0,0,0,0
1.6,75,0,2,--,4,False,True,False,--,0.537,-91.428,1.6,75.0,1.6,75.0,0.255,0.362,0.741,0.394,0.559,--,-129.438,129.438,-18.856,-0.87,1.074,nan,nan,nan,nan,--,0.693,[0.999 0.591 1.    0.327 0.696 0.116 1.   ],[ 0.537 -0.981  0.     0.027],[-93.  93.],--,1,0,0,0,0,0
1.6,75,0,3,--,4,False,True,False,--,0.549,-92.706,1.6,75.0,1.6,75.0,0.252,0.358,0.748,0.389,0.553,--,-125.989,125.989,-18.857,-0.874,1.132,nan,nan,nan,nan,--,0.698,[1.    0.602 1.    0.322 0.724 0.122 1.   ],[ 0.549 -0.995  0.     0.033],[-93.  93.],--,1,0,0,0,0,0
1.6,85,0,0,--,4,False,True,False,--,0.525,-89.859,1.6,85.0,1.6,85.0,0.27,0.373,0.234,0.43,0.595,--,-140.265,140.265,-18.96,-1.174,0.988,nan,nan,nan,nan,--,0.675,[1.    0.549 1.    0.327 0.607 0.098 1.   ],[ 0.525 -0.969  0.     0.025],[-93.  93.],--,1,0,0,0,0,0
1.6,85,0,1,--,4,False,True,False,--,0.524,-89.73,1.6,85.0,1.6,85.0,0.27,0.373,0.234,0.431,0.595,--,-139.004,139.004,-18.913,-1.181,1.014,nan,nan,nan,nan,--,0.677,[0.999 0.548 1.    0.325 0.617 0.1   1.   ],[ 0.524 -0.966  0.     0.025],[-93.  93.],--,1,0,0,0,0,0
1.6,85,0,2,--,4,False,True,False,--,0.526,-90.549,1.6,85.0,1.6,85.0,0.27,0.373,0.235,0.43,0.594,--,-139.12,139.12,-19.0,-1.186,1.027,nan,nan,nan,nan,--,0.677,[1.    0.55  1.    0.326 0.616 0.1   1.   ],[ 0.525 -0.97   0.     0.025],[-93.  93.],--,1,0,0,0,0,0
1.6,85,0,3,--,0,False,True,False,--,0.501,-85.153,1.6,85.0,1.6,85.0,0.273,0.377,0.232,0.436,0.6,--,-145.955,145.955,-18.513,-1.155,0.837,nan,nan,nan,nan,--,0.343,[0.995 0.539 0.993 0.331 0.558 0.089 0.   ],[ 0.502 -0.914  0.001  0.021],[-93.  93.],--,0,0,0,0,1,0
2.0,15,0,0,--,4,False,True,False,--,0.504,-90.321,2.0,15.0,2.0,15.0,0.252,0.57,6.547,0.131,0.295,--,-121.512,121.512,-18.483,0.657,0.151,nan,nan,nan,nan,--,0.895,[1.    0.6   1.    0.86  0.758 0.774 1.   ],[ 0.504 -0.971  0.     0.027],[-93.  93.],--,1,0,0,0,0,0
2.0,15,0,1,--,4,False,True,False,--,0.523,-92.886,2.0,15.0,2.0,15.0,0.246,0.563,6.624,0.127,0.292,--,-120.274,120.274,-18.464,0.659,0.16,nan,nan,nan,nan,--,0.893,[1.    0.62  1.    0.848 0.767 0.759 1.   ],[ 0.523 -0.998  0.     0.045],[-93.  93.],--,1,0,0,0,0,0
2.0,15,0,2,--,4,False,True,False,--,0.515,-92.518,2.0,15.0,2.0,15.0,0.249,0.567,6.581,0.129,0.294,--,-123.278,123.278,-18.626,0.664,0.111,nan,nan,nan,nan,--,0.902,[0.996 0.609 1.    0.89  0.745 0.796 1.   ],[ 0.515 -0.993  0.     0.036],[-93.  93.],--,1,0,0,0,0,0
2.0,15,0,3,--,4,False,True,False,--,0.519,-92.796,2.0,15.0,2.0,15.0,0.248,0.566,6.592,0.129,0.293,--,-123.041,123.041,-18.591,0.666,0.113,nan,nan,nan,nan,--,0.901,[1.    0.612 1.    0.888 0.746 0.793 1.   ],[ 0.519 -0.996  0.     0.041],[-93.  93.],--,1,0,0,0,0,0
2.0,25,0,0,--,4,False,True,False,--,0.52,-92.783,2.0,25.0,2.0,25.0,0.248,0.443,4.845,0.21,0.374,--,-123.16,123.16,-18.531,0.542,0.435,nan,nan,nan,nan,--,0.869,[0.998 0.613 1.    0.686 0.746 0.795 1.   ],[ 0.52  -0.996  0.     0.04 ],[-93.  93.],--,1,0,0,0,0,0
2.0,25,0,1,--,4,False,True,False,--,0.523,-92.765,2.0,25.0,2.0,25.0,0.245,0.44,4.878,0.207,0.372,--,-120.84,120.84,-18.429,0.544,0.474,nan,nan,nan,nan,--,0.861,[0.998 0.622 1.    0.648 0.763 0.766 1.   ],[ 0.523 -0.997  0.     0.043],[-93.  93.],--,1,0,0,0,0,0
2.0,25,0,2,--,4,False,True,False,--,0.504,-89.484,2.0,25.0,2.0,25.0,0.252,0.447,4.797,0.213,0.378,--,-123.65,123.65,-18.479,0.537,0.434,nan,nan,nan,nan,--,0.87,[1.    0.599 1.    0.689 0.742 0.801 1.   ],[ 0.504 -0.962  0.     0.026],[-93.  93.],--,1,0,0,0,0,0
2.0,25,0,3,--,4,False,True,False,--,0.506,-90.608,2.0,25.0,2.0,25.0,0.251,0.446,4.81,0.212,0.377,--,-123.669,123.669,-18.56,0.54,0.441,nan,nan,nan,nan,--,0.869,[0.998 0.603 1.    0.686 0.742 0.801 1.   ],[ 0.506 -0.972  0.     0.027],[-93.  93.],--,1,0,0,0,0,0
2.0,35,0,0,--,4,False,True,False,--,0.501,-87.275,2.0,35.0,2.0,35.0,0.251,0.394,3.621,0.288,0.452,--,-125.911,125.911,-18.34,0.375,0.652,nan,nan,nan,nan,--,0.845,[0.998 0.604 1.    0.528 0.724 0.829 1.   ],[ 0.501 -0.937  0.001  0.023],[-93.  93.],--,1,0,0,0,0,0
2.0,35,0,1,--,4,False,True,False,--,0.511,-90.616,2.0,35.0,2.0,35.0,0.247,0.391,3.656,0.284,0.448,--,-122.224,122.224,-18.514,0.37,0.749,nan,nan,nan,nan,--,0.836,[0.999 0.615 1.    0.489 0.753 0.783 1.   ],[ 0.512 -0.974  0.     0.027],[-93.  93.],--,1,0,0,0,0,0
2.0,35,0,2,--,4,False,True,False,--,0.505,-88.353,2.0,35.0,2.0,35.0,0.25,0.393,3.633,0.286,0.451,--,-124.243,124.243,-18.416,0.372,0.694,nan,nan,nan,nan,--,0.84,[1.    0.608 1.    0.5   0.737 0.808 1.   ],[ 0.505 -0.95   0.001  0.024],[-93.  93.],--,1,0,0,0,0,0
2.0,35,0,3,--,4,False,True,False,--,0.53,-92.888,2.0,35.0,2.0,35.0,0.242,0.385,3.709,0.277,0.442,--,-117.95,117.95,-18.354,0.373,0.824,nan,nan,nan,nan,--,0.83,[0.999 0.632 1.    0.471 0.784 0.73  1.   ],[ 0.53  -0.998  0.     0.043],[-93.  93.],--,1,0,0,0,0,0
2.0,45,0,0,--,4,False,True,False,--,0.514,-91.45,2.0,45.0,2.0,45.0,0.249,0.366,2.735,0.353,0.517,--,-123.43,123.43,-18.444,0.14,1.003,nan,nan,nan,nan,--,0.83,[1.    0.609 1.    0.441 0.743 0.798 1.   ],[ 0.514 -0.981  0.     0.023],[-93.  93.],--,1,0,0,0,0,0
2.0,45,0,1,--,4,False,True,False,--,0.524,-92.288,2.0,45.0,2.0,45.0,0.247,0.363,2.755,0.349,0.513,--,-122.412,122.412,-18.542,0.144,1.016,nan,nan,nan,nan,--,0.829,[1.    0.617 1.    0.439 0.751 0.785 1.   ],[ 0.524 -0.99   0.     0.027],[-93.  93.],--,1,0,0,0,0,0
2.0,45,0,2,--,4,False,True,False,--,0.512,-91.093,2.0,45.0,2.0,45.0,0.25,0.366,2.73,0.353,0.518,--,-123.254,123.254,-18.544,0.132,1.02,nan,nan,nan,nan,--,0.829,[1.    0.607 1.    0.439 0.745 0.796 1.   ],[ 0.512 -0.977  0.     0.022],[-93.  93.],--,1,0,0,0,0,0
2.0,45,0,3,--,4,False,True,False,--,0.529,-92.498,2.0,45.0,2.0,45.0,0.245,0.362,2.766,0.347,0.511,--,-120.673,120.673,-18.402,0.147,1.042,nan,nan,nan,nan,--,0.826,[0.998 0.621 1.    0.434 0.764 0.764 1.   ],[ 0.529 -0.993  0.     0.03 ],[-93.  93.],--,1,0,0,0,0,0
2.0,55,0,0,--,4,False,True,False,--,0.504,-90.783,2.0,55.0,2.0,55.0,0.249,0.35,2.001,0.409,0.573,--,-122.845,122.845,-18.482,-0.132,1.247,nan,nan,nan,nan,--,0.716,[1.    0.608 1.    0.401 0.748 0.127 1.   ],[ 0.504 -0.975  0.     0.018],[-93.  93.],--,1,0,0,0,0,0
2.0,55,0,1,--,4,False,True,False,--,0.524,-92.462,2.0,55.0,2.0,55.0,0.244,0.344,2.033,0.4,0.564,--,-119.867,119.867,-18.403,-0.117,1.275,nan,nan,nan,nan,--,0.719,[1.    0.625 1.    0.395 0.77  0.132 1.   ],[ 0.524 -0.993  0.     0.026],[-93.  93.],--,1,0,0,0,0,0
