Step,Reward,Episode
58,0.198,4
216,0.238,16
318,0.209,20
1063,0.155,44
1230,0.142,48
1737,0.117,60
1906,0.110,64
2416,0.095,76
2585,0.090,80
2755,0.086,84
3095,0.078,92
3262,0.075,96
3773,0.057,108
3943,0.055,112
4933,0.012,136
5403,0.014,148
5567,0.015,152
5717,0.017,156
5865,0.019,160
5981,0.022,164
6894,0.051,192
7019,0.057,196
7137,0.063,200
7355,0.073,208
7465,0.095,212
7679,0.121,220
7946,0.161,232
8215,0.205,244
8288,0.216,248
8416,0.222,252
8509,0.225,256
8736,0.247,264
8826,0.252,268
8929,0.257,272
9028,0.265,276
9203,0.266,284
9310,0.276,288
9805,0.286,312
9969,0.291,320
10048,0.284,324
10254,0.267,332
10324,0.276,336
10476,0.257,344
10558,0.256,348
10794,0.289,360
10873,0.280,364
11231,0.305,384
11511,0.319,400
11582,0.331,404
11775,0.366,416
11978,0.386,428
12035,0.396,432
12098,0.378,440
12400,0.357,460
12538,0.346,468
12831,0.341,488
13009,0.326,504
13090,0.313,508
13221,0.295,516
13306,0.292,524
13368,0.297,528
13427,0.301,532
13521,0.326,540
13603,0.339,548
13656,0.336,552
13996,0.369,576
14048,0.384,580
14095,0.368,588
14146,0.375,592
14262,0.384,604
14621,0.352,632
14720,0.341,640
14778,0.342,644
14878,0.345,652
14984,0.341,660
15075,0.330,668
15247,0.282,684
15318,0.288,688
15372,0.272,692
15527,0.283,704
15560,0.282,708
15621,0.293,712
15643,0.300,716
15730,0.289,724
15792,0.300,728
15961,0.288,740
16048,0.292,744
16108,0.293,748
16338,0.296,760
16454,0.297,764
16512,0.300,768
16596,0.307,772
16839,0.304,784
17072,0.300,796
17144,0.306,800
17221,0.307,804
17404,0.317,812
17477,0.315,816
17574,0.310,820
17657,0.309,824
17861,0.297,832
18023,0.277,840
18136,0.258,848
18251,0.241,856
18428,0.236,864
18549,0.236,868
18752,0.233,876
18805,0.236,880
18883,0.233,884
18999,0.236,888
19119,0.243,892
19289,0.227,900
19377,0.220,904
19793,0.212,920
20070,0.227,932
20389,0.239,944
20562,0.267,952
20632,0.263,956
20701,0.267,960
20854,0.286,968
20895,0.285,972
21027,0.312,980
21089,0.336,984
21158,0.359,988
21210,0.350,992
21522,0.419,1012
21565,0.415,1016
21641,0.427,1020
21819,0.448,1032
21883,0.454,1036
21951,0.461,1040
22010,0.466,1044
22149,0.485,1052
22653,0.518,1084
22734,0.504,1088
22930,0.516,1100
22995,0.506,1104
23052,0.490,1108
23188,0.502,1116
23309,0.511,1124
23449,0.524,1132
23526,0.521,1136
23678,0.526,1144
23792,0.487,1152
23865,0.467,1156
23995,0.488,1164
24310,0.486,1184
24379,0.501,1188
24441,0.514,1192
24502,0.500,1196
24569,0.511,1200
24859,0.537,1220
24978,0.505,1228
25035,0.487,1232
25092,0.488,1236
25146,0.496,1240
25331,0.518,1252
25395,0.530,1256
25584,0.517,1268
25700,0.516,1276
25770,0.502,1280
25959,0.478,1292
26087,0.477,1300
26405,0.469,1320
26474,0.489,1324
26540,0.504,1328
26602,0.496,1332
26927,0.507,1352
26994,0.510,1356
27117,0.515,1364
27319,0.539,1376
27389,0.564,1380
27455,0.573,1384
27518,0.565,1388
27654,0.581,1396
27784,0.576,1404
27913,0.577,1412
27989,0.580,1416
28060,0.589,1420
28134,0.586,1424
28349,0.598,1436
28480,0.647,1444
28617,0.628,1452
28677,0.633,1456
28740,0.630,1460
28804,0.636,1464
28866,0.632,1468
28936,0.637,1472
29009,0.637,1476
29387,0.665,1500
29582,0.676,1512
29646,0.679,1516
30096,0.699,1544
30163,0.702,1548
30416,0.714,1564
30475,0.722,1568
30544,0.729,1572
30605,0.733,1576
30667,0.740,1580
30729,0.737,1584
30788,0.741,1588
30854,0.750,1592
30918,0.744,1596
30983,0.742,1600
31116,0.740,1608
31182,0.754,1612
31311,0.766,1620
31566,0.760,1636
31637,0.758,1640
31844,0.774,1652
31911,0.768,1656
31980,0.778,1660
32046,0.787,1664
32253,0.793,1676
32457,0.784,1688
32521,0.784,1692
32710,0.791,1704
32775,0.797,1708
33046,0.823,1724
