Step,Reward,Episode
46,0.462,4
299,0.241,16
352,0.217,20
881,0.139,44
1019,0.131,48
1433,0.112,60
1601,0.105,64
2107,0.089,76
2281,0.084,80
2449,0.080,84
2787,0.073,92
2960,0.070,96
3474,0.044,108
3642,0.041,112
3981,0.024,120
4662,0.015,136
5171,0.005,148
5345,0.002,152
5514,0.000,156
5684,0.000,160
5852,0.000,164
6518,0.040,192
6621,0.050,196
6688,0.058,200
6811,0.064,208
6890,0.075,212
6994,0.094,220
7080,0.101,224
7185,0.131,232
7354,0.173,244
7379,0.176,248
7405,0.179,252
7470,0.202,256
7549,0.210,264
7611,0.214,268
7660,0.219,272
7705,0.214,276
7776,0.210,284
7836,0.212,288
8112,0.208,312
8201,0.203,320
8219,0.198,324
8343,0.196,332
8426,0.182,336
8532,0.197,344
8557,0.196,348
8685,0.201,360
8714,0.198,364
8863,0.208,384
8984,0.208,400
9021,0.205,404
9095,0.192,416
9174,0.198,428
9202,0.189,432
9244,0.179,440
9270,0.164,444
9395,0.149,460
9425,0.136,468
9631,0.146,488
9797,0.139,504
9823,0.140,508
9855,0.139,516
9884,0.126,524
9926,0.139,528
9949,0.133,532
9981,0.128,540
10018,0.127,548
10023,0.125,552
10185,0.150,576
10193,0.149,580
10209,0.127,588
10224,0.130,592
10328,0.128,604
10535,0.135,632
10616,0.144,640
10667,0.151,644
10723,0.152,652
10791,0.158,660
10841,0.143,668
11054,0.155,684
11079,0.156,688
11096,0.152,692
11315,0.158,704
11361,0.148,708
11391,0.143,712
11461,0.149,716
11520,0.149,724
11547,0.158,728
11647,0.147,740
11693,0.149,744
11714,0.153,748
11879,0.157,760
11903,0.166,764
11927,0.166,768
11951,0.167,772
12054,0.162,784
12140,0.173,796
12157,0.172,800
12170,0.163,804
12225,0.161,812
12265,0.157,816
12304,0.158,820
12335,0.162,824
12374,0.152,832
12474,0.167,840
12524,0.163,848
12606,0.170,856
12696,0.165,864
12750,0.168,868
12843,0.180,876
12883,0.175,880
12930,0.176,884
12967,0.177,888
13012,0.187,892
13095,0.198,900
13151,0.212,904
13364,0.230,920
13530,0.232,932
13718,0.235,944
13877,0.245,952
13934,0.246,956
13997,0.256,960
14165,0.278,968
14231,0.289,972
14356,0.296,980
14488,0.294,984
14525,0.294,988
14588,0.294,992
14957,0.308,1012
15018,0.299,1016
15102,0.299,1020
15316,0.328,1032
15389,0.346,1036
15466,0.354,1040
15550,0.343,1044
15713,0.345,1052
16778,0.265,1084
16947,0.261,1088
17452,0.219,1100
17622,0.208,1104
17781,0.198,1108
18034,0.186,1116
18254,0.175,1124
18432,0.178,1132
18560,0.158,1136
18744,0.137,1144
18858,0.136,1152
18909,0.132,1156
19014,0.148,1164
19321,0.177,1184
19372,0.192,1188
19480,0.194,1192
19536,0.203,1196
19621,0.213,1200
19911,0.258,1220
20018,0.250,1228
20075,0.264,1232
20125,0.274,1236
20177,0.284,1240
20348,0.295,1252
20409,0.307,1256
20582,0.315,1268
20696,0.329,1276
20746,0.324,1280
20910,0.336,1292
21020,0.356,1300
21306,0.365,1320
21358,0.371,1324
21423,0.399,1328
21471,0.373,1332
21528,0.371,1336
21749,0.370,1352
21809,0.361,1356
21925,0.360,1364
22094,0.362,1376
22152,0.365,1380
22205,0.379,1384
22259,0.389,1388
22382,0.381,1396
22499,0.390,1404
22623,0.383,1412
22677,0.388,1416
22738,0.396,1420
22797,0.409,1424
22975,0.404,1436
23099,0.411,1444
23210,0.440,1452
23273,0.451,1456
23329,0.452,1460
23390,0.460,1464
23449,0.470,1468
23513,0.487,1472
23576,0.503,1476
23938,0.518,1500
24118,0.539,1512
24182,0.545,1516
24440,0.554,1532
24627,0.565,1544
24685,0.565,1548
24874,0.584,1560
24937,0.586,1564
25003,0.589,1568
25061,0.593,1572
25130,0.584,1576
25190,0.585,1580
25255,0.583,1584
25313,0.591,1588
25377,0.592,1592
25443,0.600,1596
25509,0.611,1600
25644,0.616,1608
25710,0.627,1612
25843,0.649,1620
26110,0.685,1636
26174,0.683,1640
26369,0.690,1652
26436,0.694,1656
26502,0.705,1660
26573,0.717,1664
26769,0.730,1676
26956,0.749,1688
27018,0.762,1692
27209,0.757,1704
27273,0.755,1708
27542,0.769,1724
27604,0.777,1728
27802,0.774,1740
27867,0.772,1744
27934,0.763,1748
28003,0.767,1752
28067,0.755,1756
28132,0.761,1760
28197,0.755,1764
28258,0.742,1768
28382,0.743,1776
28451,0.737,1780
28516,0.728,1784
28587,0.732,1788
28863,0.729,1804
28926,0.737,1808
28988,0.730,1812
29054,0.730,1816
29122,0.728,1820
29256,0.726,1828
29384,0.707,1836
29517,0.717,1844
29581,0.720,1848
29648,0.729,1852
29783,0.744,1860
29851,0.747,1864
29923,0.746,1868
30060,0.751,1876
30193,0.769,1884
30461,0.764,1900
30530,0.768,1904
30732,0.771,1916
30796,0.765,1920
30865,0.762,1924
30926,0.758,1928
30996,0.760,1932
31060,0.774,1936
31126,0.778,1940
31258,0.795,1948
31328,0.784,1952
31393,0.773,1956
31458,0.783,1960
31601,0.793,1968
31807,0.792,1980
32080,0.826,1996
32280,0.814,2008
32376,0.792,2012
32445,0.799,2016
32656,0.824,2028
32804,0.820,2036
32871,0.821,2040
32936,0.821,2044
33013,0.809,2048
33087,0.819,2052
33161,0.825,2056
33248,0.804,2060
33448,0.801,2072
33519,0.801,2076
33588,0.801,2080
33662,0.798,2084
33891,0.775,2096
34393,0.807,2124
34601,0.808,2136
34674,0.812,2140
34820,0.811,2148
34886,0.798,2152
34979,0.788,2156
35052,0.806,2160
35158,0.801,2164
35304,0.800,2172
35371,0.802,2176
35459,0.794,2180
35602,0.787,2188
35673,0.789,2192
35894,0.809,2204
36041,0.794,2212
36192,0.797,2220
36265,0.804,2224
36332,0.795,2228
36755,0.817,2252
36819,0.826,2256
36890,0.819,2260
37186,0.820,2276
37406,0.802,2288
37553,0.790,2296
37762,0.791,2308
38045,0.780,2324
38333,0.767,2340
38397,0.764,2344
38469,0.765,2348
38608,0.760,2356
38678,0.762,2360
38747,0.763,2364
38811,0.760,2368
38887,0.762,2372
39035,0.769,2380
39178,0.785,2388
39250,0.789,2392
39328,0.799,2396
39393,0.807,2400
39531,0.807,2408
39607,0.812,2412
39682,0.817,2416
39832,0.804,2424
40035,0.796,2436
40175,0.802,2444
40390,0.811,2456
40466,0.813,2460
40608,0.812,2468
40746,0.816,2476
40891,0.816,2484
41038,0.797,2492
41106,0.785,2496
41325,0.782,2508
41400,0.784,2512
41475,0.784,2516
41541,0.790,2520
41827,0.795,2536
41975,0.794,2544
42107,0.792,2552
42306,0.809,2564
42382,0.808,2568
42455,0.802,2572
42527,0.800,2576
42593,0.808,2580
42659,0.806,2584
42924,0.825,2600
43073,0.835,2608
43146,0.834,2612
43217,0.834,2616
43290,0.842,2620
43354,0.831,2624
43555,0.825,2636
43625,0.833,2640
43697,0.839,2644
44186,0.827,2672
44391,0.823,2684
44725,0.836,2704
44793,0.829,2708
44858,0.820,2712
45064,0.830,2724
45210,0.832,2732
45280,0.838,2736
45349,0.830,2740
45548,0.820,2752
45900,0.827,2772
46037,0.835,2780
46105,0.833,2784
46174,0.841,2788
46241,0.834,2792
46385,0.813,2800
46591,0.826,2812
46668,0.813,2816
46804,0.805,2824
47085,0.815,2840
47159,0.815,2844
47299,0.820,2852
47507,0.818,2864
47644,0.822,2872
47779,0.835,2880
47847,0.835,2884
47916,0.815,2888
48060,0.808,2896
48194,0.818,2904
48263,0.815,2908
48324,0.815,2912
48397,0.829,2916
48464,0.829,2920
48605,0.838,2928
48672,0.843,2932
48736,0.848,2936
49085,0.843,2956
49159,0.845,2960
49232,0.841,2964
49374,0.845,2972
49439,0.842,2976
49502,0.834,2980
49566,0.834,2984
50049,0.844,3012
50254,0.847,3024
50316,0.838,3028
50461,0.811,3036
50807,0.820,3056
50877,0.809,3060
50949,0.813,3064
51178,0.810,3076
51247,0.815,3080
51387,0.818,3088
51465,0.806,3092
51544,0.814,3096
51691,0.801,3104
51769,0.802,3108
51908,0.807,3116
51971,0.794,3120
52038,0.793,3124
52110,0.802,3128
52178,0.821,3132
52248,0.826,3136
52454,0.826,3148
52590,0.835,3156
52659,0.849,3160
52801,0.839,3168
52950,0.843,3176
53090,0.834,3184
53163,0.832,3188
53381,0.847,3200
53449,0.856,3204
53729,0.879,3220
53796,0.875,3224
53866,0.875,3228
53939,0.875,3232
54159,0.860,3244
54366,0.864,3256
54723,0.871,3276
54795,0.861,3280
54944,0.868,3288
55016,0.866,3292
55094,0.859,3296
55227,0.864,3304
55298,0.866,3308
55371,0.857,3312
55444,0.860,3316
55742,0.827,3332
55807,0.832,3336
55939,0.848,3344
56004,0.848,3348
56078,0.853,3352
56208,0.856,3360
56283,0.858,3364
56424,0.842,3372
56493,0.840,3376
56643,0.833,3384
57011,0.823,3404
57084,0.815,3408
57304,0.820,3420
57517,0.836,3432
57730,0.820,3444
57803,0.812,3448
