Vel_d,Phi_d,Trial_num,LR_4Leg,LR_2Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.7,75,44,0,0.55,nan,nan,nan,nan,nan,nan,nan,nan,[4.093 4.086],[1.031 0.926]
1.7,78.75,45,0,0.45,nan,nan,nan,nan,nan,nan,nan,nan,[4.883 6.084],[0.642 1.358]
1.7,82.5,46,0,0.3,nan,nan,nan,nan,nan,nan,nan,nan,[3.838 4.439],[1.317 1.436]
1.7,86.25,47,0.05,0.1,1.49,85.55,0.245,-0.315,0.364,-7.496,1.489,0.116,[4.769 4.878],[0.605 0.737]
1.7,90,48,0,0.2,nan,nan,nan,nan,nan,nan,nan,nan,[4.736 4.305],[0.378 1.357]
1.8,30,49,0.25,0,1.75,20.93,0.2418,-11.0012,0.1482,-7.7628,0.6268,1.6392,[5.324 4.956],[0.633 0.439]
1.8,37.5,50,0.8,0,1.73,30.35,0.2259,-7.6322,0.1949,-7.8011,0.8718,1.4892,[4.383 5.715],[0.717 1.868]
1.8,41.25,51,0.85,0,1.69,34.10,0.2228,-6.6411,0.2106,-7.8855,0.9489,1.4015,[4.502 5.143],[0.679 0.464]
1.8,45,52,0.75,0,1.69,37.87,0.2253,-5.6907,0.2334,-7.8738,1.0355,1.3314,[5.298 3.428],[0.411 1.697]
1.8,48.75,53,0.8,0.1,1.67,42.50,0.2269,-4.7996,0.2566,-7.9189,1.1306,1.2338,[5.27  4.306],[0.762 2.077]
1.8,52.5,54,0.65,0.05,1.66,46.30,0.2278,-4.1832,0.2728,-7.8773,1.1993,1.1459,[3.142 4.804],[2.319 2.441]
1.8,56.25,55,0.4,0.35,1.67,50.10,0.2321,-3.5674,0.297,-7.8724,1.2784,1.0689,[4.685 4.643],[0.786 1.884]
1.8,60,56,0,0.75,nan,nan,nan,nan,nan,nan,nan,nan,[3.981 6.138],[1.09  1.328]
1.8,63.75,57,0,0.85,nan,nan,nan,nan,nan,nan,nan,nan,[4.454 4.688],[0.988 1.522]
1.8,67.5,58,0,0.65,nan,nan,nan,nan,nan,nan,nan,nan,[4.841 4.155],[1.286 0.937]
1.8,71.25,59,0.05,0.65,1.74,70.17,0.239,-1.481,0.392,-7.974,1.639,0.591,[3.645 5.327],[1.56  0.752]
1.8,75,60,0,0.55,nan,nan,nan,nan,nan,nan,nan,nan,[4.803 3.374],[1.016 2.513]
1.8,78.75,61,0.05,0.4,1.73,77.88,0.244,-0.855,0.415,-7.989,1.695,0.364,[4.859 4.803],[0.787 0.735]
1.8,82.5,62,0,0.35,nan,nan,nan,nan,nan,nan,nan,nan,[1.9   5.161],[3.444 0.534]
1.8,86.25,63,0.05,0.15,1.73,86.89,0.252,-0.257,0.436,-7.881,1.729,0.094,[3.959 4.518],[2.103 1.081]
1.8,90,64,0.1,0.2,1.58,88.53,0.246,-0.0695,0.389,-7.9045,1.5785,0.0405,[4.921 5.996],[0.344 1.24 ]
1.9,30,65,0.45,0,1.85,22.14,0.2404,-10.3313,0.1652,-7.7884,0.6964,1.7113,[4.145 4.886],[0.972 1.366]
1.9,33.75,66,0.85,0,1.83,26.71,0.2311,-8.6339,0.1889,-7.6709,0.823,1.6354,[4.683 6.261],[0.372 1.366]
1.9,37.5,67,0.95,0,1.83,31.84,0.2262,-7.1417,0.2175,-7.6999,0.9674,1.5578,[4.894 5.486],[0.683 0.557]
1.9,41.25,68,0.85,0,1.81,35.28,0.2241,-6.3147,0.2333,-7.8324,1.0437,1.4753,[5.108 5.695],[0.237 0.891]
1.9,45,69,0.9,0,1.79,39.07,0.226,-5.4452,0.2546,-7.8723,1.1296,1.3917,[4.981 5.447],[0.488 1.895]
1.9,48.75,70,0.8,0,1.79,43.07,0.2302,-4.6247,0.2816,-7.8899,1.2237,1.3092,[5.063 2.312],[0.206 2.884]
1.9,52.5,71,0.65,0.05,1.78,47.16,0.2303,-4.0005,0.3009,-7.9207,1.3063,1.2115,[4.324 4.085],[0.794 1.626]
1.9,56.25,72,0.55,0.1,1.78,50.46,0.2338,-3.4777,0.3214,-7.9145,1.3704,1.1314,[3.345 5.907],[1.656 1.411]
1.9,60,73,0.1,0.65,1.79,54.96,0.2375,-2.8925,0.349,-7.948,1.4615,1.025,[4.484 4.307],[0.887 0.811]
1.9,63.75,74,0.05,0.65,1.83,61.92,0.239,-2.181,0.388,-7.947,1.614,0.861,[2.759 5.398],[2.751 0.549]
1.9,67.5,75,0,0.6,nan,nan,nan,nan,nan,nan,nan,nan,[5.179 6.551],[0.835 1.576]
1.9,75,76,0.1,0.6,1.81,73.83,0.2415,-1.1895,0.418,-7.964,1.7345,0.503,[4.544 6.647],[0.952 1.858]
1.9,78.75,77,0.1,0.4,1.76,77.29,0.2475,-0.888,0.425,-7.925,1.718,0.3875,[3.875 4.295],[1.191 1.772]
1.9,82.5,78,0.1,0.35,1.70,81.49,0.249,-0.5955,0.419,-7.6355,1.6805,0.2515,[4.585 6.351],[0.54  1.471]
1.9,86.25,79,0.05,0.5,1.76,85.82,0.248,-0.29,0.434,-7.709,1.752,0.128,[4.47  3.566],[0.931 1.447]
1.9,90,80,0.25,0.15,1.69,89.52,0.2442,-0.0248,0.4126,-7.9292,1.692,0.0142,[4.098 5.466],[1.901 0.876]
2,30,81,0.3,0,1.97,22.10,0.2387,-10.5117,0.1735,-7.796,0.7417,1.8267,[3.858 4.227],[1.277 1.513]
