Vel_d,Phi_d,Trial_num,LR_4Leg,LR_2Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
2.6,60,185,0.85,0,2.50,57.57,0.2406,-2.5781,0.5098,-7.9489,2.1082,1.3395,[3.976 4.938],[1.282 0.596]
2.6,63.75,186,0.9,0.1,2.48,61.66,0.2444,-2.1598,0.5357,-7.9647,2.1831,1.1776,[3.499 5.443],[1.796 1.89 ]
2.6,67.5,187,0.8,0.15,2.51,65.95,0.2452,-1.7741,0.5631,-7.9524,2.2903,1.0221,[5.457 5.225],[0.515 2.039]
2.6,71.25,188,0.65,0.2,2.51,69.94,0.2488,-1.4251,0.5872,-7.9387,2.3558,0.8602,[3.969 4.588],[1.39  0.796]
2.6,75,189,0.8,0.1,2.48,73.99,0.2517,-1.1176,0.6007,-7.8876,2.3859,0.6848,[4.411 4.451],[0.631 1.495]
2.6,78.75,190,0.5,0.45,2.51,78.06,0.2548,-0.8049,0.6258,-7.9151,2.4528,0.5185,[4.094 4.504],[0.909 1.861]
2.6,82.5,191,0.4,0.5,2.50,82.05,0.2509,-0.5456,0.6214,-7.9678,2.477,0.3458,[4.315 5.573],[0.872 1.202]
2.6,86.25,192,0.55,0.35,2.47,85.97,0.252,-0.2753,0.6197,-7.9209,2.4645,0.1738,[5.453 5.205],[0.716 0.641]
2.6,90,193,0.7,0.25,2.49,90.08,0.2511,0.0003,0.6231,-7.8634,2.4858,-0.0036,[3.346 5.421],[1.976 0.578]
2.7,30,194,0.65,0,2.67,24.97,0.2362,-9.001,0.2675,-7.8136,1.1285,2.4233,[5.372 4.225],[0.437 0.807]
2.7,33.75,195,0.8,0,2.65,29.23,0.2311,-7.6745,0.2993,-7.7362,1.2919,2.3091,[4.93  4.761],[0.383 2.878]
2.7,37.5,196,0.95,0,2.65,33.70,0.2282,-6.5154,0.336,-7.888,1.4681,2.201,[3.609 4.36 ],[1.532 0.896]
2.7,41.25,197,0.9,0,2.63,37.57,0.2298,-5.5983,0.3701,-7.9169,1.6027,2.0837,[4.301 4.561],[0.958 0.535]
2.7,45,198,0.8,0.05,2.63,41.38,0.234,-4.7436,0.4102,-7.9209,1.7361,1.9706,[4.158 5.483],[1.124 1.099]
2.7,48.75,199,0.7,0,2.61,45.45,0.2376,-4.0748,0.4446,-7.9241,1.86,1.8309,[3.981 5.24 ],[1.328 2.24 ]
2.7,52.5,200,0.75,0,2.61,49.33,0.2393,-3.4995,0.4775,-7.9338,1.9795,1.7009,[4.9   3.988],[0.907 1.311]
2.7,56.25,201,0.85,0,2.60,53.54,0.2406,-2.994,0.5065,-7.9526,2.0913,1.5451,[3.191 4.176],[2.306 0.925]
2.7,60,202,0.95,0,2.60,57.73,0.2423,-2.5437,0.5351,-7.9207,2.1972,1.3875,[5.752 4.279],[0.756 1.086]
2.7,63.75,203,0.9,0,2.60,61.76,0.2468,-2.1108,0.5679,-7.9409,2.2895,1.2295,[3.707 4.579],[1.346 1.059]
2.7,67.5,204,0.95,0,2.60,65.79,0.2453,-1.7788,0.5838,-7.9696,2.3712,1.0663,[3.518 6.344],[1.656 1.378]
2.7,71.25,205,0.9,0.1,2.60,70.08,0.2502,-1.4166,0.6119,-7.9343,2.4433,0.8853,[3.763 3.73 ],[1.447 1.976]
2.7,75,206,0.55,0.35,2.60,74.05,0.2509,-1.1101,0.627,-7.9449,2.4954,0.7134,[4.795 5.781],[0.816 1.448]
2.7,78.75,207,0.55,0.4,2.56,77.87,0.2532,-0.8286,0.6342,-7.8937,2.5063,0.5389,[3.585 6.267],[1.654 1.367]
2.7,82.5,208,0.4,0.45,2.58,81.95,0.2509,-0.548,0.642,-7.9666,2.5572,0.3618,[5.212 5.306],[0.652 0.572]
2.7,86.25,209,0.55,0.45,2.55,85.90,0.2523,-0.2737,0.6425,-7.8596,2.5469,0.1825,[5.593 6.291],[0.657 1.989]
2.7,90,210,0.8,0.2,2.57,90.05,0.2504,-0.0005,0.6438,-7.9077,2.5744,-0.0024,[4.69  6.184],[0.744 1.512]
2.8,30,211,0.35,0,2.79,24.97,0.2356,-9.0347,0.2783,-7.7533,1.1781,2.5304,[5.548 4.511],[0.604 1.3  ]
2.8,33.75,212,0.8,0,2.74,29.37,0.23,-7.6776,0.3099,-7.7539,1.3451,2.3898,[4.815 4.045],[0.765 1.004]
2.8,37.5,213,0.85,0,2.74,33.35,0.228,-6.5506,0.3469,-7.8952,1.5069,2.2898,[4.344 4.578],[1.876 0.711]
2.8,41.25,214,0.95,0,2.73,37.75,0.2299,-5.5543,0.3862,-7.9065,1.6729,2.1609,[4.362 6.561],[1.065 1.651]
2.8,45,215,0.9,0,2.72,41.96,0.233,-4.6868,0.4284,-7.8822,1.8217,2.0264,[5.144 4.629],[0.641 0.899]
2.8,48.75,216,0.95,0,2.71,45.85,0.2378,-4.0206,0.4643,-7.9396,1.9419,1.8854,[4.04 4.81],[1.029 1.103]
2.8,52.5,217,1,0,2.72,49.82,0.2402,-3.408,0.5048,-7.9494,2.0792,1.7558,[3.161 5.089],[2.928 1.27 ]
2.8,56.25,218,0.75,0,2.70,53.76,0.2431,-2.9399,0.5337,-7.9651,2.1798,1.5977,[3.492 4.798],[2.178 1.141]
2.8,60,219,1,0,2.70,57.93,0.2446,-2.5011,0.5622,-7.953,2.287,1.4332,[4.022 5.461],[1.203 0.898]
2.8,63.75,220,0.8,0.1,2.72,61.93,0.2451,-2.0986,0.5916,-7.965,2.3984,1.2792,[4.277 5.993],[1.268 1.724]
2.8,67.5,221,0.95,0,2.70,65.69,0.2482,-1.7371,0.6144,-7.9565,2.4613,1.1117,[4.659 6.551],[0.451 1.744]
2.8,71.25,222,0.9,0,2.70,69.98,0.2492,-1.4183,0.6342,-7.9649,2.5379,0.9245,[3.359 4.419],[1.874 0.799]
2.8,75,223,0.8,0.05,2.69,73.81,0.2521,-1.108,0.6514,-7.9641,2.5803,0.7493,[5.571 6.209],[0.595 1.406]
2.8,78.75,224,0.6,0.3,2.69,78.03,0.2562,-0.8038,0.6752,-7.9534,2.6348,0.5588,[4.494 4.6  ],[0.762 1.09 ]
2.8,82.5,225,0.45,0.45,2.67,82.09,0.2539,-0.5442,0.6714,-7.9068,2.6443,0.3672,[3.553 5.393],[1.566 1.609]
2.8,86.25,226,0.75,0.2,2.68,85.97,0.2535,-0.2693,0.6784,-7.8767,2.6754,0.1886,[5.005 3.759],[0.126 1.62 ]
2.8,90,227,0.85,0.1,2.69,89.91,0.2524,-0.0042,0.6791,-7.9128,2.6915,0.004,[5.322 5.913],[0.46  1.962]
2.9,30,228,0.55,0,2.86,25.38,0.2349,-8.8965,0.2891,-7.7249,1.2265,2.5857,[4.085 5.357],[0.924 0.668]
2.9,33.75,229,0.8,0,2.85,29.33,0.2302,-7.6502,0.3227,-7.8453,1.3946,2.4826,[4.535 5.917],[0.618 1.057]
2.9,37.5,230,0.85,0,2.84,33.92,0.2277,-6.4634,0.3624,-7.8332,1.5842,2.356,[5.393 5.826],[0.571 1.037]
2.9,41.25,231,0.9,0,2.83,37.95,0.2301,-5.522,0.4018,-7.928,1.7387,2.2292,[3.683 6.315],[1.542 1.544]
2.9,45,232,0.9,0,2.83,41.81,0.2344,-4.6855,0.4451,-7.894,1.8836,2.1062,[4.644 3.873],[0.949 1.905]
2.9,48.75,233,0.85,0,2.80,45.60,0.2389,-4.022,0.4811,-7.8872,1.998,1.9564,[4.082 5.275],[1.454 0.656]
2.9,52.5,234,0.9,0,2.83,50.21,0.2411,-3.367,0.5291,-7.9429,2.1728,1.8094,[4.719 5.405],[0.827 0.61 ]
2.9,60,235,0.85,0,2.81,58.19,0.2422,-2.5192,0.5799,-7.9635,2.3848,1.4794,[4.076 5.917],[1.437 1.147]
2.9,63.75,236,0.95,0.05,2.81,62.04,0.2471,-2.0775,0.617,-7.9549,2.4833,1.3183,[5.161 6.201],[0.573 2.115]
2.9,67.5,237,0.9,0.05,2.79,65.95,0.2488,-1.7396,0.6368,-7.9522,2.5491,1.1374,[5.52  5.885],[0.597 1.103]
2.9,71.25,238,0.8,0.05,2.79,69.92,0.2512,-1.4078,0.6602,-7.9541,2.6184,0.9571,[4.676 6.543],[1.269 2.   ]
2.9,75,239,0.75,0.05,2.78,73.89,0.2528,-1.1085,0.6755,-7.9637,2.6678,0.7705,[4.305 5.36 ],[1.031 0.483]
2.9,78.75,240,0.7,0.25,2.77,78.05,0.2534,-0.8196,0.6866,-7.9119,2.7123,0.5739,[4.584 4.361],[0.853 0.945]
2.9,82.5,241,0.55,0.35,2.77,81.99,0.2551,-0.5373,0.699,-7.9171,2.7409,0.3858,[4.468 5.243],[0.601 0.911]
2.9,86.25,242,0.7,0.3,2.77,85.98,0.2506,-0.273,0.6914,-7.9349,2.761,0.1941,[4.125 5.754],[1.344 1.037]
2.9,90,243,0.95,0.05,2.78,90.06,0.2515,-0.0005,0.6973,-7.8976,2.7777,-0.0029,[4.871 3.94 ],[0.676 1.1  ]
3,30,244,0.5,0,2.95,25.32,0.2351,-8.913,0.2974,-7.655,1.2609,2.6646,[5.684 4.991],[0.741 0.652]
3,33.75,245,0.8,0,2.95,29.80,0.2316,-7.4361,0.3423,-7.8443,1.4669,2.5614,[5.162 4.408],[0.442 1.839]
3,37.5,246,0.8,0,2.94,33.75,0.2287,-6.4791,0.3756,-7.8736,1.6353,2.4474,[3.439 5.609],[1.881 1.792]
3,41.25,247,1,0,2.94,37.93,0.2294,-5.4869,0.4183,-7.8951,1.8043,2.3154,[4.49  4.552],[0.557 2.294]
3,45,248,1,0,2.92,41.77,0.2346,-4.678,0.4598,-7.9183,1.9428,2.175,[4.678 5.789],[1.588 1.056]
3,48.75,249,0.7,0,2.92,45.85,0.2365,-4.0128,0.4991,-7.9476,2.092,2.0306,[4.16  5.345],[0.905 0.52 ]
3,52.5,250,0.9,0,2.91,50.17,0.2389,-3.4242,0.5383,-7.9494,2.2381,1.8667,[5.253 5.215],[1.117 0.946]
3,56.25,251,0.85,0,2.91,53.98,0.2446,-2.8954,0.5791,-7.9389,2.3497,1.7085,[4.836 3.718],[0.975 2.482]
3,60,252,0.9,0,2.92,58.27,0.2477,-2.4169,0.619,-7.9509,2.4813,1.5343,[4.006 6.909],[1.921 2.095]
3,63.75,253,1,0,2.92,62.37,0.2486,-2.0498,0.6457,-7.9607,2.5876,1.3547,[4.55  5.536],[0.589 1.202]
3,67.5,254,0.95,0,2.89,66.04,0.2505,-1.7216,0.6639,-7.96,2.6404,1.1732,[3.809 5.169],[1.331 1.17 ]
3,71.25,255,0.75,0.05,2.91,70.11,0.2529,-1.3857,0.6937,-7.9533,2.7354,0.9897,[4.286 4.548],[1.007 1.214]
3,75,256,0.75,0.1,2.88,73.93,0.2543,-1.0974,0.7046,-7.9551,2.7663,0.7971,[4.641 5.118],[0.391 0.807]
3,78.75,257,0.65,0.3,2.85,77.92,0.2542,-0.8234,0.7093,-7.9009,2.7902,0.597,[3.296 4.698],[1.978 1.634]
3,82.5,258,0.6,0.25,2.89,82.11,0.2561,-0.5329,0.7335,-7.9008,2.8638,0.397,[4.693 6.265],[0.679 1.502]
3,86.25,259,0.75,0.25,2.86,86.10,0.2547,-0.2691,0.7268,-7.9202,2.8571,0.1947,[2.799 4.955],[2.579 0.478]
3,90,260,0.85,0.05,2.86,90.02,0.2522,0.0001,0.7222,-7.924,2.8631,-0.0009,[5.218 5.881],[0.409 0.937]
3.1,30,261,0.65,0,3.07,25.99,0.2345,-8.6089,0.3181,-7.8168,1.3437,2.7568,[4.058 5.13 ],[1.16  1.374]
3.1,33.75,262,0.9,0,3.05,29.76,0.2319,-7.4441,0.353,-7.8655,1.5131,2.6463,[5.469 4.611],[0.488 2.187]
3.1,37.5,263,0.95,0,3.03,33.99,0.2308,-6.3498,0.3937,-7.8656,1.6964,2.5162,[5.281 5.302],[0.349 0.798]
3.1,41.25,264,0.95,0,3.03,38.00,0.2295,-5.4899,0.4316,-7.9159,1.8637,2.3857,[4.081 4.454],[1.38  2.175]
3.1,45,265,0.9,0,3.04,42.21,0.2371,-4.5229,0.4903,-7.8687,2.0418,2.2508,[3.884 4.724],[1.968 1.854]
3.1,48.75,266,0.85,0,3.04,46.38,0.2414,-3.831,0.5369,-7.9342,2.1972,2.0941,[3.161 3.946],[2.096 1.563]
3.1,52.5,267,0.8,0,3.00,49.63,0.242,-3.4108,0.5586,-7.9503,2.2843,1.942,[4.616 5.563],[0.848 1.97 ]
3.1,56.25,268,0.85,0,3.03,54.35,0.2464,-2.8122,0.6118,-7.9649,2.4601,1.7648,[5.155 6.232],[0.44  2.303]
3.1,60,269,0.85,0.05,2.83,58.25,0.2328,-2.2954,0.599,-7.9589,2.4086,1.4905,[4.751 4.797],[0.615 1.059]
3.1,63.75,270,0.85,0,3.02,62.18,0.2496,-2.0322,0.6703,-7.9607,2.6685,1.4079,[4.623 5.376],[1.    1.442]
3.1,67.5,271,1,0,3.02,66.28,0.2515,-1.685,0.6993,-7.9774,2.7688,1.2165,[4.637 4.88 ],[1.167 2.209]
3.1,71.25,272,1,0,2.99,70.19,0.2513,-1.4005,0.7092,-7.962,2.8172,1.0148,[3.89  4.685],[2.072 0.682]
3.1,75,273,0.85,0.05,3.01,74.27,0.2559,-1.0735,0.7426,-7.9457,2.897,0.8162,[3.833 3.77 ],[1.449 2.376]
3.1,78.75,274,0.45,0.35,2.98,77.98,0.2554,-0.8014,0.746,-7.9412,2.9193,0.6216,[3.43  4.541],[1.572 1.285]
3.1,82.5,275,0.65,0.25,2.99,82.09,0.2538,-0.5355,0.7505,-7.9445,2.9587,0.4109,[5.298 5.022],[0.742 1.946]
3.1,90,276,0.8,0.15,3.00,90.03,0.2567,-0.0009,0.7692,-7.8837,2.996,-0.0017,[4.556 5.35 ],[1.108 1.286]
3.2,30,277,0.6,0,3.14,25.95,0.2352,-8.6664,0.3243,-7.8165,1.3747,2.8251,[3.623 4.207],[1.377 1.715]
3.2,33.75,278,0.95,0,3.15,29.93,0.2315,-7.3925,0.3663,-7.8144,1.5695,2.7258,[4.171 5.651],[1.541 2.933]
3.2,37.5,279,0.95,0,3.14,33.89,0.2305,-6.3203,0.4083,-7.8827,1.7506,2.606,[4.246 5.417],[0.789 0.681]
3.2,41.25,280,0.9,0,3.13,37.95,0.2318,-5.4196,0.4509,-7.9005,1.9237,2.4663,[5.015 3.751],[0.406 2.223]
3.2,45,281,0.95,0,3.12,41.81,0.2326,-4.7034,0.4895,-7.9068,2.082,2.3276,[4.813 5.587],[0.371 0.694]
3.2,48.75,282,0.75,0,3.13,45.84,0.2409,-3.8722,0.5507,-7.9439,2.2466,2.1813,[3.743 5.682],[1.493 1.113]
3.2,52.5,283,0.85,0,3.11,49.90,0.2434,-3.3408,0.5859,-7.939,2.3774,2.0022,[3.515 5.169],[1.656 1.512]
3.2,56.25,284,0.9,0,3.12,54.24,0.2458,-2.8292,0.6281,-7.9456,2.5302,1.8221,[4.437 4.407],[1.349 0.842]
3.2,60,285,1,0,3.12,58.38,0.2486,-2.4012,0.664,-7.9475,2.6531,1.6334,[4.405 5.505],[1.508 1.656]
3.2,63.75,286,1,0,3.12,62.35,0.2495,-2.0252,0.6948,-7.9403,2.7677,1.4498,[4.398 4.345],[0.869 0.673]
3.2,67.5,287,0.9,0,3.11,66.28,0.252,-1.6839,0.7217,-7.9514,2.8515,1.2531,[4.376 5.989],[0.792 1.052]
3.2,71.25,288,0.8,0,3.10,70.11,0.2533,-1.3821,0.7389,-7.9524,2.9108,1.0531,[4.819 5.202],[1.253 1.906]
3.2,75,289,0.85,0.05,3.10,74.10,0.2555,-1.0766,0.762,-7.957,2.979,0.8488,[4.506 5.799],[0.776 1.849]
3.2,78.75,290,0.8,0.2,3.09,78.15,0.2566,-0.7981,0.7762,-7.9448,3.0273,0.635,[4.689 3.985],[0.341 1.205]
3.2,82.5,291,0.65,0.35,3.11,82.17,0.257,-0.521,0.7928,-7.8625,3.0849,0.4245,[3.326 5.324],[1.746 0.508]
3.2,86.25,292,0.8,0.2,3.07,86.04,0.2549,-0.2667,0.7799,-7.8686,3.0619,0.212,[4.659 5.1  ],[1.102 2.496]
3.2,90,293,0.55,0.4,3.11,90.09,0.2587,-0.0044,0.8045,-7.8814,3.1109,-0.005,[2.984 5.412],[2.037 1.198]
3.3,30,294,0.4,0,3.26,25.90,0.2361,-8.6085,0.3384,-7.8269,1.4226,2.9291,[3.859 5.025],[2.198 0.65 ]
3.3,33.75,295,0.95,0,3.25,30.58,0.2321,-7.1825,0.3868,-7.8938,1.6529,2.7971,[3.936 5.913],[1.101 2.032]
3.3,37.5,296,1,0,3.25,34.43,0.2298,-6.2263,0.427,-7.89,1.8397,2.6836,[4.191 4.613],[0.871 1.205]
3.3,41.25,297,0.95,0,3.22,37.93,0.2325,-5.442,0.4627,-7.8919,1.9772,2.5375,[5.354 3.156],[0.542 1.966]
3.3,45,298,0.9,0,3.22,42.43,0.2371,-4.5352,0.5189,-7.9332,2.1712,2.3752,[4.95  4.619],[0.299 0.921]
3.3,48.75,299,1,0,3.24,46.90,0.2412,-3.7732,0.5786,-7.9414,2.3688,2.2169,[5.157 5.335],[0.649 1.272]
3.3,52.5,300,0.9,0,3.24,50.76,0.2447,-3.245,0.6202,-7.9582,2.5079,2.0486,[4.49  5.804],[0.809 1.369]
3.3,56.25,301,1,0,3.25,54.93,0.2464,-2.7598,0.6617,-7.9566,2.6609,1.8677,[4.678 4.911],[1.126 1.01 ]
3.3,60,302,0.7,0.1,3.21,58.05,0.2478,-2.4168,0.6809,-7.97,2.7212,1.6971,[5.354 6.858],[0.761 1.922]
3.3,63.75,303,0.85,0.15,3.23,62.43,0.2489,-2.0245,0.7169,-7.9749,2.8612,1.4938,[5.262 4.683],[0.91 0.39]
3.3,67.5,304,0.95,0,3.21,66.30,0.2533,-1.6744,0.7483,-7.9796,2.9415,1.2911,[4.398 6.032],[1.157 1.705]
3.3,71.25,305,0.75,0.05,3.22,70.23,0.2538,-1.3631,0.7705,-7.9641,3.0258,1.0873,[4.072 2.824],[1.847 2.188]
3.3,75,306,1,0,3.21,74.34,0.2557,-1.0696,0.7914,-7.9622,3.0956,0.8678,[4.95  5.078],[0.89  1.126]
3.3,78.75,307,0.75,0.1,3.20,78.23,0.2554,-0.7987,0.7995,-7.9506,3.1312,0.6527,[4.392 3.769],[1.176 2.11 ]
3.3,82.5,308,0.7,0.3,3.20,82.16,0.2524,-0.5386,0.7994,-7.9546,3.1686,0.4364,[4.175 5.343],[1.511 0.646]
3.3,86.25,309,0.9,0.05,3.19,86.03,0.2544,-0.2644,0.8092,-7.8824,3.1822,0.2209,[4.891 5.918],[0.801 1.575]
3.3,90,310,0.7,0.25,3.17,90.01,0.2556,-0.0009,0.8104,-7.8871,3.1724,-0.0006,[5.177 5.482],[0.585 1.508]
3.4,30,311,0.75,0,3.35,26.27,0.2353,-8.5169,0.3503,-7.8994,1.4808,2.9995,[3.932 3.982],[1.591 1.947]
3.4,33.75,312,0.9,0,3.34,30.46,0.2338,-7.1651,0.4001,-7.887,1.6959,2.8831,[4.398 5.202],[1.235 0.91 ]
3.4,37.5,313,0.9,0,3.33,34.38,0.2293,-6.2761,0.4351,-7.8994,1.8816,2.7502,[4.781 5.745],[0.313 1.175]
3.4,41.25,314,0.95,0,3.32,38.38,0.2262,-5.5392,0.4689,-7.8947,2.0634,2.6056,[5.129 4.916],[0.464 1.608]
3.4,45,315,0.9,0,3.33,42.13,0.2309,-4.6846,0.5203,-7.9206,2.2317,2.4673,[4.793 4.611],[0.786 1.128]
3.4,48.75,316,0.9,0,3.34,46.65,0.2416,-3.7746,0.5955,-7.9608,2.4304,2.2946,[4.64 6.4 ],[1.055 1.557]
3.4,52.5,317,0.8,0.05,3.33,50.50,0.2422,-3.3121,0.6276,-7.957,2.5662,2.1155,[3.03  4.845],[2.424 1.564]
3.4,56.25,318,0.95,0,3.33,54.54,0.2456,-2.7956,0.6739,-7.9721,2.7146,1.9331,[5.409 6.708],[0.518 1.747]
3.4,60,319,1,0,3.31,58.34,0.2484,-2.4052,0.7044,-7.961,2.8164,1.7368,[4.359 5.588],[0.672 2.849]
3.4,63.75,320,0.95,0,3.32,62.43,0.2501,-2.0174,0.7405,-7.9622,2.9428,1.5366,[3.778 2.692],[2.134 2.405]
3.4,67.5,321,0.95,0.05,3.32,66.47,0.2507,-1.6963,0.7649,-7.9583,3.0403,1.3237,[3.589 4.753],[1.921 2.264]
3.4,71.25,322,0.8,0.05,3.30,70.24,0.2527,-1.3809,0.7864,-7.9515,3.1037,1.1151,[5.306 3.51 ],[0.883 2.234]
3.4,75,323,0.8,0.1,3.31,74.19,0.2594,-1.0488,0.8272,-7.9047,3.1834,0.9016,[3.482 4.709],[1.677 0.996]
3.4,78.75,324,0.8,0.2,3.31,78.07,0.2574,-0.7764,0.8354,-7.9632,3.2412,0.6849,[4.112 5.441],[1.286 0.541]
3.4,82.5,325,0.9,0.1,3.30,82.11,0.2563,-0.5239,0.8369,-7.9493,3.265,0.4527,[4.795 5.101],[0.377 1.501]
3.4,86.25,326,0.7,0.3,3.29,86.07,0.2553,-0.2635,0.838,-7.8646,3.2859,0.2255,[4.081 5.482],[1.071 0.729]
3.5,30,327,0.65,0,3.46,26.35,0.2373,-8.3801,0.3676,-7.7782,1.5341,3.0977,[4.275 5.049],[0.904 0.167]
3.5,33.75,328,0.9,0,3.44,30.42,0.2333,-7.2134,0.4086,-7.8111,1.7402,2.9634,[4.69 5.53],[0.736 0.975]
3.5,37.5,329,0.9,0,3.43,34.60,0.2288,-6.2702,0.4483,-7.8663,1.9496,2.8258,[3.647 3.636],[1.442 2.01 ]
3.5,41.25,330,0.95,0,3.25,38.58,0.217,-5.1262,0.4665,-7.9146,2.0257,2.5398,[5.195 4.418],[0.208 0.994]
3.5,45,331,0.95,0,3.43,42.63,0.2368,-4.4756,0.5579,-7.9215,2.3255,2.5259,[3.228 5.155],[2.566 0.848]
3.5,48.75,332,1,0,3.43,46.84,0.239,-3.8582,0.6018,-7.9404,2.5015,2.3457,[3.589 4.764],[1.669 1.721]
3.5,52.5,333,0.85,0.05,3.42,50.62,0.2442,-3.2696,0.6512,-7.9449,2.6399,2.1672,[4.251 5.21 ],[1.211 1.293]
3.5,56.25,334,0.85,0.05,3.44,54.66,0.2464,-2.7759,0.6985,-7.9495,2.8061,1.9895,[3.754 4.179],[1.424 1.569]
3.5,60,335,1,0,3.44,58.66,0.2492,-2.3561,0.7375,-7.9524,2.9345,1.7867,[2.986 4.483],[2.623 0.894]
3.5,63.75,336,1,0,3.44,62.70,0.2518,-1.9792,0.7745,-7.9341,3.0538,1.5764,[4.398 5.11 ],[1.511 0.712]
3.5,67.5,337,1,0,3.42,66.50,0.2544,-1.6595,0.8007,-7.956,3.1354,1.3632,[3.919 4.454],[1.132 0.887]
3.5,71.25,338,0.85,0,3.41,70.31,0.2534,-1.3673,0.8159,-7.9589,3.2122,1.1492,[3.362 3.902],[1.747 1.354]
3.5,75,339,1,0,3.40,74.26,0.2513,-1.0914,0.824,-7.9522,3.2722,0.9225,[3.908 6.973],[1.437 2.131]
3.5,78.75,340,0.9,0.05,3.41,78.20,0.2571,-0.7856,0.8574,-7.9521,3.3335,0.6967,[3.333 5.433],[1.676 1.77 ]
3.5,82.5,341,0.85,0.15,3.39,82.16,0.2556,-0.5275,0.8594,-7.9362,3.3602,0.4628,[4.401 5.083],[0.747 1.463]
3.5,86.25,342,0.9,0.1,3.38,86.11,0.2587,-0.2615,0.8723,-7.9031,3.3745,0.2297,[4.763 4.197],[0.92  1.097]
3.5,90,343,0.8,0.2,3.37,90.02,0.2601,-0.0005,0.8779,-7.8284,3.3738,-0.0011,[4.866 5.934],[0.758 1.133]
