Step,Reward,Episode
104,0.130,4
320,0.139,16
410,0.132,20
1062,0.095,44
1702,0.084,60
1864,0.080,64
2365,0.074,76
2536,0.070,80
2703,0.068,84
3017,0.068,92
3180,0.067,96
3641,0.066,108
3810,0.055,112
4623,0.068,136
5042,0.076,148
5165,0.077,152
5285,0.090,156
5538,0.097,164
6384,0.129,192
6503,0.132,196
6580,0.155,200
6769,0.166,208
6916,0.169,212
7068,0.192,220
7288,0.204,232
7568,0.209,244
7587,0.208,248
7677,0.217,252
7750,0.207,256
7861,0.212,264
7958,0.219,268
8050,0.226,272
8129,0.225,276
8283,0.245,284
8379,0.250,288
8849,0.261,312
9056,0.247,320
9080,0.240,324
9295,0.235,332
9525,0.233,344
9764,0.252,360
9846,0.261,364
10254,0.222,400
10274,0.218,404
10381,0.197,416
10450,0.185,428
10474,0.183,432
10561,0.178,440
10780,0.129,468
10896,0.119,488
10951,0.122,504
10992,0.114,508
11030,0.115,516
11089,0.121,524
11095,0.121,528
11159,0.127,532
11186,0.109,548
11198,0.108,552
11330,0.100,580
11403,0.112,588
11422,0.113,592
11548,0.110,604
11707,0.094,632
11760,0.096,640
11806,0.110,644
11869,0.113,652
11911,0.119,660
12097,0.121,684
12113,0.127,688
12122,0.126,692
12162,0.125,704
12222,0.136,708
12297,0.140,712
12303,0.140,716
12370,0.149,724
12385,0.155,728
12490,0.154,740
12508,0.149,744
12547,0.149,748
12693,0.133,764
12760,0.145,768
12770,0.136,772
12828,0.128,784
12956,0.138,800
12963,0.137,804
12986,0.122,812
13000,0.122,816
13014,0.121,820
13020,0.111,824
13083,0.110,832
13113,0.119,840
13145,0.110,848
13186,0.132,856
13242,0.133,864
13253,0.119,868
13285,0.119,880
13290,0.118,884
13335,0.115,888
13350,0.105,892
13359,0.100,900
13377,0.107,904
13414,0.106,920
13460,0.089,944
13493,0.083,952
13500,0.068,956
13504,0.067,960
13517,0.066,968
13526,0.067,972
13545,0.058,980
13549,0.058,984
13555,0.058,988
13563,0.058,992
13673,0.054,1012
13680,0.054,1016
13689,0.054,1020
