Step,Reward,Episode
103,0.102772496640682,4
351,0.110752128064632,16
408,0.149945944547653,20
1194,0.110176861286163,44
1366,0.10099545866251,48
1874,0.080796368420124,60
2043,0.075746595859528,64
2555,0.06378660351038,76
2724,0.060597274452448,80
2896,0.059712450951338,84
3232,0.059318009763956,92
3403,0.056846428662539,96
3913,0.045003119856119,108
4085,0.044804401695728,112
5103,0.018231580033898,136
5613,0.017910860478878,148
5778,0.019711760804057,152
5944,0.020590670406818,156
6283,0.022267220541835,164
7468,0.018817849457264,192
7639,0.019656550139189,196
7810,0.021341629326344,200
8139,0.022582909092307,208
8307,0.021076960489154,212
8609,0.02617022022605,220
8808,0.062889687716961,232
9065,0.102737583220005,244
9090,0.104358799755573,248
9173,0.116763837635517,252
9241,0.124861441552639,256
9356,0.131833717226982,264
9389,0.14250959455967,268
9436,0.146460130810738,272
9530,0.166997969150543,276
9562,0.179732605814934,284
9650,0.188837677240372,288
9906,0.241236194968224,312
10016,0.2483921200037,320
10071,0.240276128053665,324
10161,0.244705110788345,332
10290,0.224538266658783,344
10454,0.224812626838684,360
10473,0.223997861146927,364
10619,0.22456419467926,384
10752,0.22856892645359,400
10780,0.223709419369698,404
10866,0.224788293242455,416
10982,0.227683797478676,428
11023,0.240471139550209,432
11106,0.243701741099358,440
11239,0.245689228177071,460
11284,0.243509039282799,468
11391,0.226336523890495,488
11445,0.200218990445137,504
11486,0.204804390668869,508
11524,0.202347919344902,516
11596,0.213691040873528,524
11611,0.191331133246422,528
11634,0.177954092621803,532
11703,0.158842399716377,548
11709,0.148822113871574,552
11777,0.127437755465508,576
11781,0.127359375357628,580
11823,0.1231644526124,588
11843,0.114366322755814,592
11928,0.130041405558586,604
12037,0.098186731338501,632
12074,0.107519581913948,640
12090,0.107971608638763,644
12122,0.101950407028198,652
12143,0.101661540567875,660
12230,0.118473187088966,684
12248,0.116353452205658,688
12268,0.115860670804977,692
12295,0.100765243172646,704
12310,0.100663997232914,708
12328,0.091859810054302,712
12346,0.091955408453941,716
12372,0.096679031848908,724
12377,0.096297450363636,728
12420,0.087271593511105,740
12434,0.087158709764481,744
12451,0.087583601474762,748
12518,0.098948881030083,760
12543,0.106095403432846,764
12561,0.106976546347141,768
12596,0.110305443406105,772
12641,0.10955523699522,784
12711,0.101376958191395,800
12715,0.101325482130051,804
12749,0.101076953113079,812
12756,0.100626602768898,816
12763,0.100623317062855,820
12771,0.095711350440979,824
12799,0.096726886928082,832
12815,0.095604486763477,840
12850,0.096086226403713,848
12883,0.084737487137318,856
12930,0.085754983127117,864
12953,0.085712127387524,868
13033,0.091565750539303,876
13047,0.09185217320919,880
13060,0.085319228470326,884
13093,0.086653687059879,888
13117,0.087225638329983,892
13175,0.100056059658527,900
13208,0.116437308490276,904
13300,0.128963142633438,920
13410,0.155635476112366,944
13468,0.158381745219231,952
13474,0.158205613493919,956
13501,0.166845425963402,960
13517,0.15913437306881,968
13531,0.151956111192703,972
13571,0.150564581155777,980
13588,0.155045002698898,984
13597,0.153487920761108,988
13604,0.152689352631569,992
13749,0.154557421803474,1012
13782,0.167068511247635,1016
13807,0.166798397898674,1020
13880,0.176078096032143,1032
13898,0.158377751708031,1036
13924,0.160488054156303,1040
13962,0.156026884913445,1044
14011,0.159060135483742,1052
14202,0.156621426343918,1084
14235,0.166319236159325,1088
14335,0.1469746530056,1100
14399,0.145066812634468,1108
14439,0.132443204522133,1116
14491,0.135428190231323,1124
14545,0.131261900067329,1132
14582,0.132250994443893,1136
14648,0.137162774801254,1144
14708,0.132135361433029,1152
14744,0.137374773621559,1156
14820,0.135940343141556,1164
15049,0.175288990139961,1184
15117,0.170464277267456,1188
15160,0.172962844371796,1192
15192,0.173289850354195,1196
15518,0.189858362078667,1228
15606,0.208920329809189,1236
15652,0.209420725703239,1240
15832,0.2177964001894,1252
15873,0.224299773573875,1256
15993,0.217963293194771,1268
16089,0.226515740156174,1276
16129,0.212653234601021,1280
16266,0.195152804255486,1292
16349,0.20699605345726,1300
16747,0.198729708790779,1320
16808,0.215837076306343,1324
16848,0.22409026324749,1328
16899,0.22199222445488,1332
17117,0.242058664560318,1352
17162,0.23786324262619,1356
17314,0.250378996133804,1364
17450,0.252370595932007,1376
17493,0.253529816865921,1380
17551,0.262641996145248,1384
17595,0.261990308761597,1388
17695,0.293728172779083,1396
17818,0.30847156047821,1404
17923,0.327720761299133,1412
17975,0.330068200826645,1416
18020,0.336447209119797,1420
18230,0.35631063580513,1436
18324,0.350152224302292,1444
18425,0.360088676214218,1452
18480,0.366297721862793,1456
18544,0.376143425703049,1460
18585,0.383191883563995,1464
18634,0.378210961818695,1468
18696,0.401495903730392,1472
18759,0.415466636419296,1476
19071,0.42918211221695,1500
19204,0.42521071434021,1512
19261,0.425129026174545,1516
19707,0.463664144277573,1548
19917,0.457777827978134,1564
19965,0.458133816719055,1568
20015,0.448347300291061,1572
20060,0.443733155727387,1576
20078,0.436378657817841,1580
20122,0.435931444168091,1584
20230,0.421924769878387,1592
20277,0.412309229373932,1596
20338,0.409854173660278,1600
20445,0.417738139629364,1608
20491,0.429769098758698,1612
20593,0.427835583686829,1620
20818,0.431154310703278,1636
20857,0.417997807264328,1640
21015,0.404779493808746,1652
21070,0.408529877662659,1656
21130,0.400616526603699,1660
21192,0.399117946624756,1664
21369,0.398514062166214,1676
21537,0.415836244821548,1688
21593,0.432633280754089,1692
21767,0.454992949962616,1704
