vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
2.0,0.0,8,0.0,8.16,1.06,0.08,0.0,9.396041666666667,0.0,-1.0607916666666666,-6.556427641411811,0.11266666666667409,[0. 0.],[0. 0.],[4.17 1.  ],[1.5 1.5]
2.0,0.25,8,,4.86,3.59,0.0,0.01,5.428791666666666,-0.6124166666666667,-3.591958333333333,-1.9983400250311896,0.21958333333334915,[0. 0.],[0. 0.],[5.58 3.64],[1.5 1.5]
2.0,0.25,9,0.4285714328289032,4.46,11.05,0.0,0.02,4.825166666666667,-0.543625,-11.05325,-80.60043531996729,0.19791666666666607,[0. 0.],[0. 0.],[3.24 5.54],[1.5 1.5]
2.0,0.75,8,,4.58,8.96,0.01,0.12,5.0248333333333335,-1.70425,-8.990416666666667,-2.8002661526984585,0.18041666666666126,[0. 0.],[0. 0.],[4.92 5.29],[1.5 1.5]
2.0,1.0,7,0.6363636255264282,4.98,5.25,0.01,1.36,5.4310833333333335,-2.4487916666666667,-5.176083333333334,-109.38813152244082,0.19183333333333982,[0. 0.],[0. 0.],[3.73 4.97],[1.5 1.5]
2.0,1.0,9,0.5,5.23,10.03,0.01,0.0,5.68575,-2.564083333333333,-10.028041666666665,-110.29352884167174,0.1649166666666666,[0. 0.],[0. 0.],[1.12 3.93],[1.5 1.5]
2.0,1.25,7,,5.94,7.34,0.0,0.01,6.693041666666666,-3.779958333333333,-7.344041666666667,-1.6923230081663683,0.14066666666667516,[0. 0.],[0. 0.],[6.43 3.15],[1.5 1.5]
2.0,1.5,8,,5.15,3.47,0.01,0.02,5.670041666666667,-3.845708333333333,-3.4695416666666667,-1.6822787289994148,0.21224999999999503,[0. 0.],[0. 0.],[6.51 3.39],[1.5 1.5]
2.0,1.75,7,0.6666666865348816,5.01,5.85,0.07,0.0,5.493458333333333,-4.335624999999999,-5.854,-121.91151429211175,0.18558333333333246,[0. 0.],[0. 0.],[6.42 6.97],[1.5 1.5]
2.0,1.75,8,,6.89,1.0,0.09,0.0,7.961541666666666,-6.294458333333334,-0.9970833333333333,-0.45882796307260243,0.1562499999999858,[0. 0.],[0. 0.],[6.15 1.41],[1.5 1.5]
2.0,1.75,9,,4.33,4.11,0.0,0.0,4.663208333333333,-3.6914166666666666,-4.107500000000001,-3.093216145068304,0.26016666666668203,[0. 0.],[0. 0.],[4.04 1.8 ],[1.5 1.5]
2.25,0.0,7,0.4545454680919647,4.76,3.11,0.01,0.0,5.184333333333334,0.0010833333333333335,-3.112458333333333,-112.52037817858263,0.24058333333332863,[0. 0.],[0. 0.],[4.04 4.97],[1.5 1.5]
2.25,0.0,8,0.4583333432674408,4.39,4.6,0.01,0.0,4.910916666666666,0.00125,-4.5966249999999995,-117.91626548976406,0.23416666666666566,[0. 0.],[0. 0.],[2.56 4.06],[1.5 1.5]
2.25,0.0,9,,4.7,3.51,0.0,0.02,5.13625,-0.006083333333333334,-3.510125,-1.6169315355794647,0.2414166666666707,[0. 0.],[0. 0.],[3.54 4.66],[1.5 1.5]
2.25,0.5,8,,4.35,7.35,0.01,0.0,4.7143749999999995,-0.9617916666666666,-7.34825,-3.031185430628304,0.19691666666665716,[0. 0.],[0. 0.],[2.04 6.15],[1.5 1.5]
2.25,0.75,7,,4.77,6.72,0.0,0.03,5.190541666666667,-1.5847499999999999,-6.707458333333332,-2.6769551535409435,0.18574999999999994,[0. 0.],[0. 0.],[2.87 6.74],[1.5 1.5]
2.25,0.75,9,0.5555555820465088,4.88,4.27,0.0,0.09,5.336208333333334,-1.6207083333333332,-4.221166666666666,-112.36877202877274,0.20549999999999888,[0. 0.],[0. 0.],[1.53 1.65],[1.5 1.5]
2.25,1.25,7,,4.31,7.37,0.03,0.0,4.8095,-2.4479583333333337,-7.369458333333334,-3.3734848524525183,0.19066666666666285,[0. 0.],[0. 0.],[3.07 6.01],[1.5 1.5]
2.25,1.25,9,,6.25,7.88,0.0,0.07,7.034,-3.574791666666666,-7.9046666666666665,-2.108810691880764,0.12775000000000128,[0. 0.],[0. 0.],[1.52 2.76],[1.5 1.5]
