1,30,0
1,30,1
1,30,2
1,30,3
1,40,0
1,40,1
1,40,2
1,40,3
1,50,0
1,50,1
1,50,2
1,50,3
1,60,0
1,60,1
1,60,2
1,60,3
1,70,0
1,70,1
1,70,2
1,70,3
1,80,0
1,80,1
1,80,2
1,80,3
1.25,30,0
1.25,30,1
1.25,30,2
1.25,30,3
1.25,40,0
1.25,40,1
1.25,40,2
1.25,40,3
1.25,50,0
1.25,50,1
1.25,50,2
1.25,50,3
1.25,60,0
1.25,60,1
1.25,60,2
1.25,60,3
1.25,70,0
1.25,70,1
1.25,70,2
1.25,70,3
1.25,80,0
1.25,80,1
1.25,80,2
1.25,80,3
1.5,30,0
1.5,30,1
1.5,30,2
1.5,30,3
1.5,40,0
1.5,40,1
1.5,40,2
1.5,40,3
1.5,50,0
1.5,50,1
1.5,50,2
1.5,50,3
1.5,60,0
1.5,60,1
1.5,60,2
1.5,60,3
1.5,70,0
1.5,70,1
1.5,70,2
1.5,70,3
1.5,80,0
1.5,80,1
1.5,80,2
1.5,80,3
1.75,30,0
1.75,30,1
1.75,30,2
1.75,30,3
1.75,40,0
1.75,40,1
1.75,40,2
1.75,40,3
1.75,50,0
1.75,50,1
1.75,50,2
1.75,50,3
1.75,60,0
1.75,60,1
1.75,60,2
1.75,60,3
1.75,70,0
1.75,70,1
1.75,70,2
1.75,70,3
1.75,80,0
1.75,80,1
1.75,80,2
1.75,80,3
2,30,0
2,30,1
2,30,2
2,30,3
2,40,0
2,40,1
2,40,2
2,40,3
2,50,0
2,50,1
2,50,2
2,50,3
2,60,0
2,60,1
2,60,2
2,60,3
2,70,0
2,70,1
2,70,2
2,70,3
2,80,0
2,80,1
2,80,2
2,80,3
2.25,30,0
2.25,30,1
2.25,30,2
2.25,30,3
2.25,40,0
2.25,40,1
2.25,40,2
2.25,40,3
2.25,50,0
2.25,50,1
2.25,50,2
2.25,50,3
2.25,60,0
2.25,60,1
2.25,60,2
2.25,60,3
2.25,70,0
2.25,70,1
2.25,70,2
2.25,70,3
2.25,80,0
2.25,80,1
2.25,80,2
2.25,80,3
2.5,30,0
2.5,30,1
2.5,30,2
2.5,30,3
2.5,40,0
2.5,40,1
2.5,40,2
2.5,40,3
2.5,50,0
2.5,50,1
2.5,50,2
2.5,50,3
2.5,60,0
2.5,60,1
2.5,60,2
2.5,60,3
2.5,70,0
2.5,70,1
2.5,70,2
2.5,70,3
2.5,80,0
2.5,80,1
2.5,80,2
2.5,80,3
2.75,30,0
2.75,30,1
2.75,30,2
2.75,30,3
2.75,40,0
2.75,40,1
2.75,40,2
2.75,40,3
2.75,50,0
2.75,50,1
2.75,50,2
2.75,50,3
2.75,60,0
2.75,60,1
2.75,60,2
2.75,60,3
2.75,70,0
2.75,70,1
2.75,70,2
2.75,70,3
2.75,80,0
2.75,80,1
2.75,80,2
2.75,80,3
3,30,0
3,30,1
3,30,2
3,30,3
3,40,0
3,40,1
3,40,2
3,40,3
3,50,0
3,50,1
3,50,2
3,50,3
3,60,0
3,60,1
3,60,2
3,60,3
3,70,0
3,70,1
3,70,2
3,70,3
3,80,0
3,80,1
3,80,2
3,80,3
3.25,30,0
3.25,30,1
3.25,30,2
3.25,30,3
3.25,40,0
3.25,40,1
3.25,40,2
3.25,40,3
3.25,50,0
3.25,50,1
3.25,50,2
3.25,50,3
3.25,60,0
3.25,60,1
3.25,60,2
3.25,60,3
3.25,70,0
3.25,70,1
3.25,70,2
3.25,70,3
3.25,80,0
3.25,80,1
3.25,80,2
3.25,80,3
3.5,30,0
3.5,30,1
3.5,30,2
3.5,30,3
3.5,40,0
3.5,40,1
3.5,40,2
3.5,40,3
3.5,50,0
3.5,50,1
3.5,50,2
3.5,50,3
3.5,60,0
3.5,60,1
3.5,60,2
3.5,60,3
3.5,70,0
3.5,70,1
3.5,70,2
3.5,70,3
3.5,80,0
3.5,80,1
3.5,80,2
3.5,80,3
3.75,30,0
3.75,30,1
3.75,30,2
3.75,30,3
3.75,40,0
3.75,40,1
3.75,40,2
3.75,40,3
3.75,50,0
3.75,50,1
3.75,50,2
3.75,50,3
3.75,60,0
3.75,60,1
3.75,60,2
3.75,60,3
3.75,70,0
3.75,70,1
3.75,70,2
3.75,70,3
3.75,80,0
3.75,80,1
3.75,80,2
3.75,80,3
4,30,0
4,30,1
4,30,2
4,30,3
4,40,0
4,40,1
4,40,2
4,40,3
4,50,0
4,50,1
4,50,2
4,50,3
4,60,0
4,60,1
4,60,2
4,60,3
4,70,0
4,70,1
4,70,2
4,70,3
4,80,0
4,80,1
4,80,2
4,80,3
4.25,30,0
4.25,30,1
4.25,30,2
4.25,30,3
4.25,40,0
4.25,40,1
4.25,40,2
4.25,40,3
4.25,50,0
4.25,50,1
4.25,50,2
4.25,50,3
4.25,60,0
4.25,60,1
4.25,60,2
4.25,60,3
4.25,70,0
4.25,70,1
4.25,70,2
4.25,70,3
4.25,80,0
4.25,80,1
4.25,80,2
4.25,80,3
4.5,30,0
4.5,30,1
4.5,30,2
4.5,30,3
4.5,40,0
4.5,40,1
4.5,40,2
4.5,40,3
4.5,50,0
4.5,50,1
4.5,50,2
4.5,50,3
4.5,60,0
4.5,60,1
4.5,60,2
4.5,60,3
4.5,70,0
4.5,70,1
4.5,70,2
4.5,70,3
4.5,80,0
4.5,80,1
4.5,80,2
4.5,80,3
4.75,30,0
4.75,30,1
4.75,30,2
4.75,30,3
4.75,40,0
4.75,40,1
4.75,40,2
4.75,40,3
4.75,50,0
4.75,50,1
4.75,50,2
4.75,50,3
4.75,60,0
4.75,60,1
4.75,60,2
4.75,60,3
4.75,70,0
4.75,70,1
4.75,70,2
4.75,70,3
4.75,80,0
4.75,80,1
4.75,80,2
4.75,80,3
5,30,0
5,30,1
5,30,2
5,30,3
5,40,0
5,40,1
5,40,2
5,40,3
5,50,0
5,50,1
5,50,2
5,50,3
5,60,0
5,60,1
5,60,2
5,60,3
5,70,0
5,70,1
5,70,2
5,70,3
5,80,0
5,80,1
5,80,2
5,80,3
