vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std,contact_arr
1.5,60.0,3,0.75,1.3,[4.   4.36],[2. 2.],5.22,0.0,5.56,0.0,0.46875,0.0,5.297526315789473,0.03452743900611995,-3.014263157894737,0.01858364336060114,1.8556842105263158,0.0017786047630227334,1.294,0.0,0.6303684210526316,0.05149472177991775,0.5849473684210527,0.3359961581365901,0.4045263157894737,0.04016330928524668,0.13921052631578948,0.02924952351814951,126.15464300360274,41.00414322585247,0.25221052631579105,0.06417540022827391,[0 4 0 0 4 0 4 4 4 0 4 0 4 4 0 4 0 0 0 0 4 4 0 0 0 4 0 4 4 0 0 4]
2.5,29.9,0,2.17,1.25,[3.66 6.24],[2. 2.],4.64,0.0,9.49,0.01,0.90625,0.0625,4.797255813953488,0.06087428640458718,-8.265674418604652,0.1023904339940954,1.8329534883720933,0.0032274512110382664,1.2449999999999999,2.220446049250313e-16,4.217511627906976,0.4294638827759301,8.952046511627907,1.6701225822367451,1.37393023255814,0.6641231111476328,0.48313953488372097,0.298015574854063,111.52885583937845,33.606852625843,-0.3552325581395582,1.091205176222325,[4 4 4 4 4 4 4 4 4 4 1 4 2 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4 4 4 4]
3.5,45.0,2,2.47,2.47,[5.85 4.01],[2. 2.],4.86,0.0,6.04,0.0,1.0,0.0,4.9628958333333335,0.06164726257214419,-4.936458333333333,0.06342546752335018,1.6022083333333335,0.006137176105959117,2.47,0.0,6.137770833333334,0.7490410602781659,13.879479166666664,1.4691215769633585,1.1756666666666666,1.038687399504244,0.6567291666666667,0.6951402358392433,141.1847145108936,35.34318937491685,-1.0232916666666345,1.3992221791399735,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
3.5,30.0,2,3.03,1.75,[3.06 3.19],[2. 2.],5.73,0.02,2.7,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
