V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,21,--,0,False,False,False,--,2.102,-93.496,2.499,59.948,0.0,0.0,0.211,0.311,1.861,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.406 0.862 0.557 1.   ]
2.5,60,0,22,--,0,False,False,False,--,2.193,-93.904,2.5,59.961,0.0,0.0,0.211,0.311,1.861,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.406 0.859 0.564 1.   ]
2.5,60,0,23,--,0,False,False,False,--,0.579,-82.169,2.501,59.979,0.0,0.0,0.219,0.319,1.81,0.691,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.428 0.832 0.629 1.   ]
2.5,60,0,24,--,0,False,False,False,--,1.096,-83.451,2.501,59.97,0.0,0.0,0.217,0.317,1.825,0.686,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.405 0.886 0.499 1.   ]
2.5,60,0,25,--,0,False,False,False,--,0.954,-84.501,2.5,59.958,0.0,0.0,0.218,0.318,1.819,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.409 0.872 0.532 1.   ]
2.5,60,0,26,--,0,False,False,False,--,2.029,-93.669,2.502,60.001,0.0,0.0,0.212,0.312,1.852,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.407 0.857 0.571 1.   ]
2.5,60,0,27,--,0,False,False,False,--,1.686,-90.998,2.502,59.998,0.0,0.0,0.214,0.314,1.84,0.68,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,--,0,[1.    0.869 0.399 0.885 0.5   1.   ]
2.5,60,0,28,--,0,False,False,False,--,1.611,-91.458,2.497,59.923,0.0,0.0,0.216,0.316,1.833,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.402 0.876 0.523 1.   ]
2.5,60,0,29,--,0,False,False,False,--,1.968,-94.96,2.499,59.952,0.0,0.0,0.213,0.313,1.848,0.677,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,--,0,[1.    0.878 0.409 0.85  0.586 1.   ]
2.5,60,0,30,--,0,False,False,False,--,1.237,-88.868,2.5,59.965,0.0,0.0,0.217,0.317,1.824,0.686,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.42  0.833 0.626 1.   ]
2.5,60,0,31,--,0,False,False,False,--,0.737,-80.509,2.498,60.013,0.0,0.0,0.218,0.318,1.817,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.398 0.91  0.493 1.   ]
2.5,60,0,32,--,0,False,False,False,--,1.735,-92.455,2.5,59.971,0.0,0.0,0.214,0.314,1.839,0.68,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.383 0.923 0.489 1.   ]
2.5,60,0,33,--,0,False,False,False,--,2.135,-93.541,2.5,59.969,0.0,0.0,0.21,0.31,1.862,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.385 0.916 0.491 1.   ]
2.5,60,0,34,--,0,False,False,False,--,1.495,-90.944,2.499,59.949,0.0,0.0,0.216,0.316,1.831,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.401 0.879 0.514 1.   ]
2.5,60,0,35,--,0,False,False,False,--,1.018,-83.535,2.499,59.97,0.0,0.0,0.217,0.317,1.823,0.686,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.407 0.881 0.509 1.   ]
2.5,60,0,36,--,0,False,False,False,--,0.519,-71.822,2.501,59.984,0.0,0.0,0.219,0.319,1.809,0.692,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.423 0.877 0.52  1.   ]
2.5,60,0,37,--,0,False,False,False,--,1.816,-94.824,2.487,59.841,0.0,0.0,0.215,0.315,1.842,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.386 0.912 0.492 1.   ]
2.5,60,0,38,--,0,False,False,False,--,2.118,-94.34,2.491,59.95,0.0,0.0,0.211,0.311,1.859,0.671,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.383 0.918 0.49  0.5  ]
2.5,60,0,39,--,0,False,False,False,--,1.167,-84.15,2.494,60.057,0.0,0.0,0.216,0.316,1.822,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.405 0.883 0.505 1.   ]
2.5,60,0,40,--,0,False,False,False,--,1.988,-93.712,2.501,59.968,0.0,0.0,0.209,0.309,1.869,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.383 0.92  0.49  0.5  ]
2.5,60,0,41,--,0,False,False,False,--,2.038,-93.398,2.496,60.02,0.0,0.0,0.211,0.311,1.857,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.381 0.922 0.489 1.   ]
2.5,60,0,42,--,0,False,False,False,--,0.645,-76.867,2.502,59.986,0.0,0.0,0.219,0.319,1.812,0.691,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.412 0.887 0.499 1.   ]
2.5,60,0,43,--,0,False,False,False,--,1.717,-92.433,2.502,59.982,0.0,0.0,0.215,0.315,1.837,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.402 0.873 0.53  1.   ]
2.5,60,0,44,--,0,False,False,False,--,1.143,-84.788,2.499,60.019,0.0,0.0,0.216,0.316,1.825,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.386 0.928 0.487 1.   ]
2.5,60,0,45,--,0,False,False,False,--,1.717,-91.811,2.499,60.001,0.0,0.0,0.213,0.313,1.842,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.401 0.878 0.516 1.   ]
2.5,60,0,46,--,0,False,False,False,--,2.032,-94.248,2.502,60.002,0.0,0.0,0.21,0.31,1.86,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.383 0.918 0.491 1.   ]
2.5,60,0,47,--,0,False,False,False,--,1.928,-94.325,2.5,59.969,0.0,0.0,0.213,0.313,1.845,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.407 0.855 0.574 1.   ]
2.5,60,0,48,--,0,False,False,False,--,1.649,-88.877,2.5,59.958,0.0,0.0,0.215,0.315,1.837,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.395 0.901 0.496 1.   ]
2.5,60,0,49,--,0,False,False,False,--,0.603,-67.691,2.499,59.943,0.0,0.0,0.219,0.319,1.814,0.69,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.433 0.871 0.534 1.   ]
2.5,60,0,50,--,0,False,False,False,--,0.84,-81.84,2.501,59.974,0.0,0.0,0.218,0.318,1.817,0.689,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.425 0.839 0.611 1.   ]
2.5,60,0,51,--,0,False,False,False,--,1.801,-94.112,2.5,59.955,0.0,0.0,0.214,0.314,1.843,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.407 0.858 0.567 1.   ]
2.5,60,0,52,--,0,False,False,False,--,0.559,-83.281,2.501,59.969,0.0,0.0,0.219,0.319,1.814,0.69,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.428 0.825 0.644 1.   ]
2.5,60,0,53,--,0,False,False,False,--,1.379,-90.547,2.5,59.983,0.0,0.0,0.216,0.316,1.83,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.398 0.888 0.499 1.   ]
2.5,60,0,54,--,0,False,False,False,--,1.275,-89.521,2.499,60.025,0.0,0.0,0.216,0.316,1.828,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.42  0.833 0.626 1.   ]
2.5,60,0,55,--,0,False,False,False,--,1.96,-93.925,2.499,59.94,0.0,0.0,0.212,0.312,1.853,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.383 0.919 0.49  1.   ]
2.5,60,0,56,--,0,False,False,False,--,1.198,-87.172,2.5,59.973,0.0,0.0,0.216,0.316,1.827,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.391 0.912 0.492 1.   ]
2.5,60,0,57,--,0,False,False,False,--,0.655,-67.099,2.499,59.954,0.0,0.0,0.219,0.319,1.815,0.689,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.431 0.879 0.515 1.   ]
2.5,60,0,58,--,0,False,False,False,--,1.471,-92.791,2.505,60.031,0.0,0.0,0.215,0.315,1.832,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.403 0.871 0.535 1.   ]
2.5,60,0,59,--,0,False,False,False,--,2.189,-94.434,2.502,59.996,0.0,0.0,0.209,0.308,1.873,0.668,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.407 0.856 0.573 0.5  ]
