V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,NN_Output_trg,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,18,--,4,False,True,False,--,[ 0.712 -0.699  0.095  0.135],0.621,-80.79,2.5,59.968,2.5,59.968,0.218,0.318,1.82,0.471,--,-109.533,109.533,-17.178,0.506,1.557,364.312,199.482,0.188,304.844,--,0.744,[1.    0.835 0.401 0.902 0.495 1.   ]
2.5,60,0,19,--,4,False,True,False,--,[ 0.946 -0.855  0.088  0.086],0.922,-93.634,2.502,59.939,2.502,59.939,0.214,0.314,1.843,0.464,--,-105.732,105.732,-18.16,0.503,1.861,408.166,231.198,0.223,336.373,--,0.745,[1.    0.869 0.383 0.921 0.49  1.   ]
2.5,60,0,20,--,4,True,True,False,--,[ 0.975 -0.882  0.084  0.06 ],0.977,-93.995,2.5,59.974,2.5,59.974,0.209,0.309,1.872,0.452,--,-106.072,106.072,-18.226,0.496,1.866,397.018,238.597,0.24,317.325,--,0.606,[1.    0.914 0.383 0.919 0.49  0.5  ]
2.5,60,0,21,--,4,False,True,False,--,[ 0.807 -0.748  0.093  0.121],0.783,-88.811,2.5,59.978,2.5,59.978,0.217,0.317,1.825,0.469,--,-109.664,109.664,-17.733,0.475,1.728,402.95,229.895,0.222,330.933,--,0.744,[1.    0.844 0.395 0.901 0.495 1.   ]
2.5,60,0,22,--,4,True,True,False,--,[ 0.98  -0.888  0.083  0.053],0.979,-94.259,2.502,59.951,2.502,59.951,0.207,0.307,1.883,0.449,--,-106.521,106.521,-18.289,0.491,1.866,397.468,239.925,0.232,316.885,--,0.607,[1.    0.932 0.384 0.917 0.491 0.5  ]
2.5,60,0,23,--,4,False,True,False,--,[ 0.968 -0.875  0.085  0.067],0.967,-94.241,2.501,59.978,2.501,59.978,0.21,0.31,1.862,0.456,--,-107.556,107.556,-18.352,0.479,1.856,401.917,234.358,0.231,326.518,--,0.748,[1.    0.905 0.386 0.912 0.492 1.   ]
2.5,60,0,24,--,4,False,True,False,--,[ 0.803 -0.745  0.093  0.121],0.778,-80.497,2.502,59.942,2.502,59.942,0.217,0.317,1.826,0.47,--,-108.841,108.841,-16.812,0.517,1.556,376.088,216.385,0.209,307.602,--,0.745,[1.    0.844 0.401 0.905 0.494 1.   ]
2.5,60,0,25,--,4,False,True,False,--,[ 0.924 -0.832  0.09   0.094],0.925,-89.94,2.501,59.94,2.501,59.94,0.215,0.315,1.838,0.465,--,-111.264,111.264,-17.974,0.455,1.735,403.905,231.051,0.223,331.292,--,0.745,[1.    0.861 0.397 0.893 0.498 1.   ]
2.5,60,0,26,--,4,True,True,False,--,[ 0.977 -0.884  0.084  0.057],0.982,-94.353,2.501,59.963,2.501,59.963,0.208,0.308,1.876,0.451,--,-106.615,106.615,-18.308,0.489,1.867,398.669,238.97,0.224,319.109,--,0.606,[1.    0.923 0.384 0.916 0.491 0.5  ]
2.5,60,0,27,--,4,False,True,False,--,[ 0.865 -0.784  0.092  0.109],0.869,-86.783,2.501,59.934,2.501,59.934,0.216,0.316,1.831,0.468,--,-108.055,108.055,-17.665,0.5,1.703,385.534,217.922,0.206,318.035,--,0.745,[1.    0.852 0.393 0.909 0.493 1.   ]
2.5,60,0,28,--,4,True,True,False,--,[ 0.967 -0.874  0.085  0.068],0.968,-94.052,2.5,59.974,2.5,59.974,0.211,0.311,1.86,0.456,--,-106.253,106.253,-18.247,0.494,1.864,400.402,236.982,0.218,322.741,--,0.604,[1.    0.896 0.384 0.918 0.49  0.5  ]
2.5,60,0,29,--,4,False,True,False,--,[ 0.919 -0.827  0.09   0.095],0.929,-91.405,2.501,59.933,2.501,59.933,0.215,0.315,1.837,0.466,--,-102.903,102.903,-17.699,0.541,1.843,404.328,231.31,0.226,331.628,--,0.745,[1.    0.861 0.378 0.933 0.485 1.   ]
2.5,60,0,30,--,4,False,True,False,--,[ 0.621 -0.659  0.096  0.147],0.528,-83.011,2.502,59.966,2.502,59.966,0.218,0.318,1.816,0.473,--,-112.757,112.757,-17.381,0.467,1.572,382.858,211.771,0.198,318.957,--,0.744,[1.    0.835 0.406 0.884 0.5   1.   ]
2.5,60,0,31,--,4,False,True,False,--,[ 0.855 -0.777  0.092  0.111],0.866,-87.331,2.5,59.922,2.5,59.922,0.216,0.316,1.83,0.468,--,-107.808,107.808,-17.723,0.501,1.716,386.333,217.783,0.201,319.098,--,0.745,[1.    0.852 0.392 0.911 0.493 1.   ]
2.5,60,0,32,--,4,False,True,False,--,[ 0.775 -0.73   0.094  0.126],0.807,-86.837,2.5,59.945,2.5,59.945,0.217,0.317,1.824,0.47,--,-108.111,108.111,-17.676,0.498,1.704,386.432,216.718,0.199,319.942,--,0.744,[1.    0.844 0.393 0.909 0.493 1.   ]
2.5,60,0,33,--,4,False,True,False,--,[ 0.843 -0.77   0.092  0.114],0.819,-89.959,2.501,59.997,2.501,59.997,0.216,0.316,1.827,0.468,--,-111.246,111.246,-17.978,0.454,1.736,404.044,230.95,0.219,331.532,--,0.744,[1.    0.852 0.397 0.893 0.498 1.   ]
2.5,60,0,34,--,4,False,True,False,--,[ 0.703 -0.695  0.095  0.136],0.734,-86.113,2.501,59.938,2.501,59.938,0.218,0.318,1.82,0.472,--,-106.168,106.168,-17.467,0.523,1.708,386.632,214.368,0.203,321.761,--,0.744,[1.    0.835 0.389 0.919 0.49  1.   ]
2.5,60,0,35,--,4,False,True,False,--,[ 0.451 -0.593  0.098  0.165],0.529,-77.507,2.501,59.957,2.501,59.957,0.219,0.319,1.811,0.475,--,-113.128,113.128,-16.874,0.484,1.441,358.24,196.637,0.189,299.45,--,0.746,[1.    0.827 0.413 0.882 0.506 1.   ]
2.5,60,0,36,--,4,False,True,False,--,[ 0.583 -0.643  0.097  0.151],0.578,-83.094,2.501,59.958,2.501,59.958,0.219,0.319,1.815,0.473,--,-111.785,111.785,-17.343,0.475,1.585,381.711,212.311,0.206,317.218,--,0.743,[1.    0.827 0.404 0.89  0.499 1.   ]
2.5,60,0,37,--,4,False,True,False,--,[ 0.593 -0.648  0.097  0.15 ],0.635,-83.449,2.501,59.944,2.501,59.944,0.219,0.319,1.816,0.474,--,-113.315,113.315,-17.467,0.468,1.587,382.85,213.59,0.204,317.732,--,0.746,[1.    0.827 0.408 0.881 0.508 1.   ]
2.5,60,0,38,--,4,False,True,False,--,[ 0.886 -0.799  0.091  0.105],0.865,-90.773,2.501,59.979,2.501,59.979,0.216,0.315,1.832,0.467,--,-112.386,112.386,-18.151,0.429,1.73,403.9,230.599,0.225,331.601,--,0.744,[1.    0.852 0.398 0.886 0.499 1.   ]
2.5,60,0,39,--,4,False,True,False,--,[ 0.878 -0.793  0.091  0.106],0.849,-91.734,2.502,59.941,2.502,59.941,0.216,0.316,1.832,0.468,--,-114.745,114.745,-18.402,0.412,1.736,406.338,230.011,0.224,334.971,--,0.752,[1.    0.852 0.403 0.873 0.53  1.   ]
2.5,60,0,40,--,4,False,True,False,--,[ 0.971 -0.877  0.085  0.064],0.972,-93.939,2.501,59.972,2.501,59.972,0.21,0.31,1.865,0.455,--,-106.156,106.156,-18.229,0.496,1.862,400.983,235.477,0.232,324.558,--,0.748,[1.    0.905 0.384 0.919 0.49  1.   ]
2.5,60,0,41,--,4,False,True,False,--,[ 0.918 -0.826  0.09   0.096],0.898,-89.058,2.501,59.939,2.501,59.939,0.215,0.315,1.837,0.466,--,-111.065,111.065,-17.837,0.461,1.717,400.996,231.83,0.228,327.188,--,0.745,[1.    0.861 0.397 0.894 0.498 1.   ]
2.5,60,0,42,--,4,False,True,False,--,[ 0.61  -0.655  0.096  0.148],0.703,-83.24,2.501,59.969,2.501,59.969,0.218,0.318,1.816,0.473,--,-111.991,111.991,-17.374,0.472,1.587,382.05,214.389,0.199,316.227,--,0.744,[1.    0.835 0.404 0.889 0.499 1.   ]
2.5,60,0,43,--,4,False,True,False,--,[ 0.717 -0.702  0.095  0.134],0.701,-90.743,2.501,59.981,2.501,59.981,0.218,0.317,1.82,0.471,--,-112.309,112.309,-18.141,0.44,1.741,407.381,227.801,0.219,337.736,--,0.743,[1.    0.835 0.399 0.887 0.499 1.   ]
2.5,60,0,44,--,4,False,True,False,--,[ 0.58  -0.642  0.097  0.151],0.561,-76.206,2.501,59.944,2.501,59.944,0.219,0.319,1.815,0.474,--,-111.871,111.871,-16.608,0.503,1.423,355.25,197.92,0.193,295.008,--,0.745,[1.    0.827 0.412 0.889 0.499 1.   ]
2.5,60,0,45,--,4,False,True,False,--,[ 0.962 -0.87   0.086  0.073],0.963,-95.007,2.5,59.971,2.5,59.971,0.212,0.312,1.854,0.458,--,-107.479,107.479,-18.446,0.477,1.87,405.186,233.703,0.216,330.996,--,0.747,[1.    0.887 0.385 0.912 0.492 1.   ]
2.5,60,0,46,--,4,False,True,False,--,[ 0.947 -0.856  0.088  0.085],0.953,-93.905,2.501,59.963,2.501,59.963,0.214,0.314,1.843,0.463,--,-107.122,107.122,-18.282,0.485,1.854,407.436,230.111,0.224,336.233,--,0.745,[1.    0.869 0.385 0.914 0.492 1.   ]
2.5,60,0,47,--,4,False,True,False,--,[ 0.84  -0.768  0.093  0.114],0.856,-87.604,2.501,59.958,2.501,59.958,0.216,0.316,1.828,0.469,--,-109.202,109.202,-17.844,0.484,1.71,387.186,217.582,0.211,320.267,--,0.745,[1.    0.852 0.394 0.904 0.495 1.   ]
2.5,60,0,48,--,4,False,True,False,--,[ 0.859 -0.78   0.092  0.111],0.842,-86.062,2.5,59.936,2.5,59.936,0.216,0.316,1.83,0.468,--,-106.096,106.096,-17.455,0.523,1.706,384.287,217.43,0.204,316.861,--,0.745,[1.    0.852 0.389 0.919 0.49  1.   ]
2.5,60,0,49,--,4,False,True,False,--,[ 0.963 -0.871  0.086  0.073],0.971,-93.276,2.501,59.99,2.501,59.99,0.212,0.311,1.854,0.458,--,-105.311,105.311,-18.093,0.495,1.848,402.875,234.689,0.22,327.458,--,0.746,[1.    0.887 0.381 0.923 0.489 1.   ]
2.5,60,0,50,--,4,False,True,False,--,[ 0.959 -0.867  0.086  0.077],0.952,-93.483,2.501,59.93,2.501,59.93,0.213,0.313,1.851,0.461,--,-105.465,105.465,-18.122,0.506,1.86,403.705,234.861,0.223,328.356,--,0.746,[1.    0.878 0.382 0.922 0.489 1.   ]
2.5,60,0,51,--,4,False,True,False,--,[ 0.646 -0.67   0.096  0.144],0.665,-84.35,2.501,59.951,2.501,59.951,0.218,0.318,1.818,0.473,--,-113.749,113.749,-17.627,0.45,1.591,385.014,211.816,0.199,321.512,--,0.748,[1.    0.835 0.407 0.879 0.515 1.   ]
2.5,60,0,52,--,4,False,True,False,--,[ 0.962 -0.87   0.086  0.073],0.962,-91.983,2.501,59.99,2.501,59.99,0.212,0.312,1.853,0.459,--,-103.647,103.647,-17.823,0.529,1.849,399.739,236.698,0.22,322.126,--,0.747,[1.    0.887 0.379 0.93  0.487 1.   ]
2.5,60,0,53,--,4,True,True,False,--,[ 0.973 -0.88   0.084  0.061],0.977,-93.881,2.501,59.948,2.501,59.948,0.209,0.309,1.87,0.453,--,-106.111,106.111,-18.218,0.497,1.862,399.678,235.531,0.234,322.905,--,0.606,[1.    0.914 0.383 0.919 0.49  0.5  ]
2.5,60,0,54,--,4,False,True,False,--,[ 0.85  -0.774  0.092  0.112],0.852,-91.301,2.502,59.944,2.502,59.944,0.216,0.316,1.83,0.469,--,-102.768,102.768,-17.678,0.542,1.843,406.332,230.923,0.212,334.336,--,0.744,[1.    0.852 0.378 0.934 0.485 1.   ]
2.5,60,0,55,--,4,False,True,False,--,[ 0.787 -0.737  0.094  0.124],0.774,-88.992,2.501,59.938,2.501,59.938,0.217,0.317,1.825,0.47,--,-109.983,109.983,-17.775,0.472,1.727,405.553,227.935,0.212,335.439,--,0.744,[1.    0.844 0.395 0.899 0.496 1.   ]
2.5,60,0,56,--,4,False,True,False,--,[ 0.788 -0.738  0.094  0.124],0.756,-86.806,2.5,59.965,2.5,59.965,0.217,0.317,1.824,0.47,--,-107.087,107.087,-17.614,0.509,1.713,386.194,216.943,0.199,319.501,--,0.744,[1.    0.844 0.391 0.914 0.492 1.   ]
2.5,60,0,57,--,4,False,True,False,--,[ 0.838 -0.766  0.093  0.115],0.857,-83.225,2.502,59.939,2.502,59.939,0.217,0.316,1.829,0.469,--,-111.96,111.96,-17.368,0.474,1.587,380.406,218.139,0.204,311.647,--,0.745,[1.    0.844 0.404 0.889 0.499 1.   ]
2.5,60,0,58,--,4,False,True,False,--,[ 0.923 -0.831  0.09   0.094],0.901,-90.473,2.5,59.961,2.5,59.961,0.215,0.315,1.837,0.465,--,-111.984,111.984,-18.086,0.444,1.737,402.1,231.517,0.225,328.762,--,0.745,[1.    0.861 0.398 0.889 0.499 1.   ]
2.5,60,0,59,--,4,False,True,False,--,[ 0.96  -0.868  0.086  0.075],0.965,-93.721,2.5,59.977,2.5,59.977,0.212,0.312,1.851,0.459,--,-106.836,106.836,-18.239,0.488,1.853,401.848,233.535,0.231,327.021,--,0.747,[1.    0.887 0.385 0.915 0.491 1.   ]
2.5,60,0,60,--,4,True,True,False,--,[ 0.97  -0.876  0.085  0.065],0.969,-94.856,2.502,59.954,2.502,59.954,0.21,0.31,1.864,0.456,--,-107.201,107.201,-18.406,0.482,1.872,401.539,238.022,0.225,323.387,--,0.605,[1.    0.905 0.385 0.914 0.492 0.5  ]
2.5,60,0,61,--,4,True,True,False,--,[ 0.973 -0.88   0.084  0.061],0.972,-94.395,2.502,59.95,2.502,59.95,0.209,0.309,1.87,0.454,--,-107.713,107.713,-18.38,0.478,1.858,401.401,237.373,0.229,323.692,--,0.606,[1.    0.914 0.386 0.911 0.493 0.5  ]
2.5,60,0,62,--,4,False,True,False,--,[ 0.945 -0.854  0.088  0.086],0.959,-92.293,2.501,59.948,2.501,59.948,0.214,0.314,1.842,0.464,--,-105.055,105.055,-17.947,0.513,1.841,404.21,233.257,0.219,330.116,--,0.745,[1.    0.869 0.382 0.924 0.489 1.   ]
2.5,60,0,63,--,4,False,True,False,--,[ 0.969 -0.876  0.085  0.066],0.976,-93.901,2.502,59.944,2.502,59.944,0.211,0.31,1.864,0.456,--,-106.075,106.075,-18.217,0.498,1.862,402.382,235.827,0.227,326.032,--,0.747,[1.    0.896 0.383 0.919 0.49  1.   ]
2.5,60,0,64,--,4,False,True,False,--,[ 0.813 -0.751  0.093  0.12 ],0.82,-85.381,2.501,59.987,2.501,59.987,0.217,0.316,1.825,0.469,--,-106.125,106.125,-17.367,0.524,1.693,383.465,217.363,0.203,315.909,--,0.744,[1.    0.844 0.39  0.919 0.49  1.   ]
2.5,60,0,65,--,4,False,True,False,--,[ 0.779 -0.733  0.094  0.125],0.814,-86.154,2.502,59.947,2.502,59.947,0.217,0.317,1.824,0.47,--,-107.211,107.211,-17.533,0.511,1.699,385.806,216.842,0.198,319.101,--,0.744,[1.    0.844 0.392 0.914 0.492 1.   ]
2.5,60,0,66,--,4,False,True,False,--,[ 0.888 -0.801  0.091  0.104],0.898,-89.867,2.501,59.941,2.501,59.941,0.216,0.316,1.833,0.467,--,-111.103,111.103,-17.953,0.457,1.735,404.617,230.692,0.214,332.41,--,0.745,[1.    0.852 0.397 0.894 0.498 1.   ]
2.5,60,0,67,--,4,False,True,False,--,[ 0.963 -0.871  0.086  0.072],0.97,-93.217,2.501,59.977,2.501,59.977,0.212,0.312,1.855,0.458,--,-106.197,106.197,-18.136,0.497,1.85,401.187,235.835,0.229,324.551,--,0.747,[1.    0.887 0.384 0.918 0.49  1.   ]
2.5,60,0,68,--,4,False,True,False,--,[ 0.903 -0.813  0.091  0.1  ],0.912,-92.587,2.501,59.973,2.501,59.973,0.215,0.315,1.834,0.466,--,-105.423,105.423,-18.009,0.508,1.845,406.474,232.07,0.217,333.713,--,0.745,[1.    0.861 0.383 0.922 0.489 1.   ]
2.5,60,0,69,--,4,False,True,False,--,[ 0.966 -0.873  0.086  0.07 ],0.965,-94.224,2.501,59.984,2.501,59.984,0.211,0.311,1.858,0.457,--,-106.525,106.525,-18.289,0.49,1.864,403.285,234.302,0.226,328.24,--,0.747,[1.    0.896 0.384 0.917 0.491 1.   ]
2.5,60,0,70,--,4,False,True,False,--,[ 0.777 -0.732  0.094  0.126],0.747,-87.323,2.5,59.969,2.5,59.969,0.217,0.317,1.823,0.47,--,-108.71,108.71,-17.509,0.491,1.706,402.688,224.916,0.213,334.021,--,0.744,[1.    0.844 0.394 0.906 0.494 1.   ]
