V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,NN_Output_trg,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,84,--,4,False,True,False,--,[ 0.653 -0.673  0.096  0.143],0.58,-74.27,2.501,59.936,2.501,59.936,0.218,0.318,1.818,0.473,--,-108.717,108.717,-16.162,0.543,1.408,351.283,198.649,0.19,289.721,--,0.746,[1.    0.835 0.408 0.906 0.494 1.   ]
2.5,60,0,85,--,4,False,True,False,--,[ 0.958 -0.867  0.087  0.077],0.961,-93.812,2.501,59.988,2.501,59.988,0.212,0.312,1.849,0.46,--,-105.937,105.937,-18.198,0.486,1.854,402.735,233.291,0.23,328.284,--,0.746,[1.    0.887 0.382 0.92  0.49  1.   ]
2.5,60,0,86,--,4,False,True,False,--,[ 0.685 -0.687  0.095  0.139],0.737,-85.283,2.501,59.989,2.501,59.989,0.218,0.318,1.818,0.472,--,-116.113,116.113,-17.878,0.422,1.588,384.782,214.7,0.205,319.314,--,0.756,[1.    0.835 0.411 0.865 0.55  1.   ]
2.5,60,0,87,--,4,False,True,False,--,[ 0.566 -0.637  0.097  0.153],0.685,-84.745,2.501,59.983,2.501,59.983,0.219,0.319,1.814,0.473,--,-115.288,115.288,-17.759,0.433,1.585,385.048,213.799,0.199,320.238,--,0.753,[1.    0.827 0.41  0.87  0.538 1.   ]
2.5,60,0,88,--,4,False,True,False,--,[ 0.962 -0.87   0.086  0.074],0.945,-93.465,2.5,59.925,2.5,59.925,0.212,0.312,1.854,0.459,--,-116.438,116.438,-20.034,0.39,1.757,402.646,234.948,0.202,326.991,--,0.76,[1.    0.887 0.405 0.863 0.555 1.   ]
2.5,60,0,89,--,4,True,True,False,--,[ 0.977 -0.884  0.084  0.057],0.977,-94.144,2.501,59.946,2.501,59.946,0.208,0.308,1.876,0.451,--,-106.345,106.345,-18.263,0.493,1.864,398.706,237.81,0.235,320.02,--,0.606,[1.    0.923 0.384 0.918 0.491 0.5  ]
2.5,60,0,90,--,4,False,True,False,--,[ 0.81  -0.75   0.093  0.12 ],0.756,-86.509,2.5,59.963,2.5,59.963,0.217,0.317,1.826,0.469,--,-117.249,117.249,-19.744,0.408,1.605,385.178,215.673,0.208,319.135,--,0.761,[1.    0.844 0.413 0.858 0.567 1.   ]
2.5,60,0,91,--,4,False,True,False,--,[ 0.963 -0.87   0.086  0.073],0.962,-94.298,2.502,59.964,2.502,59.964,0.212,0.312,1.855,0.459,--,-106.542,106.542,-18.296,0.491,1.867,402.973,234.846,0.231,327.468,--,0.747,[1.    0.887 0.384 0.917 0.491 1.   ]
2.5,60,0,92,--,4,False,True,False,--,[ 0.808 -0.748  0.093  0.12 ],0.81,-91.224,2.5,59.962,2.5,59.962,0.217,0.317,1.825,0.469,--,-112.989,112.989,-18.243,0.431,1.744,406.659,228.732,0.221,336.234,--,0.745,[1.    0.844 0.4   0.883 0.504 1.   ]
2.5,60,0,93,--,4,True,True,False,--,[ 0.969 -0.876  0.085  0.066],0.969,-93.736,2.501,59.959,2.501,59.959,0.21,0.31,1.863,0.456,--,-105.848,105.848,-18.181,0.5,1.862,400.018,236.683,0.234,322.483,--,0.605,[1.    0.905 0.383 0.92  0.49  0.5  ]
2.5,60,0,94,--,4,False,True,False,--,[ 0.758 -0.721  0.094  0.128],0.732,-87.981,2.501,59.963,2.501,59.963,0.217,0.317,1.822,0.471,--,-108.694,108.694,-17.865,0.488,1.723,388.98,215.876,0.204,323.578,--,0.744,[1.    0.844 0.393 0.906 0.494 1.   ]
2.5,60,0,95,--,4,False,True,False,--,[ 0.953 -0.863  0.087  0.081],0.955,-94.119,2.501,59.976,2.501,59.976,0.213,0.313,1.845,0.462,--,-118.542,118.542,-18.613,0.366,1.749,404.721,232.139,0.23,331.528,--,0.767,[1.    0.878 0.409 0.85  0.586 1.   ]
2.5,60,0,0,--,4,False,True,False,--,[ 0.895 -0.807  0.091  0.102],0.864,-91.803,2.501,59.956,2.501,59.956,0.215,0.315,1.834,0.467,--,-103.491,103.491,-17.791,0.533,1.845,407.444,229.027,0.218,336.982,--,0.745,[1.    0.861 0.379 0.931 0.486 1.   ]
2.5,60,0,1,--,4,False,True,False,--,[ 0.96  -0.868  0.086  0.076],0.961,-94.296,2.501,59.967,2.501,59.967,0.212,0.312,1.851,0.46,--,-106.491,106.491,-18.29,0.49,1.868,403.792,234.804,0.226,328.504,--,0.747,[1.    0.887 0.384 0.917 0.491 1.   ]
2.5,60,0,2,--,4,False,True,False,--,[ 0.671 -0.68   0.096  0.14 ],0.662,-78.784,2.5,59.945,2.5,59.945,0.218,0.318,1.819,0.472,--,-106.487,106.487,-16.724,0.545,1.541,359.927,199.766,0.189,299.401,--,0.745,[1.    0.835 0.397 0.917 0.491 1.   ]
2.5,60,0,3,--,4,False,True,False,--,[ 0.808 -0.749  0.093  0.12 ],0.849,-83.168,2.5,59.968,2.5,59.968,0.217,0.317,1.825,0.469,--,-112.951,112.951,-17.412,0.463,1.573,380.697,214.368,0.203,314.606,--,0.745,[1.    0.844 0.407 0.883 0.503 1.   ]
