# vel,phi,d_ceiling,My,trial_num,attempt
3.00,90.00,0.50,-5.25,1.00,0.00
3.00,90.00,0.50,-5.25,1.00,1.00
3.00,90.00,0.50,-5.25,1.00,2.00
3.00,90.00,0.50,-5.50,1.00,0.00
3.00,90.00,0.50,-5.50,1.00,1.00
3.00,90.00,0.50,-5.50,1.00,2.00
3.00,90.00,0.50,-5.75,1.00,0.00
3.00,90.00,0.50,-5.75,1.00,1.00
3.00,90.00,0.50,-5.75,1.00,2.00
3.00,90.00,0.50,-6.00,1.00,0.00
3.00,90.00,0.50,-6.00,1.00,1.00
3.00,90.00,0.50,-6.00,1.00,2.00
3.00,90.00,0.50,-6.25,1.00,0.00
3.00,90.00,0.50,-6.25,1.00,1.00
3.00,90.00,0.50,-6.25,1.00,2.00
3.00,90.00,0.50,-6.50,1.00,0.00
3.00,90.00,0.50,-6.50,1.00,1.00
3.00,90.00,0.50,-6.50,1.00,2.00
3.00,90.00,0.50,-6.75,1.00,0.00
3.00,90.00,0.50,-6.75,1.00,1.00
3.00,90.00,0.50,-6.75,1.00,2.00
3.00,90.00,0.50,-7.00,1.00,0.00
3.00,90.00,0.50,-7.00,1.00,1.00
3.00,90.00,0.50,-7.00,1.00,2.00
3.00,90.00,0.50,-7.25,1.00,0.00
3.00,90.00,0.50,-7.25,1.00,1.00
3.00,90.00,0.50,-7.25,1.00,2.00
3.00,90.00,0.50,-7.50,1.00,0.00
3.00,90.00,0.50,-7.50,1.00,1.00
3.00,90.00,0.50,-7.50,1.00,2.00
3.00,90.00,0.50,-7.75,1.00,0.00
3.00,90.00,0.50,-7.75,1.00,1.00
3.00,90.00,0.50,-7.75,1.00,2.00
3.00,90.00,0.50,-8.00,1.00,0.00
3.00,90.00,0.50,-8.00,1.00,1.00
3.00,90.00,0.50,-8.00,1.00,2.00
3.00,90.00,0.50,-8.25,1.00,0.00
3.00,90.00,0.50,-8.25,1.00,1.00
3.00,90.00,0.50,-8.25,1.00,2.00
3.00,90.00,0.50,-8.50,1.00,0.00
3.00,90.00,0.50,-8.50,1.00,1.00
3.00,90.00,0.50,-8.50,1.00,2.00
