# V_d,phi,Tau_0,trial_num
2.00,60.00,0.16,0.00
2.00,60.00,0.20,1.00
2.00,60.00,0.25,2.00
2.00,55.00,0.16,0.00
2.00,55.00,0.20,1.00
2.00,55.00,0.25,2.00
2.00,50.00,0.16,0.00
2.00,50.00,0.20,1.00
2.00,50.00,0.25,2.00
2.00,45.00,0.16,0.00
2.00,45.00,0.20,1.00
2.00,45.00,0.25,2.00
2.00,40.00,0.16,0.00
2.00,40.00,0.20,1.00
2.00,40.00,0.25,2.00
2.00,35.00,0.16,0.00
2.00,35.00,0.20,1.00
2.00,35.00,0.25,2.00
2.00,30.00,0.16,0.00
2.00,30.00,0.20,1.00
2.00,30.00,0.25,2.00
2.00,25.00,0.16,0.00
2.00,25.00,0.20,1.00
2.00,25.00,0.25,2.00
2.00,20.00,0.16,0.00
2.00,20.00,0.20,1.00
2.00,20.00,0.25,2.00
2.25,90.00,0.16,0.00
2.25,90.00,0.20,1.00
2.25,90.00,0.25,2.00
2.25,85.00,0.16,0.00
2.25,85.00,0.20,1.00
2.25,85.00,0.25,2.00
2.25,80.00,0.16,0.00
2.25,80.00,0.20,1.00
2.25,80.00,0.25,2.00
2.25,75.00,0.16,0.00
2.25,75.00,0.20,1.00
2.25,75.00,0.25,2.00
2.25,70.00,0.16,0.00
2.25,70.00,0.20,1.00
2.25,70.00,0.25,2.00
2.25,65.00,0.16,0.00
2.25,65.00,0.20,1.00
2.25,65.00,0.25,2.00
2.25,60.00,0.16,0.00
2.25,60.00,0.20,1.00
2.25,60.00,0.25,2.00
2.25,55.00,0.16,0.00
2.25,55.00,0.20,1.00
2.25,55.00,0.25,2.00
2.25,50.00,0.16,0.00
2.25,50.00,0.20,1.00
2.25,50.00,0.25,2.00
2.25,45.00,0.16,0.00
2.25,45.00,0.20,1.00
2.25,45.00,0.25,2.00
2.25,40.00,0.16,0.00
2.25,40.00,0.20,1.00
2.25,40.00,0.25,2.00
2.25,35.00,0.16,0.00
2.25,35.00,0.20,1.00
2.25,35.00,0.25,2.00
2.25,30.00,0.16,0.00
2.25,30.00,0.20,1.00
2.25,30.00,0.25,2.00
2.25,25.00,0.16,0.00
2.25,25.00,0.20,1.00
2.25,25.00,0.25,2.00
2.25,20.00,0.16,0.00
2.25,20.00,0.20,1.00
2.25,20.00,0.25,2.00
2.50,90.00,0.16,0.00
2.50,90.00,0.20,1.00
2.50,90.00,0.25,2.00
2.50,85.00,0.16,0.00
2.50,85.00,0.20,1.00
2.50,85.00,0.25,2.00
2.50,80.00,0.16,0.00
2.50,80.00,0.20,1.00
2.50,80.00,0.25,2.00
2.50,75.00,0.16,0.00
2.50,75.00,0.20,1.00
2.50,75.00,0.25,2.00
2.50,70.00,0.16,0.00
2.50,70.00,0.20,1.00
2.50,70.00,0.25,2.00
2.50,65.00,0.16,0.00
2.50,65.00,0.20,1.00
2.50,65.00,0.25,2.00
2.50,60.00,0.16,0.00
2.50,60.00,0.20,1.00
2.50,60.00,0.25,2.00
2.50,55.00,0.16,0.00
2.50,55.00,0.20,1.00
2.50,55.00,0.25,2.00
2.50,50.00,0.16,0.00
2.50,50.00,0.20,1.00
2.50,50.00,0.25,2.00
2.50,45.00,0.16,0.00
2.50,45.00,0.20,1.00
2.50,45.00,0.25,2.00
2.50,40.00,0.16,0.00
2.50,40.00,0.20,1.00
2.50,40.00,0.25,2.00
2.50,35.00,0.16,0.00
2.50,35.00,0.20,1.00
2.50,35.00,0.25,2.00
2.50,30.00,0.16,0.00
2.50,30.00,0.20,1.00
2.50,30.00,0.25,2.00
2.50,25.00,0.16,0.00
2.50,25.00,0.20,1.00
2.50,25.00,0.25,2.00
2.50,20.00,0.16,0.00
2.50,20.00,0.20,1.00
2.50,20.00,0.25,2.00
2.75,90.00,0.16,0.00
2.75,90.00,0.20,1.00
2.75,90.00,0.25,2.00
2.75,85.00,0.16,0.00
2.75,85.00,0.20,1.00
2.75,85.00,0.25,2.00
2.75,80.00,0.16,0.00
2.75,80.00,0.20,1.00
2.75,80.00,0.25,2.00
2.75,75.00,0.16,0.00
2.75,75.00,0.20,1.00
2.75,75.00,0.25,2.00
2.75,70.00,0.16,0.00
2.75,70.00,0.20,1.00
2.75,70.00,0.25,2.00
2.75,65.00,0.16,0.00
2.75,65.00,0.20,1.00
2.75,65.00,0.25,2.00
2.75,60.00,0.16,0.00
2.75,60.00,0.20,1.00
2.75,60.00,0.25,2.00
2.75,55.00,0.16,0.00
2.75,55.00,0.20,1.00
2.75,55.00,0.25,2.00
2.75,50.00,0.16,0.00
2.75,50.00,0.20,1.00
2.75,50.00,0.25,2.00
2.75,45.00,0.16,0.00
2.75,45.00,0.20,1.00
2.75,45.00,0.25,2.00
2.75,40.00,0.16,0.00
2.75,40.00,0.20,1.00
2.75,40.00,0.25,2.00
2.75,35.00,0.16,0.00
2.75,35.00,0.20,1.00
2.75,35.00,0.25,2.00
2.75,30.00,0.16,0.00
2.75,30.00,0.20,1.00
2.75,30.00,0.25,2.00
2.75,25.00,0.16,0.00
2.75,25.00,0.20,1.00
2.75,25.00,0.25,2.00
2.75,20.00,0.16,0.00
2.75,20.00,0.20,1.00
2.75,20.00,0.25,2.00
3.00,90.00,0.16,0.00
3.00,90.00,0.20,1.00
3.00,90.00,0.25,2.00
3.00,85.00,0.16,0.00
3.00,85.00,0.20,1.00
3.00,85.00,0.25,2.00
3.00,80.00,0.16,0.00
3.00,80.00,0.20,1.00
3.00,80.00,0.25,2.00
3.00,75.00,0.16,0.00
3.00,75.00,0.20,1.00
3.00,75.00,0.25,2.00
3.00,70.00,0.16,0.00
3.00,70.00,0.20,1.00
3.00,70.00,0.25,2.00
3.00,65.00,0.16,0.00
3.00,65.00,0.20,1.00
3.00,65.00,0.25,2.00
3.00,60.00,0.16,0.00
3.00,60.00,0.20,1.00
3.00,60.00,0.25,2.00
3.00,55.00,0.16,0.00
3.00,55.00,0.20,1.00
3.00,55.00,0.25,2.00
3.00,50.00,0.16,0.00
3.00,50.00,0.20,1.00
3.00,50.00,0.25,2.00
3.00,45.00,0.16,0.00
3.00,45.00,0.20,1.00
3.00,45.00,0.25,2.00
3.00,40.00,0.16,0.00
3.00,40.00,0.20,1.00
3.00,40.00,0.25,2.00
3.00,35.00,0.16,0.00
3.00,35.00,0.20,1.00
3.00,35.00,0.25,2.00
3.00,30.00,0.16,0.00
3.00,30.00,0.20,1.00
3.00,30.00,0.25,2.00
3.00,25.00,0.16,0.00
3.00,25.00,0.20,1.00
3.00,25.00,0.25,2.00
3.00,20.00,0.16,0.00
3.00,20.00,0.20,1.00
3.00,20.00,0.25,2.00
3.25,90.00,0.16,0.00
3.25,90.00,0.20,1.00
3.25,90.00,0.25,2.00
3.25,85.00,0.16,0.00
3.25,85.00,0.20,1.00
3.25,85.00,0.25,2.00
3.25,80.00,0.16,0.00
3.25,80.00,0.20,1.00
3.25,80.00,0.25,2.00
3.25,75.00,0.16,0.00
3.25,75.00,0.20,1.00
