obs,actions,next_obs,dones
0.10263365;0.047139455;0.28883386;-1.0,0.19484894;0.8386594,0.10063364;0.047922;0.27151334;-1.0,False
0.10063364;0.047922;0.27151334;-1.0,0.07732885;0.68669736,0.09863365;0.048730966;0.25419283;-1.0,False
0.09863365;0.048730966;0.25419283;-1.0,0.045483626;-0.05367057,0.09663365;0.049567714;0.23687233;-1.0,False
0.09663365;0.049567714;0.23687233;-1.0,-0.04352542;-0.39150417,0.09463365;0.0504337;0.21955182;-1.0,False
0.09463365;0.0504337;0.21955182;-1.0,0.031985726;-0.09573534,0.09263365;0.05133048;0.2022313;-1.0,False
0.09263365;0.05133048;0.2022313;-1.0,0.19061813;-0.04697422,0.09063365;0.052259732;0.1849108;-1.0,False
0.09063365;0.052259732;0.1849108;-1.0,0.12096025;0.7282704,0.08863365;0.05322325;0.16759029;-1.0,False
0.08863365;0.05322325;0.16759029;-1.0,0.08587885;0.4934322,0.08663365;0.05422296;0.15026978;-1.0,False
0.08663365;0.05422296;0.15026978;-1.0,0.07068721;0.11599457,0.084633656;0.05526095;0.13294928;-1.0,False
0.084633656;0.05526095;0.13294928;-1.0,0.108304866;0.0005070473,0.08263365;0.056339454;0.115628764;-1.0,False
0.08263365;0.056339454;0.115628764;-1.0,0.09768859;0.41106397,0.080633655;0.057460893;0.09830826;-1.0,False
0.080633655;0.057460893;0.09830826;-1.0,-0.16149215;0.40212825,0.07863366;0.05862788;0.08098775;-1.0,False
0.07863366;0.05862788;0.08098775;-1.0,0.1661637;0.35001475,0.076633655;0.059843257;0.063667245;-1.0,False
0.076633655;0.059843257;0.063667245;-1.0,0.021744043;0.95099694,0.07463366;0.061110087;0.046346735;-1.0,False
0.07463366;0.061110087;0.046346735;-1.0,-0.10783084;-0.03926967,0.07263366;0.06243171;0.029026225;-1.0,False
0.07263366;0.06243171;0.029026225;-1.0,0.18263428;0.19857678,0.07063366;0.06381177;0.011705718;-1.0,False
0.07063366;0.06381177;0.011705718;-1.0,-0.19927122;-0.16623269,0.06863366;0.06525422;-0.00561479;-1.0,False
0.06863366;0.06525422;-0.00561479;-1.0,0.06675188;0.3814856,0.066633664;0.066763386;-0.022935297;-1.0,False
0.066633664;0.066763386;-0.022935297;-1.0,-0.09498698;-0.5060721,0.06463366;0.06834401;-0.040255807;-1.0,False
0.06463366;0.06834401;-0.040255807;-1.0,0.11273488;0.5775993,0.06263366;0.0700013;-0.057576314;-1.0,False
0.06263366;0.0700013;-0.057576314;-1.0,-0.24237607;0.1548252,0.060633663;0.071740955;-0.07489682;-1.0,False
0.060633663;0.071740955;-0.07489682;-1.0,0.17394353;0.55094546,0.058633666;0.07356928;-0.09221733;-1.0,False
0.058633666;0.07356928;-0.09221733;-1.0,-0.0666072;0.83875036,0.056633666;0.07549324;-0.10953784;-1.0,False
0.056633666;0.07549324;-0.10953784;-1.0,-0.05794668;0.49606863,0.054633666;0.07752053;-0.12685835;-1.0,False
0.054633666;0.07752053;-0.12685835;-1.0,-0.11251818;0.30999452,0.05263367;0.0796597;-0.14417885;-1.0,False
0.05263367;0.0796597;-0.14417885;-1.0,-0.02268523;0.37766942,0.05063367;0.08192029;-0.16149937;-1.0,False
0.05063367;0.08192029;-0.16149937;-1.0,0.08944548;-0.0388744,0.04863367;0.084312916;-0.17881986;-1.0,False
0.04863367;0.084312916;-0.17881986;-1.0,0.04824022;-0.6707803,0.046633672;0.08684952;-0.19614038;-1.0,False
0.046633672;0.08684952;-0.19614038;-1.0,0.7321794;-1.0,0.046633672;0.08684952;-0.19614038;-1.0,True
