obs,actions,next_obs,rewards,dones
0.070125625;0.064172104;0.007305995;-1.0,-0.044012837;0.8510245,0.06812563;0.06563107;-0.0100145135;-1.0,0.0,0
0.06812563;0.06563107;-0.0100145135;-1.0,0.029795595;0.42419848,0.066125624;0.067157924;-0.027335022;-1.0,0.0,0
0.066125624;0.067157924;-0.027335022;-1.0,-0.00046363496;-0.034121048,0.06412563;0.06875751;-0.044655528;-1.0,0.0,0
0.06412563;0.06875751;-0.044655528;-1.0,-0.15066795;0.63603854,0.062125627;0.07043516;-0.061976038;-1.0,0.0,0
0.062125627;0.07043516;-0.061976038;-1.0,-0.08112955;0.11359189,0.060125627;0.072196715;-0.079296544;-1.0,0.0,0
0.060125627;0.072196715;-0.079296544;-1.0,-0.019061476;-0.29306984,0.05812563;0.07404865;-0.09661705;-1.0,0.0,0
0.05812563;0.07404865;-0.09661705;-1.0,-0.13884331;-0.8024333,0.05612563;0.07599809;-0.113937564;-1.0,0.0,0
0.05612563;0.07599809;-0.113937564;-1.0,-0.06995708;-0.8407811,0.05412563;0.07805295;-0.13125807;-1.0,0.0,0
0.05412563;0.07805295;-0.13125807;-1.0,0.17421038;0.52193713,0.052125633;0.080222026;-0.14857858;-1.0,0.0,0
0.052125633;0.080222026;-0.14857858;-1.0,0.092107646;0.057111796,0.050125632;0.0825151;-0.16589908;-1.0,0.0,0
0.050125632;0.0825151;-0.16589908;-1.0,0.007736418;-0.8560246,0.048125632;0.084943116;-0.1832196;-1.0,0.0,0
0.048125632;0.084943116;-0.1832196;-1.0,0.87435836;-1.0,0.048125632;0.084943116;-0.1832196;-1.0,0.8607601230812351,1
0.0956828;0.049975686;0.22863771;-1.0,-0.2336815;-0.75348175,0.093682796;0.05085611;0.21131721;-1.0,0.0,0
0.093682796;0.05085611;0.21131721;-1.0,-0.12283527;-0.0701627,0.0916828;0.051768113;0.1939967;-1.0,0.0,0
0.0916828;0.051768113;0.1939967;-1.0,0.18754084;-0.4226768,0.0896828;0.052713424;0.1766762;-1.0,0.0,0
0.0896828;0.052713424;0.1766762;-1.0,0.024602942;-0.540077,0.0876828;0.053693898;0.15935569;-1.0,0.0,0
0.0876828;0.053693898;0.15935569;-1.0,0.13050355;-0.6640922,0.0856828;0.05471154;0.14203517;-1.0,0.0,0
0.0856828;0.05471154;0.14203517;-1.0,0.109566785;0.8687735,0.083682805;0.0557685;0.124714665;-1.0,0.0,0
0.083682805;0.0557685;0.124714665;-1.0,0.16177435;-0.62164146,0.0816828;0.056867104;0.10739416;-1.0,0.0,0
0.0816828;0.056867104;0.10739416;-1.0,-0.15498227;0.4491889,0.079682805;0.05800986;0.09007365;-1.0,0.0,0
0.079682805;0.05800986;0.09007365;-1.0,-0.11448495;0.8709846,0.07768281;0.059199486;0.07275315;-1.0,0.0,0
0.07768281;0.059199486;0.07275315;-1.0,-0.12232705;0.8745747,0.075682804;0.060438924;0.055432636;-1.0,0.0,0
0.075682804;0.060438924;0.055432636;-1.0,-0.08904347;0.6705365,0.07368281;0.061731372;0.038112126;-1.0,0.0,0
0.07368281;0.061731372;0.038112126;-1.0,-0.025226627;-0.9579019,0.07168281;0.0630803;0.02079162;-1.0,0.0,0
0.07168281;0.0630803;0.02079162;-1.0,0.18426916;0.5688583,0.06968281;0.064489506;0.0034711116;-1.0,0.0,0
0.06968281;0.064489506;0.0034711116;-1.0,-0.064684555;-0.9185414,0.06768281;0.06596311;-0.013849396;-1.0,0.0,0
0.06768281;0.06596311;-0.013849396;-1.0,-0.18349057;-0.017476484,0.06568281;0.067505635;-0.031169904;-1.0,0.0,0
0.06568281;0.067505635;-0.031169904;-1.0,0.16449273;-0.5534709,0.06368281;0.06912203;-0.048490413;-1.0,0.0,0
0.06368281;0.06912203;-0.048490413;-1.0,0.009064191;-0.63556224,0.061682813;0.07081773;-0.06581092;-1.0,0.0,0
0.061682813;0.07081773;-0.06581092;-1.0,-0.03913167;-0.95552087,0.059682813;0.07259872;-0.083131425;-1.0,0.0,0
0.059682813;0.07259872;-0.083131425;-1.0,0.023659434;0.78998655,0.057682816;0.0744716;-0.10045194;-1.0,0.0,0
0.057682816;0.0744716;-0.10045194;-1.0,-0.20110692;0.17249767,0.055682816;0.07644367;-0.117772445;-1.0,0.0,0
