Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals
2.5,50,0,--,4,False,2.5,49.77,0.229,-0.364,0.572,2.151,7.996,1.616,1.91,0.811,[0.1   0.048 0.013 0.65  0.   ]
2.5,50,1,--,4,False,2.5,49.8,0.228,-0.368,0.57,2.285,7.99,1.615,1.911,0.873,[0.1   0.05  0.073 0.65  0.   ]
2.5,50,2,--,4,True,2.5,49.75,0.226,-0.366,0.565,2.396,7.97,1.617,1.91,0.375,[0.1   0.05  0.025 0.2   0.   ]
2.5,50,3,--,4,False,2.5,49.68,0.225,-0.366,0.561,2.377,7.995,1.619,1.908,0.935,[0.1   0.05  0.135 0.65  0.   ]
2.5,50,4,--,4,False,2.5,49.8,0.227,-0.37,0.566,2.318,7.983,1.614,1.91,0.802,[0.1   0.05  0.002 0.65  0.   ]
2.75,45,0,--,4,True,2.75,44.87,0.223,0.009,0.615,2.627,7.899,1.949,1.94,0.462,[0.1   0.05  0.112 0.2   0.   ]
2.75,45,1,--,4,False,2.75,44.76,0.221,0.018,0.61,2.542,7.992,1.956,1.94,0.803,[0.1   0.05  0.003 0.65  0.   ]
2.5,45,0,--,4,False,2.5,44.89,0.228,0.009,0.57,2.182,7.987,1.771,1.764,0.894,[0.1   0.05  0.094 0.65  0.   ]
2.5,45,1,--,4,False,2.5,45.03,0.221,-0.004,0.552,2.842,7.988,1.766,1.768,0.8,[0.1  0.05 0.   0.65 0.  ]
2.5,45,2,--,4,False,2.51,44.63,0.229,0.027,0.575,1.955,7.986,1.786,1.763,0.979,[0.1   0.05  0.179 0.65  0.   ]
2.5,45,3,--,4,False,2.5,44.71,0.226,0.022,0.567,2.338,7.955,1.78,1.762,0.813,[0.1   0.04  0.023 0.65  0.   ]
2.5,45,4,--,4,False,2.51,44.66,0.227,0.025,0.569,2.167,7.964,1.783,1.762,0.992,[0.1   0.045 0.197 0.65  0.   ]
2.5,50,0,--,4,False,2.5,49.87,0.226,-0.376,0.563,2.528,7.989,1.61,1.91,0.878,[0.1   0.042 0.086 0.65  0.   ]
2.5,50,1,--,0,False,2.47,49.61,0.527,-0.155,1.299,1.558,0.324,1.602,1.883,0.057,[0.022 0.006 0.029 0.    0.   ]
2.5,50,2,--,0,False,13.65,-83.22,5.0,1.105,9.618,3.171,0.0,1.61,-13.552,0.031,[0.001 0.    0.029 0.    0.   ]
2.5,50,3,--,4,False,2.49,49.92,0.231,-0.373,0.573,1.97,7.946,1.602,1.904,0.803,[0.1   0.043 0.01  0.65  0.   ]
2.5,50,4,--,0,False,12.95,-82.85,5.0,1.13,9.049,3.8,0.0,1.611,-12.845,0.031,[0.001 0.    0.029 0.    0.   ]
2.75,45,0,--,4,False,2.74,44.88,0.224,0.007,0.615,2.423,7.995,1.944,1.936,0.805,[0.1   0.05  0.005 0.65  0.   ]
2.75,45,1,--,4,False,2.75,44.81,0.23,0.015,0.634,1.79,7.93,1.953,1.94,0.998,[0.1   0.05  0.198 0.65  0.   ]
2.75,45,2,--,0,False,13.29,-81.58,5.0,1.133,9.36,2.381,0.0,1.946,-13.144,0.031,[0.001 0.    0.029 0.    0.   ]
2.75,45,3,--,4,True,2.73,45.55,0.223,-0.043,0.61,2.499,7.983,1.912,1.949,0.407,[0.1   0.05  0.057 0.2   0.   ]
2.75,45,4,--,4,False,2.71,45.21,0.23,-0.016,0.624,1.687,7.991,1.911,1.925,0.976,[0.1   0.05  0.176 0.65  0.   ]
2.75,50,0,--,4,False,2.75,49.88,0.227,-0.376,0.623,2.101,7.972,1.771,2.102,0.997,[0.1   0.05  0.197 0.65  0.   ]
2.75,50,1,--,4,False,2.75,49.8,0.229,-0.367,0.629,1.932,7.903,1.777,2.103,0.876,[0.1   0.05  0.076 0.65  0.   ]
2.75,50,2,--,4,False,2.75,49.77,0.227,-0.369,0.622,2.219,7.983,1.779,2.103,0.82,[0.1   0.046 0.025 0.65  0.   ]
2.75,50,3,--,4,False,2.76,49.52,0.227,-0.35,0.626,2.258,7.97,1.793,2.101,1.0,[0.1  0.05 0.2  0.65 0.  ]
2.75,50,4,--,4,False,2.73,50.69,0.232,-0.429,0.631,1.657,7.96,1.73,2.113,0.913,[0.1   0.041 0.122 0.65  0.   ]
3.0,45,0,--,0,False,13.12,-80.66,5.0,1.118,9.477,1.732,0.0,2.129,-12.947,0.031,[0.001 0.    0.029 0.    0.   ]
3.0,45,1,--,4,True,2.99,45.09,0.212,-0.008,0.632,3.657,7.947,2.108,2.115,0.55,[0.1  0.05 0.2  0.2  0.  ]
3.0,45,2,--,0,False,13.53,-80.97,5.0,1.112,9.789,3.8,0.006,2.124,-13.362,0.031,[0.001 0.    0.029 0.    0.   ]
3.0,45,3,--,4,False,2.99,44.84,0.224,0.012,0.67,2.209,7.977,2.12,2.108,0.869,[0.1   0.044 0.075 0.65  0.   ]
3.0,45,4,--,0,False,12.95,-80.55,5.0,1.122,9.344,2.928,0.0,2.126,-12.777,0.031,[0.001 0.    0.029 0.    0.   ]
3.0,50,0,--,4,True,2.96,50.23,0.231,-0.396,0.68,1.579,7.944,1.892,2.273,0.387,[0.1   0.05  0.037 0.2   0.   ]
3.0,50,1,--,4,False,3.0,49.81,0.23,-0.367,0.688,1.625,7.994,1.937,2.293,0.918,[0.1   0.05  0.118 0.65  0.   ]
