V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,25,45,2,--,0,False,False,False,--,0.521,-89.997,0.5,-20.0,0.5,25.0,0.085,1.069,2.005,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.908 1.    0.    0.    0.    0.    0.   ],[ 0.521 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,25,45,3,--,0,False,False,False,--,0.537,-89.998,0.5,-20.0,0.5,25.0,0.081,1.066,2.012,0.017,0.225,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.912 1.    0.    0.    0.    0.    0.   ],[ 0.537 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,25,45,4,--,0,False,False,False,--,0.522,-89.997,0.5,-20.0,0.5,25.0,0.085,1.069,2.005,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.908 1.    0.    0.    0.    0.    0.   ],[ 0.522 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,30,45,0,--,0,False,False,False,--,0.533,-89.998,0.5,-15.0,0.5,30.0,0.087,0.919,1.884,0.022,0.23,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.928 1.    0.    0.    0.    0.    0.   ],[ 0.533 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,30,45,1,--,0,False,False,False,--,0.513,-89.997,0.5,-15.0,0.5,30.0,0.09,0.922,1.878,0.022,0.231,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.924 1.    0.    0.    0.    0.    0.   ],[ 0.513 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,30,45,2,--,0,False,False,False,--,0.533,-89.998,0.5,-15.0,0.5,30.0,0.087,0.919,1.884,0.022,0.23,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.928 1.    0.    0.    0.    0.    0.   ],[ 0.533 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,30,45,3,--,0,False,False,False,--,0.533,-89.998,0.5,-15.0,0.5,30.0,0.087,0.919,1.884,0.022,0.23,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.928 1.    0.    0.    0.    0.    0.   ],[ 0.533 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,30,45,4,--,0,False,False,False,--,0.537,-89.999,0.5,-15.0,0.5,30.0,0.084,0.916,1.891,0.021,0.229,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.932 1.    0.    0.    0.    0.    0.   ],[ 0.537 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,35,45,0,--,0,False,False,False,--,0.533,-89.999,0.5,-10.0,0.5,35.0,0.089,0.814,1.754,0.025,0.234,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.064,[0.948 1.    0.    0.    0.    0.    0.   ],[ 0.533 -1.     0.     0.005],[-90   0],--,0,0,0,0,1,0
0.5,35,45,1,--,0,False,False,False,--,0.511,-89.998,0.5,-10.0,0.5,35.0,0.095,0.82,1.741,0.027,0.235,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.94 1.   0.   0.   0.   0.   0.  ],[ 0.511 -1.     0.     0.005],[-90   0],--,0,0,0,0,1,0
0.5,35,45,2,--,0,False,False,False,--,0.535,-89.999,0.5,-10.0,0.5,35.0,0.088,0.813,1.756,0.025,0.233,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.064,[0.949 1.    0.    0.    0.    0.    0.   ],[ 0.535 -1.     0.     0.005],[-90   0],--,0,0,0,0,1,0
0.5,35,45,3,--,0,False,False,False,--,0.509,-89.998,0.5,-10.0,0.5,35.0,0.095,0.82,1.741,0.027,0.235,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.94 1.   0.   0.   0.   0.   0.  ],[ 0.509 -1.     0.     0.005],[-90   0],--,0,0,0,0,1,0
0.5,35,45,4,--,0,False,False,False,--,0.536,-89.999,0.5,-10.0,0.5,35.0,0.087,0.812,1.758,0.025,0.233,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.064,[0.95 1.   0.   0.   0.   0.   0.  ],[ 0.536 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,40,45,0,--,0,False,False,False,--,0.531,-89.999,0.5,-5.0,0.5,40.0,0.094,0.741,1.608,0.03,0.238,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.065,[0.962 1.    0.    0.    0.    0.    0.   ],[ 0.531 -1.     0.     0.006],[-90   0],--,0,0,0,0,1,0
