Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
1.2389713000000337,0,,,,-0.0620703125,0.03783203125,-0.9737890625,0.00048695863938798766,0.16435467928125105,16.714284648895262,0.021323009559419005,0,0,0.35816316857881125,0,0,0,0,0.0576171875,,
1.236340249999957,100,,,,-0.05888671875,0.02279296875,-0.99158203125,0.0005339324807222192,0.6552835339664161,16.712698764801026,0.036652715948875994,0,236.56192681608,0.6125627106975293,0.1349909743120714,24.035680792726225,19.51355250567458,3.072355064176591,0.06865234375,,
7.099534999999939,200,,,,-0.055078125,0.02814453125,-0.9805078125,0.000849229567278107,4.63476159376802,16.708108310699462,0.07880347851430997,529.8819609072,618.1607144733599,1.3166567264430755,0.5249866530404041,40.49847376372005,10.610738430362867,3.5929542784650184,0.0696484375,,
12.961233699999957,300,,,,-0.0579296875,0.0333984375,-0.995625,0.0013592510168891916,10.842462726962502,16.700906772613525,0.14748418893432244,806.97043295472,943.0013948556,2.463120217120707,1.2817762134898638,52.453036087587336,9.611652501032493,4.416627332711647,0.07890625,,
18.810889499999956,400,,,,-0.057890625,0.02951171875,-0.9930859375,0.002035462191832689,19.819528188653937,16.68824857711792,0.25404668938135727,1064.6857503050398,1242.18573523344,4.2395943714535145,2.5283842417683733,59.640590210833444,8.13386204076212,4.682912203721535,0.082421875,,
24.66184609999997,500,,,,-0.0560546875,0.02330078125,-0.99830078125,0.002769481765297165,32.21710735340842,16.670441761016846,0.3934116927883588,1313.60460822528,1532.5736161812,6.558346431815365,4.2443162643400925,64.81545563846896,7.729484041073593,4.9174472484927465,0.141328125,,
30.51350434999996,600,,,,-0.0568359375,0.02044921875,-0.993125,0.0037731885308089374,45.21470681681789,16.647496242523193,0.5802046139142476,1536.8671261411198,1798.5617941859998,9.658954891553604,6.786253345442376,70.28283486341692,6.719004921847718,4.6830794474437205,0.19255859375,,
36.36511114999993,700,,,,-0.052734375,0.01462890625,-0.992421875,0.004843255774215239,59.91877007801746,16.6191090965271,0.8007586957118474,1752.7992611985599,2051.8788818212797,13.307896905165487,9.93765987866387,74.68665457022263,6.062846907188409,4.50378385468754,0.215390625,,
42.189718149999955,800,,,,-0.05609375,0.01681640625,-0.99609375,0.005965380191317241,78.02359350913734,16.58137098312378,1.0914185757539234,1983.07800270744,2313.7829893763997,18.097217195293116,13.802372814169377,76.27029902876461,5.675329874029225,4.3121278212491045,0.20015625,,
48.06298804999997,900,,,,-0.058671875,0.02541015625,-0.996328125,0.007080555915883619,96.61749096856951,16.534278373718262,1.4403208131692373,2174.81987433216,2545.5278074569596,23.814671183145705,18.023394124277637,75.69818332614908,5.3801072458440515,4.057579350631039,0.134140625,,
53.92159639999996,1000,,,,-0.053984375,0.02248046875,-0.99140625,0.008587902480454634,117.48984655393566,16.476901416778563,1.8677865154645406,2390.3331303691198,2788.6870788456,30.77534480125164,23.949267313375923,77.81846171935781,4.9169420837980065,3.8179300919947776,0.50861328125,,
59.791336299999976,1100,,,,-0.0459375,0.00353515625,-0.99779296875,0.009873336669933484,138.66933785199046,16.412350482940674,2.339601298084017,2575.89653644176,3010.0646411692796,38.398311013042424,29.719405478557015,77.41046607890276,4.672179045212853,3.611925845454643,1.025078125,,
65.61673749999999,1200,,,,-0.04869140625,0.02419921875,-1.004375,0.011429158646003017,160.5502718254669,16.333044509887696,2.879461498965975,2760.4127449631997,3232.80356030952,47.030380366444305,36.94847501300366,78.56627411352746,4.352256994106058,3.41394825449633,0.91859375,,
71.46612854999998,1300,,,,-0.05544921875,0.02193359375,-1.00076171875,0.012711088557772112,182.26696967557453,16.24587465286255,3.486476236095186,2947.54694736264,3439.20619765104,56.64089049331392,43.716305823614775,77.18858538142669,4.172676590630891,3.2181466964304724,0.37927734375,,
77.33319904999996,1400,,,,-0.05447265625,0.02162109375,-0.99734375,0.014131454309062867,204.0344153398995,16.143241958618162,4.144041991939303,3116.14575310584,3642.6766818491997,66.89823171511769,51.476505602255536,76.94896326747998,3.9662974443282164,3.0500537655532827,0.1205078125,,
83.23694744999995,1500,,,,-0.05783203125,0.0176171875,-0.994765625,0.015619102097352235,224.74840611430793,16.0341450881958,4.854503060092684,3257.4127027627196,3813.8934814704,77.83784139216816,59.56928600198103,76.52948300186067,3.774960265954915,2.8874171129100166,0.16814453125,,
89.18819554999996,1600,,,,-0.053125,0.01583984375,-0.9969140625,0.016552174189128868,245.89134394747066,15.91398980140686,5.589541354884859,3383.70472743744,3970.8683943952797,88.9519200052889,65.72708922669895,73.89093173688377,3.7429033889484375,2.7643234386524207,0.32171875,,
95.0668573999999,1700,,,,-0.0503125,0.02228515625,-0.99833984375,0.016825841606772342,267.0386792341818,15.790531549453735,6.401960564365145,3526.7519129313596,4123.13091833976,101.09044012084307,69.37435781743659,68.62788461368118,3.851400235201063,2.6416075706762885,0.62583984375,,
100.97474289999991,1800,,,,-0.04287109375,0.02244140625,-1,0.017950692310595498,284.1449735823301,15.667255868911743,7.227387228717562,3640.3728472365597,4254.4494912602395,113.23344393549114,76.37092194598705,67.447025277816,3.722050314384629,2.5093946677141177,0.96560546875,,
