Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Unnamed: 21
1.2483803500000006,0,,,,0.001015625,0.00232421875,-0.99830078125,0.0001774431259988,0.7996553219631406,16.75290018081665,-0.0030054873274639,0,0.0,0.1510772939414193,0.0,0.0,0.0,0.0,0.0624609375,,
1.2560399500000006,100,,,,-0.0162890625,0.01095703125,-1.00408203125,0.0002168380091071,1.2841465614206922,16.74975233078003,0.0222394671407528,0,241.69319481696,0.3817964799386888,0.094469467103426,31.144060410328407,1569.27430086191,6.668729358167285,0.0913671875,,
8.828779150000004,200,,,,-0.0276171875,0.0076953125,-0.99169921875,0.0005061956464544,4.647219490156684,16.74415256500244,0.0721850585541687,0,589.78166083584,1.208677839866526,0.3261657531825251,27.75203795901036,11.356508496069894,2.1974634370183312,0.0997265625,,
16.366701099999997,300,,,,-0.02421875,0.00330078125,-0.99283203125,0.001010779434458,10.924624604466626,16.733052463531493,0.1497102856240235,0,911.061869544,2.505113487234444,0.9264154900826856,37.456913104553,11.501609292525034,3.456209835677232,0.11791015625,,
23.891159400000006,400,,,,-0.0255078125,0.007421875,-0.9973046875,0.0016430230227458,19.42913869015341,16.71530637741089,0.2696371605596505,0,1211.29340747304,4.50706824106537,1.990109729921983,44.265815463254775,9.430794457236049,3.8048251508548905,0.10208984375,,
31.41898885,500,,,,-0.02609375,0.01021484375,-0.99740234375,0.0023787346989143,30.89256750406989,16.693242359161378,0.4275563852093182,0,1495.9217018892,7.13729729142679,3.5583395578545787,49.985202622554624,8.451245562572245,4.009491818757748,0.108125,,
38.9891025,600,,,,-0.02755859375,0.009296875,-0.9984375,0.0031135199622601,43.624283662144315,16.662934551239015,0.6279231787822209,0,1758.34940821992,10.46304391635145,5.474629986002867,52.35601429271241,7.688343454276122,3.952084838764872,0.1789453125,,
46.56173719999999,700,,,,-0.0300390625,0.0054296875,-0.99689453125,0.0042790093081196,58.7973785790626,16.62619596481323,0.8708335668942891,0,2031.35380981776,14.47872721054945,8.692209026170492,60.22017211221471,6.579180492106655,3.913505180367283,0.17197265625,,
54.10439455,800,,,,-0.02791015625,0.00400390625,-0.99873046875,0.0052176670973394,75.51095755119242,16.581276836395265,1.157208660354372,0,2278.80659116632,19.187990107485515,11.89018290139301,62.00294766891384,6.21962827885017,3.8166380692861295,0.18107421875,,
61.70482925000003,900,,,,-0.03064453125,0.00712890625,-1.0036328125,0.0063436692249041,92.43554573244224,16.52466564178467,1.5101283509633503,0,2504.47766344992,24.9543717009377,15.887766896690104,63.68079921970353,5.707382108899135,3.6123508786786127,0.23935546875,,
69.27310715000003,1000,,,,-0.02990234375,0.00619140625,-0.998203125,0.0073409698631273,110.58577632525932,16.46331497192383,1.8795152063271965,0,2720.51451826248,30.943060178362103,19.97083931062034,64.54442114120005,5.44812703485857,3.5000747815927054,0.34392578125,,
76.86743085000003,1100,,,,-0.0275390625,-0.00197265625,-0.99939453125,0.0086299818453294,130.0868792366067,16.39089141845703,2.3349855859181843,0,2926.49827658352,38.272507547545416,25.2555468222822,65.98456513030244,5.075244120381229,3.339344679294912,0.4478125,,
84.46537600000003,1200,,,,-0.024453125,0.01337890625,-0.9964453125,0.0096944762794205,148.61772427274678,16.305519065856934,2.8146593840024434,0,3126.09412984224,45.89447935873376,30.306091861760606,66.04098626440985,4.839985615432132,3.188433285657084,0.5948046875,,
111.07295595,0,,,,-5.859375e-05,0.00302734375,-0.9960546875,-7.18173244267e-05,0.5629160870958487,16.53223943710327,-0.0026832217304036,0,0.0,0.1377450511678269,0.0,0.0,0.0,0.0,0.068125,,
116.6557991,100,,,,-0.0134765625,0.0084765625,-0.9968359375,9.51852653371e-05,1.6917632164035226,16.534332427978516,0.0228922526515088,0,240.01767873504,0.3785505348709096,0.0824808586924142,29.46833523657759,61.80038435840122,4.436221017890297,0.08470703125,,
124.23907574999996,200,,,,-0.02826171875,0.00814453125,-0.99072265625,0.0002537599059825,4.221845933295315,16.530289344787597,0.0688251023716293,0,585.8023101412799,1.1376985861620563,0.2433563262657206,21.65720325278663,14.901517603516218,1.9105026190702583,0.100078125,,
131.8345708,300,,,,-0.0237109375,0.00427734375,-0.99662109375,0.0008089728066765,9.677810322596459,16.521671237945558,0.1464903619489632,0,902.57956937928,2.4202618785523167,0.7310942692660227,30.340769188716305,12.38832847831744,3.067556135055073,0.11845703125,,
139.44562835,400,,,,-0.02771484375,0.0116015625,-0.99958984375,0.00140961745675,19.269848989576776,16.507869720458984,0.2620149738690815,0,1200.92615171616,4.325309276391524,1.692850104934648,39.29614195452292,10.91778137271308,3.930688797279168,0.10185546875,,
147.0621832,500,,,,-0.02595703125,0.00869140625,-0.995078125,0.0021210133676375,29.982944653637965,16.487078742980955,0.4162143091461621,0,1482.72701274408,6.8621592683299495,3.144797694453101,45.91557441737901,9.375952968801304,4.038351820475087,0.11125,,
154.69477435000005,600,,,,-0.028984375,0.00861328125,-0.99669921875,0.0029635182321222,42.52196390015603,16.459584312438963,0.6152543116710149,0,1743.47920299288,10.126836319440674,5.166947845881624,51.066600340256606,7.96770743925976,3.974017636290285,0.1675,,
