Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,-60,1,--,4,False,0.5,-59.98,0.266,6.506,0.066,-5.351,2.351,6.191,0.249,-0.431,0.98,[0.1  0.05 0.18 0.65 0.  ],--,1,0,0,0,0,0
0.5,-60,2,--,4,False,0.5,-59.98,0.292,5.924,0.073,-6.069,1.879,4.167,0.249,-0.431,0.903,[0.082 0.05  0.121 0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,3,--,4,False,0.5,-59.69,0.279,6.128,0.07,-6.7,1.823,6.375,0.252,-0.431,0.844,[0.084 0.05  0.06  0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,4,--,4,False,0.5,-60.18,0.286,6.094,0.071,-8.281,1.71,4.503,0.247,-0.431,0.786,[0.077 0.05  0.009 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,0,--,4,False,0.5,-55.0,0.302,4.734,0.086,-8.469,1.605,3.114,0.285,-0.407,0.791,[0.073 0.05  0.018 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,1,--,4,False,0.5,-54.97,0.306,4.663,0.087,-11.448,2.121,4.182,0.286,-0.408,0.96,[0.07 0.05 0.19 0.65 0.  ],--,1,0,0,0,0,0
0.5,-55,2,--,4,False,0.5,-54.9,0.302,4.718,0.086,-10.755,1.563,4.029,0.286,-0.407,0.97,[0.073 0.05  0.197 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,3,--,4,False,0.5,-54.69,0.303,4.667,0.087,-10.167,1.541,3.687,0.289,-0.408,0.94,[0.073 0.05  0.168 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,4,--,4,False,0.5,-54.9,0.297,4.783,0.085,-11.353,1.959,4.344,0.286,-0.407,0.967,[0.077 0.046 0.194 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,0,--,4,False,0.5,-49.89,0.318,3.736,0.102,-12.781,1.903,2.933,0.321,-0.381,0.841,[0.062 0.05  0.079 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,1,--,4,False,0.5,-49.9,0.312,3.807,0.1,-11.02,1.951,3.068,0.32,-0.38,0.965,[0.065 0.05  0.2   0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,2,--,4,False,0.5,-49.97,0.3,3.974,0.096,-11.474,1.528,3.092,0.32,-0.381,0.962,[0.073 0.05  0.189 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,3,--,4,False,0.5,-49.81,0.303,3.918,0.097,-9.69,2.127,2.301,0.321,-0.38,0.899,[0.073 0.05  0.126 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,4,--,4,False,0.5,-49.54,0.318,3.699,0.103,-11.77,1.79,2.349,0.325,-0.381,0.935,[0.063 0.05  0.171 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,0,--,4,False,0.5,-44.84,0.317,3.129,0.112,-14.097,1.881,2.22,0.353,-0.351,0.762,[0.062 0.05  0.    0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,1,--,4,False,0.5,-44.6,0.325,3.026,0.117,-10.477,1.953,1.565,0.359,-0.354,0.946,[0.059 0.05  0.187 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,2,--,4,False,0.5,-44.76,0.33,3.013,0.116,-14.653,2.075,2.111,0.353,-0.35,0.762,[0.056 0.043 0.013 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,3,--,4,False,0.5,-45.0,0.322,3.106,0.114,-13.675,1.768,2.247,0.352,-0.352,0.775,[0.065 0.05  0.01  0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,4,--,4,False,0.5,-44.84,0.325,3.072,0.114,-13.24,1.926,2.229,0.352,-0.35,0.801,[0.064 0.05  0.038 0.65  0.   ],--,1,0,0,0,0,0
0.5,-40,0,--,4,False,0.5,-40.03,0.316,2.659,0.121,-12.793,1.766,1.978,0.381,-0.32,0.841,[0.063 0.05  0.078 0.65  0.   ],--,1,0,0,0,0,0
0.5,-40,1,--,4,False,0.5,-39.78,0.327,2.546,0.125,-11.75,1.945,1.517,0.382,-0.318,0.93,[0.057 0.05  0.173 0.65  0.   ],--,1,0,0,0,0,0
0.5,-40,2,--,4,False,0.5,-39.95,0.327,2.567,0.125,-11.725,1.732,1.578,0.382,-0.32,0.931,[0.057 0.05  0.175 0.65  0.   ],--,1,0,0,0,0,0
0.5,-40,3,--,4,False,0.5,-40.01,0.322,2.607,0.123,-15.593,1.821,1.988,0.38,-0.319,0.844,[0.059 0.046 0.089 0.65  0.   ],--,1,0,0,0,0,0
