# V_d,phi
1.50,30.00
1.50,33.75
1.50,37.50
1.50,41.25
1.50,45.00
1.50,48.75
1.50,52.50
1.50,56.25
1.50,60.00
1.50,63.75
1.50,67.50
1.50,71.25
1.50,75.00
1.50,78.75
1.50,82.50
1.50,86.25
1.50,90.00
1.60,30.00
1.60,33.75
1.60,37.50
1.60,41.25
1.60,45.00
1.60,48.75
1.60,52.50
1.60,56.25
1.60,60.00
1.60,63.75
1.60,67.50
1.60,71.25
1.60,75.00
1.60,78.75
1.60,82.50
1.60,86.25
1.60,90.00
1.70,30.00
1.70,33.75
1.70,37.50
1.70,41.25
1.70,45.00
1.70,48.75
1.70,52.50
1.70,56.25
1.70,60.00
1.70,63.75
1.70,67.50
1.70,71.25
1.70,75.00
1.70,78.75
1.70,82.50
1.70,86.25
1.70,90.00
1.80,30.00
1.80,33.75
1.80,37.50
1.80,41.25
1.80,45.00
1.80,48.75
1.80,52.50
1.80,56.25
1.80,60.00
1.80,63.75
1.80,67.50
1.80,71.25
1.80,75.00
1.80,78.75
1.80,82.50
1.80,86.25
1.80,90.00
1.90,30.00
1.90,33.75
1.90,37.50
1.90,41.25
1.90,45.00
1.90,48.75
1.90,52.50
1.90,56.25
1.90,60.00
1.90,63.75
1.90,67.50
1.90,71.25
1.90,75.00
1.90,78.75
1.90,82.50
1.90,86.25
1.90,90.00
2.00,30.00
2.00,33.75
2.00,37.50
2.00,41.25
2.00,45.00
2.00,48.75
2.00,52.50
2.00,56.25
2.00,60.00
2.00,63.75
2.00,67.50
2.00,71.25
2.00,75.00
2.00,78.75
2.00,82.50
2.00,86.25
2.00,90.00
2.10,30.00
2.10,33.75
2.10,37.50
2.10,41.25
2.10,45.00
2.10,48.75
2.10,52.50
2.10,56.25
2.10,60.00
2.10,63.75
2.10,67.50
2.10,71.25
2.10,75.00
2.10,78.75
2.10,82.50
2.10,86.25
2.10,90.00
2.20,30.00
2.20,33.75
2.20,37.50
2.20,41.25
2.20,45.00
2.20,48.75
2.20,52.50
2.20,56.25
2.20,60.00
2.20,63.75
2.20,67.50
2.20,71.25
2.20,75.00
2.20,78.75
2.20,82.50
2.20,86.25
2.20,90.00
2.30,30.00
2.30,33.75
2.30,37.50
2.30,41.25
2.30,45.00
2.30,48.75
2.30,52.50
2.30,56.25
2.30,60.00
2.30,63.75
2.30,67.50
2.30,71.25
2.30,75.00
2.30,78.75
2.30,82.50
2.30,86.25
2.30,90.00
2.40,30.00
2.40,33.75
2.40,37.50
2.40,41.25
2.40,45.00
2.40,48.75
2.40,52.50
2.40,56.25
2.40,60.00
2.40,63.75
2.40,67.50
2.40,71.25
2.40,75.00
2.40,78.75
2.40,82.50
2.40,86.25
2.40,90.00
2.50,30.00
2.50,33.75
2.50,37.50
2.50,41.25
2.50,45.00
2.50,48.75
2.50,52.50
2.50,56.25
2.50,60.00
2.50,63.75
2.50,67.50
2.50,71.25
2.50,75.00
2.50,78.75
2.50,82.50
2.50,86.25
2.50,90.00
2.60,30.00
2.60,33.75
2.60,37.50
