vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.25,45.0,23,0.88,0.88,[4.  5.2],[2. 2.],5.3,0.01,4.99,0.12,0.0,0.0,5.4501,0.0726,29.575,0.9804,-5.3768,0.0768,1.9383,0.0027,0.1617,0.879,0.0,4.849,2.463,11.7361,2.9491,0.7759,0.0145,0.2039,0.0445,,,0.1387,0.0063
1.25,45.0,24,0.88,0.88,[5.   6.15],[2. 2.],4.94,0.0,5.86,0.0,0.0,0.0,5.0731,0.056,24.2226,0.5489,-5.0009,0.0602,1.9214,0.002,0.1786,0.879,0.0,0.1792,0.4059,7.5236,3.7798,0.7276,0.0179,0.2439,0.0437,,,0.1436,0.0051
1.25,50.0,10,0.8,0.96,[4.3  6.31],[2. 2.],5.78,0.0,6.69,0.0,0.0,0.0,5.966,0.1005,35.6113,1.2029,-4.9385,0.0793,1.9402,0.0027,0.1598,0.953,0.0,14.1094,3.0457,23.504,4.5804,0.739,0.0085,0.6141,0.0238,,,0.1006,0.0028
1.25,50.0,11,0.8,0.96,[6.97 3.07],[2. 2.],4.63,0.0,8.17,0.0,0.0667,0.8333,4.75,0.0619,21.3506,0.5577,-3.9239,0.0513,1.8937,0.0027,0.2063,0.953,0.0,0.8148,0.2952,4.156,1.49,0.3665,0.2852,0.3392,0.116,53.5427,0.0511,0.2136,0.1477
1.25,50.0,20,0.8,0.96,[1.   4.99],[2. 2.],4.65,0.0,7.58,0.03,0.0,0.6333,4.795,0.0665,21.6992,0.97,-3.9606,0.0545,1.8953,0.0045,0.2047,0.953,0.0,0.6448,0.3549,4.7124,3.0814,0.3771,0.2757,0.2738,0.1201,,,0.2134,0.142
1.25,50.0,21,0.8,0.96,[2.   5.78],[2. 2.],5.31,0.0,7.98,0.0,0.0,0.0,5.4616,0.0532,29.5288,0.5627,-4.5176,0.0486,1.9246,0.0017,0.1754,0.953,0.0,8.1375,1.1661,27.4373,0.7121,0.701,0.0156,0.6417,0.0244,,,0.108,0.002
1.25,50.0,22,0.8,0.96,[3.   5.87],[2. 2.],5.95,0.0,3.64,0.01,0.0,0.0,6.1168,0.0782,37.4189,0.9849,-5.0631,0.0662,1.9442,0.0021,0.1558,0.953,0.0,9.9929,2.4908,11.6886,2.1306,0.7364,0.0105,0.1633,0.0563,,,0.1405,0.0069
1.25,50.0,23,0.8,0.96,[4.   5.73],[2. 2.],4.48,0.0,9.49,0.46,0.0,0.8,4.5892,0.0674,20.5924,1.1645,-3.7873,0.059,1.8897,0.006,0.2103,0.953,0.0,1.1063,0.0801,2.7265,0.8901,0.4052,0.0258,0.4284,0.0747,,,0.1558,0.0053
1.25,50.0,24,0.8,0.96,[5.   4.82],[2. 2.],4.59,0.01,8.35,0.0,0.0,0.8,4.7092,0.0693,20.8512,0.6007,-3.8856,0.0604,1.8912,0.003,0.2088,0.953,0.0,0.845,0.3492,3.6238,1.5934,0.3708,0.2617,0.3534,0.1085,,,0.2022,0.1341
1.25,55.0,20,0.72,1.02,[1.   3.94],[2. 2.],5.69,0.0,4.17,0.01,0.0,0.0,5.854,0.1162,31.6247,1.2061,-4.0341,0.0839,1.9187,0.0035,0.1813,1.019,0.0,4.6863,3.3019,11.1151,3.4923,0.6223,0.0171,0.2257,0.062,,,0.1456,0.0092
1.25,55.0,21,0.72,1.02,[2.   7.59],[2. 2.],4.69,0.0,8.88,0.0,0.0,0.7333,4.8222,0.0632,22.1975,1.0651,-3.3159,0.0429,1.8835,0.0051,0.2165,1.019,0.0,,,,,,,,,,,,
1.25,55.0,22,0.72,1.02,[3.   7.69],[2. 2.],6.91,0.0,3.82,0.44,0.0,0.0,7.1681,0.1576,51.4276,2.3034,-4.9589,0.1116,1.9578,0.0032,0.1422,1.019,0.0,,,,,,,,,,,,
1.25,55.0,23,0.72,1.02,[4.  6.3],[2. 2.],5.26,0.0,5.21,0.05,0.0,0.0,5.4022,0.0656,26.8028,0.6256,-3.7152,0.0438,1.9031,0.0023,0.1969,1.019,0.0,0.4234,0.7959,10.142,2.5917,0.5796,0.0161,0.3014,0.0418,,,0.1482,0.0047
