Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.5,90.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[0.026 0.086],[0.014 0.021]
1.5,90.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[0.038 0.024],[0.012 0.004]
1.6,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.716 2.045],[0.131 0.039]
1.6,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.824 7.616],[0.016 0.044]
1.6,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.912 5.089],[0.034 0.037]
1.6,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.896 6.328],[0.022 0.029]
1.6,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.433 6.348],[0.001 0.38 ]
1.6,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.177 4.564],[0.044 0.011]
1.6,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.074 6.236],[0.038 1.117]
1.6,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.886 7.909],[0.016 0.159]
1.6,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.668 5.909],[0.078 0.219]
1.6,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.947 5.246],[0.025 0.032]
1.6,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.23  7.251],[0.042 0.017]
1.6,41.25,2,0.0,1.57,37.833,0.179,-7.384,0.169,-7.652,0.963,1.24,[1.871 7.488],[0.016 0.142]
1.6,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.149 7.181],[0.07  0.058]
1.6,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.136 7.534],[0.091 0.072]
1.6,45.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.036 8.924],[0.014 0.049]
1.6,48.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.126 9.269],[0.046 0.279]
1.6,48.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.18  7.901],[0.033 0.008]
1.6,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.104 7.155],[0.017 0.355]
1.6,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.856 1.907],[0.013 0.021]
1.6,52.5,1,0.0,1.543,49.652,0.189,-4.537,0.221,-4.91,1.176,0.999,[1.951 4.931],[0.001 0.371]
1.6,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.208 7.497],[0.016 0.142]
1.6,56.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.938 6.732],[0.007 0.046]
1.6,56.25,1,0.0,1.535,52.943,0.18,-4.252,0.219,-8.003,1.225,0.925,[1.852 7.995],[0.008 0.025]
1.6,56.25,2,0.0,1.552,53.647,0.203,-3.644,0.253,-5.363,1.25,0.92,[2.073 5.372],[0.032 0.047]
1.6,60.0,0,0.0,1.541,57.238,0.199,-3.259,0.257,-4.97,1.296,0.834,[2.029 4.967],[0.002 0.038]
1.6,60.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.96  6.938],[0.004 0.037]
1.6,60.0,2,0.0,1.53,57.245,0.207,-3.128,0.265,-5.267,1.287,0.828,[2.119 5.253],[0.002 0.037]
1.6,63.75,0,0.0,1.521,62.424,0.212,-2.451,0.285,-3.174,1.348,0.704,[2.155 3.402],[0.003 0.343]
1.6,63.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.142 7.771],[0.011 0.041]
1.6,63.75,2,0.17,1.264,63.699,0.171,-1.839,0.243,-5.849,1.133,0.56,[2.208 5.782],[0.018 1.057]
1.6,67.5,0,0.11,0.773,66.354,0.108,-1.014,0.152,-7.233,0.708,0.31,[2.169 7.254],[0.004 0.046]
1.6,67.5,1,0.0,1.546,65.59,0.207,-2.208,0.291,-6.747,1.408,0.639,[2.125 6.787],[0.035 0.123]
1.6,67.5,2,0.0,1.538,65.368,0.223,-2.035,0.312,-4.603,1.398,0.641,[2.199 4.439],[0.022 0.249]
