vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.7,75.0,0,0.0,,,,,,,,,,,,,[0.881 3.835],[0.199 1.043]
1.7,78.75,0,0.0,,,,,,,,,,,,,[0.215 3.848],[0.527 1.757]
1.7,82.5,0,0.0,,,,,,,,,,,,,[0.148 6.936],[0.117 1.252]
1.7,86.25,0,0.0,,,,,,,,,,,,,[0.684 4.498],[0.158 2.145]
1.7,90.0,0,0.0,,,,,,,,,,,,,[0.118 3.756],[0.043 0.923]
1.8,30.0,0,0.0,,,,,,,,,,,,,[1.647 6.783],[0.537 1.443]
1.8,33.75,0,0.2778,0.2258,-7.785,0.1976,-8.076,0.8666,1.5512,0.0012,0.2035,0.0048,0.1021,0.017,0.0181,[0.489 3.366],[0.192 0.367]
1.8,37.5,0,0.7778,0.2279,-6.7364,0.2198,-7.8091,0.9608,1.4912,0.0027,0.249,0.0063,0.1865,0.0242,0.0308,[0.541 8.724],[0.166 1.046]
1.8,41.25,0,0.8889,0.2274,-5.8034,0.2394,-7.6611,1.0512,1.3989,0.0021,0.2314,0.0078,0.1887,0.0256,0.0307,[0.321 5.007],[0.221 0.435]
1.8,45.0,0,0.8889,0.2261,-5.0295,0.2608,-7.3861,1.1486,1.3206,0.003,0.2481,0.0118,0.2076,0.0468,0.0284,[0.59  4.854],[0.347 0.397]
1.8,48.75,0,1.0,0.2248,-4.3627,0.279,-7.0568,1.2339,1.228,0.0029,0.1599,0.0098,0.1819,0.0404,0.0203,[0.382 4.928],[0.16  0.742]
1.8,52.5,0,1.0,0.2224,-3.8697,0.2901,-6.8214,1.2984,1.1349,0.0028,0.0942,0.0085,0.1428,0.0328,0.021,[0.798 8.025],[0.582 0.815]
1.8,56.25,0,1.0,0.2196,-3.3454,0.3066,-6.5504,1.3914,1.0381,0.0027,0.1426,0.0123,0.1913,0.0402,0.0161,[0.323 5.201],[0.274 1.085]
1.8,60.0,0,0.7778,0.2194,-3.0076,0.3149,-6.2931,1.4369,0.9529,0.0017,0.1762,0.0088,0.1926,0.0287,0.0338,[0.416 5.274],[0.206 2.345]
1.8,63.75,0,0.2778,0.2174,-2.5518,0.3226,-5.988,1.485,0.8298,0.0016,0.0301,0.0025,0.1109,0.0229,0.014,[1.688 6.434],[0.446 1.518]
1.8,67.5,0,0.0,,,,,,,,,,,,,[0.678 8.27 ],[0.32  1.309]
1.8,71.25,0,0.0,,,,,,,,,,,,,[0.514 7.029],[0.284 0.603]
1.8,75.0,0,0.0,,,,,,,,,,,,,[0.785 8.773],[0.485 1.233]
1.8,78.75,0,0.0,,,,,,,,,,,,,[0.096 3.473],[0.05  0.255]
1.8,82.5,0,0.0,,,,,,,,,,,,,[0.359 5.038],[0.101 1.093]
1.8,86.25,0,0.0,,,,,,,,,,,,,[0.266 5.275],[0.121 0.337]
1.8,90.0,0,0.0,,,,,,,,,,,,,[1.248 5.674],[0.678 0.435]
1.9,30.0,0,0.0,,,,,,,,,,,,,[0.17  6.948],[0.047 0.435]
1.9,33.75,0,0.8889,0.2271,-7.7724,0.2081,-7.9079,0.9146,1.6264,0.0019,0.3134,0.0082,0.1568,0.0278,0.0214,[0.577 2.552],[0.545 0.841]
1.9,37.5,0,1.0,0.228,-6.5357,0.2369,-7.7292,1.0311,1.5624,0.0022,0.2566,0.0103,0.1944,0.0302,0.0206,[0.198 5.376],[0.128 1.236]
1.9,41.25,0,1.0,0.2277,-5.5012,0.2666,-7.4558,1.1566,1.4838,0.0027,0.3679,0.0174,0.2013,0.0704,0.02,[1.308 3.29 ],[0.308 1.059]
1.9,45.0,0,0.9444,0.2264,-4.8881,0.2828,-7.2696,1.2384,1.3994,0.0026,0.2194,0.0106,0.1489,0.045,0.0297,[0.647 7.273],[0.152 2.289]
1.9,48.75,0,1.0,0.2233,-4.3546,0.2922,-7.0957,1.3038,1.2826,0.0048,0.1726,0.0122,0.2558,0.0485,0.0175,[0.345 6.213],[0.357 0.266]
1.9,52.5,0,0.9444,0.2222,-3.8462,0.3079,-6.8375,1.3835,1.1967,0.0025,0.1259,0.0096,0.182,0.0371,0.022,[2.469 5.4  ],[1.265 0.635]
