Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,-90,0,--,4,False,0.5,-90.0,0.301,3.314,0.106,-0.118,3.35,0.256,0.0,-0.496,0.928,[0.066 0.05  0.162 0.65  0.   ],--,1,0,0,0,0,0
0.5,-90,1,--,4,False,0.5,-90.12,0.309,3.241,0.109,-0.246,2.784,0.512,-0.001,-0.498,0.918,[0.067 0.05  0.151 0.65  0.   ],--,1,0,0,0,0,0
0.5,-90,2,--,4,False,0.5,-90.0,0.305,3.28,0.107,-0.536,3.535,1.023,0.0,-0.497,0.895,[0.07  0.05  0.125 0.65  0.   ],--,1,0,0,0,0,0
0.5,-90,3,--,4,False,0.5,-90.0,0.311,3.21,0.11,-0.34,1.804,0.503,0.0,-0.498,0.909,[0.066 0.05  0.143 0.65  0.   ],--,1,0,0,0,0,0
0.5,-90,4,--,4,False,0.5,-90.12,0.31,3.231,0.109,-0.152,3.044,0.306,-0.001,-0.497,0.92,[0.06  0.05  0.159 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,0,--,4,False,0.5,-85.05,0.314,2.672,0.12,-0.674,3.213,0.678,0.043,-0.496,0.869,[0.058 0.05  0.111 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,1,--,4,False,0.5,-85.16,0.313,2.691,0.119,-0.855,2.827,1.233,0.042,-0.496,0.858,[0.065 0.05  0.093 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,2,--,4,False,0.5,-85.05,0.324,2.589,0.124,-0.457,3.115,0.363,0.043,-0.496,0.89,[0.058 0.05  0.132 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,3,--,4,False,0.5,-85.05,0.312,2.695,0.119,-0.933,3.787,0.975,0.043,-0.496,0.845,[0.06  0.05  0.085 0.65  0.   ],--,1,0,0,0,0,0
0.5,-85,4,--,4,False,0.5,-85.05,0.315,2.667,0.12,-0.412,3.609,0.449,0.043,-0.496,0.9,[0.063 0.05  0.136 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,0,--,4,False,0.5,-79.93,0.315,2.22,0.128,-0.898,1.78,0.674,0.087,-0.49,0.847,[0.058 0.05  0.089 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,1,--,4,False,0.5,-79.95,0.325,2.153,0.133,-1.127,3.122,0.676,0.087,-0.491,0.82,[0.053 0.05  0.067 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,2,--,4,False,0.5,-79.82,0.31,2.249,0.127,-0.344,3.607,0.547,0.088,-0.49,0.909,[0.067 0.05  0.143 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,3,--,4,False,0.5,-80.05,0.309,2.267,0.126,-0.765,2.735,0.588,0.086,-0.49,0.863,[0.061 0.05  0.102 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,4,--,4,False,0.5,-79.93,0.318,2.199,0.13,-0.731,2.754,0.579,0.087,-0.49,0.862,[0.056 0.05  0.105 0.65  0.   ],--,1,0,0,0,0,0
0.5,-75,0,--,4,False,0.5,-74.96,0.316,1.829,0.136,-1.082,2.954,0.659,0.129,-0.48,0.828,[0.057 0.05  0.071 0.65  0.   ],--,1,0,0,0,0,0
0.5,-75,1,--,4,False,0.5,-74.99,0.326,1.771,0.141,-0.725,2.458,0.334,0.129,-0.481,0.859,[0.053 0.05  0.106 0.65  0.   ],--,1,0,0,0,0,0
0.5,-75,2,--,4,False,0.5,-74.96,0.316,1.827,0.136,-0.674,1.539,0.424,0.129,-0.48,0.869,[0.057 0.05  0.111 0.65  0.   ],--,1,0,0,0,0,0
0.5,-75,3,--,4,False,0.5,-74.99,0.325,1.776,0.14,-0.89,2.882,0.539,0.129,-0.481,0.847,[0.058 0.05  0.09  0.65  0.   ],--,1,0,0,0,0,0
0.5,-75,4,--,4,False,0.5,-74.88,0.328,1.756,0.142,-2.105,1.824,1.378,0.13,-0.481,0.76,[0.057 0.05  0.003 0.65  0.   ],--,1,0,0,0,0,0
0.5,-70,0,--,4,False,0.5,-69.78,0.315,1.47,0.142,-0.838,2.953,0.546,0.172,-0.467,0.858,[0.064 0.05  0.095 0.65  0.   ],--,1,0,0,0,0,0
0.5,-70,1,--,4,False,0.5,-69.9,0.337,1.378,0.153,-0.577,3.602,0.312,0.172,-0.47,0.873,[0.052 0.05  0.121 0.65  0.   ],--,1,0,0,0,0,0
0.5,-70,2,--,4,False,0.5,-69.89,0.327,1.42,0.148,-2.379,1.584,1.22,0.171,-0.467,0.753,[0.052 0.05  0.    0.65  0.   ],--,1,0,0,0,0,0
0.5,-70,3,--,4,False,0.5,-69.82,0.331,1.4,0.15,-0.538,1.956,0.445,0.172,-0.468,0.88,[0.055 0.05  0.124 0.65  0.   ],--,1,0,0,0,0,0
0.5,-70,4,--,4,False,0.5,-69.89,0.318,1.459,0.143,-3.088,2.575,1.488,0.171,-0.467,0.782,[0.056 0.05  0.026 0.65  0.   ],--,1,0,0,0,0,0
0.5,-65,0,--,4,False,0.5,-64.72,0.331,1.087,0.155,-2.737,2.163,0.945,0.213,-0.451,0.758,[0.051 0.05  0.007 0.65  0.   ],--,1,0,0,0,0,0
0.5,-65,1,--,4,False,0.5,-65.03,0.321,1.133,0.15,-2.049,2.935,0.958,0.21,-0.451,0.76,[0.055 0.05  0.005 0.65  0.   ],--,1,0,0,0,0,0
0.5,-65,2,--,4,False,0.5,-64.93,0.324,1.12,0.152,-6.973,2.273,2.561,0.211,-0.451,0.863,[0.054 0.05  0.11  0.65  0.   ],--,1,0,0,0,0,0
0.5,-65,3,--,4,False,0.5,-64.82,0.328,1.096,0.154,-4.919,1.734,1.93,0.212,-0.451,0.936,[0.052 0.05  0.184 0.65  0.   ],--,1,0,0,0,0,0
0.5,-65,4,--,4,False,0.5,-64.82,0.327,1.103,0.153,-1.889,3.463,0.712,0.212,-0.451,0.763,[0.053 0.05  0.011 0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,0,--,4,False,0.5,-59.98,0.324,0.824,0.156,-3.085,2.131,1.088,0.249,-0.431,0.779,[0.054 0.05  0.025 0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,1,--,4,False,0.5,-59.98,0.344,0.778,0.165,-4.892,1.932,1.552,0.249,-0.431,0.929,[0.046 0.05  0.182 0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,2,--,4,False,0.5,-59.93,0.333,0.803,0.16,-3.448,2.938,1.06,0.249,-0.43,0.804,[0.05  0.05  0.054 0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,3,--,4,False,0.5,-59.93,0.336,0.793,0.161,-3.223,2.679,1.007,0.249,-0.43,0.784,[0.049 0.05  0.035 0.65  0.   ],--,1,0,0,0,0,0
0.5,-60,4,--,4,False,0.5,-59.93,0.329,0.813,0.158,-3.305,2.384,1.311,0.249,-0.43,0.798,[0.056 0.05  0.042 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,0,--,4,False,0.5,-54.97,0.329,0.533,0.161,-1.481,2.11,0.573,0.286,-0.408,0.788,[0.052 0.05  0.036 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,1,--,4,False,0.5,-54.88,0.328,0.532,0.161,-1.305,1.685,0.623,0.287,-0.408,0.807,[0.057 0.05  0.05  0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,2,--,4,False,0.5,-54.97,0.33,0.533,0.162,-3.122,2.548,1.208,0.286,-0.408,0.779,[0.051 0.05  0.028 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,3,--,4,False,0.5,-54.78,0.336,0.512,0.165,-1.759,2.632,0.812,0.288,-0.408,0.77,[0.053 0.05  0.017 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,4,--,4,False,0.5,-54.97,0.343,0.511,0.168,-6.304,2.396,1.891,0.286,-0.408,0.919,[0.05  0.05  0.169 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,0,--,4,False,0.5,-49.89,0.334,0.258,0.166,-3.526,2.595,1.057,0.321,-0.381,0.811,[0.05  0.05  0.061 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,1,--,4,False,0.5,-49.78,0.337,0.249,0.168,-4.889,2.095,1.624,0.323,-0.382,0.935,[0.052 0.05  0.182 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,2,--,4,False,0.5,-49.97,0.34,0.256,0.169,-4.261,2.787,1.351,0.32,-0.381,0.884,[0.051 0.05  0.133 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,3,--,4,False,0.5,-49.97,0.338,0.254,0.168,-7.826,3.484,2.082,0.32,-0.381,0.779,[0.048 0.05  0.031 0.65  0.   ],--,1,0,0,0,0,0
0.5,-50,4,--,4,False,0.5,-49.9,0.326,0.264,0.162,-1.569,1.68,0.64,0.32,-0.38,0.787,[0.057 0.05  0.029 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,0,--,4,False,0.5,-44.92,0.339,-0.005,0.169,-2.29,2.95,0.769,0.353,-0.352,0.752,[0.052 0.05  0.    0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,1,--,4,False,0.5,-44.76,0.315,-0.01,0.157,-3.836,1.935,1.599,0.353,-0.35,0.854,[0.064 0.05  0.091 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,2,--,4,False,0.5,-44.92,0.331,-0.006,0.166,-4.198,2.66,1.415,0.354,-0.353,0.882,[0.055 0.05  0.127 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,3,--,4,False,0.5,-44.92,0.334,-0.003,0.166,-3.523,2.495,1.189,0.352,-0.351,0.814,[0.054 0.05  0.061 0.65  0.   ],--,1,0,0,0,0,0
0.5,-45,4,--,4,False,0.5,-44.84,0.326,-0.005,0.162,-3.349,2.217,1.316,0.354,-0.352,0.804,[0.058 0.05  0.045 0.65  0.   ],--,1,0,0,0,0,0
