Step,Value,Episode
20286,0.193,1620
20342,0.206,1624
20382,0.210,1628
20432,0.222,1632
20476,0.233,1636
20505,0.233,1640
20545,0.243,1644
20558,0.241,1648
20597,0.231,1652
20642,0.240,1656
20684,0.248,1660
20714,0.254,1664
20754,0.258,1668
20780,0.252,1672
20807,0.246,1676
20855,0.273,1680
20899,0.268,1684
20919,0.253,1688
20951,0.254,1692
20992,0.245,1696
21035,0.261,1700
21082,0.264,1704
21117,0.267,1708
21160,0.263,1712
21193,0.262,1716
21234,0.259,1720
21252,0.245,1724
21286,0.242,1728
21324,0.229,1732
21372,0.237,1736
21397,0.237,1740
21441,0.229,1744
21469,0.230,1748
21500,0.230,1752
21540,0.217,1756
21579,0.204,1760
21617,0.199,1764
21648,0.201,1768
21684,0.202,1772
21710,0.203,1776
21752,0.182,1780
21795,0.180,1784
21831,0.190,1788
21869,0.196,1792
21917,0.208,1796
21933,0.191,1800
21969,0.187,1804
22007,0.187,1808
22057,0.189,1812
22101,0.192,1816
22134,0.182,1820
22154,0.183,1824
22194,0.177,1828
22243,0.186,1832
22277,0.168,1836
22318,0.169,1840
22359,0.186,1844
22429,0.186,1848
22507,0.192,1852
22527,0.195,1856
22578,0.205,1860
22621,0.216,1864
22681,0.227,1868
22722,0.227,1872
22768,0.228,1876
22803,0.222,1880
22821,0.216,1884
22857,0.213,1888
22875,0.207,1892
22910,0.201,1896
22941,0.202,1900
22993,0.204,1904
23043,0.209,1908
23075,0.208,1912
23127,0.207,1916
23166,0.208,1920
23218,0.218,1924
23254,0.218,1928
23269,0.208,1932
23323,0.223,1936
23360,0.223,1940
23388,0.204,1944
23424,0.205,1948
23465,0.199,1952
23485,0.195,1956
23526,0.194,1960
23566,0.196,1964
23608,0.183,1968
23644,0.183,1972
23691,0.200,1976
23715,0.200,1980
23757,0.201,1984
23804,0.204,1988
23833,0.204,1992
23863,0.206,1996
23888,0.205,2000
23923,0.209,2004
23965,0.196,2008
24012,0.191,2012
24053,0.188,2016
24095,0.188,2020
24147,0.187,2024
24194,0.198,2028
24239,0.200,2032
24288,0.185,2036
24339,0.195,2040
24378,0.204,2044
24424,0.215,2048
24470,0.222,2052
24529,0.241,2056
24578,0.234,2060
24618,0.230,2064
24677,0.232,2068
24727,0.240,2072
24784,0.242,2076
24844,0.265,2080
24894,0.278,2084
24915,0.268,2088
24941,0.268,2092
24985,0.261,2096
25029,0.272,2100
25078,0.279,2104
25122,0.289,2108
25181,0.302,2112
25242,0.305,2116
25295,0.312,2120
25338,0.321,2124
25377,0.310,2128
25402,0.309,2132
25455,0.322,2136
25496,0.321,2140
25537,0.321,2144
25589,0.312,2148
25631,0.305,2152
25678,0.288,2156
25707,0.286,2160
25763,0.283,2164
25791,0.273,2168
25837,0.270,2172
25879,0.255,2176
25915,0.233,2180
25937,0.218,2184
25981,0.220,2188
26035,0.230,2192
26079,0.230,2196
26109,0.219,2200
26166,0.223,2204
26225,0.224,2208
26264,0.210,2212
26322,0.202,2216
26362,0.195,2220
26410,0.178,2224
26456,0.184,2228
26508,0.194,2232
26540,0.189,2236
26592,0.199,2240
26630,0.190,2244
26686,0.194,2248
26730,0.194,2252
26775,0.203,2256
26831,0.213,2260
26862,0.214,2264
26923,0.224,2268
26971,0.220,2272
27011,0.216,2276
27034,0.215,2280
27053,0.215,2284
27094,0.221,2288
27126,0.211,2292
27189,0.227,2296
27231,0.234,2300
27263,0.219,2304
27317,0.219,2308
27359,0.223,2312
27417,0.245,2316
27474,0.261,2320
27521,0.266,2324
27559,0.260,2328
27595,0.251,2332
27637,0.243,2336
27664,0.224,2340
27705,0.225,2344
27752,0.220,2348
27773,0.219,2352
27798,0.208,2356
27839,0.199,2360
27874,0.192,2364
27901,0.182,2368
27948,0.182,2372
27980,0.185,2376
28015,0.194,2380
28049,0.195,2384
28089,0.197,2388
28124,0.197,2392
28148,0.181,2396
28188,0.175,2400
28230,0.171,2404
28270,0.170,2408
28294,0.165,2412
28319,0.142,2416
28360,0.134,2420
28400,0.128,2424
28432,0.128,2428
28481,0.139,2432
28523,0.139,2436
28550,0.139,2440
28587,0.139,2444
28639,0.143,2448
28687,0.152,2452
28727,0.153,2456
28753,0.157,2460
28797,0.161,2464
28845,0.172,2468
28898,0.176,2472
28924,0.172,2476
28972,0.188,2480
29036,0.195,2484
29074,0.186,2488
29130,0.192,2492
29178,0.193,2496
29212,0.193,2500
29241,0.192,2504
29293,0.193,2508
29348,0.208,2512
29410,0.218,2516
29449,0.209,2520
29490,0.219,2524
29534,0.226,2528
29571,0.219,2532
29631,0.235,2536
29674,0.241,2540
29718,0.242,2544
29763,0.263,2548
29800,0.255,2552
29822,0.254,2556
29868,0.259,2560
29933,0.285,2564
29991,0.300,2568
30047,0.306,2572
30073,0.306,2576
30114,0.289,2580
30157,0.282,2584
30211,0.298,2588
30241,0.293,2592
30287,0.293,2596
30323,0.294,2600
30369,0.300,2604
30412,0.291,2608
30463,0.287,2612
30511,0.286,2616
30571,0.310,2620
30634,0.301,2624
30691,0.305,2628
30734,0.306,2632
30794,0.308,2636
30852,0.318,2640
30910,0.327,2644
30972,0.330,2648
31035,0.344,2652
31085,0.360,2656
31133,0.361,2660
31182,0.352,2664
31243,0.333,2668
31281,0.322,2672
31320,0.323,2676
31369,0.330,2680
31427,0.337,2684
31465,0.335,2688
31511,0.359,2692
31570,0.365,2696
31619,0.382,2700
31665,0.393,2704
31728,0.402,2708
31779,0.408,2712
31827,0.404,2716
31891,0.404,2720
31938,0.413,2724
31985,0.418,2728
32049,0.418,2732
32118,0.419,2736
32169,0.416,2740
32229,0.420,2744
32292,0.415,2748
32363,0.420,2752
32417,0.423,2756
32460,0.414,2760
32520,0.408,2764
32579,0.423,2768
32646,0.451,2772
32713,0.476,2776
32747,0.463,2780
32799,0.479,2784
32837,0.474,2788
32878,0.466,2792
32941,0.471,2796
33004,0.490,2800
33065,0.503,2804
33134,0.520,2808
33177,0.517,2812
33244,0.535,2816
33310,0.534,2820
33361,0.537,2824
33402,0.540,2828
33454,0.561,2832
33518,0.568,2836
33561,0.560,2840
33538,0.572,2842
33572,0.567,2843
33621,0.564,2844
33673,0.557,2845
33724,0.560,2846
33785,0.564,2847
33826,0.580,2848
33891,0.594,2849
33956,0.580,2850
33992,0.568,2851
34069,0.560,2852
34117,0.567,2853
34177,0.570,2854
34245,0.585,2855
34298,0.583,2856
34346,0.571,2857
34391,0.549,2858
34452,0.536,2859
34515,0.529,2860
34588,0.537,2861
34658,0.550,2862
34706,0.545,2863
34776,0.550,2864
34844,0.569,2865
34908,0.561,2866
34955,0.544,2867
35020,0.556,2868
35090,0.581,2869
35159,0.584,2870
35227,0.589,2871
35290,0.575,2872
35360,0.582,2873
35432,0.587,2874
35505,0.613,2875
35577,0.625,2876
35647,0.638,2877
35711,0.642,2878
35778,0.634,2879
35846,0.628,2880
35919,0.648,2881
35983,0.666,2882
36048,0.675,2883
36122,0.687,2884
36195,0.694,2885
36261,0.694,2886
36337,0.682,2887
36407,0.689,2888
36471,0.695,2889
36545,0.677,2890
36616,0.684,2891
36683,0.700,2892
36753,0.712,2893
36823,0.694,2894
36896,0.707,2895
36969,0.709,2896
37040,0.726,2897
37110,0.725,2898
37174,0.721,2899
37243,0.713,2900
37311,0.705,2901
37380,0.693,2902
37450,0.707,2903
37523,0.706,2904
37596,0.705,2905
37673,0.694,2906
37741,0.699,2907
37813,0.694,2908
37880,0.691,2909
37951,0.701,2910
38029,0.702,2911
38099,0.700,2912
38166,0.692,2913
38239,0.685,2914
38312,0.694,2915
38378,0.699,2916
38444,0.697,2917
38516,0.688,2918
38581,0.693,2919
38651,0.695,2920
38717,0.683,2921
38783,0.676,2922
38855,0.672,2923
38921,0.655,2924
38992,0.652,2925
39052,0.651,2926
39149,0.653,2927
39221,0.656,2928
39290,0.659,2929
39369,0.665,2930
39428,0.659,2931
39498,0.662,2932
39574,0.675,2933
39645,0.672,2934
39716,0.663,2935
39800,0.661,2936
39871,0.666,2937
39937,0.683,2938
40014,0.686,2939
40091,0.687,2940
40172,0.678,2941
40275,0.668,2942
40352,0.674,2943
40426,0.678,2944
40494,0.656,2945
40573,0.668,2946
40651,0.680,2947
40719,0.694,2948
40790,0.703,2949
40859,0.704,2950
40932,0.721,2951
40996,0.730,2952
41061,0.724,2953
41127,0.735,2954
41200,0.740,2955
41266,0.757,2956
41331,0.755,2957
41400,0.750,2958
41467,0.762,2959
41538,0.771,2960
41609,0.776,2961
41676,0.783,2962
41751,0.771,2963
41816,0.783,2964
41890,0.790,2965
41963,0.787,2966
42027,0.789,2967
42104,0.780,2968
42172,0.783,2969
42241,0.806,2970
42306,0.801,2971
42375,0.797,2972
42449,0.783,2973
42525,0.785,2974
42603,0.787,2975
42682,0.768,2976
42757,0.758,2977
42835,0.761,2978
42912,0.749,2979
42982,0.749,2980
43054,0.741,2981
43125,0.745,2982
43202,0.749,2983
43278,0.737,2984
43350,0.728,2985
43429,0.723,2986
43513,0.709,2987
43591,0.702,2988
43669,0.691,2989
43748,0.679,2990
43827,0.692,2991
43909,0.688,2992
44001,0.677,2993
44080,0.665,2994
44163,0.652,2995
44242,0.648,2996
44323,0.638,2997
44409,0.643,2998
44491,0.636,2999
44570,0.627,3000
44678,0.616,3001
44781,0.606,3002
44865,0.601,3003
44946,0.596,3004
45027,0.589,3005
45117,0.583,3006
45203,0.570,3007
45281,0.553,3008
45366,0.545,3009
45449,0.535,3010
45531,0.528,3011
45610,0.534,3012
45690,0.538,3013
45771,0.539,3014
45850,0.541,3015
45935,0.531,3016
46016,0.537,3017
46098,0.543,3018
46180,0.554,3019
46264,0.546,3020
46343,0.558,3021
46425,0.560,3022
46504,0.552,3023
46582,0.548,3024
46660,0.549,3025
46751,0.558,3026
46828,0.568,3027
46932,0.570,3028
47009,0.584,3029
47094,0.579,3030
47171,0.580,3031
47251,0.595,3032
47331,0.603,3033
47413,0.608,3034
47497,0.608,3035
47574,0.624,3036
47657,0.616,3037
47731,0.622,3038
47813,0.616,3039
47892,0.616,3040
47977,0.612,3041
48063,0.611,3042
48147,0.612,3043
48234,0.602,3044
48318,0.605,3045
48401,0.591,3046
48484,0.587,3047
48565,0.591,3048
48645,0.599,3049
48738,0.593,3050
48824,0.591,3051
48900,0.592,3052
48978,0.597,3053
49047,0.589,3054
49123,0.594,3055
49200,0.599,3056
49268,0.589,3057
49346,0.593,3058
49421,0.596,3059
49490,0.606,3060
49559,0.600,3061
49625,0.597,3062
49696,0.595,3063
49767,0.601,3064
49839,0.602,3065
49910,0.610,3066
49988,0.610,3067
50045,0.606,3068
50117,0.618,3069
50183,0.621,3070
50252,0.624,3071
50319,0.629,3072
50384,0.620,3073
50454,0.621,3074
50522,0.625,3075
50592,0.645,3076
50656,0.642,3077
50724,0.641,3078
50799,0.648,3079
50869,0.657,3080
50941,0.660,3081
51012,0.666,3082
51088,0.661,3083
51164,0.658,3084
51244,0.650,3085
51316,0.647,3086
51387,0.652,3087
51466,0.649,3088
51541,0.659,3089
51617,0.662,3090
51691,0.666,3091
51762,0.668,3092
51843,0.669,3093
51913,0.660,3094
51988,0.651,3095
52066,0.652,3096
52134,0.665,3097
52202,0.680,3098
52269,0.689,3099
52341,0.705,3100
52410,0.697,3101
52483,0.697,3102
52558,0.698,3103
52636,0.690,3104
52706,0.692,3105
52780,0.685,3106
52858,0.687,3107
52927,0.694,3108
53003,0.701,3109
53073,0.718,3110
53142,0.727,3111
53221,0.729,3112
53301,0.739,3113
53378,0.724,3114
53452,0.724,3115
53524,0.716,3116
53601,0.722,3117
53674,0.742,3118
53743,0.753,3119
53820,0.768,3120
53897,0.772,3121
53973,0.769,3122
54038,0.771,3123
54105,0.769,3124
54173,0.766,3125
54242,0.777,3126
54309,0.794,3127
54374,0.799,3128
54453,0.806,3129
54520,0.807,3130
54602,0.803,3131
54691,0.795,3132
54773,0.795,3133
54843,0.791,3134
54911,0.786,3135
54985,0.784,3136
55058,0.795,3137
55131,0.793,3138
55207,0.805,3139
55286,0.809,3140
55365,0.816,3141
55433,0.814,3142
55509,0.806,3143
55599,0.793,3144
55678,0.791,3145
55746,0.796,3146
55819,0.791,3147
55890,0.795,3148
55968,0.782,3149
56038,0.782,3150
56112,0.777,3151
56199,0.764,3152
56271,0.764,3153
56359,0.763,3154
56434,0.760,3155
56517,0.760,3156
56604,0.767,3157
56670,0.774,3158
56739,0.781,3159
56820,0.773,3160
56890,0.773,3161
56964,0.768,3162
57033,0.770,3163
57108,0.758,3164
57180,0.763,3165
57252,0.766,3166
57338,0.760,3167
57416,0.762,3168
57487,0.767,3169
57558,0.774,3170
57625,0.777,3171
57701,0.778,3172
57773,0.778,3173
57852,0.785,3174
57968,0.769,3175
58092,0.754,3176
58196,0.750,3177
58266,0.743,3178
58358,0.728,3179
58436,0.716,3180
58518,0.717,3181
58592,0.711,3182
58675,0.696,3183
58753,0.686,3184
58828,0.690,3185
58908,0.683,3186
58979,0.684,3187
59046,0.681,3188
59123,0.687,3189
59191,0.668,3190
59265,0.653,3191
59333,0.661,3192
59398,0.664,3193
59473,0.662,3194
59544,0.657,3195
59617,0.640,3196
59694,0.638,3197
59759,0.641,3198
59826,0.649,3199
59900,0.662,3200
59968,0.672,3201
60036,0.680,3202
60107,0.692,3203
60181,0.703,3204
60251,0.720,3205
60319,0.732,3206
60394,0.736,3207
60466,0.747,3208
60534,0.756,3209
60614,0.756,3210
60684,0.761,3211
60762,0.758,3212
60834,0.753,3213
60910,0.751,3214
60985,0.769,3215
61058,0.775,3216
61129,0.778,3217
61200,0.765,3218
61278,0.766,3219
61362,0.759,3220
61431,0.771,3221
61500,0.762,3222
61579,0.747,3223
61658,0.734,3224
61734,0.729,3225
61809,0.731,3226
61877,0.734,3227
61944,0.725,3228
62013,0.728,3229
62096,0.710,3230
62173,0.705,3231
62257,0.694,3232
62346,0.677,3233
62435,0.657,3234
62527,0.645,3235
62599,0.642,3236
62679,0.637,3237
62759,0.634,3238
62842,0.634,3239
62924,0.618,3240
63002,0.620,3241
63093,0.602,3242
63169,0.605,3243
63243,0.606,3244
63328,0.601,3245
63402,0.603,3246
63474,0.604,3247
63556,0.604,3248
63637,0.604,3249
63715,0.606,3250
63787,0.608,3251
63863,0.605,3252
63933,0.606,3253
64006,0.605,3254
64078,0.600,3255
64151,0.605,3256
64225,0.618,3257
64289,0.635,3258
64352,0.654,3259
64431,0.664,3260
64503,0.670,3261
64570,0.683,3262
64641,0.696,3263
64711,0.706,3264
64781,0.711,3265
64843,0.719,3266
64910,0.737,3267
64985,0.741,3268
65056,0.746,3269
65125,0.762,3270
65192,0.767,3271
65258,0.770,3272
65331,0.775,3273
65400,0.791,3274
65475,0.803,3275
65546,0.805,3276
65609,0.803,3277
65676,0.799,3278
65744,0.783,3279
65808,0.785,3280
65877,0.770,3281
65947,0.762,3282
66011,0.769,3283
66080,0.774,3284
66150,0.776,3285
66223,0.772,3286
66295,0.766,3287
66363,0.764,3288
66435,0.759,3289
66506,0.763,3290
66570,0.750,3291
66640,0.746,3292
66706,0.751,3293
66769,0.758,3294
66843,0.763,3295
66912,0.763,3296
66980,0.774,3297
67048,0.784,3298
67113,0.774,3299
67181,0.764,3300
67255,0.753,3301
67328,0.763,3302
67398,0.773,3303
67467,0.794,3304
67529,0.804,3305
67607,0.821,3306
67675,0.836,3307
67741,0.829,3308
67806,0.827,3309
67872,0.835,3310
67934,0.838,3311
68003,0.841,3312
68072,0.838,3313
68136,0.843,3314
68203,0.849,3315
68270,0.859,3316
68336,0.859,3317
68396,0.855,3318
68466,0.853,3319
68533,0.853,3320
68603,0.856,3321
68681,0.853,3322
68749,0.844,3323
68818,0.843,3324
68890,0.849,3325
68952,0.855,3326
69018,0.847,3327
69082,0.847,3328
69148,0.845,3329
69215,0.843,3330
69282,0.842,3331
69346,0.830,3332
69414,0.829,3333
69481,0.812,3334
69547,0.807,3335
69614,0.806,3336
69680,0.812,3337
69746,0.809,3338
69819,0.802,3339
69887,0.799,3340
69956,0.802,3341
70025,0.804,3342
70094,0.807,3343
70170,0.808,3344
70240,0.808,3345
70314,0.805,3346
70382,0.808,3347
70450,0.817,3348
70525,0.823,3349
70587,0.818,3350
70655,0.820,3351
70727,0.830,3352
70797,0.827,3353
70866,0.832,3354
70935,0.840,3355
71011,0.845,3356
71071,0.840,3357
71141,0.841,3358
71213,0.853,3359
71285,0.845,3360
71356,0.846,3361
71432,0.841,3362
71496,0.841,3363
71570,0.838,3364
71639,0.840,3365
71701,0.834,3366
71770,0.839,3367
71834,0.836,3368
71907,0.832,3369
71975,0.828,3370
72041,0.823,3371
72114,0.825,3372
72178,0.812,3373
72242,0.802,3374
72313,0.813,3375
72379,0.812,3376
72444,0.794,3377
72510,0.786,3378
72578,0.788,3379
72641,0.787,3380
72709,0.779,3381
72779,0.794,3382
72845,0.799,3383
72914,0.806,3384
72977,0.812,3385
73051,0.815,3386
73123,0.818,3387
73195,0.828,3388
73268,0.825,3389
73336,0.825,3390
73408,0.829,3391
73477,0.813,3392
73544,0.817,3393
73607,0.821,3394
73674,0.812,3395
73751,0.819,3396
73812,0.805,3397
73882,0.820,3398
73945,0.821,3399
74011,0.812,3400
74086,0.814,3401
74153,0.828,3402
74221,0.837,3403
74291,0.830,3404
74357,0.834,3405
74429,0.837,3406
74494,0.821,3407
74567,0.823,3408
74633,0.821,3409
74701,0.826,3410
74769,0.822,3411
74838,0.812,3412
74904,0.797,3413
74969,0.808,3414
75038,0.806,3415
75112,0.798,3416
75184,0.804,3417
75264,0.796,3418
75340,0.789,3419
75417,0.798,3420
75479,0.799,3421
75549,0.810,3422
75621,0.808,3423
75687,0.809,3424
75758,0.815,3425
75828,0.806,3426
75890,0.801,3427
75959,0.801,3428
76033,0.808,3429
76104,0.810,3430
76168,0.803,3431
76235,0.818,3432
76300,0.811,3433
76371,0.804,3434
76434,0.785,3435
76503,0.793,3436
76569,0.776,3437
76634,0.784,3438
76700,0.782,3439
76761,0.777,3440
76833,0.786,3441
76902,0.793,3442
76969,0.797,3443
77033,0.802,3444
77104,0.800,3445
77179,0.792,3446
77248,0.794,3447
77322,0.787,3448
77394,0.798,3449
77470,0.796,3450
77541,0.803,3451
77615,0.812,3452
77687,0.812,3453
77751,0.808,3454
77824,0.805,3455
77884,0.796,3456
77939,0.780,3457
