V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale
2.5,60,0,18,--,4,False,True,False,--,0.951,-93.125,2.5,30.0,2.5,30.0,0.213,0.313,1.843,0.462,0.678,--,-135.048,135.048,-19.134,0.34,1.221,nan,nan,nan,nan,--,0.829,[1.    0.874 0.466 0.734 0.832 1.   ],[ 0.95  -0.859  0.088  0.084],[-100    0]
2.5,60,0,19,--,4,False,True,False,--,0.962,-93.288,2.5,30.0,2.5,30.0,0.213,0.313,1.847,0.46,0.677,--,-134.213,134.213,-19.146,0.339,1.233,nan,nan,nan,nan,--,0.826,[1.    0.882 0.463 0.741 0.819 1.   ],[ 0.957 -0.866  0.087  0.078],[-100    0]
2.5,60,0,20,--,4,False,True,False,--,0.933,-88.836,2.5,30.0,2.5,30.0,0.214,0.314,1.838,0.464,0.68,--,-135.035,135.035,-18.666,0.363,1.136,nan,nan,nan,nan,--,0.829,[1.    0.867 0.472 0.735 0.831 1.   ],[ 0.932 -0.84   0.089  0.091],[-100    0]
2.5,60,0,21,--,4,False,True,False,--,0.965,-94.443,2.5,30.0,2.5,30.0,0.209,0.309,1.866,0.454,0.67,--,-131.525,131.525,-19.224,0.336,1.283,nan,nan,nan,nan,--,0.818,[1.    0.91  0.453 0.761 0.779 1.   ],[ 0.972 -0.878  0.085  0.063],[-100    0]
2.5,60,0,22,--,4,False,True,False,--,0.851,-90.093,2.5,30.0,2.5,30.0,0.216,0.316,1.826,0.468,0.684,--,-137.039,137.039,-18.878,0.351,1.14,nan,nan,nan,nan,--,0.835,[1.    0.85  0.475 0.719 0.861 1.   ],[ 0.831 -0.763  0.093  0.116],[-100    0]
2.5,60,0,23,--,4,False,True,False,--,0.84,-87.897,2.5,30.0,2.5,30.0,0.216,0.316,1.826,0.468,0.685,--,-136.854,136.854,-18.654,0.361,1.097,nan,nan,nan,nan,--,0.834,[1.    0.849 0.478 0.72  0.858 1.   ],[ 0.824 -0.758  0.093  0.117],[-100    0]
2.5,60,0,24,--,4,False,True,False,--,0.732,-80.726,2.5,30.0,2.5,30.0,0.217,0.317,1.82,0.47,0.687,--,-138.439,138.439,-17.836,0.403,0.923,nan,nan,nan,nan,--,0.841,[1.    0.841 0.497 0.708 0.882 1.   ],[ 0.736 -0.711  0.095  0.132],[-100    0]
2.5,60,0,25,--,4,False,True,False,--,0.966,-92.83,2.5,30.0,2.5,30.0,0.212,0.312,1.851,0.459,0.675,--,-133.584,133.584,-19.114,0.34,1.23,nan,nan,nan,nan,--,0.824,[1.    0.888 0.461 0.746 0.81  1.   ],[ 0.961 -0.869  0.086  0.075],[-100    0]
2.5,60,0,26,--,4,False,True,False,--,0.968,-93.168,2.5,30.0,2.5,30.0,0.211,0.311,1.855,0.458,0.674,--,-132.928,132.928,-19.095,0.342,1.244,nan,nan,nan,nan,--,0.822,[1.    0.892 0.459 0.751 0.8   1.   ],[ 0.963 -0.871  0.086  0.072],[-100    0]
2.5,60,0,27,--,4,False,True,False,--,0.88,-84.85,2.5,30.0,2.5,30.0,0.216,0.316,1.83,0.467,0.683,--,-136.071,136.071,-18.241,0.384,1.041,nan,nan,nan,nan,--,0.833,[1.    0.856 0.481 0.727 0.847 1.   ],[ 0.873 -0.79   0.092  0.108],[-100    0]
2.5,60,0,28,--,4,False,True,False,--,0.951,-94.069,2.5,30.0,2.5,30.0,0.212,0.311,1.854,0.458,0.674,--,-133.145,133.145,-19.196,0.337,1.259,nan,nan,nan,nan,--,0.823,[1.    0.891 0.459 0.749 0.803 1.   ],[ 0.963 -0.87   0.086  0.073],[-100    0]
2.5,60,0,29,--,4,False,True,False,--,0.858,-88.634,2.5,30.0,2.5,30.0,0.216,0.316,1.829,0.467,0.683,--,-136.94,136.94,-18.731,0.357,1.112,nan,nan,nan,nan,--,0.835,[1.    0.854 0.477 0.72  0.86  1.   ],[ 0.864 -0.783  0.092  0.11 ],[-100    0]
2.5,60,0,30,--,4,False,True,False,--,0.979,-93.646,2.5,30.0,2.5,30.0,0.21,0.309,1.866,0.454,0.67,--,-131.484,131.484,-19.146,0.339,1.268,nan,nan,nan,nan,--,0.818,[1.    0.909 0.454 0.761 0.779 1.   ],[ 0.971 -0.878  0.085  0.063],[-100    0]
