V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale
2.5,60,0,77,--,4,False,True,False,--,0.51,-78.294,2.5,30.0,2.5,30.0,0.219,0.318,1.813,0.473,0.69,--,-139.126,139.126,-17.531,0.419,0.859,nan,nan,nan,nan,--,0.846,[1.    0.831 0.519 0.702 0.892 1.   ],[ 0.562 -0.636  0.097  0.154],[-100    0]
2.5,60,0,78,--,4,False,True,False,--,0.853,-87.057,2.5,30.0,2.5,30.0,0.216,0.316,1.825,0.468,0.685,--,-136.574,136.574,-18.551,0.366,1.083,nan,nan,nan,nan,--,0.833,[1.    0.849 0.479 0.723 0.854 1.   ],[ 0.82  -0.756  0.093  0.118],[-100    0]
2.5,60,0,79,--,4,False,True,False,--,0.942,-93.086,2.5,30.0,2.5,30.0,0.214,0.314,1.841,0.463,0.679,--,-134.987,134.987,-19.126,0.34,1.221,nan,nan,nan,nan,--,0.828,[1.    0.872 0.465 0.735 0.831 1.   ],[ 0.947 -0.855  0.088  0.086],[-100    0]
2.5,60,0,80,--,4,False,True,False,--,0.966,-92.628,2.5,30.0,2.5,30.0,0.211,0.311,1.859,0.456,0.673,--,-133.263,133.263,-19.07,0.343,1.23,nan,nan,nan,nan,--,0.824,[1.    0.898 0.461 0.748 0.805 1.   ],[ 0.967 -0.874  0.085  0.069],[-100    0]
2.5,60,0,81,--,4,False,True,False,--,0.956,-92.89,2.5,30.0,2.5,30.0,0.212,0.312,1.851,0.459,0.675,--,-133.678,133.678,-19.127,0.339,1.23,nan,nan,nan,nan,--,0.825,[1.    0.888 0.461 0.745 0.811 1.   ],[ 0.961 -0.869  0.086  0.075],[-100    0]
2.5,60,0,82,--,4,False,True,False,--,0.922,-94.64,2.5,30.0,2.5,30.0,0.214,0.314,1.837,0.464,0.681,--,-135.143,135.143,-19.345,0.327,1.249,nan,nan,nan,nan,--,0.828,[1.    0.866 0.463 0.734 0.833 1.   ],[ 0.926 -0.834  0.09   0.093],[-100    0]
2.5,60,0,83,--,4,False,True,False,--,0.882,-88.508,2.5,30.0,2.5,30.0,0.215,0.315,1.833,0.466,0.682,--,-135.653,135.653,-18.681,0.361,1.123,nan,nan,nan,nan,--,0.831,[1.    0.86  0.473 0.73  0.841 1.   ],[ 0.901 -0.812  0.091  0.101],[-100    0]
2.5,60,0,84,--,4,False,True,False,--,0.898,-90.711,2.5,30.0,2.5,30.0,0.215,0.315,1.832,0.466,0.682,--,-135.798,135.798,-18.903,0.35,1.166,nan,nan,nan,nan,--,0.831,[1.    0.859 0.471 0.729 0.843 1.   ],[ 0.894 -0.805  0.091  0.103],[-100    0]
2.5,60,0,85,--,4,False,True,False,--,0.899,-89.053,2.5,30.0,2.5,30.0,0.215,0.315,1.831,0.466,0.683,--,-136.472,136.472,-18.736,0.359,1.125,nan,nan,nan,nan,--,0.833,[1.    0.858 0.475 0.723 0.853 1.   ],[ 0.886 -0.8    0.091  0.104],[-100    0]
2.5,60,0,86,--,4,False,True,False,--,0.908,-88.922,2.5,30.0,2.5,30.0,0.215,0.315,1.833,0.466,0.682,--,-136.251,136.251,-18.707,0.36,1.125,nan,nan,nan,nan,--,0.833,[1.    0.86  0.475 0.725 0.849 1.   ],[ 0.898 -0.809  0.091  0.101],[-100    0]
2.5,60,0,87,--,4,False,True,False,--,0.932,-92.426,2.5,30.0,2.5,30.0,0.215,0.315,1.835,0.465,0.681,--,-136.217,136.217,-19.098,0.341,1.195,nan,nan,nan,nan,--,0.832,[1.    0.863 0.47  0.725 0.849 1.   ],[ 0.916 -0.824  0.09   0.097],[-100    0]
2.5,60,0,88,--,4,False,True,False,--,0.972,-94.935,2.5,30.0,2.5,30.0,0.21,0.31,1.862,0.455,0.671,--,-132.188,132.188,-19.263,0.334,1.285,nan,nan,nan,nan,--,0.82,[1.    0.904 0.455 0.756 0.789 1.   ],[ 0.969 -0.876  0.085  0.066],[-100    0]
2.5,60,0,89,--,4,False,True,False,--,0.544,-81.759,2.5,30.0,2.5,30.0,0.219,0.319,1.81,0.474,0.691,--,-139.144,139.144,-17.933,0.399,0.94,nan,nan,nan,nan,--,0.843,[1.    0.827 0.498 0.702 0.892 1.   ],[ 0.478 -0.603  0.098  0.163],[-100    0]
2.5,60,0,90,--,4,False,True,False,--,0.98,-93.77,2.5,30.0,2.5,30.0,0.209,0.309,1.871,0.452,0.668,--,-131.676,131.676,-19.173,0.337,1.268,nan,nan,nan,nan,--,0.819,[1.    0.917 0.454 0.76  0.781 1.   ],[ 0.975 -0.881  0.084  0.06 ],[-100    0]
2.5,60,0,91,--,4,False,True,False,--,0.963,-93.565,2.5,30.0,2.5,30.0,0.21,0.31,1.863,0.455,0.671,--,-132.455,132.455,-19.155,0.339,1.256,nan,nan,nan,nan,--,0.821,[1.    0.905 0.457 0.754 0.793 1.   ],[ 0.97  -0.877  0.085  0.065],[-100    0]
2.5,60,0,92,--,4,False,True,False,--,0.946,-93.749,2.5,30.0,2.5,30.0,0.212,0.312,1.848,0.46,0.676,--,-133.841,133.841,-19.221,0.334,1.245,nan,nan,nan,nan,--,0.825,[1.    0.883 0.461 0.744 0.814 1.   ],[ 0.958 -0.867  0.087  0.077],[-100    0]
2.5,60,0,93,--,4,False,True,False,--,0.968,-94.164,2.5,30.0,2.5,30.0,0.21,0.31,1.863,0.454,0.671,--,-132.195,132.195,-19.191,0.338,1.271,nan,nan,nan,nan,--,0.82,[1.    0.906 0.456 0.756 0.789 1.   ],[ 0.97  -0.877  0.085  0.065],[-100    0]
2.5,60,0,94,--,4,False,True,False,--,0.914,-91.885,2.5,30.0,2.5,30.0,0.214,0.314,1.837,0.464,0.68,--,-135.443,135.443,-19.048,0.342,1.193,nan,nan,nan,nan,--,0.83,[1.    0.866 0.468 0.731 0.837 1.   ],[ 0.928 -0.836  0.089  0.093],[-100    0]
2.5,60,0,95,--,4,False,True,False,--,0.624,-85.573,2.5,30.0,2.5,30.0,0.219,0.319,1.809,0.475,0.691,--,-139.349,139.349,-18.378,0.377,1.022,nan,nan,nan,nan,--,0.842,[1.    0.825 0.49  0.701 0.895 1.   ],[ 0.433 -0.587  0.098  0.167],[-100    0]
2.5,60,0,96,--,4,False,True,False,--,0.948,-94.038,2.5,30.0,2.5,30.0,0.213,0.313,1.845,0.461,0.677,--,-134.197,134.197,-19.215,0.336,1.247,nan,nan,nan,nan,--,0.826,[1.    0.878 0.462 0.741 0.819 1.   ],[ 0.955 -0.864  0.087  0.08 ],[-100    0]
2.5,60,0,97,--,4,False,True,False,--,0.909,-93.998,2.5,30.0,2.5,30.0,0.215,0.315,1.834,0.465,0.682,--,-136.337,136.337,-19.254,0.333,1.225,nan,nan,nan,nan,--,0.832,[1.    0.861 0.468 0.724 0.851 1.   ],[ 0.905 -0.815  0.09   0.1  ],[-100    0]
2.5,60,0,98,--,4,False,True,False,--,0.537,-80.184,2.5,30.0,2.5,30.0,0.218,0.318,1.816,0.472,0.688,--,-138.534,138.534,-17.789,0.405,0.91,nan,nan,nan,nan,--,0.842,[1.    0.836 0.499 0.707 0.883 1.   ],[ 0.655 -0.674  0.096  0.143],[-100    0]
2.5,60,0,99,--,4,False,True,False,--,0.782,-79.164,2.5,30.0,2.5,30.0,0.218,0.318,1.817,0.471,0.688,--,-138.705,138.705,-17.644,0.413,0.884,nan,nan,nan,nan,--,0.843,[1.    0.838 0.506 0.706 0.886 1.   ],[ 0.68  -0.685  0.095  0.139],[-100    0]
