vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
2.0,82.5,2,0.26,1.98,[3.58 6.59],[2. 2.],4.49,0.0,8.65,0.01,0.0833,0.9167,4.6382,0.0138,20.178,0.0928,-0.5862,0.0023,1.665,0.001,0.435,1.954,0.0,0.5392,0.0926,2.5785,0.3252,-0.1895,0.0103,0.9955,0.0375,122.5522,5.088,0.2005,0.0011
2.0,82.5,3,0.26,1.98,[4.5 7.9],[2. 2.],4.55,0.0,9.09,0.01,0.0833,0.8958,4.658,0.0261,21.7243,0.2475,-0.5887,0.0041,1.6808,0.0024,0.4193,1.954,0.0,1.1305,0.7294,3.5635,1.2432,-0.2205,0.0166,1.0215,0.071,129.1211,11.4806,0.201,0.0093
2.0,82.5,4,0.26,1.98,[5.66 3.48],[2. 2.],4.86,0.0,4.3,0.0,0.0,0.9167,,,,,,,,,,,,,,,,,,,,,,,
2.0,90.0,0,0.0,2.0,[4.45 5.68],[2. 2.],4.56,0.0,7.44,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,90.0,1,0.0,2.0,[5.25 7.14],[2. 2.],4.6,0.01,8.96,0.02,0.1875,0.8125,4.6269,0.0255,20.8292,0.2429,0.0323,0.0007,1.6681,0.0025,0.4319,1.971,0.0,1.2082,0.1084,2.3582,0.7234,-0.4394,0.0168,0.8073,0.0317,157.2197,2.8879,0.2232,0.0017
2.0,90.0,2,0.0,2.0,[4.98 7.09],[2. 2.],4.52,0.02,9.26,0.0,0.6458,0.3333,4.5901,0.0445,20.5945,0.4134,0.0322,0.0006,1.6656,0.0044,0.4344,1.971,0.0,1.2008,0.2684,2.7049,0.9464,-0.4635,0.0201,0.8708,0.083,156.3147,12.4538,0.2167,0.0083
2.0,90.0,3,0.0,2.0,[4.58 6.48],[2. 2.],4.55,0.02,8.24,0.03,0.2708,0.7292,4.6305,0.0271,20.4743,0.2312,0.0321,0.0005,1.6644,0.0025,0.4356,1.971,0.0,1.0964,0.1079,1.1749,0.7254,-0.426,0.0215,0.7035,0.0384,157.7499,3.5197,0.2308,0.0024
2.0,90.0,4,0.0,2.0,[5.51 7.34],[2. 2.],4.51,0.0,9.13,0.01,0.5208,0.4792,4.627,0.0401,20.2868,0.7138,0.0321,0.0007,1.6622,0.0075,0.4378,1.971,0.0,1.2627,0.1517,2.3063,0.7596,-0.4766,0.0243,0.8496,0.0487,157.2769,4.3266,0.2183,0.0037
2.5,22.6,0,2.31,0.96,[4.84 4.63],[2. 2.],4.65,0.01,6.02,0.0,0.6667,0.0,4.7915,0.0451,22.9422,0.4371,-11.8374,0.1136,1.9064,0.0019,0.1936,0.927,0.0,4.8662,0.6021,6.0602,0.8295,1.9813,0.0208,-0.0553,0.056,78.9808,4.9886,0.1903,0.0049
2.5,22.6,1,2.31,0.96,[5.01 3.9 ],[2. 2.],4.59,0.0,6.55,0.06,0.8958,0.0,4.7045,0.0577,21.1324,0.5125,-11.6209,0.1465,1.8983,0.0024,0.2017,0.927,0.0,,,,,,,,,,,,
