k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,1036.472,-1.366,0.000,--,--,--,1.130,-0.024,0.595,0.670,0.045,0.093,-0.015,0.048,-0.032,0.998,0.090,-0.280,-0.137,-1.568,5.505,-3.728,False,False,0.000,0.000,0.000,15.981,-0.032,-0.450,1.484,0.507,-0.074,-0.009,0.323,14.229,11.545,14.330,11.675,60014,54262,60216,54560,1.191,0.000,0.594,0.684,0.000,0.266,0.000,0.000,2.300,3.500,--
0,0,1036.494,-1.366,0.000,--,--,--,1.144,-0.024,0.597,0.692,0.044,0.145,-0.014,0.046,-0.032,0.998,0.090,-0.330,-0.053,-1.420,5.192,-3.716,False,False,0.000,0.000,0.000,10.173,-0.031,-0.466,1.480,0.505,-0.144,0.013,0.245,14.110,11.726,14.281,11.788,59096,54780,59596,55240,1.204,0.000,0.600,0.684,0.000,0.312,0.000,0.000,2.300,3.500,--
0,0,1036.515,-1.366,0.000,--,--,--,1.159,-0.023,0.601,0.716,0.038,0.219,-0.012,0.043,-0.033,0.998,0.130,-0.340,-0.143,-1.265,4.878,-3.864,False,False,0.000,0.000,0.000,6.744,-0.027,-0.484,1.478,0.502,-0.173,0.002,0.336,14.063,11.291,14.338,11.558,59576,53574,60126,54194,1.218,0.000,0.606,0.684,0.000,0.358,0.000,0.000,2.300,3.500,--
0,0,1036.538,-1.366,0.000,--,--,--,1.175,-0.023,0.606,0.741,0.035,0.291,-0.011,0.040,-0.033,0.999,0.090,-0.400,-0.116,-1.117,4.565,-3.854,False,False,0.000,0.000,0.000,5.047,-0.026,-0.502,1.473,0.496,-0.105,0.050,0.315,13.821,11.303,14.065,11.387,58568,53132,59058,53326,1.232,0.000,0.614,0.684,0.000,0.404,0.000,0.000,2.300,3.500,--
0,0,1036.557,-1.366,0.000,--,--,--,1.191,-0.023,0.613,0.763,0.035,0.376,-0.011,0.036,-0.035,0.999,-0.030,-0.270,-0.121,-1.127,4.087,-4.008,False,False,0.000,0.000,0.000,3.896,-0.025,-0.520,1.466,0.484,0.088,-0.231,0.324,13.943,10.906,13.443,11.130,58506,51924,57496,52450,1.245,0.000,0.623,0.684,0.000,0.450,0.000,0.000,2.300,3.500,--
0,0,1036.577,-1.366,0.000,--,--,--,1.207,-0.023,0.621,0.781,0.034,0.455,-0.011,0.033,-0.035,0.999,-0.030,-0.310,-0.109,-1.138,3.769,-4.005,False,False,0.000,0.000,0.000,3.200,-0.025,-0.535,1.458,0.474,0.095,-0.208,0.315,13.407,11.182,13.086,11.265,57290,50918,56328,51332,1.252,0.000,0.627,0.684,0.000,0.473,0.000,0.000,2.300,3.500,--
0,0,1036.596,-1.366,0.000,--,--,--,1.224,-0.022,0.631,0.793,0.037,0.532,-0.012,0.029,-0.036,0.999,-0.060,-0.420,-0.075,-1.309,3.285,-4.163,False,False,0.000,0.000,0.000,2.719,-0.027,-0.547,1.448,0.464,0.155,-0.037,0.283,13.164,10.769,12.863,10.583,55660,50452,55044,50012,1.273,0.000,0.642,0.684,0.000,0.542,0.000,0.000,2.300,3.500,--
0,0,1036.616,-1.366,0.000,--,--,--,1.241,-0.022,0.642,0.803,0.034,0.601,-0.012,0.025,-0.036,0.999,0.000,-0.490,-0.017,-1.327,2.808,-4.158,False,False,0.000,0.000,0.000,2.388,-0.025,-0.559,1.430,0.454,0.076,0.260,0.229,12.849,10.973,12.591,10.578,53476,50226,54076,48986,1.280,0.000,0.648,0.684,0.000,0.565,0.000,0.000,2.300,3.500,--
0,0,1036.635,-1.366,0.000,--,--,--,1.258,-0.022,0.655,0.813,0.033,0.666,-0.014,0.021,-0.036,0.999,0.090,-0.560,-0.087,-1.503,2.326,-4.155,False,False,0.000,0.000,0.000,2.136,-0.024,-0.570,1.424,0.451,-0.103,0.176,0.300,12.374,10.893,12.663,10.363,53766,48866,54666,48588,1.293,0.000,0.660,0.684,0.000,0.611,0.000,0.000,2.300,3.500,--
0,0,1036.654,-1.366,0.000,--,--,--,1.275,-0.021,0.669,0.820,0.033,0.721,-0.012,0.014,-0.036,0.999,0.150,-0.650,0.014,-1.373,1.537,-4.143,False,False,0.000,0.000,0.000,1.954,-0.025,-0.581,1.403,0.447,-0.160,0.314,0.200,11.891,10.635,12.738,10.410,51848,49266,53404,48696,1.314,0.000,0.679,0.684,0.000,0.680,0.000,0.000,2.300,3.500,--
