k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,720.457,-1.366,0.000,--,--,--,0.956,-0.009,0.401,0.867,0.064,0.16,-0.012,0.019,-0.032,0.999,0.110,-0.660,-0.156,-1.358,2.178,-3.674,False,False,0.000,0.000,0.000,13.505,-0.037,0.517,1.680,0.523,0.030,0.896,0.344,14.232,12.687,14.769,11.176,65534,63882,65534,60184,0.986,0.000,0.389,0.855,0.000,0.294,0.000,0.000,2.700,3.500,--
0,0,720.477,-1.366,0.000,--,--,--,0.974,-0.009,0.405,0.874,0.064,0.22,-0.011,0.014,-0.033,0.999,0.250,-0.430,-0.223,-1.218,1.546,-3.823,False,False,0.000,0.000,0.000,8.854,-0.041,0.521,1.676,0.525,-0.231,0.521,0.420,14.275,12.208,15.000,11.470,65534,61970,65534,60794,1.012,0.000,0.399,0.855,0.000,0.375,0.000,0.000,2.700,3.500,--
0,0,720.495,-1.366,0.000,--,--,--,0.992,-0.008,0.411,0.868,0.067,0.299,-0.010,0.010,-0.036,0.999,0.370,-0.420,-0.255,-1.072,1.072,-4.134,False,False,0.000,0.000,0.000,6.424,-0.038,0.522,1.674,0.521,-0.154,0.781,0.460,14.398,11.332,15.000,10.912,65534,61928,65534,59334,1.038,0.000,0.411,0.855,0.000,0.456,0.000,0.000,2.700,3.500,--
0,0,720.514,-1.366,0.000,--,--,--,1.010,-0.008,0.418,0.867,0.072,0.383,-0.006,0.004,-0.037,0.999,0.360,-0.570,-0.109,-0.618,0.453,-4.285,False,False,0.000,0.000,0.000,4.849,-0.041,0.522,1.664,0.513,-0.427,0.852,0.333,13.117,11.993,14.984,11.390,64532,61166,65534,59482,1.063,0.000,0.426,0.855,0.000,0.537,0.000,0.000,2.700,3.500,--
0,0,720.524,-1.366,0.000,--,--,--,1.019,-0.008,0.422,0.868,0.077,0.422,-0.004,0.001,-0.039,0.999,0.390,-0.520,-0.382,-0.471,0.140,-4.442,False,False,0.000,0.000,0.000,4.334,-0.044,0.522,1.656,0.505,-0.630,1.034,0.612,13.945,10.663,15.000,9.987,65534,57594,65534,55836,1.072,0.000,0.431,0.855,0.000,0.564,0.000,0.000,2.700,3.500,--
0,0,720.554,-1.366,0.000,--,--,--,1.045,-0.007,0.438,0.853,0.072,0.534,0.001,-0.008,-0.040,0.999,0.310,-0.570,-0.142,0.121,-0.947,-4.601,False,False,0.000,0.000,0.000,3.313,-0.044,0.522,1.647,0.500,-0.488,0.997,0.382,12.285,12.427,14.995,11.287,63094,59268,65534,57204,1.080,0.000,0.437,0.855,0.000,0.591,0.000,0.000,2.700,3.500,--
0,0,720.554,-1.366,0.000,--,--,--,1.045,-0.007,0.438,0.853,0.072,0.534,0.001,-0.008,-0.040,0.999,0.310,-0.570,-0.061,0.121,-0.947,-4.601,False,False,0.000,0.000,0.000,3.313,-0.044,0.522,1.635,0.496,-0.206,1.110,0.308,13.163,11.231,15.000,9.931,62334,60420,65534,56806,1.106,0.000,0.456,0.855,0.000,0.672,0.000,0.000,2.700,3.500,--
0,0,720.586,-1.366,0.000,--,--,--,1.071,-0.007,0.456,0.831,0.064,0.651,0.006,-0.018,-0.042,0.999,0.250,-0.790,-0.074,0.550,-2.040,-4.769,False,False,0.000,0.000,0.000,2.660,-0.043,0.517,1.629,0.489,-0.350,1.492,0.324,12.361,12.029,15.000,10.238,61084,60280,65534,55640,1.116,0.000,0.464,0.855,0.000,0.704,0.000,0.000,2.700,3.500,--
0,0,720.586,-1.366,0.000,--,--,--,1.071,-0.007,0.456,0.831,0.064,0.651,0.006,-0.018,-0.042,0.999,0.250,-0.790,-0.039,0.550,-2.040,-4.769,False,False,0.000,0.000,0.000,2.660,-0.043,0.517,1.608,0.480,0.174,0.694,0.298,13.128,11.405,13.931,10.174,62164,58914,63986,55396,1.140,0.000,0.485,0.855,0.000,0.780,0.000,0.000,2.700,3.500,--
0,0,720.635,-1.366,0.000,--,--,--,1.113,-0.008,0.494,0.777,0.041,0.827,0.006,-0.029,-0.044,0.999,-0.330,-0.060,-0.071,0.488,-3.312,-5.092,False,False,0.000,0.000,0.000,2.015,-0.028,0.497,1.593,0.473,0.571,0.504,0.333,13.499,11.537,13.393,9.850,63118,58494,62880,54034,1.159,0.000,0.503,0.855,0.000,0.839,0.000,0.000,2.700,3.500,--
