Control protocol: Standard PWM at 50Hz
Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,1000,,,,0,0.0078125,-0.98828125,-0.0012168039846144323,-1.2771474083772232,24.916000366210938,0.029296875,0,0,0.7299609482288361,0,0,0,0,0.1143803820014,-0.4114140756428242,0.4055839963257313,0.064453125,0.04735983496161713,1,1,0,0,0,0,0,0,,
0,1000,,,,0,0.005859375,-0.98828125,,-1.2771474083772232,24.924001693725586,0.013020833022892475,0,0,0.3245312643162901,,0,,0,,,0.4055839963257313,0.064453125,0.04723073131045855,1,1,0,0,0,0,0,0,,
0.01114000000001397,1000,,,,0,0.0078125,-1.021484375,-0.0013519493633623741,,24.928001403808594,0.009765625,0,0,0.2434375137090683,0,0,0,0,0.11391239240765572,-0.41006365790963173,,0.064453125,0.04713633729191461,1,1,0,0,0,0,0,0,,
0.026800000000017463,1000,,,,0,0.005859375,-0.98828125,-0.0015550615591006212,-2.3441608738770237,24.924001693725586,0.03173828125,0,0,0.791044975630939,0,0,0,0,0.1143803820014,-0.4091951996088028,0.4045199602842331,0.064453125,0.047044940363878074,1,1,0,0,0,0,0,0,,
0.03493000000002212,1000,,,,0,0.00390625,-0.9921875,-0.001121238530816705,,24.924001693725586,0.0341796875,0,0,0.8518945891410112,0,0,0,0,0.11391239240765572,-0.4115770570933819,,0.0625,0.047012687387646246,1,1,0,0,0,0,0,0,,
0.044690000000002325,1000,,,,0,0.00390625,-1.01953125,,-3.032933242197464,24.920001983642578,0.048828125,0,0,1.2167969718575478,,0,,0,,,0.4038331098854542,0.0625,0.04701736665900744,1,1,0,0,0,0,0,0,,
0.05290500000002794,1000,,,,0,0.00390625,-0.98828125,-0.0008059906404643738,-3.032933242197464,24.922000885009766,0.0146484375,0,0,0.36506837233901024,0,0,0,0,0.11182622984051704,-0.4115770570933819,0.4038331098854542,0.0625,0.0469176610450368,1,1,0,0,0,0,0,0,,
0.060904999999998835,1000,,,,0,0.0078125,-0.9921875,,,24.922000885009766,0.009765625,0,0,0.2433789148926735,,0,,,,,,0.0625,0.04682475435317872,1,1,0,0,0,0,0,0,,
0.07684500000000116,1000,,,,0,0.005859375,-0.98828125,-0.0008875316297996431,-3.2220537907871445,24.9220027923584,0.0341796875,0,0,0.8518262673169374,0,0,0,0,0.11123134754598141,-0.4104524850845337,0.40364451706409454,0.0625,0.046761352926720255,1,1,0,0,0,0,0,0,,
0.0849100000000035,1000,,,,0,0.0078125,-1.01953125,,-3.9131609806951118,24.920001983642578,0.029296875,0,0,0.7300781831145287,,0,,0,,,0.4029553383588791,0.0625,0.04671770659143475,1,1,0,0,0,0,0,0,,
0.09436999999999535,1000,,,,0,0.0078125,-0.98828125,-0.00062620082799781,,24.920001983642578,0.0146484375,0,0,0.36503909155726433,0,0,0,0,0.11063646525144577,-0.4115770570933819,,0.0625,0.046634897654730986,1,1,0,0,0,0,0,0,,
0.10190000000002328,1000,,,,0,0.0078125,-0.990234375,,-3.9131609806951118,24.924001693725586,0.0146484375,0,0,0.3650976810604334,,0,,0,,,0.4029553383588791,0.0625,0.04654643970222618,1,1,0,0,0,0,0,0,,
0.11073000000001047,1000,,,,0,0.0078125,-0.98828125,-0.00035041264817014037,-3.562937742566074,24.920001983642578,0.01953125,0,0,0.4867187887430191,0,0,0,0,0.11063646525144577,-0.41338615119457245,0.4033045843243599,0.0625,0.04647854375317426,1,1,0,0,0,0,0,0,,
0.1301950000000361,1000,,,,0,0.00390625,-1.01953125,0.00005570779735106383,-3.562937742566074,24.925601959228516,0.01953125,0,0,0.48682816326618195,0,0,0,0,0.10935589671134949,-0.41478080675005913,0.4033045843243599,0.0625,0.046309213456871515,1,1,0,0,0,0,0,0,,
0.13795000000004073,1000,,,,0,0.00390625,-0.9921875,,-2.0849956776615364,24.924001693725586,0.0390625,0,0,0.9735938161611557,,0,,0,,,0.4047784022986889,0.0625,0.04629114825776856,1,1,0,0,0,0,0,0,,
0.14707500000001164,1000,,,,0,0.0078125,-0.9921875,0.00004304763551389853,,24.926002502441406,0.0390625,0,0,0.9736719727516174,0,0,0,0,0.1089111901819706,-0.4142569378018379,,0.0625,0.04627079523045959,1,1,0,0,0,0,0,0,,
0.15690000000002327,1000,,,,0,0.005859375,-1.01953125,,-2.0849956776615364,24.920001983642578,0.029296875,0,0,0.7300781831145287,,0,,0,,,0.4047784022986889,0.0625,0.0462228172432411,1,1,0,0,0,0,0,0,,
0.1718850000000093,1000,,,,0,0.0078125,-0.990234375,-0.0005065998577495906,-0.11207143620129197,24.921335220336914,0.013020833022892475,0,0,0.3244965446115362,0,0,0,0,0.11142576113343239,-0.4131440073251724,0.4067458212375641,0.0625,0.04607705626597985,1,1,0,0,0,0,0,0,,
0.18301500000001397,1000,,,,0,0.00390625,-0.98828125,-0.0011764276223479762,0.29418752002839144,24.9220027923584,0.03662109375,0,0,0.9126710006967187,0,0,0,0,0.11178315617144108,-0.4091043956577778,0.4071509465575218,0.0625,0.046038664185165605,1,1,0,0,0,0,0,0,,
0.1931150000000198,1000,,,,0,0.005859375,-0.990234375,,0.3292098438412952,24.924001693725586,0.009765625,0,0,0.24339845404028893,,0,,0,,,0.4071858711540699,0.0625,0.045933863287743106,1,1,0,0,0,0,0,0,,
0.20185500000001047,1000,,,,0,0.00390625,-1.01953125,-0.0012515538485921016,,24.925336837768555,0.0358072929084301,0,0,0.8925088369912615,0,0,0,0,0.11214055120944977,-0.40896586142480373,,0.0625,0.045902670537679414,1,1,0,0,0,0,0,0,,
0.21128000000002795,1000,,,,0,0.00390625,-0.990234375,,0.3292098438412952,24.928001403808594,0,0,0,0,,0,,0,,,0.4071858711540699,0.0625,0.04578543566634271,1,1,0,0,0,0,0,0,,
0.23140499999999883,1000,,,,0,0.005859375,-1.005859375,-0.0014123005074958104,0.3292098438412952,24.925601959228516,0.01953125,0,0,0.48682816326618195,0,0,0,0,0.11203810572624207,-0.40780985727906227,0.4071858711540699,0.0625,0.04561255267389083,1,1,0,0,0,0,0,0,,
0.24013000000000465,1000,,,,0,0.0078125,-0.984375,,-2.5146028497664887,24.928001403808594,0.0048828125,0,0,0.12171875685453415,,0,,0,,,0.40434999391436577,0.0625,0.04551191172077377,1,1,0,0,0,0,0,0,,
0.25012000000002443,1000,,,,0,0.005859375,-1.021484375,-0.0009867031048673524,-2.5146028497664887,24.922000885009766,0.0146484375,0,0,0.36506837233901024,0,0,0,0,0.11152355000376701,-0.4100915975868702,0.40434999391436577,0.0625,0.04541384697865098,1,1,0,0,0,0,0,0,,
0.25894000000000233,1000,,,,0,0.005859375,-0.990234375,-0.0009867031048673524,,24.924001693725586,0.0341796875,0,0,0.8518945891410112,0,0,0,0,0.11152355000376701,-0.4100915975868702,,0.0625,0.0453790842070399,1,1,0,0,0,0,0,0,,
