Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,,,,,0,0.001953125,-1.01953125,-0.0006852917877156337,-5.9467905834310555,23.82400131225586,0.01953125,0,0,0.46531252562999725,0,0,0,0,0.11170748621225357,-0.41225110180675983,0.4009273834526539,0.0625,0.10210710000238613,1,1,0,0,0,0,0,0,,
0,,,,,0,0.00390625,-0.98828125,,,23.81800079345703,0.0537109375,0,0,1.279287151992321,,0,,,,,,0.0625,0.10197530824454414,1,1,0,0,0,0,0,0,,
0.01802999999979511,,,,,0,0.0078125,-0.986328125,-0.0005416799812432803,-7.118871020369568,23.823001861572266,0.009765625,0,0,0.23264650255441666,0,0,0,0,0.11146999895572662,-0.41295774281024933,0.39975857362151146,0.0625,0.1014487227978116,1,1,0,0,0,0,0,0,,
0.0260999999998603,,,,,0,0.0078125,-0.990234375,,-7.118871020369568,23.822002410888672,0.029296875,0,0,0.6979102268815041,,0,,0,,,0.39975857362151146,0.060546875,0.10126603050624004,1,1,0,0,0,0,0,0,,
0.03509499999997206,,,,,0,0.0078125,-0.98828125,-0.00045397118419545436,-3.1683528942740247,23.82400131225586,0.0048828125,0,0,0.11632813140749931,0,0,0,0,0.11123251169919968,-0.413297675549984,0.40369806811213493,0.060546875,0.10099389845779268,1,1,0,0,0,0,0,0,,
0.043609999999869614,,,,,0,0.00390625,-0.990234375,-0.0006221210784434671,,23.81800079345703,0.0537109375,0,0,1.279287151992321,0,0,0,0,0.11156778782606125,-0.41252700611948967,,0.060546875,0.10087513860015807,1,1,0,0,0,0,0,0,,
0.058675000000046565,,,,,0,0.005859375,-0.986328125,,-3.042272528547572,23.82000160217285,0.009765625,0,0,0.23261720314621925,,0,,0,,,0.403823796659708,0.060546875,0.10042202463517279,1,1,0,0,0,0,0,0,,
0.06897999999998138,,,,,0,0.005859375,-1.01171875,-0.0011559274741580843,-3.042272528547572,23.82400131225586,0.0146484375,0,0,0.34898439422249794,0,0,0,0,0.11331751011312008,-0.4107598215341568,0.403823796659708,0.060546875,0.10014734118852574,1,1,0,0,0,0,0,0,,
0.07687999999988825,,,,,0,0.0078125,-1.01953125,,-3.8687993705320998,23.82400131225586,0.0146484375,0,0,0.34898439422249794,,0,,0,,,0.4029995761811733,0.0625,0.09993554221331573,1,1,0,0,0,0,0,0,,
0.09041499999980442,,,,,0,0.005859375,-0.990234375,-0.0011748918691854915,,23.82000160217285,0.029296875,0,0,0.6978516094386578,0,0,0,0,0.11360272765159607,-0.41091814637184143,,0.0625,0.09975502122712444,1,1,0,0,0,0,0,0,,
0.09956999999983236,,,,,0,0.005859375,-0.9921875,-0.0008836491976502098,-3.8687993705320998,23.823001861572266,0.04150390625,0,0,0.9887476358562708,0,0,0,0,0.11321390047669411,-0.4124431870877743,0.4029995761811733,0.0625,0.0994918217523581,1,1,0,0,0,0,0,0,,
0.11367499999981373,,,,,0,0.005859375,-0.98828125,-0.0008836491976502098,-3.8687993705320998,23.825332641601562,0.02604166604578495,0,0,0.6204513560823273,0,0,0,0,0.11321390047669411,-0.4124431870877743,0.4029995761811733,0.060546875,0.09915845447042344,1,1,0,0,0,0,0,0,,
0.12429499999969267,,,,,0,0.00390625,-0.98828125,,-3.6096341743166125,23.82000160217285,0.009765625,0,0,0.23261720314621925,,0,,0,,,0.4032580181956291,0.060546875,0.09889709844629473,1,1,0,0,0,0,0,0,,
0.13216999999969267,,,,,0,0.005859375,-0.990234375,-0.0010334337689337058,-3.7053618594052167,23.822002410888672,0.0244140625,0,0,0.5815918557345867,0,0,0,0,0.11321390047669411,-0.41146064177155495,0.40316255763173103,0.060546875,0.0986893669267875,1,1,0,0,0,0,0,0,,
0.13982499999995343,,,,,0,0.0078125,-0.9921875,-0.0009765864322285604,,23.81800079345703,0.0341796875,0,0,0.8140918239951134,0,0,0,0,0.11192401871085167,-0.4105549305677414,,0.060546875,0.09853158436538068,1,1,0,0,0,0,0,0,,
0.14781999999983236,,,,,0,0.00390625,-0.98828125,,-3.7053618594052167,23.82400131225586,0.009765625,0,0,0.23265626281499863,,0,,0,,,0.40316255763173103,0.060546875,0.0983091886563769,1,1,0,0,0,0,0,0,,
0.1590749999997206,,,,,0,0.0078125,-0.98828125,-0.0009765864322285604,,23.822002410888672,0.0341796875,0,0,0.8142285980284214,0,0,0,0,0.11192401871085167,-0.4105549305677414,,0.060546875,0.09808353885679393,1,1,0,0,0,0,0,0,,
