Control protocol: DShot600
Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0,328,,,,0,0.08984375,-1.001953125,-0.00826626335634556,,24.358667373657227,0.6852213740348816,0,1105.00285602624,16.691079527436045,0,0,0,0,0.13197073712944984,-0.3826082684099674,,0.181640625,0.41516616855951877,1,1,0,0,0,0,0,0,,
0,328,,,,0,0.064453125,-1.00390625,-0.008906180571827498,62.57321854572136,24.36199951171875,0.59326171875,0,1289.9379435681599,14.453041702508926,0,0,0,0,0.13333279639482498,-0.3797607496380806,0.469256192445755,0.1796875,0.4155973027421316,1,1,0,0,0,0,0,0,,
0.016865000000048893,328,,,,-0.03125,-0.00390625,-1.015625,,62.57321854572136,24.364002227783203,0.654296875,0,1014.3155480923199,15.941290520131588,,0,,0,,,0.469256192445755,0.177734375,0.4168974414474557,1,1,0,0,0,0,0,0,,
0.030589999999967404,328,,,,0.015625,0.001953125,-1.04296875,-0.009081094704616962,60.64465591442413,24.36400032043457,0.61767578125,0,1239.1488623349599,15.049052932299674,0,0,0,0,0.132853165268898,-0.3781379200518131,0.46733301132917404,0.1796875,0.4177540769495909,1,1,0,0,0,0,0,0,,
0.042574999999953435,328,,,,0.0625,0.005859375,-1.009765625,-0.007627464282394469,60.64465591442413,24.360000610351562,0.6689453125,0,969.60021265608,16.295508220791817,0,0,0,0,0.1284363679587841,-0.38329511880874634,0.46733301132917404,0.1796875,0.41843103442378365,1,1,0,0,0,0,0,0,,
0.061619999999995345,328,,,,-0.01953125,-0.0390625,-1.00390625,-0.0072710512099313975,60.64465591442413,24.362998962402344,0.640869140625,0,753.77279735376,15.613494208082557,0,0,0,0,0.1260777935385704,-0.38329511880874634,0.46733301132917404,0.177734375,0.4199690084023005,1,1,0,0,0,0,0,0,,
0.07350500000000465,328,,,,0.0625,0.02734375,-0.9765625,-0.007140518880332386,60.602629125848644,24.365001678466797,0.614013671875,0,1024.1592050735999,14.960444145835936,0,0,0,0,0.12521399185061455,-0.38329511880874634,0.46729110181331635,0.177734375,0.4206909626101116,1,1,0,0,0,0,0,0,,
0.08362000000005355,328,,,,-0.103515625,-0.00390625,-0.97265625,-0.007186306107099141,60.602629125848644,24.356000900268555,0.56884765625,0,900.48517427688,13.854854027740657,0,0,0,0,0.12521399185061455,-0.38299476727843285,0.46729110181331635,0.1796875,0.4211809649668634,1,1,0,0,0,0,0,0,,
0.09209999999997671,328,,,,-0.125,0.05859375,-1,,61.433825611008224,24.364002227783203,0.5810546875,0,779.42913735816,14.156817700713873,,0,,0,,,0.4681199789047241,0.1796875,0.42161407685010904,1,1,0,0,0,0,0,0,,
0.10103999999997905,328,,,,-0.09375,-0.15625,-1.009765625,-0.007239774731342628,,24.36199951171875,0.63232421875,0,740.78754771888,15.40468230843544,0,0,0,0,0.12584263458848,-0.3832671791315079,,0.181640625,0.4222205552357889,1,1,0,0,0,0,0,0,,
