Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
1.240415100000659,0,,,,0.000625,0.01857421875,-0.97560546875,-0.0002318686362596811,0.8837975547475319,25.19934326171875,0.01964111326611601,0,0,0.5001950754105526,0,0,0,0,0.05767578125,,
1.239175849999534,100,,,,-0.0090234375,0.01962890625,-0.99578125,0.0001798382452890554,4.8126169379037655,25.1954225730896,0.08045049767708407,87.65043503544,190.69467407352,2.0269810040709104,0.07544849556049565,3.751991700369514,30.464557351194728,2.429343883730096,0.107265625,,
6.764734699999491,200,,,,-0.008203125,0.02017578125,-0.99607421875,0.0026884239790780995,22.91560054600441,25.183233642578124,0.23621907572960482,433.64450595192,433.64450595192,5.948762166399382,1.1657520592364292,19.674936202995788,20.33774790323108,3.8630152787712473,0.10576171875,,
12.290197349999502,300,,,,-0.0019921875,0.0124609375,-0.9974609375,0.006672874139350317,56.31284257657595,25.162254295349122,0.5098144508502446,663.71380795056,663.60908819544,12.828078861568397,4.428545585180366,34.55021706161654,12.79489238826608,4.394905243430163,0.1338671875,,
17.814554949999604,400,,,,-0.01291015625,0.01890625,-0.9956640625,0.012064523526524111,103.66635659735702,25.12883367538452,0.9219124371907674,884.3583319884,884.3583319884,23.166583945439502,10.669653706382455,46.08539210498767,9.73151501472439,4.477701892511375,0.33228515625,,
23.317155949999492,500,,,,-0.01267578125,0.01642578125,-0.991640625,0.01854846160953448,162.20556006636784,25.078018913269045,1.5445482845208607,1095.99695708592,1095.57807806544,38.73419950164635,20.321287975336464,52.47971551511573,7.989105597001648,4.188689548422724,0.22271484375,,
28.83995719999955,600,,,,-0.00390625,0.02494140625,-1.001875,0.026382893989284346,229.1605376495922,25.008629703521727,2.3293838341138327,1291.8228991603198,1291.61345965008,58.25467929014566,34.07601816015791,58.5286377554788,6.7307702683556885,3.9359946979560236,0.21185546875,,
34.36518364999954,700,,,,0.00150390625,0.01689453125,-0.99681640625,0.03414141376489179,300.1978442240032,24.922051219940187,3.2383494288823567,1469.7417631091998,1470.3700816399198,80.70631504147947,50.19884679283115,62.21229164853663,5.982877062217862,3.7206006518069143,0.4121875,,
39.89153264999957,800,,,,-0.92875,0.29126953125,-0.8508203125,0.04300725665932244,383.5884450641908,24.81415683746338,4.32502442430472,1651.4305382424,1647.34646779272,107.3218444483491,70.84607942430172,66.02822656045294,5.416258991202263,3.5749993915141,1.03154296875,,
45.41567419999949,900,,,,-0.02462890625,0.0348046875,-0.9879296875,0.05134496306664594,461.2814234946638,24.697599182128908,5.477592769374605,1804.00722145224,1798.87595345136,135.28346434719506,92.36159938964707,68.28244561421019,4.995396079939561,3.4101594689140073,0.50013671875,,
50.94004629999956,1000.0000000000001,,,,-0.00638671875,0.01806640625,-0.9944921875,0.060032011379518406,542.4223255786585,24.564598236083985,6.712704835643526,1946.7402476808,1938.4673870263198,164.8949006142414,116.36719526105253,70.5727174241551,4.662211307233642,3.289594024577591,0.38953125,,
56.46616374999954,1100,,,,-0.0084375,0.0165625,-1.0012890625,0.06775199519585857,618.7355961920902,24.411984939575195,8.091412754764315,2070.10011921216,2066.85380680344,197.5275435785556,140.03216300337832,70.89478318997631,4.419027859213446,3.1324787175202164,0.2671484375,,
61.99209449999944,1200,,,,-0.0102734375,0.01744140625,-1.00119140625,0.07638744822845195,694.4820842305926,24.236683082580566,9.689441724529024,2199.6384562956,2194.6119080498397,234.8401566032317,167.64331025274095,71.38914198254045,4.143072483814109,2.9573906006638206,0.32923828125,,
67.49078589999955,1300,,,,-0.01041015625,0.0169921875,-0.9958203125,0.08616749481686206,788.7137477789155,24.029686546325685,11.669294582118745,2342.89508129976,2342.6856417895197,280.40852357264555,201.8647299491388,71.9919892885097,3.9074406411323728,2.8128001164792,0.5836328125,,
72.99104209999956,1400,,,,-0.25107421875,0.08029296875,-0.86478515625,0.09637505989032764,883.4164895682563,23.78894437789917,13.825224853267427,2467.93046891304,2473.37589617928,328.887512978349,238.37047545029642,72.4805051218463,3.7064383958090366,2.6861665924456752,0.674921875,,
78.52039264999956,1500,,,,-0.0130859375,0.02767578125,-0.99005859375,0.10575138595431083,975.8378202186377,23.52475839614868,16.227243400325534,2598.0971245272,2598.0971245272,381.7424190375826,274.75823495972105,71.9786379448438,3.5519610231939094,2.5563870800668616,0.3175,,
96.06743004999954,0,,,,0.0002734375,0.0182421875,-0.976171875,-0.0005175087344819207,2.3430455042891944,24.387111625671388,0.018023274750448764,0,0,0.4455412191683435,0,0,0,0,0.0683203125,,
100.59442104999954,100,,,,-0.0087890625,0.01623046875,-0.99087890625,0.00006996401552818365,5.573606747390591,24.41786642074585,0.07516601558541879,0.31415926536,187.55308141991998,1.8353985982754322,0.06891925014122764,3.813194325234522,26.03317214826111,3.106815735938492,0.128828125,,
106.13212699999951,200,,,,-0.01013671875,0.019921875,-0.9943359375,0.002463450330813383,23.179345971452445,24.430420646667482,0.22493338372325525,425.89524407304,425.89524407304,5.495217580434278,1.0491865981707202,19.167633671425794,23.0242692967114,4.230241143007841,0.1216015625,,
111.72564204999954,300,,,,-0.01337890625,0.022734375,-0.9941015625,0.006410483871402418,55.46333503959708,24.426578693389892,0.48277983139967545,649.47192125424,650.41439905032,11.792667884572209,4.1694600830044575,35.40841493103311,13.387978827188428,4.709921903370482,0.14505859375,,
117.28671974999952,400,,,,-0.014609375,0.02041015625,-0.9928515625,0.011513808084943107,99.39298578505783,24.407005729675294,0.8687207598588429,863.7285402297599,865.08989704632,21.202885060031907,9.961122523643006,47.0167170403317,9.996730512184792,4.691037584552689,0.21541015625,,
122.86483734999956,500,,,,-0.0105078125,0.020859375,-0.9956640625,0.018035969352406745,157.14836669373156,24.36791862487793,1.4525869054696523,1068.6651009995999,1068.6651009995999,35.39649950006624,19.274296278381698,54.48438289332947,8.160251555545198,4.442052153614647,0.213359375,,
128.42893779999963,600,,,,-0.0026171875,0.0165625,-0.99560546875,0.025211522337497815,220.59925983455133,24.310296649932862,2.1863824207684956,1259.255055318,1259.3597750731199,53.151626691686715,31.750090321489438,59.75498478356898,6.951623325757106,4.151371689712447,0.249140625,,
133.98620639999956,700,,,,-0.00384765625,0.01767578125,-0.99763671875,0.03254046601204864,287.7159053200129,24.2340789604187,3.036152344455477,1436.02200196056,1434.76536489912,73.57829121506501,46.68813631781274,63.492434992879815,6.164806016616809,3.9127201633274824,0.228984375,,
139.52742704999943,800,,,,-0.00728515625,0.01828125,-0.993515625,0.04068206504143028,363.43928701709814,24.14364194869995,4.075634604205843,1597.60458411072,1603.36417064232,98.40072310860496,65.22806966353458,66.30132210451305,5.573926407131478,3.6941340376679612,0.6275390625,,
145.0686399999996,900,,,,-0.016640625,0.01560546875,-0.99330078125,0.04909038060007248,440.5677151363245,24.04063262939453,5.203297525157686,1766.51754911928,1756.77861189312,125.09063602619479,86.24260533815941,68.94655587536062,5.109451409954073,3.5221461577623123,0.5401953125,,
150.6005186499996,1000.0000000000001,,,,0.00173828125,0.0208984375,-1.0007421875,0.05715180530933932,513.4100410680038,23.920964336395265,6.396712346782442,1895.6370071822398,1893.12373305936,153.0156054850505,108.1970758380597,70.71229828314307,4.745797018717504,3.3553968426612957,0.39259765625,,
156.16982174999958,1100,,,,-0.009609375,0.02072265625,-0.998046875,0.06474602775695595,583.5048187241854,23.777326221466065,7.737536288013216,2026.43198132712,2022.34791087744,183.97796557857265,130.93889386701213,71.17469750262092,4.456865276554331,3.1717170715998644,0.3307421875,,
161.6889312499995,1200,,,,-0.0144140625,0.02640625,-1.00123046875,0.072797490978701,663.9588931643544,23.599235744476317,9.304760986079927,2146.44082069464,2148.43049604192,219.5856137174778,156.3978291460723,71.22795485665124,4.2459078442187685,3.023818406359382,0.3206640625,,
167.20793719999966,1300,,,,-0.02009765625,0.01109375,-0.98859375,0.08239710159073915,753.4169908567798,23.38233232498169,11.151021667232271,2270.63845026696,2281.00570602384,260.73678423181644,187.94857609573563,72.08563581165309,4.009073154006188,2.889686979944711,0.32822265625,,
172.76233439999953,1400,,,,-0.02306640625,0.02056640625,-0.9834375,0.09222617033024427,844.057486967675,23.140583305358888,13.264570813884493,2423.2151334768,2422.7962544563197,306.9503610781917,223.44262680662277,72.79724681527746,3.7779266772662754,2.749924906180544,0.78685546875,,
178.29485464999962,1500,,,,-0.0041796875,0.01654296875,-0.99357421875,0.10213045858101469,933.903669055436,22.896815376281737,15.619065032710786,2549.61187790664,2553.90538786656,357.6271526541597,260.82979387257524,72.93687593712718,3.580870808400055,2.6114933153324356,0.31787109375,,
195.82178084999944,0,,,,0.00123046875,0.01841796875,-0.97607421875,-0.00039147058909910944,1.8816361892658362,23.66840482711792,0.018256564665352925,0,0,0.43858049741717836,0,0,0,0,0.06708984375,,
200.3575750999995,100,,,,-0.0093359375,0.0168359375,-0.99197265625,0.00016911360250357452,4.8395170685211975,23.69353879928589,0.0757309105596505,0,182.21237390879998,1.7943329325024269,0.06938377429599193,3.892764431535286,29.030449829400442,2.7834200643131783,0.11181640625,,
