Plane_Angle,V_angle,V_mag
135.0,-90.0,1.2
135.0,-90.0,1.644
135.0,-90.0,2.089
135.0,-90.0,2.533
135.0,-90.0,2.978
135.0,-90.0,3.422
135.0,-90.0,3.867
135.0,-90.0,4.311
135.0,-90.0,4.756
135.0,-90.0,5.2
135.0,-85.69,5.2
135.0,-85.192,4.756
135.0,-84.792,4.311
135.0,-84.048,3.867
135.0,-83.056,3.422
135.0,-82.188,2.978
135.0,-81.379,5.2
135.0,-80.385,2.533
135.0,-80.385,4.756
135.0,-79.583,4.311
135.0,-78.636,2.089
135.0,-78.095,3.867
135.0,-77.069,5.2
135.0,-76.111,3.422
135.0,-75.577,4.756
135.0,-74.375,1.644
135.0,-74.375,2.978
135.0,-74.375,4.311
135.0,-72.759,5.2
135.0,-72.143,3.867
135.0,-70.769,2.533
135.0,-70.769,4.756
135.0,-69.167,1.2
135.0,-69.167,4.311
135.0,-69.167,3.422
135.0,-68.448,5.2
135.0,-67.273,2.089
135.0,-66.562,2.978
135.0,-66.19,3.867
135.0,-65.962,4.756
135.0,-64.138,5.2
135.0,-63.958,4.311
135.0,-62.222,3.422
135.0,-61.154,2.533
135.0,-61.154,4.756
135.0,-60.238,3.867
135.0,-59.828,5.2
135.0,-58.75,1.644
135.0,-58.75,2.978
135.0,-58.75,4.311
135.0,-56.346,4.756
135.0,-55.909,2.089
135.0,-55.517,5.2
135.0,-55.278,3.422
135.0,-54.286,3.867
135.0,-53.542,4.311
135.0,-51.538,2.533
135.0,-51.538,4.756
135.0,-51.207,5.2
135.0,-50.938,2.978
135.0,-48.333,1.2
135.0,-48.333,4.311
135.0,-48.333,3.422
135.0,-48.333,3.867
135.0,-46.897,5.2
135.0,-46.731,4.756
135.0,-44.545,2.089
135.0,-43.125,1.644
135.0,-43.125,2.978
135.0,-43.125,4.311
135.0,-42.586,5.2
135.0,-42.381,3.867
135.0,-41.923,2.533
135.0,-41.923,4.756
135.0,-41.389,3.422
135.0,-38.276,5.2
135.0,-37.917,4.311
135.0,-37.115,4.756
135.0,-36.429,3.867
135.0,-35.312,2.978
135.0,-34.444,3.422
135.0,-33.966,5.2
135.0,-33.182,2.089
135.0,-32.708,4.311
135.0,-32.308,2.533
135.0,-32.308,4.756
135.0,-30.476,3.867
135.0,-29.655,5.2
135.0,-27.5,1.2
135.0,-27.5,1.644
135.0,-27.5,2.978
135.0,-27.5,3.422
135.0,-27.5,4.311
135.0,-27.5,4.756
135.0,-25.345,5.2
135.0,-24.524,3.867
135.0,-22.692,2.533
135.0,-22.692,4.756
135.0,-22.292,4.311
135.0,-21.818,2.089
135.0,-21.034,5.2
135.0,-20.556,3.422
135.0,-19.688,2.978
135.0,-18.571,3.867
135.0,-17.885,4.756
135.0,-17.083,4.311
135.0,-16.724,5.2
135.0,-13.611,3.422
135.0,-13.077,2.533
135.0,-13.077,4.756
135.0,-12.619,3.867
135.0,-12.414,5.2
135.0,-11.875,1.644
135.0,-11.875,2.978
135.0,-11.875,4.311
135.0,-10.455,2.089
135.0,-8.269,4.756
135.0,-8.103,5.2
135.0,-6.667,1.2
135.0,-6.667,4.311
135.0,-6.667,3.422
135.0,-6.667,3.867
135.0,-4.062,2.978
135.0,-3.793,5.2
135.0,-3.462,2.533
135.0,-3.462,4.756
