Plane_Angle,V_angle,V_mag
45.0,-34.615,3.422
45.0,-32.727,2.978
45.0,-31.5,5.2
45.0,-30.0,2.533
45.0,-30.0,4.756
45.0,-28.125,4.311
45.0,-27.0,3.867
45.0,-25.714,2.089
45.0,-24.75,5.2
45.0,-24.231,3.422
45.0,-22.5,4.756
45.0,-20.455,2.978
45.0,-19.688,4.311
45.0,-18.0,1.644
45.0,-18.0,3.867
45.0,-18.0,5.2
45.0,-15.0,2.533
45.0,-15.0,4.756
45.0,-13.846,3.422
45.0,-11.25,1.2
45.0,-11.25,4.311
45.0,-11.25,5.2
45.0,-9.0,3.867
45.0,-8.182,2.978
45.0,-7.5,4.756
45.0,-6.429,2.089
45.0,-4.5,5.2
45.0,-3.462,3.422
45.0,-2.812,4.311
45.0,0.0,1.2
45.0,0.0,1.486
45.0,0.0,1.771
45.0,0.0,2.057
45.0,0.0,2.343
45.0,0.0,2.533
45.0,0.0,2.629
45.0,0.0,2.914
45.0,0.0,3.2
45.0,0.0,3.486
45.0,0.0,3.771
45.0,0.0,3.867
45.0,0.0,4.057
45.0,0.0,4.343
45.0,0.0,4.629
45.0,0.0,4.756
45.0,0.0,4.914
45.0,0.0,5.2
45.0,2.143,5.2
45.0,2.25,5.2
45.0,2.308,4.914
45.0,2.432,4.629
45.0,2.571,4.343
45.0,2.812,4.057
45.0,3.0,3.771
45.0,3.214,3.486
45.0,3.6,3.2
45.0,3.913,2.914
45.0,4.091,2.978
45.0,4.286,5.2
45.0,4.5,2.629
45.0,4.615,4.914
45.0,4.865,4.629
45.0,5.0,2.343
45.0,5.143,4.343
45.0,5.625,2.057
45.0,5.625,4.057
45.0,5.625,4.311
45.0,6.0,3.771
45.0,6.429,3.486
45.0,6.429,5.2
45.0,6.923,4.914
45.0,6.923,1.771
45.0,6.923,3.422
45.0,7.2,3.2
45.0,7.297,4.629
45.0,7.5,4.756
45.0,7.714,4.343
45.0,7.826,2.914
45.0,8.182,1.486
45.0,8.438,4.057
45.0,8.571,5.2
45.0,9.0,1.644
45.0,9.0,2.629
45.0,9.0,3.771
45.0,9.0,3.867
45.0,9.0,5.2
45.0,9.231,4.914
45.0,9.643,3.486
45.0,9.73,4.629
45.0,10.0,1.2
45.0,10.0,2.343
45.0,10.286,4.343
45.0,10.714,5.2
45.0,10.8,3.2
45.0,11.25,2.057
45.0,11.25,4.057
45.0,11.538,4.914
45.0,11.739,2.914
45.0,12.0,3.771
45.0,12.162,4.629
45.0,12.857,2.089
45.0,12.857,3.486
45.0,12.857,4.343
45.0,12.857,5.2
45.0,13.5,2.629
45.0,13.846,4.914
45.0,13.846,1.771
45.0,14.062,4.057
45.0,14.062,4.311
45.0,14.4,3.2
45.0,14.595,4.629
45.0,15.0,2.343
45.0,15.0,2.533
45.0,15.0,3.771
45.0,15.0,4.756
45.0,15.0,5.2
45.0,15.429,4.343
45.0,15.652,2.914
45.0,15.75,5.2
45.0,16.071,3.486
45.0,16.154,4.914
45.0,16.364,1.486
45.0,16.364,2.978
45.0,16.875,2.057
45.0,16.875,4.057
45.0,17.027,4.629
45.0,17.143,5.2
45.0,17.308,3.422
45.0,18.0,2.629
45.0,18.0,3.2
45.0,18.0,3.771
45.0,18.0,3.867
45.0,18.0,4.343
45.0,18.462,4.914
45.0,19.286,3.486
45.0,19.286,5.2
45.0,19.459,4.629
45.0,19.565,2.914
45.0,19.688,4.057
45.0,20.0,1.2
45.0,20.0,2.343
45.0,20.571,4.343
45.0,20.769,4.914
45.0,20.769,1.771
45.0,21.0,3.771
45.0,21.429,5.2
45.0,21.6,3.2
45.0,21.892,4.629
45.0,22.5,1.2
45.0,22.5,2.057
45.0,22.5,2.629
45.0,22.5,3.486
45.0,22.5,4.057
45.0,22.5,4.311
45.0,22.5,4.756
45.0,22.5,5.2
45.0,23.077,4.914
45.0,23.143,4.343
45.0,23.478,2.914
45.0,23.571,5.2
45.0,24.0,3.771
45.0,24.324,4.629
45.0,24.545,1.486
45.0,25.0,2.343
45.0,25.2,3.2
45.0,25.312,4.057
45.0,25.385,4.914
45.0,25.714,3.486
45.0,25.714,4.343
45.0,25.714,5.2
45.0,26.757,4.629
45.0,27.0,2.629
45.0,27.0,3.771
45.0,27.0,3.867
45.0,27.391,2.914
45.0,27.692,4.914
45.0,27.692,1.771
45.0,27.692,3.422
45.0,27.857,5.2
45.0,28.125,2.057
45.0,28.125,4.057
45.0,28.286,4.343
45.0,28.636,2.978
45.0,28.8,3.2
45.0,28.929,3.486
45.0,29.189,4.629
45.0,29.25,5.2
45.0,30.0,4.914
45.0,30.0,1.2
45.0,30.0,2.343
45.0,30.0,2.533
45.0,30.0,3.771
45.0,30.0,4.756
45.0,30.0,5.2
45.0,30.857,4.343
45.0,30.938,4.057
45.0,30.938,4.311
45.0,31.304,2.914
45.0,31.5,2.629
45.0,31.622,4.629
45.0,32.143,2.089
45.0,32.143,5.2
45.0,32.143,3.486
45.0,32.308,4.914
45.0,32.4,3.2
45.0,32.727,1.486
45.0,33.0,3.771
45.0,33.429,4.343
45.0,33.75,2.057
45.0,33.75,4.057
45.0,34.054,4.629
45.0,34.286,5.2
45.0,34.615,1.771
45.0,34.615,4.914
45.0,35.0,2.343
45.0,35.217,2.914
45.0,35.357,3.486
45.0,36.0,1.644
45.0,36.0,2.629
45.0,36.0,3.2
45.0,36.0,3.771
45.0,36.0,3.867
45.0,36.0,4.343
45.0,36.0,5.2
45.0,36.429,5.2
45.0,36.486,4.629
45.0,36.562,4.057
45.0,36.923,4.914
45.0,37.5,4.756
45.0,38.077,3.422
45.0,38.571,3.486
45.0,38.571,5.2
45.0,38.571,4.343
45.0,38.919,4.629
45.0,39.0,3.771
45.0,39.13,2.914
45.0,39.231,4.914
45.0,39.375,2.057
45.0,39.375,4.057
45.0,39.375,4.311
45.0,39.6,3.2
45.0,40.0,1.2
45.0,40.0,2.343
45.0,40.5,2.629
45.0,40.714,5.2
45.0,40.909,1.486
45.0,40.909,2.978
45.0,41.143,4.343
45.0,41.351,4.629
45.0,41.538,4.914
45.0,41.538,1.771
45.0,41.786,3.486
45.0,42.0,3.771
45.0,42.188,4.057
45.0,42.75,5.2
45.0,42.857,5.2
45.0,43.043,2.914
45.0,43.2,3.2
45.0,43.714,4.343
45.0,43.784,4.629
45.0,43.846,4.914
45.0,45.0,2.057
45.0,45.0,2.343
45.0,45.0,2.533
45.0,45.0,2.629
45.0,45.0,3.486
45.0,45.0,3.771
45.0,45.0,3.867
45.0,45.0,4.057
45.0,45.0,4.756
45.0,45.0,5.2
45.0,46.154,4.914
45.0,46.216,4.629
45.0,46.286,4.343
45.0,46.8,3.2
45.0,46.957,2.914
45.0,47.143,5.2
45.0,47.812,4.057
45.0,47.812,4.311
45.0,48.0,3.771
45.0,48.214,3.486
45.0,48.462,4.914
45.0,48.462,1.771
45.0,48.462,3.422
45.0,48.649,4.629
45.0,48.857,4.343
45.0,49.091,1.486
45.0,49.286,5.2
45.0,49.5,2.629
45.0,49.5,5.2
45.0,50.0,1.2
45.0,50.0,2.343
45.0,50.4,3.2
45.0,50.625,2.057
45.0,50.625,4.057
45.0,50.769,4.914
45.0,50.87,2.914
45.0,51.0,3.771
45.0,51.081,4.629
45.0,51.429,2.089
45.0,51.429,3.486
45.0,51.429,4.343
45.0,51.429,5.2
45.0,52.5,4.756
45.0,53.077,4.914
45.0,53.182,2.978
45.0,53.438,4.057
45.0,53.514,4.629
45.0,53.571,5.2
45.0,54.0,2.629
45.0,54.0,3.2
45.0,54.0,3.771
45.0,54.0,3.867
45.0,54.0,4.343
45.0,54.643,3.486
45.0,54.783,2.914
45.0,55.0,2.343
45.0,55.385,4.914
45.0,55.385,1.771
45.0,55.714,5.2
45.0,55.946,4.629
45.0,56.25,1.2
45.0,56.25,2.057
45.0,56.25,4.057
45.0,56.25,4.311
45.0,56.25,5.2
45.0,56.571,4.343
45.0,57.0,3.771
45.0,57.273,1.486
45.0,57.6,3.2
45.0,57.692,4.914
