Plane_Angle,V_angle,V_mag
90.0,-80.0,3.422
90.0,-78.75,2.978
90.0,-77.586,5.2
90.0,-76.154,2.533
90.0,-76.154,4.756
90.0,-75.0,4.311
90.0,-73.636,2.089
90.0,-72.857,3.867
90.0,-71.379,5.2
90.0,-70.0,3.422
90.0,-69.231,4.756
90.0,-67.5,1.644
90.0,-67.5,2.978
90.0,-67.5,4.311
90.0,-65.172,5.2
90.0,-64.286,3.867
90.0,-62.308,2.533
90.0,-62.308,4.756
90.0,-60.0,1.2
90.0,-60.0,3.422
90.0,-60.0,4.311
90.0,-58.966,5.2
90.0,-57.273,2.089
90.0,-56.25,2.978
90.0,-55.714,3.867
90.0,-55.385,4.756
90.0,-52.759,5.2
90.0,-52.5,4.311
90.0,-50.0,3.422
90.0,-48.462,2.533
90.0,-48.462,4.756
90.0,-47.143,3.867
90.0,-46.552,5.2
90.0,-45.0,1.644
90.0,-45.0,2.978
90.0,-45.0,4.311
90.0,-41.538,4.756
90.0,-40.909,2.089
90.0,-40.345,5.2
90.0,-40.0,3.422
90.0,-38.571,3.867
90.0,-37.5,4.311
90.0,-34.615,2.533
90.0,-34.615,4.756
90.0,-34.138,5.2
90.0,-33.75,2.978
90.0,-30.0,1.2
90.0,-30.0,3.422
90.0,-30.0,3.867
90.0,-30.0,4.311
90.0,-27.931,5.2
90.0,-27.692,4.756
90.0,-24.545,2.089
90.0,-22.5,1.644
90.0,-22.5,2.978
90.0,-22.5,4.311
90.0,-21.724,5.2
90.0,-21.429,3.867
90.0,-20.769,2.533
90.0,-20.769,4.756
90.0,-20.0,3.422
90.0,-15.517,5.2
90.0,-15.0,4.311
90.0,-13.846,4.756
90.0,-12.857,3.867
90.0,-11.25,2.978
90.0,-10.0,3.422
90.0,-9.31,5.2
90.0,-8.182,2.089
90.0,-7.5,4.311
90.0,-6.923,2.533
90.0,-6.923,4.756
90.0,-4.286,3.867
90.0,-3.103,5.2
90.0,0.0,1.2
90.0,0.0,1.2
90.0,0.0,1.486
90.0,0.0,1.644
90.0,0.0,1.771
90.0,0.0,2.057
90.0,0.0,2.343
90.0,0.0,2.629
90.0,0.0,2.914
90.0,0.0,2.978
90.0,0.0,3.2
90.0,0.0,3.422
90.0,0.0,3.486
90.0,0.0,3.771
90.0,0.0,4.057
90.0,0.0,4.311
90.0,0.0,4.343
90.0,0.0,4.629
90.0,0.0,4.756
90.0,0.0,4.914
90.0,0.0,5.2
90.0,2.143,5.2
90.0,2.308,4.914
90.0,2.432,4.629
90.0,2.571,4.343
90.0,2.812,4.057
90.0,3.0,3.771
90.0,3.103,5.2
90.0,3.214,3.486
90.0,3.6,3.2
90.0,3.913,2.914
90.0,4.286,3.867
90.0,4.286,5.2
90.0,4.5,2.629
90.0,4.615,4.914
90.0,4.865,4.629
90.0,5.0,2.343
90.0,5.143,4.343
90.0,5.625,2.057
90.0,5.625,4.057
90.0,6.0,3.771
90.0,6.429,3.486
90.0,6.429,5.2
90.0,6.923,4.914
90.0,6.923,1.771
90.0,6.923,2.533
90.0,6.923,4.756
90.0,7.2,3.2
90.0,7.297,4.629
90.0,7.5,4.311
90.0,7.714,4.343
90.0,7.826,2.914
90.0,8.182,1.486
90.0,8.182,2.089
90.0,8.438,4.057
90.0,8.571,5.2
90.0,9.0,2.629
90.0,9.0,3.771
90.0,9.231,4.914
90.0,9.31,5.2
90.0,9.643,3.486
90.0,9.73,4.629
90.0,10.0,1.2
90.0,10.0,2.343
90.0,10.0,3.422
90.0,10.286,4.343
90.0,10.714,5.2
90.0,10.8,3.2
90.0,11.25,2.057
90.0,11.25,2.978
90.0,11.25,4.057
90.0,11.538,4.914
90.0,11.739,2.914
90.0,12.0,3.771
90.0,12.162,4.629
90.0,12.857,3.486
90.0,12.857,4.343
90.0,12.857,5.2
90.0,12.857,3.867
90.0,13.5,2.629
90.0,13.846,4.914
90.0,13.846,1.771
90.0,13.846,4.756
90.0,14.062,4.057
90.0,14.4,3.2
90.0,14.595,4.629
90.0,15.0,2.343
90.0,15.0,3.771
90.0,15.0,4.311
90.0,15.0,5.2
90.0,15.429,4.343
90.0,15.517,5.2
90.0,15.652,2.914
90.0,16.071,3.486
90.0,16.154,4.914
90.0,16.364,1.486
90.0,16.875,2.057
90.0,16.875,4.057
90.0,17.027,4.629
90.0,17.143,5.2
90.0,18.0,2.629
90.0,18.0,3.2
90.0,18.0,3.771
90.0,18.0,4.343
90.0,18.462,4.914
90.0,19.286,3.486
90.0,19.286,5.2
90.0,19.459,4.629
90.0,19.565,2.914
90.0,19.688,4.057
90.0,20.0,1.2
90.0,20.0,2.343
