vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.25,50.0,21,0.8,0.96,[3.   5.48],[2. 2.],4.04,0.02,9.79,0.01,1.0,0.0,4.0925,0.0422,16.0786,0.3209,-3.4682,0.0377,1.8685,0.0023,0.2315,0.928,0.0,0.8311,0.0555,0.546,0.177,0.3161,0.0325,0.2594,0.058,97.0521,6.1759,0.1704,0.0051
1.25,50.0,22,0.8,0.96,[5.   4.31],[2. 2.],5.49,0.01,4.86,0.11,0.0,0.0,5.6306,0.0783,31.6763,0.8887,-4.7862,0.0725,1.9351,0.0023,0.1649,0.928,0.0,4.6545,2.7133,10.6031,3.5091,0.6869,0.0172,0.1885,0.0616,,,0.1433,0.0078
1.25,55.0,20,0.72,1.02,[1.   6.03],[2. 2.],4.71,0.0,6.36,0.0,0.7667,0.0,4.8324,0.0801,22.4809,0.7136,-3.4093,0.0572,1.8901,0.0033,0.2099,0.995,0.0,0.61,0.1141,1.6227,0.5782,0.341,0.022,-0.0248,0.0511,88.2733,4.9169,0.192,0.0042
1.25,55.0,21,0.72,1.02,[3.  6.7],[2. 2.],4.71,0.0,6.48,0.0,0.9667,0.0,4.8169,0.0659,23.2305,0.6456,-3.3995,0.0478,1.8935,0.0029,0.2065,0.995,0.0,0.5887,0.0797,1.4791,0.6177,0.3368,0.0225,-0.0299,0.076,90.1562,6.8547,0.1924,0.0057
1.25,55.0,22,0.72,1.02,[5.   7.97],[2. 2.],4.48,0.01,7.21,0.0,0.9667,0.0,4.5595,0.047,19.7018,0.4,-3.2155,0.0334,1.8758,0.0022,0.2242,0.995,0.0,0.5855,0.0272,0.4899,0.3061,0.3027,0.021,0.037,0.0665,94.9526,5.6881,0.1904,0.0053
1.25,60.0,10,0.63,1.08,[6.11 7.17],[2. 2.],6.9,0.0,4.81,0.09,0.0,0.0,7.1294,0.1588,50.7164,2.7601,-4.1413,0.097,1.952,0.0042,0.148,1.053,0.0,,,,,,,,,,,,
1.25,60.0,11,0.63,1.08,[4.68 6.78],[2. 2.],4.63,0.01,6.76,0.0,0.7333,0.2667,4.7435,0.0693,22.0791,0.6335,-2.749,0.0417,1.8758,0.0032,0.2242,1.053,0.0,0.5736,0.0304,0.4089,0.1358,0.2331,0.024,0.0527,0.0574,91.2289,6.0691,0.1928,0.0048
1.25,60.0,20,0.63,1.08,[1.   3.56],[2. 2.],4.67,0.03,7.35,0.01,0.8667,0.1333,4.7678,0.1012,22.6937,1.0757,-2.7596,0.06,1.8788,0.0054,0.2212,1.053,0.0,0.6153,0.02,0.6209,0.0982,0.2478,0.0291,0.204,0.0705,82.2921,5.3694,0.1788,0.0054
1.25,60.0,21,0.63,1.08,[3.   4.74],[2. 2.],4.52,0.01,9.19,0.09,0.8333,0.1667,4.6005,0.0545,19.923,0.496,-2.6623,0.0322,1.864,0.0029,0.236,1.053,0.0,0.6999,0.019,0.9033,0.0654,0.2299,0.0271,0.4594,0.0514,77.803,4.8471,0.1612,0.0029
1.25,60.0,22,0.63,1.08,[5.   6.99],[2. 2.],4.62,0.0,7.97,0.1,0.9667,0.0333,4.7358,0.0865,21.0236,0.7567,-2.7399,0.0504,1.8702,0.0042,0.2298,1.053,0.0,0.6493,0.0209,0.7446,0.0681,0.2461,0.0267,0.3098,0.0535,80.5375,5.0271,0.1709,0.0038
1.25,65.0,20,0.53,1.13,[1.   6.17],[2. 2.],5.02,0.01,5.47,0.07,0.6667,0.0667,5.1601,0.0637,25.631,1.3982,-2.4037,0.0318,1.8817,0.0059,0.2183,1.104,0.0002,0.5141,0.0853,0.3024,0.1619,0.1756,0.0165,-0.1001,0.0596,88.4807,4.156,0.2078,0.0052
1.25,65.0,21,0.53,1.13,[3.  4.1],[2. 2.],5.71,0.0,4.37,0.0,0.0,0.0,5.8478,0.094,33.0755,1.885,-2.7312,0.0455,1.9078,0.0056,0.1922,1.104,0.0,1.6434,1.4227,10.3458,2.4655,0.4173,0.0122,0.283,0.0484,,,0.1506,0.0064
1.25,65.0,22,0.53,1.13,[5.   4.86],[2. 2.],5.11,0.0,5.52,0.0,0.8667,0.0333,5.2084,0.0876,27.0514,0.9793,-2.4268,0.0416,1.8876,0.0038,0.2124,1.104,0.0,0.5597,0.1523,0.7648,0.8505,0.2043,0.0479,-0.0296,0.1205,84.0394,10.1188,0.1989,0.0129
1.25,70.0,10,0.43,1.17,[6.15 5.24],[2. 2.],4.97,0.01,6.21,0.04,0.9,0.0,5.1017,0.0762,25.9301,0.7876,-1.8458,0.0288,1.8751,0.0034,0.2249,1.145,0.0,0.4467,0.1497,1.0934,1.4937,0.1053,0.0474,0.1943,0.1027,80.542,6.8887,0.185,0.0107
1.25,70.0,11,0.43,1.17,[6.26 5.4 ],[2. 2.],4.95,0.03,6.81,0.01,0.8,0.0,5.0931,0.0925,25.6169,1.3316,-1.8419,0.0356,1.8735,0.0062,0.2265,1.145,0.0,0.4136,0.2082,3.4727,4.4297,0.1264,0.0597,0.3343,0.1153,75.5217,9.9346,0.1715,0.013
1.25,70.0,20,0.43,1.17,[1.   4.25],[2. 2.],5.54,0.0,4.86,0.08,0.0,0.0,5.7227,0.085,31.611,2.0181,-2.0713,0.0321,1.896,0.0066,0.204,1.145,0.0,0.5622,0.892,11.9287,2.8027,0.3035,0.0191,0.3848,0.0603,,,0.1486,0.0072
1.25,70.0,21,0.43,1.17,[3.  7.9],[2. 2.],4.77,0.03,7.99,0.0,0.6333,0.3667,4.878,0.0666,22.7878,1.3422,-1.7612,0.0244,1.8598,0.007,0.2402,1.145,0.0,0.5676,0.0194,0.8474,0.0707,0.0661,0.0208,0.4389,0.0471,74.5721,1.4993,0.1678,0.0034
1.25,70.0,22,0.43,1.17,[5.   5.64],[2. 2.],4.86,0.0,6.58,0.08,0.6333,0.3667,4.9831,0.0734,24.7742,0.9288,-1.7997,0.0274,1.8698,0.0045,0.2302,1.145,0.0,0.5122,0.0094,0.5461,0.0864,0.0738,0.0188,0.1748,0.0631,80.9637,3.4686,0.1875,0.0051
1.25,75.0,20,0.32,1.21,[1.   6.46],[2. 2.],5.0,0.01,7.15,0.03,0.8,0.0667,5.1254,0.0605,25.2777,1.4859,-1.3497,0.0167,1.8654,0.0068,0.2346,1.178,0.0,0.4254,0.1785,4.039,4.9964,0.0199,0.0513,0.4341,0.0929,71.0267,8.8172,0.165,0.0099
1.25,75.0,21,0.32,1.21,[3.  7.8],[2. 2.],4.83,0.04,8.72,0.05,0.9333,0.0667,4.9814,0.0817,23.9705,1.0961,-1.3108,0.0231,1.8592,0.0056,0.2408,1.178,0.0,0.5466,0.0752,5.0926,6.9653,-0.0065,0.0391,0.6231,0.0682,66.9259,7.7295,0.1545,0.0071
1.25,75.0,22,0.32,1.21,[5.   3.99],[2. 2.],5.07,0.0,6.02,0.0,0.8333,0.1,5.1947,0.0768,25.1292,0.7249,-1.3699,0.0204,1.8649,0.0034,0.2351,1.178,0.0,0.4226,0.1135,1.4339,2.4882,0.0116,0.038,0.195,0.0976,78.2261,6.6152,0.1864,0.0106
1.25,80.0,10,0.22,1.23,[4.62 4.34],[2. 2.],5.12,0.0,5.07,0.0,0.1667,0.4667,5.2435,0.0839,25.598,0.8209,-0.8914,0.0152,1.8623,0.0038,0.2377,1.202,0.0,0.3558,0.0893,0.1757,0.0536,-0.1152,0.0165,-0.0866,0.0495,84.701,3.8743,0.2141,0.0041
1.25,80.0,11,0.22,1.23,[4.41 5.87],[2. 2.],4.83,0.0,8.3,0.0,0.6667,0.3,4.9461,0.0637,23.1795,1.0157,-0.8388,0.0102,1.8502,0.0052,0.2498,1.202,0.0,0.5273,0.1024,1.5185,2.2194,-0.1464,0.0334,0.5399,0.0455,75.9129,4.4337,0.1638,0.0055
1.25,80.0,20,0.22,1.23,[1.   6.73],[2. 2.],4.85,0.01,9.35,0.01,0.9333,0.0667,4.9714,0.0613,24.1506,1.3843,-0.8435,0.0117,1.8551,0.0072,0.2449,1.202,0.0,0.5639,0.1001,3.6861,5.7808,-0.1455,0.028,0.6825,0.0336,71.4206,4.3413,0.152,0.0046
1.25,80.0,21,0.22,1.23,[3.   7.97],[2. 2.],4.91,0.0,9.32,0.04,0.8333,0.0333,5.0356,0.0844,24.672,1.4324,-0.8546,0.0156,1.8577,0.0071,0.2423,1.202,0.0,0.4307,0.2046,9.7675,9.5895,-0.1064,0.0554,0.7263,0.064,67.3798,8.1674,0.1468,0.0079
