V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,0,False,False,False,--,0.52,-97.859,1.5,10.0,1.5,10.0,0.167,0.992,5.719,0.043,0.258,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.151,[0.978 0.919 0.    0.    0.    0.    0.   ],[ 0.53  -0.963  0.012  0.308],[-100    0],--,0,0,0,0,1,0
1.5,10,0,1,--,0,False,False,False,--,0.539,-97.998,1.5,10.0,1.5,10.0,0.165,0.99,5.729,0.043,0.258,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.152,[0.981 0.927 0.    0.    0.    0.    0.   ],[ 0.543 -0.966  0.011  0.303],[-100    0],--,0,0,0,0,1,0
1.5,10,0,2,--,0,False,False,False,--,0.556,-96.291,1.5,10.0,1.5,10.0,0.164,0.989,5.736,0.043,0.258,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.15,[0.962 0.932 0.    0.    0.    0.    0.   ],[ 0.552 -0.968  0.011  0.3  ],[-100    0],--,0,0,0,0,1,0
1.5,10,0,3,--,0,False,False,False,--,0.553,-98.858,1.5,10.0,1.5,10.0,0.166,0.99,5.727,0.043,0.258,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.153,[0.991 0.925 0.    0.    0.    0.    0.   ],[ 0.54  -0.965  0.012  0.304],[-100    0],--,0,0,0,0,1,0
1.5,10,0,4,--,0,False,False,False,--,0.543,-98.789,1.5,10.0,1.5,10.0,0.166,0.991,5.724,0.043,0.258,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.153,[0.991 0.922 0.    0.    0.    0.    0.   ],[ 0.536 -0.964  0.012  0.306],[-100    0],--,0,0,0,0,1,0
1.5,15,0,0,--,4,False,True,False,--,0.544,-99.396,1.5,15.0,1.5,15.0,0.166,0.719,5.192,0.064,0.279,--,-139.774,139.774,-19.967,0.395,-0.348,nan,nan,nan,nan,--,0.923,[0.999 0.925 0.92  0.98  0.713 0.887 1.   ],[ 0.541 -0.968  0.011  0.312],[-100    0],--,1,0,0,0,0,0
1.5,15,0,1,--,4,False,True,False,--,0.543,-97.695,1.5,15.0,1.5,15.0,0.167,0.72,5.18,0.065,0.28,--,-143.082,143.082,-19.87,0.396,-0.41,nan,nan,nan,nan,--,0.937,[0.998 0.918 0.966 0.956 0.686 0.937 1.   ],[ 0.528 -0.964  0.012  0.314],[-100    0],--,1,0,0,0,0,0
1.5,15,0,2,--,4,False,True,False,--,0.571,-98.402,1.5,15.0,1.5,15.0,0.16,0.714,5.23,0.062,0.277,--,-139.524,139.524,-19.857,0.4,-0.363,nan,nan,nan,nan,--,0.914,[1.    0.95  0.874 0.979 0.715 0.883 1.   ],[ 0.576 -0.979  0.009  0.307],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,4,False,True,False,--,0.515,-95.723,1.5,15.0,1.5,15.0,0.167,0.721,5.178,0.065,0.28,--,-150.322,150.322,-19.77,0.404,-0.525,nan,nan,nan,nan,--,0.94,[0.998 0.916 1.    0.895 0.626 0.976 1.   ],[ 0.526 -0.963  0.012  0.314],[-100    0],--,1,0,0,0,0,0
1.5,15,0,4,--,4,False,True,False,--,0.515,-96.664,1.5,15.0,1.5,15.0,0.168,0.722,5.172,0.065,0.28,--,-147.212,147.212,-19.824,0.401,-0.475,nan,nan,nan,nan,--,0.951,[0.999 0.912 1.    0.924 0.652 1.    1.   ],[ 0.52  -0.961  0.013  0.315],[-100    0],--,1,0,0,0,0,0
