V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,60,0,0,--,4,False,True,False,--,0.536,-95.981,1.501,59.921,1.501,59.921,0.234,0.394,1.47,0.303,0.512,--,-110.729,110.729,-18.72,-0.107,1.065,203.155,160.408,1.656,124.653,--,0.731,[0.985 0.657 1.    0.364 0.842 0.161 1.   ],[ 0.534 -0.938  0.007  0.095],[-100    0],--,1,0,0,0,0,0
1.5,60,0,1,--,4,False,True,False,--,0.534,-97.285,1.499,59.878,1.499,59.878,0.231,0.391,1.482,0.299,0.507,--,-111.463,111.463,-18.58,-0.133,1.071,218.761,172.347,1.48,134.726,--,0.73,[0.995 0.667 1.    0.363 0.837 0.16  1.   ],[ 0.536 -0.948  0.006  0.099],[-100    0],--,1,0,0,0,0,0
1.5,60,0,2,--,4,False,True,False,--,0.517,-94.492,1.502,59.939,1.502,59.939,0.237,0.397,1.458,0.308,0.516,--,-119.118,119.118,-18.981,-0.202,0.941,166.693,133.132,1.369,100.302,--,0.72,[0.975 0.647 1.    0.37  0.785 0.148 1.   ],[ 0.523 -0.9    0.007  0.087],[-100    0],--,1,0,0,0,0,0
1.5,70,0,0,--,4,False,True,False,--,0.511,-93.234,1.495,69.911,1.495,69.911,0.241,0.389,0.94,0.338,0.546,--,-116.315,116.315,-18.554,-0.411,1.05,157.207,124.498,0.698,95.99,--,0.719,[0.98  0.634 1.    0.336 0.805 0.153 1.   ],[ 0.511 -0.842  0.007  0.075],[-100    0],--,1,0,0,0,0,0
1.5,70,0,1,--,4,False,True,False,--,0.522,-95.299,1.501,69.923,1.501,69.923,0.235,0.382,0.956,0.331,0.539,--,-119.742,119.742,-19.075,-0.459,1.043,206.745,163.736,1.5,126.222,--,0.715,[0.995 0.654 1.    0.339 0.781 0.147 1.   ],[ 0.528 -0.918  0.006  0.087],[-100    0],--,1,0,0,0,0,0
1.5,70,0,2,--,4,False,True,False,--,0.535,-97.152,1.502,69.942,1.502,69.942,0.234,0.382,0.956,0.331,0.539,--,-110.446,110.446,-18.795,-0.351,1.179,220.279,174.105,1.535,134.936,--,0.724,[1.    0.657 0.985 0.333 0.844 0.162 1.   ],[ 0.528 -0.92   0.006  0.088],[-100    0],--,1,0,0,0,0,0
1.5,80,0,0,--,4,False,True,False,--,0.516,-91.589,1.501,79.92,1.501,79.92,0.242,0.383,0.464,0.358,0.566,--,-114.625,114.625,-18.298,-0.631,1.105,175.9,137.435,1.308,109.775,--,0.717,[1.    0.631 1.    0.308 0.816 0.155 1.   ],[ 0.516 -0.831  0.006  0.071],[-100    0],--,1,0,0,0,0,0
1.5,80,0,1,--,4,False,True,False,--,0.521,-92.927,1.493,79.881,1.493,79.881,0.242,0.383,0.466,0.355,0.564,--,-117.529,117.529,-18.66,-0.674,1.101,197.128,153.854,0.913,123.238,--,0.713,[0.99  0.631 1.    0.312 0.796 0.151 1.   ],[ 0.518 -0.842  0.006  0.072],[-100    0],--,1,0,0,0,0,0
1.5,80,0,2,--,4,False,True,False,--,0.504,-86.273,1.491,79.863,1.491,79.863,0.246,0.388,0.461,0.361,0.569,--,-117.606,117.606,-18.011,-0.642,0.956,135.879,-81.726,0.664,-108.552,--,0.712,[0.99  0.619 1.    0.305 0.796 0.151 1.   ],[ 0.496 -0.703  0.007  0.062],[-100    0],--,1,0,0,0,0,0
1.5,90,0,0,--,2,False,True,False,--,0.514,-74.322,1.492,89.898,1.492,89.898,0.247,0.387,0.005,0.369,0.577,--,-127.478,127.478,-16.736,-0.885,0.562,323.192,-148.664,-1.45,-286.967,--,0.433,[1.    0.616 1.    0.267 0.722 0.135 0.2  ],[ 0.516 -0.549  0.004  0.032],[-100    0],--,0,0,1,0,0,0
1.5,90,0,1,--,2,False,True,False,--,0.512,-76.879,1.489,89.9,1.489,89.9,0.248,0.388,0.005,0.369,0.578,--,-134.057,134.057,-17.456,-0.956,0.557,298.703,-146.35,-1.194,-260.392,--,0.425,[0.995 0.613 1.    0.279 0.67  0.125 0.2  ],[ 0.514 -0.548  0.004  0.032],[-100    0],--,0,0,1,0,0,0
1.5,90,0,2,--,2,False,True,False,--,0.503,-74.769,1.491,89.867,1.491,89.867,0.251,0.391,0.006,0.375,0.583,--,-139.949,139.949,-17.17,-0.961,0.44,304.673,-129.388,-0.574,-275.834,--,0.415,[0.99  0.604 1.    0.28  0.62  0.116 0.2  ],[ 0.506 -0.54   0.004  0.033],[-100    0],--,0,0,1,0,0,0
2.0,10,0,0,--,4,False,True,False,--,0.524,-99.924,1.993,10.233,1.993,10.233,0.219,0.807,6.866,0.078,0.286,--,-116.089,116.089,-19.214,1.024,0.128,507.168,392.731,3.971,320.884,--,0.824,[0.995 0.708 0.659 0.854 0.806 0.62  1.   ],[ 0.517 -0.998  0.005  0.229],[-100    0],--,1,0,0,0,0,0
2.0,10,0,1,--,4,False,True,False,--,0.523,-99.91,1.99,10.255,1.99,10.255,0.216,0.804,6.878,0.077,0.285,--,-114.027,114.027,-19.015,1.033,0.13,505.823,391.056,4.661,320.796,--,0.814,[0.995 0.719 0.62  0.841 0.82  0.592 1.   ],[ 0.528 -0.999  0.005  0.232],[-100    0],--,1,0,0,0,0,0
2.0,10,0,2,--,4,False,True,False,--,0.529,-99.913,1.993,9.962,1.993,9.962,0.212,0.815,6.984,0.073,0.281,--,-115.395,115.395,-19.1,1.03,0.125,505.273,394.634,5.374,315.493,--,0.878,[0.995 0.733 1.    0.851 0.811 0.611 1.   ],[ 0.529 -0.999  0.005  0.233],[-100    0],--,1,0,0,0,0,0
2.0,20,0,0,--,4,False,True,False,--,0.533,-99.892,1.988,19.801,1.988,19.801,0.222,0.531,5.227,0.15,0.358,--,-115.057,115.057,-19.176,0.945,0.459,479.339,387.047,3.272,282.753,--,0.855,[0.99  0.698 1.    0.713 0.813 0.606 1.   ],[ 0.53  -0.998  0.005  0.227],[-100    0],--,1,0,0,0,0,0
2.0,20,0,1,--,4,False,True,False,--,0.529,-99.901,2.001,20.078,2.001,20.078,0.221,0.524,5.223,0.152,0.36,--,-116.88,116.88,-19.325,0.935,0.452,481.458,387.324,4.358,285.942,--,0.86,[0.995 0.701 1.    0.729 0.801 0.631 1.   ],[ 0.532 -0.998  0.005  0.227],[-100    0],--,1,0,0,0,0,0
2.0,20,0,2,--,4,False,True,False,--,0.532,-99.874,2.0,20.046,2.0,20.046,0.222,0.525,5.219,0.152,0.36,--,-114.344,114.344,-19.039,0.94,0.467,483.577,388.539,4.365,287.864,--,0.853,[0.995 0.698 1.    0.704 0.818 0.596 1.   ],[ 0.531 -0.998  0.005  0.227],[-100    0],--,1,0,0,0,0,0
2.0,30,0,0,--,4,False,True,False,--,0.534,-99.765,2.001,30.01,2.001,30.01,0.227,0.435,3.977,0.228,0.436,--,-114.272,114.272,-19.025,0.807,0.792,390.218,292.985,3.446,257.716,--,0.828,[0.98  0.68  1.    0.552 0.819 0.595 1.   ],[ 0.533 -0.994  0.006  0.17 ],[-100    0],--,1,0,0,0,0,0
