k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,1303.942,-1.366,0.000,--,--,--,-0.534,0.012,0.364,1.887,0.077,0.113,-0.037,0.094,0.003,0.995,0.330,-0.910,-0.078,-4.293,10.803,-0.087,False,False,0.000,0.000,0.000,19.074,-0.042,1.091,1.715,0.456,0.011,0.664,0.061,11.371,11.907,12.395,10.848,54630,55882,56984,53370,-0.332,0.000,0.358,1.767,0.000,0.244,0.000,0.000,2.000,3.500,--
0,0,1303.965,-1.366,0.000,--,--,--,-0.495,0.011,0.366,1.92,0.092,0.16,-0.036,0.086,0.001,0.996,0.090,-0.880,-0.103,-4.122,9.843,-0.196,False,False,0.000,0.000,0.000,12.714,-0.048,1.113,1.713,0.456,0.333,0.635,0.090,11.782,12.030,12.254,10.510,55592,56162,56668,52530,-0.297,0.000,0.364,1.767,0.000,0.284,0.000,0.000,2.000,3.500,--
0,0,1303.988,-1.366,0.000,--,--,--,-0.454,0.011,0.369,1.947,0.096,0.212,-0.036,0.077,0.000,0.996,-0.010,-1.000,-0.157,-4.111,8.883,-0.319,False,False,0.000,0.000,0.000,9.412,-0.054,1.132,1.710,0.456,0.430,0.694,0.148,12.029,11.896,12.443,10.132,56060,55756,56988,51474,-0.261,0.000,0.370,1.767,0.000,0.324,0.000,0.000,2.000,3.500,--
0,0,1304.007,-1.366,0.000,--,--,--,-0.413,0.010,0.374,1.972,0.102,0.266,-0.036,0.069,-0.001,0.997,-0.100,-1.100,-0.139,-4.103,7.924,-0.443,False,False,0.000,0.000,0.000,7.234,-0.055,1.151,1.706,0.455,0.659,0.809,0.135,12.045,12.193,12.279,9.889,55894,56228,56420,50656,-0.226,0.000,0.377,1.767,0.000,0.364,0.000,0.000,2.000,3.500,--
0,0,1304.026,-1.366,0.000,--,--,--,-0.372,0.010,0.379,1.989,0.105,0.324,-0.037,0.060,-0.003,0.998,-0.100,-1.100,-0.147,-4.256,6.806,-0.571,False,False,0.000,0.000,0.000,5.852,-0.058,1.167,1.703,0.454,0.627,0.926,0.145,11.797,12.380,12.279,9.735,55584,56162,56634,50260,-0.191,0.000,0.384,1.767,0.000,0.404,0.000,0.000,2.000,3.500,--
0,0,1304.046,-1.366,0.000,--,--,--,-0.331,0.009,0.385,2.004,0.114,0.384,-0.039,0.048,-0.003,0.998,-0.090,-1.180,-0.156,-4.421,5.536,-0.532,False,False,0.000,0.000,0.000,4.818,-0.063,1.18,1.693,0.448,0.508,0.956,0.155,11.712,11.930,12.414,9.633,54742,55238,56318,49624,-0.155,0.000,0.393,1.767,0.000,0.444,0.000,0.000,2.000,3.500,--
0,0,1304.067,-1.366,0.000,--,--,--,-0.289,0.009,0.394,2.004,0.121,0.451,-0.039,0.037,-0.004,0.999,0.000,-1.130,-0.102,-4.420,4.261,-0.641,False,False,0.000,0.000,0.000,4.051,-0.068,1.188,1.685,0.441,0.272,0.896,0.103,11.198,11.747,12.176,9.913,53356,54626,55594,50182,-0.120,0.000,0.402,1.767,0.000,0.484,0.000,0.000,2.000,3.500,--
0,0,1304.086,-1.366,0.000,--,--,--,-0.248,0.010,0.404,1.999,0.135,0.521,-0.039,0.025,-0.006,0.999,0.200,-1.050,-0.114,-4.424,2.828,-0.744,False,False,0.000,0.000,0.000,3.436,-0.075,1.193,1.675,0.433,0.041,0.914,0.116,10.835,11.309,12.204,9.810,52120,53240,55264,49564,-0.084,0.000,0.412,1.767,0.000,0.524,0.000,0.000,2.000,3.500,--
0,0,1304.107,-1.366,0.000,--,--,--,-0.208,0.010,0.415,1.984,0.144,0.593,-0.036,0.012,-0.006,0.999,0.300,-0.960,-0.097,-4.116,1.403,-0.685,False,False,0.000,0.000,0.000,2.980,-0.082,1.193,1.663,0.422,0.036,0.878,0.093,10.484,11.094,11.806,9.659,50996,52458,54090,48912,-0.049,0.000,0.423,1.767,0.000,0.564,0.000,0.000,2.000,3.500,--
0,0,1304.126,-1.366,0.000,--,--,--,-0.168,0.011,0.428,1.955,0.16,0.668,-0.035,-0.001,-0.004,0.999,0.310,-0.780,-0.075,-3.966,-0.175,-0.470,False,False,0.000,0.000,0.000,2.606,-0.093,1.186,1.650,0.410,0.048,0.865,0.060,10.253,11.188,11.306,9.737,49508,51592,52576,48034,-0.031,0.000,0.429,1.767,0.000,0.584,0.000,0.000,2.000,3.500,--
