k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,861.129,-32.767,0.000,--,--,--,0.907,-0.021,0.400,0.953,0.068,0.105,-0.030,0.036,0.007,0.999,-0.080,-0.660,-0.020,-3.516,4.146,0.666,False,False,0.000,0.000,0.000,16.086,-0.041,0.568,1.682,0.491,0.373,0.544,0.137,13.126,13.009,13.576,11.036,58624,58016,59204,54694,0.979,0.000,0.383,0.855,0.000,0.261,0.000,0.000,2.700,3.500,--
0,0,861.150,-1.366,0.000,--,--,--,0.926,-0.020,0.403,0.959,0.08,0.159,-0.030,0.029,0.007,0.999,-0.050,-0.710,-0.087,-3.511,3.353,0.691,False,False,0.000,0.000,0.000,13.188,-0.044,0.571,1.678,0.495,0.480,0.859,0.205,13.184,12.840,13.778,10.739,59454,58704,60720,53778,0.993,0.000,0.388,0.855,0.000,0.304,0.000,0.000,2.700,3.500,--
0,0,861.169,-1.366,0.000,--,--,--,0.944,-0.018,0.407,0.96,0.095,0.219,-0.030,0.024,0.006,0.999,0.040,-0.570,-0.093,-3.503,2.714,0.552,False,False,0.000,0.000,0.000,8.737,-0.052,0.573,1.674,0.496,0.374,0.665,0.213,13.312,12.592,13.768,10.961,59728,58152,60698,54330,1.010,0.000,0.394,0.855,0.000,0.358,0.000,0.000,2.700,3.500,--
0,0,861.188,-1.366,0.000,--,--,--,0.963,-0.016,0.413,0.958,0.102,0.291,-0.030,0.017,0.006,0.999,0.140,-0.440,-0.094,-3.499,1.921,0.576,False,False,0.000,0.000,0.000,5.723,-0.062,0.576,1.672,0.496,0.222,0.861,0.217,13.444,12.365,13.898,11.194,59144,58170,61274,54180,1.030,0.000,0.404,0.855,0.000,0.423,0.000,0.000,2.700,3.500,--
0,0,861.208,-1.366,0.000,--,--,--,0.981,-0.014,0.419,0.955,0.121,0.367,-0.029,0.012,0.004,0.999,0.160,-0.390,-0.178,-3.336,1.440,0.434,False,False,0.000,0.000,0.000,5.042,-0.070,0.578,1.663,0.488,0.249,0.446,0.306,13.547,11.723,13.857,10.632,59796,55758,60444,53122,1.044,0.000,0.411,0.855,0.000,0.466,0.000,0.000,2.700,3.500,--
0,0,861.228,-1.366,0.000,--,--,--,0.999,-0.012,0.427,0.945,0.132,0.429,-0.028,0.010,0.003,1.000,0.220,-0.340,-0.198,-3.175,1.118,0.286,False,False,0.000,0.000,0.000,4.196,-0.077,0.574,1.656,0.488,0.178,0.423,0.334,13.623,11.532,14.008,10.589,59740,55110,60536,52822,1.061,0.000,0.421,0.855,0.000,0.520,0.000,0.000,2.700,3.500,--
0,0,861.247,-1.366,0.000,--,--,--,1.017,-0.009,0.437,0.936,0.143,0.506,-0.025,0.007,0.003,1.000,0.190,-0.210,-0.021,-2.857,0.801,0.297,False,False,0.000,0.000,0.000,3.536,-0.085,0.572,1.652,0.485,0.248,0.306,0.160,13.642,11.328,13.620,10.525,58296,56440,58492,54420,1.078,0.000,0.432,0.855,0.000,0.574,0.000,0.000,2.700,3.500,--
0,0,861.256,-1.366,0.000,--,--,--,1.026,-0.008,0.442,0.932,0.15,0.546,-0.025,0.006,0.003,1.000,0.120,-0.310,-0.181,-2.856,0.642,0.301,False,False,0.000,0.000,0.000,3.242,-0.088,0.571,1.637,0.473,0.275,0.312,0.328,13.393,11.177,13.451,10.256,58414,53494,58534,51238,1.095,0.000,0.444,0.855,0.000,0.628,0.000,0.000,2.700,3.500,--
0,0,861.285,-1.366,0.000,--,--,--,1.053,-0.003,0.460,0.913,0.161,0.663,-0.022,0.001,0.001,1.000,0.130,-0.260,-0.114,-2.538,0.162,0.155,False,False,0.000,0.000,0.000,2.588,-0.095,0.567,1.625,0.466,0.416,0.435,0.265,13.393,11.177,13.451,10.256,57240,53898,57300,50662,1.095,0.000,0.444,0.855,0.000,0.628,0.000,0.000,2.700,3.500,--
0,0,861.315,-1.366,0.000,--,--,--,1.078,0.001,0.482,0.892,0.17,0.768,-0.021,-0.004,-0.000,1.000,0.140,-0.320,-0.028,-2.379,-0.476,0.010,False,False,0.000,0.000,0.000,2.079,-0.107,0.56,1.605,0.459,0.440,0.609,0.189,12.983,11.854,13.005,10.253,55090,53758,55658,49854,1.124,0.000,0.467,0.855,0.000,0.720,0.000,0.000,2.700,3.500,--
