Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,60,3,--,0,True,0.0,0.0,0.268,2.126,0.117,-48.346,1.567,7.979,0,0,0.217,[0.033 0.05  0.134 0.    0.   ],--,0,0,0,0,0,1
0.5,60,4,--,0,True,0.0,0.0,0.27,2.117,0.118,-50.382,1.571,7.995,0,0,0.084,[0.033 0.05  0.001 0.    0.   ],--,0,0,0,0,0,1
0.5,65,0,--,0,True,0.0,0.0,0.271,1.71,0.124,-48.241,1.549,7.995,0,0,0.227,[0.033 0.05  0.144 0.    0.   ],--,0,0,0,0,0,1
0.5,65,1,--,0,True,0.0,0.0,0.263,1.741,0.12,-49.262,1.747,7.979,0,0,0.13,[0.033 0.05  0.046 0.    0.   ],--,0,0,0,0,0,1
0.5,65,2,--,0,True,0.0,0.0,0.27,1.708,0.123,-50.669,1.552,7.994,0,0,0.091,[0.033 0.05  0.008 0.    0.   ],--,0,0,0,0,0,1
0.5,65,3,--,2,True,0.0,0.0,0.271,1.699,0.124,-51.453,1.555,7.993,0,0,0.246,[0.033 0.05  0.063 0.1   0.   ],--,0,0,0,1,0,0
0.5,65,4,--,0,True,0.0,0.0,0.274,1.69,0.125,-48.382,1.536,7.996,0,0,0.214,[0.033 0.05  0.131 0.    0.   ],--,0,0,0,0,0,1
0.5,70,0,--,0,True,0.0,0.0,0.268,1.338,0.127,0.0,1.589,7.987,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,70,1,--,2,True,0.0,0.0,0.273,1.316,0.13,-60.624,1.521,7.987,0,0,0.343,[0.033 0.05  0.159 0.1   0.   ],--,0,0,0,1,0,0
0.5,70,2,--,0,True,0.0,0.0,0.271,1.329,0.128,0.0,1.532,7.992,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,70,3,--,0,True,0.0,0.0,0.268,1.34,0.127,-49.903,1.611,7.991,0,0,0.09,[0.033 0.05  0.006 0.    0.   ],--,0,0,0,0,0,1
0.5,70,4,--,0,True,0.0,0.0,0.266,1.364,0.126,0.0,1.682,7.996,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,75,0,--,0,True,0.0,0.0,0.27,0.994,0.131,-48.686,1.572,7.99,0,0,0.184,[0.033 0.05  0.101 0.    0.   ],--,0,0,0,0,0,1
0.5,75,1,--,0,True,0.0,0.0,0.264,1.01,0.128,-47.869,1.65,7.983,0,0,0.257,[0.033 0.05  0.174 0.    0.   ],--,0,0,0,0,0,1
0.5,75,2,--,0,True,0.0,0.0,0.261,1.023,0.127,0.0,1.807,7.975,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,75,3,--,0,True,0.0,0.0,0.27,0.989,0.131,0.0,1.574,7.99,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,75,4,--,0,True,0.0,0.0,0.266,0.992,0.129,-51.102,1.621,7.977,0,0,0.116,[0.033 0.05  0.033 0.    0.   ],--,0,0,0,0,0,1
0.5,80,0,--,0,True,0.0,0.0,0.266,0.665,0.132,-49.148,1.623,7.992,0,0,0.14,[0.033 0.05  0.056 0.    0.   ],--,0,0,0,0,0,1
0.5,80,1,--,2,True,0.0,0.0,0.272,0.643,0.135,-56.559,1.527,7.987,0,0,0.183,[0.033 0.05  0.    0.1   0.   ],--,0,0,0,1,0,0
0.5,80,2,--,2,True,0.0,0.0,0.266,0.654,0.132,-54.058,1.65,7.986,0,0,0.363,[0.033 0.05  0.18  0.1   0.   ],--,0,0,0,1,0,0
0.5,80,3,--,0,True,0.0,0.0,0.264,0.66,0.131,0.0,1.699,7.98,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,80,4,--,2,True,0.0,0.0,0.27,0.649,0.134,-75.993,1.594,7.991,0,0,0.201,[0.033 0.05  0.017 0.1   0.   ],--,0,0,0,1,0,0
0.5,85,0,--,0,True,0.0,0.0,0.269,0.324,0.135,-51.739,1.617,7.981,0,0,0.174,[0.033 0.05  0.09  0.    0.   ],--,0,0,0,0,0,1
0.5,85,1,--,0,True,0.0,0.0,0.267,0.328,0.134,-50.659,1.638,7.994,0,0,0.091,[0.033 0.05  0.008 0.    0.   ],--,0,0,0,0,0,1
0.5,85,2,--,0,True,0.0,0.0,0.266,0.327,0.133,-51.809,1.668,7.986,0,0,0.181,[0.033 0.05  0.097 0.    0.   ],--,0,0,0,0,0,1
0.5,85,3,--,0,True,0.0,0.0,0.264,0.334,0.132,-48.619,1.737,7.985,0,0,0.191,[0.033 0.05  0.108 0.    0.   ],--,0,0,0,0,0,1
0.5,85,4,--,2,True,0.0,0.0,0.27,0.318,0.135,-56.988,1.562,7.991,0,0,0.193,[0.033 0.05  0.009 0.1   0.   ],--,0,0,0,1,0,0
0.5,90,0,--,0,True,0.0,0.0,0.267,0.002,0.135,-49.649,1.62,7.985,0,0,0.102,[0.033 0.05  0.018 0.    0.   ],--,0,0,0,0,0,1
0.5,90,1,--,2,True,0.0,0.0,0.269,-0.003,0.135,-74.355,1.579,7.991,0,0,0.233,[0.033 0.05  0.05  0.1   0.   ],--,0,0,0,1,0,0
0.5,90,2,--,2,True,0.0,0.0,0.261,0.001,0.132,-54.966,1.8,7.97,0,0,0.285,[0.033 0.05  0.101 0.1   0.   ],--,0,0,0,1,0,0
0.5,90,3,--,0,True,0.0,0.0,0.257,0.005,0.129,0.0,1.973,7.968,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.5,90,4,--,2,True,0.0,0.0,0.273,-0.002,0.137,-59.556,1.522,7.998,0,0,0.382,[0.033 0.05  0.199 0.1   0.   ],--,0,0,0,1,0,0
0.75,30,0,--,0,True,0.0,0.0,0.262,6.538,0.099,-41.302,1.68,7.987,0,0,0.273,[0.033 0.05  0.19  0.    0.   ],--,0,0,0,0,0,1
0.75,30,1,--,0,True,0.0,0.0,0.265,6.495,0.1,0.0,1.629,7.964,0,0,0.083,[0.033 0.05  0.    0.    0.   ],--,0,0,0,0,0,1
0.75,30,2,--,0,True,0.0,0.0,0.265,6.447,0.1,-35.545,1.588,7.972,0,0,0.238,[0.033 0.05  0.155 0.    0.   ],--,0,0,0,0,0,1
