vel_IC,phi_IC,d_ceiling,My,k_run,vx,vz,RREV_trig,OFy_trig,impact_eul,landing_success
1.0,30.0,0.45,-7.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-7.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-8.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.0,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.25,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.5,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.45,-9.75,2,0.87,0.5,1.1111,-1.9333,,0.0
1.0,30.0,0.4,-3.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-3.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-3.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-3.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-4.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-5.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-5.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-5.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-5.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-6.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-6.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-6.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-6.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-7.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-7.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-7.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-7.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-8.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-8.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-8.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-8.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-9.0,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-9.25,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-9.5,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.4,-9.75,2,0.87,0.5,1.25,-2.175,,0.0
1.0,30.0,0.35,-3.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-3.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-3.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-3.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-4.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-4.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-4.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-4.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-5.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-5.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-5.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-5.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-6.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-6.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-6.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-6.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-7.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-7.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-7.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-7.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-8.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-8.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-8.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-8.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-9.0,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-9.25,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-9.5,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.35,-9.75,2,0.87,0.5,1.4286,-2.4857,,0.0
1.0,30.0,0.3,-3.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-3.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-3.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-3.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-4.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-4.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-4.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-4.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-5.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-5.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-5.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-5.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-6.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-6.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-6.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-6.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-7.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-7.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-7.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-7.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-8.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-8.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-8.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-8.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-9.0,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-9.25,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-9.5,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.3,-9.75,2,0.87,0.5,1.6667,-2.9,,0.0
1.0,30.0,0.25,-3.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-3.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-3.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-3.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-4.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-4.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-4.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-4.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-5.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-5.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-5.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-5.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-6.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-6.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-6.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-6.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-7.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-7.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-7.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-7.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-8.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-8.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-8.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-8.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-9.0,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-9.25,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-9.5,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.25,-9.75,2,0.87,0.5,2.0,-3.48,,0.0
1.0,30.0,0.2,-3.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-3.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-3.5,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-3.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-4.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-4.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-4.5,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-4.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-5.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-5.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-5.5,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-5.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-6.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-6.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-6.5,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-6.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-7.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-7.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-7.5,2,0.87,0.5,2.5,-4.35,,0.0
