# vel,phi,d_ceiling,My,trial_num
1.25,40.00,0.15,-6.00,55.00
1.25,40.00,0.15,-7.00,55.00
1.25,40.00,0.15,-8.00,55.00
1.25,40.00,0.15,-9.00,55.00
1.25,40.00,0.10,-3.00,55.00
1.25,40.00,0.10,-4.00,55.00
1.25,40.00,0.10,-5.00,55.00
1.25,40.00,0.10,-6.00,55.00
1.25,40.00,0.10,-7.00,55.00
1.25,40.00,0.10,-8.00,55.00
1.25,40.00,0.10,-9.00,55.00
1.25,30.00,0.55,-3.00,56.00
1.25,30.00,0.55,-4.00,56.00
1.25,30.00,0.55,-5.00,56.00
1.25,30.00,0.55,-6.00,56.00
1.25,30.00,0.55,-7.00,56.00
1.25,30.00,0.55,-8.00,56.00
1.25,30.00,0.55,-9.00,56.00
1.25,30.00,0.50,-3.00,56.00
1.25,30.00,0.50,-4.00,56.00
1.25,30.00,0.50,-5.00,56.00
1.25,30.00,0.50,-6.00,56.00
1.25,30.00,0.50,-7.00,56.00
1.25,30.00,0.50,-8.00,56.00
1.25,30.00,0.50,-9.00,56.00
1.25,30.00,0.45,-3.00,56.00
1.25,30.00,0.45,-4.00,56.00
1.25,30.00,0.45,-5.00,56.00
1.25,30.00,0.45,-6.00,56.00
1.25,30.00,0.45,-7.00,56.00
1.25,30.00,0.45,-8.00,56.00
1.25,30.00,0.45,-9.00,56.00
1.25,30.00,0.40,-3.00,56.00
1.25,30.00,0.40,-4.00,56.00
1.25,30.00,0.40,-5.00,56.00
1.25,30.00,0.40,-6.00,56.00
1.25,30.00,0.40,-7.00,56.00
1.25,30.00,0.40,-8.00,56.00
1.25,30.00,0.40,-9.00,56.00
1.25,30.00,0.35,-3.00,56.00
1.25,30.00,0.35,-4.00,56.00
1.25,30.00,0.35,-5.00,56.00
1.25,30.00,0.35,-6.00,56.00
1.25,30.00,0.35,-7.00,56.00
1.25,30.00,0.35,-8.00,56.00
1.25,30.00,0.35,-9.00,56.00
1.25,30.00,0.30,-3.00,56.00
1.25,30.00,0.30,-4.00,56.00
1.25,30.00,0.30,-5.00,56.00
1.25,30.00,0.30,-6.00,56.00
1.25,30.00,0.30,-7.00,56.00
1.25,30.00,0.30,-8.00,56.00
1.25,30.00,0.30,-9.00,56.00
1.25,30.00,0.25,-3.00,56.00
1.25,30.00,0.25,-4.00,56.00
1.25,30.00,0.25,-5.00,56.00
1.25,30.00,0.25,-6.00,56.00
1.25,30.00,0.25,-7.00,56.00
1.25,30.00,0.25,-8.00,56.00
1.25,30.00,0.25,-9.00,56.00
1.25,30.00,0.20,-3.00,56.00
1.25,30.00,0.20,-4.00,56.00
1.25,30.00,0.20,-5.00,56.00
1.25,30.00,0.20,-6.00,56.00
1.25,30.00,0.20,-7.00,56.00
1.25,30.00,0.20,-8.00,56.00
1.25,30.00,0.20,-9.00,56.00
1.25,30.00,0.15,-3.00,56.00
1.25,30.00,0.15,-4.00,56.00
1.25,30.00,0.15,-5.00,56.00
1.25,30.00,0.15,-6.00,56.00
1.25,30.00,0.15,-7.00,56.00
1.25,30.00,0.15,-8.00,56.00
1.25,30.00,0.15,-9.00,56.00
1.25,30.00,0.10,-3.00,56.00
1.25,30.00,0.10,-4.00,56.00
1.25,30.00,0.10,-5.00,56.00
1.25,30.00,0.10,-6.00,56.00
1.25,30.00,0.10,-7.00,56.00
1.25,30.00,0.10,-8.00,56.00
1.25,30.00,0.10,-9.00,56.00
1.00,90.00,0.55,-3.00,57.00
1.00,90.00,0.55,-4.00,57.00
1.00,90.00,0.55,-5.00,57.00
1.00,90.00,0.55,-6.00,57.00
1.00,90.00,0.55,-7.00,57.00
1.00,90.00,0.55,-8.00,57.00
1.00,90.00,0.55,-9.00,57.00
1.00,90.00,0.50,-3.00,57.00
1.00,90.00,0.50,-4.00,57.00
1.00,90.00,0.50,-5.00,57.00
1.00,90.00,0.50,-6.00,57.00
1.00,90.00,0.50,-7.00,57.00
1.00,90.00,0.50,-8.00,57.00
1.00,90.00,0.50,-9.00,57.00
1.00,90.00,0.45,-3.00,57.00
1.00,90.00,0.45,-4.00,57.00
1.00,90.00,0.45,-5.00,57.00
1.00,90.00,0.45,-6.00,57.00
1.00,90.00,0.45,-7.00,57.00
1.00,90.00,0.45,-8.00,57.00
1.00,90.00,0.45,-9.00,57.00
1.00,90.00,0.40,-3.00,57.00
1.00,90.00,0.40,-4.00,57.00
1.00,90.00,0.40,-5.00,57.00
1.00,90.00,0.40,-6.00,57.00
1.00,90.00,0.40,-7.00,57.00
1.00,90.00,0.40,-8.00,57.00
1.00,90.00,0.40,-9.00,57.00
1.00,90.00,0.35,-3.00,57.00
1.00,90.00,0.35,-4.00,57.00
1.00,90.00,0.35,-5.00,57.00
1.00,90.00,0.35,-6.00,57.00
1.00,90.00,0.35,-7.00,57.00
1.00,90.00,0.35,-8.00,57.00
1.00,90.00,0.35,-9.00,57.00
1.00,90.00,0.30,-3.00,57.00
1.00,90.00,0.30,-4.00,57.00
1.00,90.00,0.30,-5.00,57.00
1.00,90.00,0.30,-6.00,57.00
1.00,90.00,0.30,-7.00,57.00
1.00,90.00,0.30,-8.00,57.00
1.00,90.00,0.30,-9.00,57.00
1.00,90.00,0.25,-3.00,57.00
1.00,90.00,0.25,-4.00,57.00
1.00,90.00,0.25,-5.00,57.00
1.00,90.00,0.25,-6.00,57.00
1.00,90.00,0.25,-7.00,57.00
1.00,90.00,0.25,-8.00,57.00
1.00,90.00,0.25,-9.00,57.00
1.00,90.00,0.20,-3.00,57.00
1.00,90.00,0.20,-4.00,57.00
1.00,90.00,0.20,-5.00,57.00
1.00,90.00,0.20,-6.00,57.00
1.00,90.00,0.20,-7.00,57.00
1.00,90.00,0.20,-8.00,57.00
1.00,90.00,0.20,-9.00,57.00
1.00,90.00,0.15,-3.00,57.00
1.00,90.00,0.15,-4.00,57.00
1.00,90.00,0.15,-5.00,57.00
1.00,90.00,0.15,-6.00,57.00
1.00,90.00,0.15,-7.00,57.00
1.00,90.00,0.15,-8.00,57.00
1.00,90.00,0.15,-9.00,57.00
1.00,90.00,0.10,-3.00,57.00
1.00,90.00,0.10,-4.00,57.00
1.00,90.00,0.10,-5.00,57.00
1.00,90.00,0.10,-6.00,57.00
1.00,90.00,0.10,-7.00,57.00
1.00,90.00,0.10,-8.00,57.00
1.00,90.00,0.10,-9.00,57.00
1.00,80.00,0.55,-3.00,58.00
1.00,80.00,0.55,-4.00,58.00
1.00,80.00,0.55,-5.00,58.00
1.00,80.00,0.55,-6.00,58.00
1.00,80.00,0.55,-7.00,58.00
1.00,80.00,0.55,-8.00,58.00
1.00,80.00,0.55,-9.00,58.00
1.00,80.00,0.50,-3.00,58.00
1.00,80.00,0.50,-4.00,58.00
1.00,80.00,0.50,-5.00,58.00
1.00,80.00,0.50,-6.00,58.00
1.00,80.00,0.50,-7.00,58.00
1.00,80.00,0.50,-8.00,58.00
1.00,80.00,0.50,-9.00,58.00
1.00,80.00,0.45,-3.00,58.00
1.00,80.00,0.45,-4.00,58.00
1.00,80.00,0.45,-5.00,58.00
1.00,80.00,0.45,-6.00,58.00
1.00,80.00,0.45,-7.00,58.00
1.00,80.00,0.45,-8.00,58.00
1.00,80.00,0.45,-9.00,58.00
1.00,80.00,0.40,-3.00,58.00
1.00,80.00,0.40,-4.00,58.00
1.00,80.00,0.40,-5.00,58.00
1.00,80.00,0.40,-6.00,58.00
1.00,80.00,0.40,-7.00,58.00
1.00,80.00,0.40,-8.00,58.00
1.00,80.00,0.40,-9.00,58.00
1.00,80.00,0.35,-3.00,58.00
1.00,80.00,0.35,-4.00,58.00
1.00,80.00,0.35,-5.00,58.00
1.00,80.00,0.35,-6.00,58.00
1.00,80.00,0.35,-7.00,58.00
1.00,80.00,0.35,-8.00,58.00
1.00,80.00,0.35,-9.00,58.00
1.00,80.00,0.30,-3.00,58.00
1.00,80.00,0.30,-4.00,58.00
1.00,80.00,0.30,-5.00,58.00
1.00,80.00,0.30,-6.00,58.00
1.00,80.00,0.30,-7.00,58.00
1.00,80.00,0.30,-8.00,58.00
1.00,80.00,0.30,-9.00,58.00
1.00,80.00,0.25,-3.00,58.00
1.00,80.00,0.25,-4.00,58.00
1.00,80.00,0.25,-5.00,58.00
1.00,80.00,0.25,-6.00,58.00
1.00,80.00,0.25,-7.00,58.00
1.00,80.00,0.25,-8.00,58.00
1.00,80.00,0.25,-9.00,58.00
1.00,80.00,0.20,-3.00,58.00
1.00,80.00,0.20,-4.00,58.00
1.00,80.00,0.20,-5.00,58.00
1.00,80.00,0.20,-6.00,58.00
1.00,80.00,0.20,-7.00,58.00
1.00,80.00,0.20,-8.00,58.00
1.00,80.00,0.20,-9.00,58.00
1.00,80.00,0.15,-3.00,58.00
1.00,80.00,0.15,-4.00,58.00
1.00,80.00,0.15,-5.00,58.00
1.00,80.00,0.15,-6.00,58.00
1.00,80.00,0.15,-7.00,58.00
1.00,80.00,0.15,-8.00,58.00
1.00,80.00,0.15,-9.00,58.00
1.00,80.00,0.10,-3.00,58.00
1.00,80.00,0.10,-4.00,58.00
1.00,80.00,0.10,-5.00,58.00
1.00,80.00,0.10,-6.00,58.00
1.00,80.00,0.10,-7.00,58.00
1.00,80.00,0.10,-8.00,58.00
1.00,80.00,0.10,-9.00,58.00
1.00,70.00,0.55,-3.00,59.00
1.00,70.00,0.55,-4.00,59.00
1.00,70.00,0.55,-5.00,59.00
1.00,70.00,0.55,-6.00,59.00
1.00,70.00,0.55,-7.00,59.00
1.00,70.00,0.55,-8.00,59.00
1.00,70.00,0.55,-9.00,59.00
1.00,70.00,0.50,-3.00,59.00
1.00,70.00,0.50,-4.00,59.00
1.00,70.00,0.50,-5.00,59.00
1.00,70.00,0.50,-6.00,59.00
1.00,70.00,0.50,-7.00,59.00
1.00,70.00,0.50,-8.00,59.00
1.00,70.00,0.50,-9.00,59.00
1.00,70.00,0.45,-3.00,59.00
1.00,70.00,0.45,-4.00,59.00
1.00,70.00,0.45,-5.00,59.00
1.00,70.00,0.45,-6.00,59.00
1.00,70.00,0.45,-7.00,59.00
1.00,70.00,0.45,-8.00,59.00
1.00,70.00,0.45,-9.00,59.00
1.00,70.00,0.40,-3.00,59.00
1.00,70.00,0.40,-4.00,59.00
1.00,70.00,0.40,-5.00,59.00
1.00,70.00,0.40,-6.00,59.00
1.00,70.00,0.40,-7.00,59.00
1.00,70.00,0.40,-8.00,59.00
1.00,70.00,0.40,-9.00,59.00
1.00,70.00,0.35,-3.00,59.00
1.00,70.00,0.35,-4.00,59.00
1.00,70.00,0.35,-5.00,59.00
1.00,70.00,0.35,-6.00,59.00
1.00,70.00,0.35,-7.00,59.00
1.00,70.00,0.35,-8.00,59.00
1.00,70.00,0.35,-9.00,59.00
1.00,70.00,0.30,-3.00,59.00
1.00,70.00,0.30,-4.00,59.00
1.00,70.00,0.30,-5.00,59.00
1.00,70.00,0.30,-6.00,59.00
1.00,70.00,0.30,-7.00,59.00
1.00,70.00,0.30,-8.00,59.00
1.00,70.00,0.30,-9.00,59.00
1.00,70.00,0.25,-3.00,59.00
1.00,70.00,0.25,-4.00,59.00
1.00,70.00,0.25,-5.00,59.00
1.00,70.00,0.25,-6.00,59.00
1.00,70.00,0.25,-7.00,59.00
1.00,70.00,0.25,-8.00,59.00
1.00,70.00,0.25,-9.00,59.00
1.00,70.00,0.20,-3.00,59.00
1.00,70.00,0.20,-4.00,59.00
1.00,70.00,0.20,-5.00,59.00
1.00,70.00,0.20,-6.00,59.00
1.00,70.00,0.20,-7.00,59.00
1.00,70.00,0.20,-8.00,59.00
1.00,70.00,0.20,-9.00,59.00
1.00,70.00,0.15,-3.00,59.00
1.00,70.00,0.15,-4.00,59.00
1.00,70.00,0.15,-5.00,59.00
1.00,70.00,0.15,-6.00,59.00
1.00,70.00,0.15,-7.00,59.00
1.00,70.00,0.15,-8.00,59.00
1.00,70.00,0.15,-9.00,59.00
1.00,70.00,0.10,-3.00,59.00
1.00,70.00,0.10,-4.00,59.00
1.00,70.00,0.10,-5.00,59.00
1.00,70.00,0.10,-6.00,59.00
1.00,70.00,0.10,-7.00,59.00
1.00,70.00,0.10,-8.00,59.00
1.00,70.00,0.10,-9.00,59.00
1.00,60.00,0.55,-3.00,60.00
1.00,60.00,0.55,-4.00,60.00
1.00,60.00,0.55,-5.00,60.00
1.00,60.00,0.55,-6.00,60.00
1.00,60.00,0.55,-7.00,60.00
1.00,60.00,0.55,-8.00,60.00
1.00,60.00,0.55,-9.00,60.00
1.00,60.00,0.50,-3.00,60.00
1.00,60.00,0.50,-4.00,60.00
1.00,60.00,0.50,-5.00,60.00
1.00,60.00,0.50,-6.00,60.00
1.00,60.00,0.50,-7.00,60.00
1.00,60.00,0.50,-8.00,60.00
1.00,60.00,0.50,-9.00,60.00
1.00,60.00,0.45,-3.00,60.00
1.00,60.00,0.45,-4.00,60.00
1.00,60.00,0.45,-5.00,60.00
1.00,60.00,0.45,-6.00,60.00
1.00,60.00,0.45,-7.00,60.00
1.00,60.00,0.45,-8.00,60.00
1.00,60.00,0.45,-9.00,60.00
1.00,60.00,0.40,-3.00,60.00
1.00,60.00,0.40,-4.00,60.00
1.00,60.00,0.40,-5.00,60.00
1.00,60.00,0.40,-6.00,60.00
1.00,60.00,0.40,-7.00,60.00
1.00,60.00,0.40,-8.00,60.00
1.00,60.00,0.40,-9.00,60.00
1.00,60.00,0.35,-3.00,60.00
1.00,60.00,0.35,-4.00,60.00
1.00,60.00,0.35,-5.00,60.00
1.00,60.00,0.35,-6.00,60.00
1.00,60.00,0.35,-7.00,60.00
1.00,60.00,0.35,-8.00,60.00
1.00,60.00,0.35,-9.00,60.00
1.00,60.00,0.30,-3.00,60.00
1.00,60.00,0.30,-4.00,60.00
1.00,60.00,0.30,-5.00,60.00
1.00,60.00,0.30,-6.00,60.00
1.00,60.00,0.30,-7.00,60.00
1.00,60.00,0.30,-8.00,60.00
1.00,60.00,0.30,-9.00,60.00
1.00,60.00,0.25,-3.00,60.00
1.00,60.00,0.25,-4.00,60.00
1.00,60.00,0.25,-5.00,60.00
1.00,60.00,0.25,-6.00,60.00
1.00,60.00,0.25,-7.00,60.00
1.00,60.00,0.25,-8.00,60.00
1.00,60.00,0.25,-9.00,60.00
1.00,60.00,0.20,-3.00,60.00
1.00,60.00,0.20,-4.00,60.00
1.00,60.00,0.20,-5.00,60.00
1.00,60.00,0.20,-6.00,60.00
1.00,60.00,0.20,-7.00,60.00
1.00,60.00,0.20,-8.00,60.00
1.00,60.00,0.20,-9.00,60.00
1.00,60.00,0.15,-3.00,60.00
1.00,60.00,0.15,-4.00,60.00
1.00,60.00,0.15,-5.00,60.00
1.00,60.00,0.15,-6.00,60.00
1.00,60.00,0.15,-7.00,60.00
1.00,60.00,0.15,-8.00,60.00
1.00,60.00,0.15,-9.00,60.00
1.00,60.00,0.10,-3.00,60.00
1.00,60.00,0.10,-4.00,60.00
1.00,60.00,0.10,-5.00,60.00
1.00,60.00,0.10,-6.00,60.00
1.00,60.00,0.10,-7.00,60.00
1.00,60.00,0.10,-8.00,60.00
1.00,60.00,0.10,-9.00,60.00
1.00,50.00,0.55,-3.00,61.00
1.00,50.00,0.55,-4.00,61.00
1.00,50.00,0.55,-5.00,61.00
1.00,50.00,0.55,-6.00,61.00
1.00,50.00,0.55,-7.00,61.00
1.00,50.00,0.55,-8.00,61.00
1.00,50.00,0.55,-9.00,61.00
1.00,50.00,0.50,-3.00,61.00
1.00,50.00,0.50,-4.00,61.00
1.00,50.00,0.50,-5.00,61.00
1.00,50.00,0.50,-6.00,61.00
1.00,50.00,0.50,-7.00,61.00
1.00,50.00,0.50,-8.00,61.00
1.00,50.00,0.50,-9.00,61.00
1.00,50.00,0.45,-3.00,61.00
1.00,50.00,0.45,-4.00,61.00
1.00,50.00,0.45,-5.00,61.00
1.00,50.00,0.45,-6.00,61.00
1.00,50.00,0.45,-7.00,61.00
1.00,50.00,0.45,-8.00,61.00
1.00,50.00,0.45,-9.00,61.00
1.00,50.00,0.40,-3.00,61.00
1.00,50.00,0.40,-4.00,61.00
1.00,50.00,0.40,-5.00,61.00
1.00,50.00,0.40,-6.00,61.00
1.00,50.00,0.40,-7.00,61.00
1.00,50.00,0.40,-8.00,61.00
1.00,50.00,0.40,-9.00,61.00
1.00,50.00,0.35,-3.00,61.00
1.00,50.00,0.35,-4.00,61.00
1.00,50.00,0.35,-5.00,61.00
1.00,50.00,0.35,-6.00,61.00
1.00,50.00,0.35,-7.00,61.00
1.00,50.00,0.35,-8.00,61.00
1.00,50.00,0.35,-9.00,61.00
1.00,50.00,0.30,-3.00,61.00
1.00,50.00,0.30,-4.00,61.00
1.00,50.00,0.30,-5.00,61.00
1.00,50.00,0.30,-6.00,61.00
1.00,50.00,0.30,-7.00,61.00
1.00,50.00,0.30,-8.00,61.00
1.00,50.00,0.30,-9.00,61.00
1.00,50.00,0.25,-3.00,61.00
1.00,50.00,0.25,-4.00,61.00
1.00,50.00,0.25,-5.00,61.00
1.00,50.00,0.25,-6.00,61.00
1.00,50.00,0.25,-7.00,61.00
1.00,50.00,0.25,-8.00,61.00
1.00,50.00,0.25,-9.00,61.00
1.00,50.00,0.20,-3.00,61.00
1.00,50.00,0.20,-4.00,61.00
1.00,50.00,0.20,-5.00,61.00
1.00,50.00,0.20,-6.00,61.00
1.00,50.00,0.20,-7.00,61.00
1.00,50.00,0.20,-8.00,61.00
1.00,50.00,0.20,-9.00,61.00
1.00,50.00,0.15,-3.00,61.00
1.00,50.00,0.15,-4.00,61.00
1.00,50.00,0.15,-5.00,61.00
1.00,50.00,0.15,-6.00,61.00
1.00,50.00,0.15,-7.00,61.00
1.00,50.00,0.15,-8.00,61.00
1.00,50.00,0.15,-9.00,61.00
1.00,50.00,0.10,-3.00,61.00
1.00,50.00,0.10,-4.00,61.00
1.00,50.00,0.10,-5.00,61.00
1.00,50.00,0.10,-6.00,61.00
1.00,50.00,0.10,-7.00,61.00
1.00,50.00,0.10,-8.00,61.00
1.00,50.00,0.10,-9.00,61.00
1.00,40.00,0.55,-3.00,62.00
1.00,40.00,0.55,-4.00,62.00
1.00,40.00,0.55,-5.00,62.00
1.00,40.00,0.55,-6.00,62.00
1.00,40.00,0.55,-7.00,62.00
1.00,40.00,0.55,-8.00,62.00
1.00,40.00,0.55,-9.00,62.00
1.00,40.00,0.50,-3.00,62.00
1.00,40.00,0.50,-4.00,62.00
1.00,40.00,0.50,-5.00,62.00
1.00,40.00,0.50,-6.00,62.00
1.00,40.00,0.50,-7.00,62.00
1.00,40.00,0.50,-8.00,62.00
1.00,40.00,0.50,-9.00,62.00
1.00,40.00,0.45,-3.00,62.00
1.00,40.00,0.45,-4.00,62.00
1.00,40.00,0.45,-5.00,62.00
1.00,40.00,0.45,-6.00,62.00
1.00,40.00,0.45,-7.00,62.00
1.00,40.00,0.45,-8.00,62.00
1.00,40.00,0.45,-9.00,62.00
1.00,40.00,0.40,-3.00,62.00
1.00,40.00,0.40,-4.00,62.00
1.00,40.00,0.40,-5.00,62.00
1.00,40.00,0.40,-6.00,62.00
1.00,40.00,0.40,-7.00,62.00
1.00,40.00,0.40,-8.00,62.00
1.00,40.00,0.40,-9.00,62.00
1.00,40.00,0.35,-3.00,62.00
1.00,40.00,0.35,-4.00,62.00
1.00,40.00,0.35,-5.00,62.00
1.00,40.00,0.35,-6.00,62.00
1.00,40.00,0.35,-7.00,62.00
1.00,40.00,0.35,-8.00,62.00
1.00,40.00,0.35,-9.00,62.00
1.00,40.00,0.30,-3.00,62.00
1.00,40.00,0.30,-4.00,62.00
1.00,40.00,0.30,-5.00,62.00
1.00,40.00,0.30,-6.00,62.00
1.00,40.00,0.30,-7.00,62.00
1.00,40.00,0.30,-8.00,62.00
1.00,40.00,0.30,-9.00,62.00
1.00,40.00,0.25,-3.00,62.00
1.00,40.00,0.25,-4.00,62.00
1.00,40.00,0.25,-5.00,62.00
1.00,40.00,0.25,-6.00,62.00
1.00,40.00,0.25,-7.00,62.00
1.00,40.00,0.25,-8.00,62.00
1.00,40.00,0.25,-9.00,62.00
1.00,40.00,0.20,-3.00,62.00
1.00,40.00,0.20,-4.00,62.00
1.00,40.00,0.20,-5.00,62.00
1.00,40.00,0.20,-6.00,62.00
1.00,40.00,0.20,-7.00,62.00
1.00,40.00,0.20,-8.00,62.00
1.00,40.00,0.20,-9.00,62.00
1.00,40.00,0.15,-3.00,62.00
1.00,40.00,0.15,-4.00,62.00
1.00,40.00,0.15,-5.00,62.00
1.00,40.00,0.15,-6.00,62.00
1.00,40.00,0.15,-7.00,62.00
1.00,40.00,0.15,-8.00,62.00
1.00,40.00,0.15,-9.00,62.00
1.00,40.00,0.10,-3.00,62.00
1.00,40.00,0.10,-4.00,62.00
1.00,40.00,0.10,-5.00,62.00
1.00,40.00,0.10,-6.00,62.00
1.00,40.00,0.10,-7.00,62.00
1.00,40.00,0.10,-8.00,62.00
1.00,40.00,0.10,-9.00,62.00
1.00,30.00,0.55,-3.00,63.00
1.00,30.00,0.55,-4.00,63.00
1.00,30.00,0.55,-5.00,63.00
1.00,30.00,0.55,-6.00,63.00
1.00,30.00,0.55,-7.00,63.00
1.00,30.00,0.55,-8.00,63.00
1.00,30.00,0.55,-9.00,63.00
1.00,30.00,0.50,-3.00,63.00
1.00,30.00,0.50,-4.00,63.00
1.00,30.00,0.50,-5.00,63.00
1.00,30.00,0.50,-6.00,63.00
1.00,30.00,0.50,-7.00,63.00
1.00,30.00,0.50,-8.00,63.00
1.00,30.00,0.50,-9.00,63.00
1.00,30.00,0.45,-3.00,63.00
1.00,30.00,0.45,-4.00,63.00
1.00,30.00,0.45,-5.00,63.00
1.00,30.00,0.45,-6.00,63.00
1.00,30.00,0.45,-7.00,63.00
1.00,30.00,0.45,-8.00,63.00
1.00,30.00,0.45,-9.00,63.00
1.00,30.00,0.40,-3.00,63.00
1.00,30.00,0.40,-4.00,63.00
1.00,30.00,0.40,-5.00,63.00
1.00,30.00,0.40,-6.00,63.00
1.00,30.00,0.40,-7.00,63.00
1.00,30.00,0.40,-8.00,63.00
1.00,30.00,0.40,-9.00,63.00
1.00,30.00,0.35,-3.00,63.00
1.00,30.00,0.35,-4.00,63.00
1.00,30.00,0.35,-5.00,63.00
1.00,30.00,0.35,-6.00,63.00
1.00,30.00,0.35,-7.00,63.00
1.00,30.00,0.35,-8.00,63.00
1.00,30.00,0.35,-9.00,63.00
1.00,30.00,0.30,-3.00,63.00
1.00,30.00,0.30,-4.00,63.00
1.00,30.00,0.30,-5.00,63.00
1.00,30.00,0.30,-6.00,63.00
1.00,30.00,0.30,-7.00,63.00
1.00,30.00,0.30,-8.00,63.00
1.00,30.00,0.30,-9.00,63.00
1.00,30.00,0.25,-3.00,63.00
1.00,30.00,0.25,-4.00,63.00
1.00,30.00,0.25,-5.00,63.00
1.00,30.00,0.25,-6.00,63.00
1.00,30.00,0.25,-7.00,63.00
1.00,30.00,0.25,-8.00,63.00
1.00,30.00,0.25,-9.00,63.00
1.00,30.00,0.20,-3.00,63.00
1.00,30.00,0.20,-4.00,63.00
1.00,30.00,0.20,-5.00,63.00
1.00,30.00,0.20,-6.00,63.00
1.00,30.00,0.20,-7.00,63.00
1.00,30.00,0.20,-8.00,63.00
1.00,30.00,0.20,-9.00,63.00
1.00,30.00,0.15,-3.00,63.00
1.00,30.00,0.15,-4.00,63.00
1.00,30.00,0.15,-5.00,63.00
1.00,30.00,0.15,-6.00,63.00
1.00,30.00,0.15,-7.00,63.00
1.00,30.00,0.15,-8.00,63.00
1.00,30.00,0.15,-9.00,63.00
1.00,30.00,0.10,-3.00,63.00
1.00,30.00,0.10,-4.00,63.00
1.00,30.00,0.10,-5.00,63.00
1.00,30.00,0.10,-6.00,63.00
1.00,30.00,0.10,-7.00,63.00
1.00,30.00,0.10,-8.00,63.00
1.00,30.00,0.10,-9.00,63.00
