vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
2.4,75.0,0.85,0.0,0.1896,-1.204,0.4102,-7.5629,1.9118,0.5635,0.0693,0.4408,0.1501,0.2619,0.699,0.2059,[5.291 4.122],[0.578 1.973]
2.4,78.75,0.95,0.0,0.1593,-0.7399,0.3508,-7.5047,1.6261,0.3542,0.0952,0.4431,0.21,0.4092,0.9726,0.2117,[4.153 5.621],[0.982 1.262]
2.4,82.5,1.0,0.0,0.1966,-0.5838,0.4408,-7.4416,2.0188,0.2875,0.0655,0.1952,0.1471,0.3598,0.6743,0.0959,[4.57  2.705],[0.438 2.525]
2.4,86.25,0.9,0.0,0.2072,-0.3003,0.4695,-7.5557,2.1359,0.1509,0.0519,0.0757,0.118,0.3537,0.536,0.0378,[4.006 6.231],[1.507 2.249]
2.4,90.0,0.9,0.0,0.1971,0.0,0.4504,-7.5886,2.0347,-0.0002,0.0698,0.004,0.1599,0.4166,0.7207,0.0031,[3.87  4.977],[1.403 1.495]
2.5,30.0,1.0,0.0,0.1863,-8.0651,0.1982,-7.8604,0.9125,1.8846,0.0784,3.4148,0.0839,0.1538,0.387,0.7919,[5.158 4.111],[0.344 1.142]
2.5,37.5,0.85,0.0,0.1762,-5.8649,0.2348,-7.8847,1.1019,1.6744,0.0816,2.7365,0.1095,0.1271,0.5126,0.7752,[4.754 6.367],[0.326 1.506]
2.5,41.25,0.95,0.0,0.1777,-5.1581,0.2648,-7.9063,1.2617,1.6235,0.077,2.2609,0.1159,0.0776,0.5497,0.7032,[4.921 4.998],[0.58  1.101]
2.5,45.0,1.0,0.0,0.1886,-4.8568,0.3016,-7.8869,1.4447,1.6323,0.0629,1.6281,0.101,0.0702,0.4833,0.5443,[4.428 5.287],[1.407 1.12 ]
2.5,48.75,1.0,0.0,0.1975,-4.5447,0.3348,-7.9127,1.6169,1.6031,0.0454,1.0542,0.0775,0.0662,0.373,0.3682,[3.1  5.96],[1.966 1.084]
2.5,52.5,1.0,0.0,0.1887,-3.6669,0.3441,-7.9278,1.6443,1.4056,0.0629,1.2322,0.1154,0.0679,0.55,0.4689,[4.718 4.18 ],[0.661 1.219]
2.5,60.0,0.85,0.05,0.1996,-754022.1147,0.401,-7.7738,1.8958,1.159,0.05,3016076.4713,0.1006,0.1985,0.467,0.4899,[4.585 6.731],[0.521 1.749]
2.5,63.75,0.95,0.0,0.1773,-2.1728,0.3698,-7.7254,1.7634,0.9566,0.0768,0.9441,0.1605,0.1782,0.7648,0.4144,[3.813 5.349],[1.299 0.961]
2.5,67.5,0.9,0.0,0.211,-2.1564,0.4528,-7.7619,2.1549,0.9786,0.0032,0.0657,0.012,0.14,0.0429,0.0083,[3.95  5.158],[1.283 2.067]
2.5,71.25,0.9,0.0,0.2001,-1.6578,0.4431,-7.6765,2.0967,0.7808,0.0486,0.4037,0.1079,0.1429,0.5096,0.1896,[4.805 4.945],[0.626 1.677]
2.5,75.0,0.9,0.0,0.1909,-1.2047,0.4317,-7.4751,2.0111,0.5864,0.0676,0.4283,0.1531,0.6178,0.712,0.2074,[4.148 4.738],[0.978 0.557]
2.5,86.25,1.0,0.0,0.2201,-0.318,0.5215,-7.5213,2.369,0.1669,0.0028,0.0089,0.01,0.2761,0.0345,0.0027,[3.719 4.882],[1.986 1.597]
2.6,30.0,1.0,0.0,0.194,-8.647,0.2152,-7.9265,1.0099,2.0685,0.0648,2.9187,0.0726,0.083,0.3392,0.6897,[4.282 5.573],[1.127 1.471]
2.6,33.75,1.0,0.0,0.1914,-7.3,0.2437,-7.943,1.1509,1.9808,0.0638,2.4676,0.0821,0.0318,0.386,0.6606,[4.408 5.055],[1.413 0.705]
2.6,37.5,1.0,0.0,0.2121,-7.0004,0.2995,-7.8797,1.4192,2.0996,0.0039,0.3268,0.0138,0.1115,0.0497,0.0139,[2.922 4.282],[2.455 1.433]
2.6,45.0,1.0,0.0,0.2104,-5.3877,0.3481,-7.8796,1.6644,1.8773,0.0032,0.1798,0.0108,0.1649,0.0327,0.0151,[4.278 5.488],[1.441 1.415]
2.6,48.75,1.0,0.0,0.1878,-4.2624,0.333,-7.9129,1.6071,1.5786,0.0626,1.4249,0.1114,0.0691,0.5374,0.5264,[5.138 4.83 ],[0.928 0.57 ]
2.6,52.5,1.0,0.0,0.2098,-4.0782,0.3966,-7.9216,1.8943,1.6191,0.0034,0.1502,0.0122,0.0684,0.0422,0.0185,[4.058 5.113],[1.077 0.732]
2.6,56.25,0.9,0.0,0.1746,-2.9696,0.3452,-7.8891,1.6513,1.2308,0.0782,1.3338,0.1549,0.1116,0.7401,0.5506,[5.432 5.235],[0.466 1.138]
2.6,60.0,0.9,0.0,0.1866,-2.7122,0.3872,-7.8093,1.8468,1.1847,0.066,0.9626,0.1373,0.1207,0.6538,0.4192,[3.515 5.274],[2.128 0.905]
2.6,63.75,0.95,0.0,0.1764,-2.1846,0.3833,-7.8553,1.832,0.9977,0.0764,0.9479,0.1662,0.0338,0.7942,0.4323,[4.387 4.513],[0.89  1.026]
2.6,67.5,1.0,0.0,0.1781,-1.8492,0.3974,-7.7778,1.9005,0.8662,0.0749,0.7797,0.1675,0.1742,0.7999,0.364,[3.958 4.579],[1.07  0.963]
2.6,71.25,1.0,0.0,0.1884,-1.5958,0.4353,-7.624,2.0858,0.7734,0.0629,0.5339,0.1455,0.3133,0.6957,0.258,[4.354 6.053],[0.924 1.107]
2.6,86.25,0.9,0.0,0.1824,-0.271,0.4453,-7.3604,2.0397,0.1462,0.0816,0.1216,0.1995,0.4565,0.9133,0.0655,[4.032 5.372],[1.689 1.566]
2.6,90.0,1.0,0.0,0.2216,0.0002,0.5487,-7.7297,2.4776,-0.0002,0.0023,0.0017,0.0106,0.2051,0.0405,0.0014,[3.931 6.764],[1.517 1.949]
2.7,30.0,1.0,0.0,0.2042,-8.8088,0.2429,-7.9059,1.1336,2.2552,0.047,2.0865,0.0576,0.0673,0.265,0.5177,[3.511 4.119],[1.811 1.119]
2.7,33.75,0.95,0.0,0.2123,-8.0882,0.2825,-7.8664,1.3395,2.286,0.0024,0.5008,0.0154,0.1451,0.0624,0.0227,[4.171 5.267],[0.889 0.91 ]
2.7,37.5,1.0,0.0,0.1795,-6.0012,0.2628,-7.9,1.2531,1.8599,0.0755,2.5328,0.1108,0.0962,0.5283,0.7815,[3.949 3.89 ],[1.316 1.116]
2.7,41.25,0.9,0.0,0.1977,-5.8089,0.3176,-7.8485,1.5256,1.9551,0.048,1.4292,0.0782,0.11,0.3744,0.4745,[4.522 4.913],[0.915 1.237]
2.7,48.75,1.0,0.0,0.2071,-4.7035,0.3868,-7.9087,1.8762,1.8208,0.0023,0.1416,0.0096,0.0689,0.0397,0.0223,[4.393 3.888],[0.713 1.592]
2.7,52.5,1.0,0.0,0.208,-4.0876,0.413,-7.9105,1.9849,1.69,0.0041,0.1958,0.0171,0.0828,0.0478,0.0149,[5.458 4.6  ],[0.465 0.778]
2.7,56.25,1.0,0.0,0.1871,-3.207,0.3886,-7.9406,1.8714,1.3858,0.0624,1.0742,0.1299,0.0361,0.6249,0.4622,[4.517 4.94 ],[0.531 0.861]
2.7,60.0,0.95,0.05,0.1983,-2.8495,0.4349,-7.8761,2.0819,1.3134,0.0468,0.6745,0.1029,0.0867,0.4921,0.31,[3.151 5.119],[2.225 0.727]
2.7,63.75,1.0,0.0,0.1784,-2.1745,0.4057,-7.7183,1.9344,1.0407,0.075,0.9161,0.1708,0.2703,0.8138,0.4373,[3.845 3.871],[1.54  1.316]
2.7,67.5,1.0,0.0,0.1772,-1.8271,0.4152,-7.7095,1.9938,0.8937,0.0745,0.7686,0.1746,0.2684,0.8382,0.3755,[3.794 4.364],[1.433 1.566]
2.7,71.25,1.0,0.0,0.2091,-1.7632,0.502,-7.6987,2.4075,0.8854,0.0036,0.055,0.0137,0.1972,0.0504,0.0099,[5.331 5.791],[0.395 1.153]
2.7,75.0,1.0,0.0,0.2013,-1.2999,0.4949,-7.6366,2.3374,0.6795,0.0464,0.3012,0.1142,0.2471,0.5372,0.1561,[4.939 4.286],[0.967 1.096]
2.7,78.75,1.0,0.0,0.2044,-0.9426,0.5136,-7.4047,2.3869,0.5119,0.0471,0.2185,0.1187,0.3788,0.5489,0.1176,[4.766 4.687],[0.755 0.645]
2.7,82.5,1.0,0.0,0.1954,-0.5849,0.4961,-7.4862,2.2862,0.325,0.0652,0.1957,0.1658,0.4728,0.7634,0.1084,[2.727 5.496],[2.488 1.663]
2.7,86.25,0.95,0.05,0.1963,-0.2843,0.5043,-7.5126,2.2986,0.1616,0.0674,0.0978,0.1733,0.3365,0.7891,0.0555,[3.452 4.935],[2.146 0.484]
2.7,90.0,1.0,0.0,0.1752,0.0005,0.4468,-7.7403,2.0452,-0.0004,0.0876,0.0026,0.2237,0.3517,1.0234,0.0019,[5.206 5.735],[0.89 1.58]
2.8,30.0,0.9,0.0,0.2049,-8.6213,0.2552,-7.8433,1.1762,2.3338,0.0499,2.1701,0.0642,0.1898,0.2947,0.5665,[3.118 5.004],[2.226 0.748]
2.8,33.75,0.85,0.0,0.2114,-8.2496,0.2865,-7.9315,1.367,2.3641,0.0041,0.38,0.0121,0.0876,0.0462,0.0224,[3.175 5.708],[2.168 0.82 ]
2.8,37.5,0.9,0.0,0.1868,-6.2407,0.2861,-7.8975,1.3673,2.0109,0.0661,2.2231,0.1019,0.0659,0.4853,0.7112,[3.639 4.797],[1.485 0.852]
2.8,41.25,0.9,0.0,0.1978,-5.8421,0.3276,-7.9099,1.5727,2.0288,0.0481,1.4364,0.0803,0.0756,0.3841,0.4925,[4.52  4.427],[0.836 1.007]
2.8,45.0,1.0,0.0,0.1976,-5.0667,0.3584,-7.8935,1.7299,1.9136,0.0454,1.1688,0.0826,0.0938,0.3983,0.4394,[4.721 5.413],[1.271 1.398]
2.8,48.75,1.0,0.0,0.1953,-4.488,0.3794,-7.9211,1.8555,1.7936,0.0449,1.0414,0.0879,0.0587,0.4283,0.412,[4.792 5.632],[0.507 1.498]
2.8,52.5,1.0,0.0,0.1967,-3.8404,0.4085,-7.9464,1.9769,1.6537,0.0453,0.8967,0.095,0.0319,0.4562,0.3799,[4.641 5.526],[1.358 1.762]
2.8,56.25,0.9,0.0,0.1872,-7.4954,0.4774,-7.8834,-1.9927,5.6862,0.065,17.3171,0.2394,0.0746,16.5557,17.2733,[4.02  4.208],[1.081 1.73 ]
2.8,60.0,1.0,0.0,0.1965,-2.8874,0.4461,-7.8861,2.1602,1.3574,0.0452,0.6737,0.1037,0.0714,0.4988,0.3118,[4.66  4.091],[0.959 1.037]
2.8,63.75,1.0,0.0,0.1974,-2.4374,0.4688,-7.8923,2.2594,1.2068,0.0455,0.5659,0.1087,0.0688,0.5204,0.2772,[4.   5.16],[1.727 1.505]
2.8,67.5,1.0,0.0,0.2071,-2.1588,0.5054,-7.7611,2.4443,1.093,0.0027,0.0476,0.0104,0.1706,0.0347,0.0121,[3.988 4.579],[1.843 1.454]
2.8,71.25,0.95,0.0,0.2094,-1.7401,0.5279,-7.5553,2.5233,0.9228,0.0033,0.0486,0.0122,0.268,0.0373,0.0101,[4.682 5.488],[0.493 1.023]
2.8,75.0,0.95,0.05,0.2004,-1.2983,0.5115,-7.5009,2.4212,0.7037,0.0473,0.3093,0.1216,0.4195,0.5729,0.166,[3.961 4.239],[1.273 0.929]
2.8,78.75,1.0,0.0,0.2143,-0.987,0.5613,-7.4994,2.6202,0.5564,0.0037,0.0305,0.0152,0.3927,0.0432,0.0056,[4.438 5.298],[0.719 0.861]
2.8,82.5,0.95,0.05,0.1926,-0.5876,0.5068,-7.5941,2.3577,0.3345,0.0661,0.2023,0.1743,0.2741,0.8097,0.1148,[4.208 6.38 ],[0.877 1.984]
2.8,86.25,0.95,0.05,0.2194,-0.3184,0.5848,-7.4925,2.669,0.1884,0.0031,0.0092,0.013,0.3866,0.035,0.0029,[4.609 4.802],[1.029 0.723]
2.8,90.0,1.0,0.0,0.2186,0.0014,0.5873,-7.6149,2.6904,-0.0015,0.0035,0.0025,0.0128,0.416,0.0312,0.0025,[4.3   4.545],[1.381 1.542]
2.9,30.0,0.8,0.0,0.2162,-9.3572,0.2726,-7.7914,1.2714,2.5557,0.0039,0.3813,0.0103,0.2298,0.0519,0.0211,[4.442 4.146],[0.683 1.869]
2.9,37.5,0.95,0.0,0.198,-6.6909,0.3153,-7.8949,1.5165,2.2294,0.0468,1.6021,0.0753,0.1305,0.3596,0.5258,[4.416 6.494],[0.723 1.537]
2.9,41.25,0.8,0.05,0.1687,-4.998,0.2931,-7.9246,1.4131,1.8051,0.0811,2.4112,0.1414,0.0562,0.681,0.8674,[5.103 5.318],[0.629 1.78 ]
2.9,45.0,1.0,0.0,0.1754,-4.6029,0.3297,-7.8893,1.6056,1.7853,0.0738,1.9477,0.1393,0.0902,0.6763,0.7502,[2.63  4.573],[2.548 0.498]
2.9,52.5,1.0,0.0,0.1753,-3.507,0.3732,-7.9298,1.8144,1.5395,0.0737,1.4797,0.1573,0.0604,0.7634,0.647,[4.183 5.363],[1.497 0.533]
2.9,56.25,1.0,0.0,0.176,-3.0252,0.3941,-7.9182,1.9076,1.402,0.074,1.2752,0.166,0.0684,0.8021,0.5892,[4.325 5.231],[1.423 1.645]
2.9,60.0,0.9,0.0,0.1958,-2.8681,0.4608,-7.8438,2.2267,1.4014,0.0476,0.7008,0.1124,0.1131,0.5424,0.3401,[4.992 4.819],[0.796 1.317]
2.9,63.75,1.0,0.0,0.1857,-2.3437,0.4529,-7.8465,2.2005,1.1804,0.0619,0.7836,0.1514,0.1273,0.7351,0.3937,[3.773 5.83 ],[1.781 1.212]
2.9,67.5,1.0,0.0,0.1764,-1.8463,0.4438,-7.6908,2.1442,0.9646,0.0742,0.7783,0.187,0.2508,0.9015,0.4054,[5.281 5.114],[0.736 0.827]
2.9,71.25,1.0,0.0,0.2,-1.6464,0.5213,-7.5822,2.4819,0.9056,0.046,0.3811,0.1203,0.3458,0.5704,0.208,[4.465 4.185],[1.116 1.034]
2.9,75.0,0.95,0.0,0.1794,-1.1358,0.4769,-7.5056,2.2417,0.6476,0.0777,0.4928,0.2068,0.3432,0.9716,0.2806,[4.514 3.716],[1.049 1.674]
2.9,78.75,1.0,0.0,0.2133,-0.992,0.5792,-7.6066,2.7168,0.5781,0.0029,0.0284,0.0138,0.2344,0.0396,0.0075,[4.594 4.912],[0.961 1.892]
2.9,82.5,1.0,0.0,0.205,-0.6146,0.5635,-7.4633,2.6124,0.367,0.0472,0.1422,0.1301,0.376,0.6009,0.0843,[4.439 4.884],[0.593 0.628]
2.9,86.25,0.9,0.0,0.2062,-0.2994,0.5708,-7.4112,2.6167,0.1819,0.0501,0.0729,0.1388,0.2938,0.636,0.0442,[5.344 4.446],[0.641 1.445]
2.9,90.0,1.0,0.0,0.1858,0.0004,0.5125,-7.5672,2.3456,-0.0007,0.0782,0.0021,0.2159,0.3405,0.9863,0.0018,[4.102 3.59 ],[1.099 1.698]
3.0,33.75,0.9,0.0,0.1884,-7.2272,0.2775,-7.9007,1.3198,2.2546,0.0667,2.5915,0.0992,0.0876,0.4693,0.7974,[4.31  4.819],[0.842 1.005]
3.0,37.5,0.85,0.05,0.2009,-12.4166,0.4396,-7.8532,10.3035,-18.3435,0.0375,21.7331,0.3731,0.2399,34.5974,83.0724,[5.307 4.167],[0.624 1.567]
3.0,41.25,1.0,0.0,0.1995,-5.754,0.3602,-7.8521,1.7258,2.186,0.0459,1.3326,0.0832,0.1353,0.3977,0.502,[5.334 5.64 ],[0.642 0.648]
3.0,45.0,1.0,0.0,0.1868,-4.7706,0.3662,-7.8962,1.7683,1.9422,0.0623,1.5981,0.1225,0.0651,0.5908,0.6476,[3.505 4.745],[2.048 1.398]
3.0,48.75,1.0,0.0,0.1746,-4.02,0.3621,-7.9375,1.7706,1.7121,0.0734,1.6936,0.1525,0.0472,0.7452,0.7193,[4.592 6.416],[1.022 1.778]
3.0,52.5,0.85,0.0,0.2068,-4.0921,0.4571,-7.9214,2.2172,1.8715,0.0032,0.1446,0.0135,0.057,0.0522,0.0212,[5.088 4.222],[0.651 1.378]
3.0,56.25,1.0,0.0,0.176,-3.024,0.4082,-7.8864,1.9782,1.4502,0.074,1.2737,0.1718,0.1011,0.8319,0.6093,[4.213 4.319],[1.096 0.745]
3.0,60.0,1.0,0.0,0.2058,-3.0631,0.5012,-7.84,2.4405,1.535,0.003,0.0923,0.0128,0.1635,0.045,0.0159,[4.702 4.241],[0.906 1.744]
3.0,63.75,1.0,0.0,0.1855,-2.3313,0.4718,-7.8666,2.2945,1.2237,0.0619,0.7792,0.1576,0.0938,0.7658,0.4082,[3.924 5.021],[1.389 0.387]
3.0,67.5,0.95,0.0,0.1746,-1.8204,0.4554,-7.7751,2.1989,0.9852,0.0756,0.7896,0.1974,0.0983,0.953,0.4268,[4.633 4.217],[0.625 1.264]
3.0,71.25,1.0,0.0,0.2073,-1.7568,0.5589,-7.7426,2.6986,0.9832,0.0036,0.0456,0.0124,0.172,0.0362,0.0083,[4.682 5.202],[0.664 1.08 ]
3.0,75.0,0.95,0.0,0.2116,-1.3482,0.5849,-7.6244,2.7709,0.7918,0.0029,0.0319,0.0125,0.1923,0.0435,0.0084,[4.322 3.59 ],[1.017 2.327]
3.0,78.75,0.95,0.05,0.1796,-0.8318,0.5065,-7.4592,2.3771,0.5025,0.0778,0.3612,0.2198,0.3638,1.0299,0.2176,[4.434 4.761],[1.006 1.356]
3.0,82.5,0.95,0.0,0.2026,-0.6212,0.5768,-7.4184,2.6998,0.3804,0.0479,0.1481,0.1369,0.385,0.6382,0.0897,[4.603 5.974],[0.754 1.063]
3.0,86.25,1.0,0.0,0.1951,-0.2883,0.559,-7.4938,2.5796,0.1803,0.0651,0.0964,0.1867,0.2716,0.8606,0.0602,[3.884 4.196],[1.776 1.159]
3.0,90.0,0.9,0.0,0.2075,0.0004,0.5972,-7.3602,2.7227,-0.0004,0.0504,0.0045,0.1455,0.527,0.6617,0.0041,[5.044 5.258],[0.119 1.341]
3.1,30.0,1.0,0.0,0.2026,-8.84,0.2783,-7.8478,1.3147,2.5904,0.0466,2.0892,0.0657,0.1576,0.3064,0.5945,[4.343 4.314],[1.317 1.413]
3.1,33.75,0.95,0.0,0.1766,-6.8704,0.27,-7.9072,1.2995,2.2035,0.0765,2.9931,0.1176,0.0886,0.5646,0.9543,[4.054 5.606],[1.174 1.822]
3.1,37.5,0.85,0.0,0.1847,-6.2389,0.3126,-7.8804,1.5054,2.2105,0.0675,2.2894,0.1145,0.0826,0.5517,0.8073,[3.983 4.25 ],[1.64  0.859]
3.1,41.25,1.0,0.0,0.1878,-5.5163,0.3481,-7.8964,1.678,2.1349,0.0627,1.847,0.1165,0.0753,0.5611,0.7118,[2.854 5.303],[2.801 1.836]
3.1,45.0,0.95,0.0,0.1958,-5.0339,0.3991,-7.8935,1.9384,2.1212,0.0463,1.2027,0.095,0.0841,0.4592,0.5003,[3.552 5.258],[1.591 0.427]
3.1,56.25,0.95,0.0,0.1952,-3.3441,0.4726,-7.911,2.2966,1.6701,0.0462,0.7953,0.1122,0.0654,0.5426,0.394,[4.586 5.834],[0.775 1.158]
3.1,60.0,1.0,0.0,0.2063,-3.0376,0.5208,-7.9134,2.5296,1.5825,0.0037,0.1037,0.0153,0.0461,0.0463,0.0199,[3.631 4.922],[1.556 2.18 ]
3.1,63.75,1.0,0.0,0.1854,-2.33,0.4863,-7.6943,2.364,1.259,0.0619,0.7794,0.1626,0.4498,0.7895,0.4198,[3.327 5.183],[2.018 0.68 ]
3.1,67.5,0.95,0.0,0.1626,-1.7178,0.4388,-7.8037,2.1323,0.9555,0.084,0.889,0.227,0.1398,1.1021,0.4935,[4.77  5.973],[1.024 1.786]
3.1,71.25,1.0,0.0,0.2082,-1.7396,0.5825,-7.643,2.8048,1.0139,0.0039,0.0439,0.012,0.336,0.0326,0.0101,[4.849 5.542],[0.399 1.006]
3.1,75.0,1.0,0.0,0.2001,-1.2877,0.5719,-7.6028,2.7162,0.777,0.0461,0.2991,0.1324,0.4935,0.6239,0.1785,[4.917 3.984],[0.592 1.224]
3.1,78.75,1.0,0.0,0.1907,-0.8865,0.5562,-7.5698,2.6153,0.5541,0.0655,0.305,0.1911,0.3977,0.898,0.1901,[4.614 5.546],[0.859 0.982]
3.1,86.25,0.9,0.05,0.1812,-0.2673,0.5345,-7.4732,2.4626,0.1726,0.0811,0.1198,0.2394,0.4432,1.1021,0.0772,[4.756 4.777],[1.102 1.269]
3.1,90.0,0.9,0.0,0.1942,0.0009,0.5783,-7.6089,2.6492,-0.0011,0.0687,0.0022,0.2048,0.2045,0.9375,0.0025,[4.666 3.914],[0.339 1.423]
3.2,30.0,0.9,0.0,0.1643,-7.5122,0.2273,-7.8947,1.0923,2.1938,0.0879,4.0365,0.122,0.0832,0.5853,1.1728,[4.75  5.349],[1.075 2.1  ]
3.2,33.75,1.0,0.0,0.2107,-7.9576,0.3392,-7.8664,1.618,2.7058,0.0029,0.2824,0.0121,0.1511,0.0412,0.0224,[4.773 4.298],[0.364 2.231]
3.2,41.25,1.0,0.0,0.1973,-5.764,0.3819,-7.9298,1.851,2.3195,0.0453,1.3285,0.0879,0.0408,0.4265,0.5326,[4.576 4.94 ],[0.561 1.154]
3.2,45.0,1.0,0.0,0.1866,-4.7303,0.3923,-7.8938,1.9032,2.0632,0.0622,1.5813,0.1311,0.0996,0.6354,0.6879,[4.753 4.352],[1.326 1.101]
3.2,48.75,1.0,0.0,0.1846,-4.2418,0.411,-7.9083,2.016,1.9358,0.0616,1.4183,0.1374,0.0807,0.6735,0.6455,[4.614 4.852],[0.97  0.346]
3.2,52.5,0.9,0.0,0.1809,-3.6652,0.429,-7.9327,2.1137,1.7684,0.0641,1.3011,0.1523,0.0462,0.7485,0.6255,[3.586 5.467],[1.67  0.811]
3.2,56.25,1.0,0.0,0.196,-3.328,0.4914,-7.919,2.3903,1.7238,0.0451,0.7687,0.1134,0.0721,0.55,0.3959,[4.331 4.308],[1.127 1.206]
3.2,60.0,1.0,0.0,0.185,-2.7546,0.4806,-7.9275,2.3427,1.4697,0.0618,0.9225,0.1608,0.0372,0.7821,0.49,[4.697 5.582],[0.992 1.589]
3.2,63.75,1.0,0.0,0.1737,-2.226,0.4673,-7.8641,2.2908,1.2219,0.073,0.9375,0.1967,0.1183,0.963,0.5134,[5.186 4.806],[1.017 1.198]
3.2,71.25,0.8,0.0,0.1698,-1.4229,0.4851,-7.7312,2.3246,0.8514,0.0816,0.6843,0.2333,0.2235,1.1176,0.4091,[5.228 5.419],[0.517 1.276]
3.2,75.0,0.95,0.0,0.1993,-1.2804,0.59,-7.4522,2.8074,0.7984,0.0471,0.3039,0.1397,0.4265,0.6625,0.1883,[5.037 5.993],[0.596 2.744]
3.2,78.75,0.85,0.1,0.2122,-0.9905,0.6386,-7.5986,3.013,0.6343,0.003,0.0264,0.0139,0.3302,0.0436,0.0069,[4.458 7.247],[1.009 2.61 ]
3.2,82.5,1.0,0.0,0.1813,-0.5587,0.5482,-7.4852,2.5695,0.3619,0.0762,0.2354,0.2308,0.3746,1.0804,0.1521,[4.022 5.539],[1.4   0.638]
3.2,86.25,0.8,0.1,0.1615,-0.2474,0.4872,-7.3901,2.2638,0.1613,0.0933,0.1433,0.2816,0.8535,1.3074,0.0932,[3.16  6.244],[1.879 1.39 ]
3.2,90.0,1.0,0.0,0.2172,0.0022,0.6683,-7.5199,3.0793,-0.0019,0.0032,0.0042,0.0126,0.3491,0.0427,0.0036,[4.199 5.832],[0.848 0.914]
3.3,37.5,1.0,0.0,0.1774,-5.9352,0.3236,-7.861,1.5606,2.2614,0.0745,2.5006,0.1363,0.1682,0.6571,0.9502,[4.099 5.588],[1.744 0.708]
3.3,41.25,0.9,0.0,0.1832,-5.3997,0.3693,-7.9172,1.7996,2.2455,0.0649,1.9213,0.1313,0.0845,0.6386,0.7941,[4.81  5.288],[0.563 0.903]
3.3,48.75,1.0,0.0,0.2034,-4.7191,0.4696,-7.9189,2.3246,2.2135,0.0028,0.1022,0.009,0.0685,0.0288,0.0156,[4.49  4.916],[1.328 0.997]
3.3,52.5,1.0,0.0,0.1842,-3.6889,0.4495,-7.8859,2.2046,1.8395,0.0615,1.236,0.1504,0.0992,0.7361,0.6133,[5.071 4.61 ],[0.619 1.156]
3.3,56.25,1.0,0.0,0.1737,-3.0001,0.45,-7.9243,2.2076,1.5896,0.073,1.2626,0.1893,0.0508,0.9284,0.6679,[3.591 3.643],[1.8   2.901]
3.3,60.0,0.9,0.0,0.2051,-3.0406,0.5546,-7.8376,2.7137,1.6876,0.0028,0.0598,0.0093,0.2151,0.0402,0.0132,[4.165 4.554],[1.131 0.523]
3.3,67.5,0.9,0.0,0.1821,-1.9426,0.5254,-7.7355,2.5675,1.1479,0.0645,0.6901,0.1863,0.2316,0.9086,0.406,[3.702 4.26 ],[1.776 0.929]
3.3,71.25,1.0,0.0,0.1957,-1.6718,0.5838,-7.7381,2.8395,1.028,0.0451,0.3863,0.1348,0.1713,0.6527,0.236,[4.948 4.888],[0.754 0.415]
3.3,75.0,0.9,0.05,0.1988,-1.2797,0.6058,-7.5896,2.8787,0.8215,0.0484,0.3126,0.1478,0.3758,0.6989,0.1993,[4.114 5.97 ],[1.519 1.664]
3.3,78.75,1.0,0.0,0.2108,-0.9981,0.6552,-7.4616,3.1143,0.6557,0.0037,0.026,0.0147,0.3324,0.0316,0.0064,[4.102 4.074],[1.13  0.943]
3.3,82.5,1.0,0.0,0.1934,-0.5805,0.6093,-7.4119,2.8383,0.3956,0.0646,0.1941,0.2036,0.363,0.9469,0.1319,[5.064 5.017],[0.486 1.491]
3.3,86.25,0.95,0.0,0.1926,-0.2876,0.6062,-7.1308,2.8235,0.1954,0.0663,0.0993,0.209,0.8451,0.9699,0.0671,[4.612 5.478],[0.975 0.575]
3.3,90.0,1.0,0.0,0.2045,0.0008,0.6472,-7.6748,3.0009,-0.0008,0.0483,0.0025,0.1529,0.2966,0.7081,0.0025,[4.488 6.251],[1.223 1.698]
3.4,30.0,1.0,0.0,0.1793,-8.0989,0.3506,-7.9106,1.8562,2.0324,0.0754,2.7906,0.2758,0.074,2.0991,2.9279,[4.243 4.87 ],[1.1   0.314]
3.4,33.75,1.0,0.0,0.1999,-7.5131,0.3451,-7.8199,1.6508,2.7357,0.0459,1.7349,0.0795,0.221,0.3797,0.6281,[4.56  4.985],[1.356 0.759]
3.4,37.5,1.0,0.0,0.1965,-6.5888,0.3747,-7.9044,1.8215,2.6002,0.0452,1.5259,0.0868,0.0981,0.4195,0.5968,[4.532 6.414],[0.633 1.646]
3.4,41.25,1.0,0.0,0.1866,-5.439,0.3877,-7.8819,1.8783,2.3451,0.0623,1.824,0.13,0.133,0.6278,0.7819,[3.33  5.125],[2.336 0.284]
3.4,45.0,0.95,0.0,0.1951,-5.0731,0.4337,-7.8915,2.1173,2.3208,0.0461,1.2062,0.1029,0.0825,0.5007,0.5472,[5.058 6.876],[0.626 2.756]
3.4,48.75,0.85,0.0,0.1801,-4.1608,0.4275,-7.9084,2.1048,2.0135,0.0658,1.5229,0.1563,0.0753,0.7691,0.7355,[4.365 4.665],[1.411 1.322]
3.4,52.5,1.0,0.0,0.1951,-3.8579,0.493,-7.9048,2.4098,1.9982,0.045,0.8948,0.114,0.0677,0.5535,0.4587,[4.909 4.72 ],[0.428 0.531]
