vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.7,56.25,0.75,0.1,0.2159,-3.6574,0.2661,-7.8829,1.2328,0.9776,0.0022,0.1373,0.0096,0.0584,0.0467,0.0136,[5.062 4.441],[0.077 1.083]
1.7,60.0,0.55,0.35,0.1956,-2.8405,0.255,-7.8523,1.1865,0.8009,0.0619,0.9023,0.0808,0.0985,0.3766,0.2535,[4.528 5.128],[1.325 1.865]
1.7,63.75,0.2,0.6,0.2158,-2.7628,0.2828,-7.8778,1.3062,0.781,0.0038,0.1281,0.0104,0.0715,0.0282,0.0114,[3.923 3.774],[2.123 1.545]
1.7,67.5,0.55,0.45,0.1942,-2.038,0.2718,-7.8025,1.2746,0.6121,0.0615,0.6518,0.0868,0.1414,0.4055,0.1937,[4.214 5.436],[1.11  1.482]
1.7,71.25,0.45,0.4,0.1902,-1.6432,0.2699,-7.6968,1.2642,0.4999,0.0673,0.5826,0.0957,0.4417,0.4479,0.1769,[3.997 4.563],[1.009 1.43 ]
1.7,75.0,0.45,0.55,0.1929,-1.2572,0.2839,-7.7793,1.3096,0.4044,0.0682,0.4456,0.1006,0.1326,0.4637,0.1433,[4.749 4.992],[0.783 0.715]
1.7,78.75,0.5,0.5,0.1975,-0.9183,0.3016,-7.6525,1.3721,0.311,0.0659,0.3073,0.1007,0.1931,0.4588,0.1043,[4.785 3.617],[0.553 2.655]
1.7,86.25,0.85,0.15,0.1722,-0.2526,0.2635,-7.4419,1.1706,0.0878,0.0955,0.1407,0.1466,0.2444,0.6516,0.0487,[3.285 4.018],[2.061 1.243]
1.8,30.0,0.75,0.0,0.2298,-10.1743,0.1572,-7.8889,0.6959,1.6019,0.0067,0.743,0.0102,0.0907,0.0559,0.03,[4.977 4.281],[0.833 1.738]
1.8,33.75,0.65,0.0,0.2203,-8.8308,0.1746,-7.9041,0.8042,1.5423,0.0042,0.673,0.0114,0.0834,0.0605,0.0211,[3.943 6.016],[1.626 1.195]
1.8,37.5,0.9,0.0,0.192,-6.6464,0.1745,-7.8857,0.8166,1.3072,0.0679,2.3864,0.0625,0.1074,0.2917,0.4625,[4.029 5.446],[0.976 0.479]
1.8,41.25,0.8,0.0,0.1889,-5.7432,0.1854,-7.9114,0.8662,1.2171,0.0714,2.1959,0.0708,0.0523,0.3305,0.4604,[4.255 4.23 ],[0.857 1.563]
1.8,45.0,0.9,0.05,0.2018,-5.2946,0.2206,-7.8354,1.0377,1.2383,0.049,1.3242,0.0548,0.1596,0.2564,0.3008,[4.53  5.924],[0.774 0.936]
1.8,48.75,1.0,0.0,0.1929,-4.3804,0.2254,-7.8989,1.056,1.1006,0.0643,1.4783,0.0761,0.0826,0.355,0.3671,[4.793 4.098],[0.31  1.007]
1.8,52.5,0.9,0.0,0.1908,-3.725,0.2384,-7.9084,1.1121,1.0007,0.0675,1.3315,0.085,0.0785,0.3959,0.354,[4.227 4.332],[0.915 2.045]
