Step,Reward,Episode
22332,0.504,2228
22728,0.511,2252
22803,0.514,2256
22871,0.516,2260
23010,0.524,2268
23119,0.509,2276
23180,0.509,2280
23295,0.521,2288
23420,0.521,2296
23595,0.478,2308
23845,0.441,2324
24101,0.422,2340
24166,0.425,2344
24228,0.423,2348
24373,0.421,2356
24441,0.420,2360
24504,0.414,2364
24569,0.421,2368
24628,0.419,2372
24747,0.433,2380
24869,0.415,2388
24931,0.416,2392
25001,0.426,2396
25074,0.437,2400
25211,0.475,2408
25282,0.465,2412
25340,0.476,2416
25466,0.499,2424
25665,0.522,2436
25795,0.529,2444
26003,0.526,2456
26082,0.521,2460
26219,0.531,2468
26286,0.539,2472
26345,0.537,2476
26462,0.533,2484
26595,0.548,2492
26655,0.533,2496
26852,0.523,2508
26913,0.527,2512
26988,0.522,2516
27058,0.524,2520
27328,0.536,2536
27408,0.530,2540
27465,0.538,2544
27582,0.520,2552
27762,0.521,2564
27845,0.522,2568
27921,0.513,2572
27996,0.512,2576
28057,0.524,2580
28138,0.524,2584
28336,0.536,2596
28414,0.545,2600
28541,0.552,2608
28615,0.555,2612
28688,0.574,2616
28756,0.588,2620
28829,0.588,2624
29025,0.583,2636
29092,0.596,2640
29181,0.595,2644
29689,0.601,2672
29841,0.595,2680
29914,0.611,2684
30265,0.579,2704
30337,0.577,2708
30413,0.586,2712
30638,0.560,2724
30793,0.567,2732
30861,0.580,2736
30942,0.579,2740
31011,0.576,2744
31134,0.571,2752
31192,0.561,2756
31463,0.577,2772
31527,0.581,2776
31603,0.584,2780
31664,0.579,2784
31728,0.577,2788
31801,0.576,2792
31935,0.585,2800
32143,0.581,2812
32205,0.582,2816
32345,0.592,2824
32609,0.561,2840
32681,0.558,2844
32820,0.547,2852
33015,0.581,2864
33151,0.578,2872
33290,0.572,2880
33356,0.565,2884
33433,0.581,2888
33562,0.582,2896
33636,0.585,2900
33700,0.582,2904
33774,0.585,2908
33832,0.575,2912
33901,0.575,2916
33967,0.587,2920
34096,0.573,2928
34161,0.587,2932
34227,0.607,2936
34550,0.626,2956
34611,0.612,2960
34689,0.620,2964
34824,0.617,2972
34892,0.623,2976
34950,0.642,2980
35014,0.645,2984
35414,0.657,3008
35487,0.669,3012
35721,0.678,3024
35796,0.685,3028
35931,0.682,3036
36278,0.710,3056
36345,0.733,3060
36422,0.729,3064
36585,0.747,3072
36668,0.743,3076
36742,0.728,3080
36813,0.742,3084
36890,0.738,3088
36966,0.736,3092
37036,0.736,3096
