vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
3.5,90.0,2,0.0,3.5,[6.42 7.18],[2. 2.],5.01,0.0,7.05,0.01,0.9667,0.0,5.1512,0.0626,26.0955,1.3071,0.0186,0.0006,1.4152,0.0175,0.6848,3.495,0.0,5.8401,0.8922,21.3724,9.2462,-0.078,0.1566,0.3552,0.967,167.6299,26.6989,-2.1583,1.0755
3.5,90.0,3,0.0,3.5,[4.51 4.77],[2. 2.],4.77,0.01,7.6,0.01,0.9667,0.0,4.8939,0.0686,23.3562,1.4051,0.0184,0.0005,1.3758,0.022,0.7242,3.495,0.0,6.2181,1.4225,24.1996,5.4113,-0.2901,0.2095,1.5334,1.1729,147.9906,24.1792,-0.78,1.3614
3.5,90.0,4,0.0,3.5,[3.23 5.73],[2. 2.],4.63,0.0,5.51,0.01,1.0,0.0,4.7262,0.0641,22.2638,0.6323,0.0181,0.0003,1.3591,0.0105,0.7409,3.495,0.0,5.2345,0.7606,12.2106,2.9065,-0.0694,0.137,0.2716,0.8065,169.699,21.4622,-2.1526,1.066
4.0,17.5,0,3.81,1.2,[2.92 6.34],[2. 2.],4.98,0.0,6.33,0.0,0.1,0.0,5.2193,0.0147,27.2097,0.1119,-16.5343,0.0587,1.8703,0.0005,0.2297,1.198,0.0,6.391,2.0063,14.083,4.3304,3.3867,0.0045,0.043,0.044,114.1057,4.9795,0.207,0.0041
4.0,17.5,1,3.81,1.2,[3.49 3.31],[2. 2.],4.91,0.0,7.76,0.11,1.0,0.0,5.0358,0.0816,24.3525,1.4902,-15.9533,0.2518,1.8569,0.0073,0.2431,1.198,0.0,9.2136,2.7633,14.5809,5.7908,2.0539,1.6777,0.1785,0.2499,132.5407,43.2326,-0.9427,1.3767
4.0,17.5,2,3.81,1.2,[5.11 4.93],[2. 2.],5.4,0.0,5.32,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,17.5,3,3.81,1.2,[3.11 4.66],[2. 2.],5.63,0.0,4.31,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,17.5,4,3.81,1.2,[4.16 4.28],[2. 2.],4.96,0.0,7.03,0.0,0.7333,0.0,5.1198,0.0432,24.6693,0.4238,-16.2219,0.1422,1.8588,0.0021,0.2412,1.198,0.0,8.8139,2.4667,15.4653,4.5129,2.6239,1.4237,0.1657,0.1707,120.1427,35.6376,-0.4521,1.1851
4.0,20.0,0,3.76,1.37,[2.75 6.22],[2. 2.],5.04,0.0,8.48,0.13,1.0,0.0,5.1721,0.0763,25.1003,1.2546,-14.1895,0.2114,1.8277,0.0066,0.2723,1.363,0.0,11.2522,3.0263,13.6437,6.9897,1.3517,1.6556,0.2539,0.404,141.0158,50.4254,-1.5445,1.3909
4.0,20.0,1,3.76,1.37,[6.5  7.12],[2. 2.],5.12,0.0,6.2,0.0,0.7667,0.0,5.2428,0.0878,26.0148,1.4279,-14.3848,0.2362,1.8325,0.0071,0.2675,1.363,0.0,7.5874,3.4666,14.6923,6.2123,2.0591,1.6512,0.0974,0.1958,136.6924,39.0368,-0.9213,1.4048
