vel_IC,phi_IC,trial_num,LR_4leg,vz_flip_mean,vz_flip_std,vx_flip_mean,vx_flip_std,Tau_flip_mean,Tau_flip_std,OFy_flip_mean,OFy_flip_std,D_ceil_flip_mean,D_ceil_flip_std,My_mean,My_std
2.7,65.0,1,0.8333,2.3082,0.0089,1.1753,0.0106,0.2412,0.003,-2.2132,0.0414,0.5506,0.0073,-3.2341,0.0021
2.7,65.0,2,0.6667,2.2897,0.005,1.1704,0.0075,0.2083,0.0022,-2.5584,0.0449,0.4722,0.0047,-6.9028,0.0588
2.8,55.0,0,0.8889,2.1412,0.0067,1.6557,0.0118,0.2117,0.0024,-3.8181,0.0732,0.4451,0.0053,-6.2056,0.1361
2.8,55.0,1,0.8333,2.1456,0.0076,1.6593,0.0118,0.2169,0.0028,-3.7348,0.048,0.4566,0.0062,-5.7078,0.0065
2.8,55.0,2,0.0,,,,,,,,,,,,
2.8,57.5,0,0.2778,2.1986,0.0048,1.5398,0.0082,0.1954,0.0034,-3.7422,0.0762,0.423,0.0079,-7.5512,0.088
2.8,57.5,1,0.8889,2.2168,0.0075,1.5531,0.0105,0.2262,0.0027,-3.2412,0.0478,0.4933,0.0065,-4.7077,0.1551
2.8,57.5,2,0.7778,2.2119,0.0064,1.5487,0.0087,0.2207,0.005,-3.3125,0.0733,0.4806,0.0114,-5.3365,0.1039
2.8,60.0,0,0.7778,2.2813,0.0065,1.4428,0.009,0.2305,0.0031,-2.8712,0.0515,0.5182,0.0071,-4.1054,0.0661
2.8,60.0,1,0.9444,2.2894,0.0089,1.4472,0.0108,0.2417,0.003,-2.7501,0.0501,0.5447,0.0069,-3.2417,0.0059
2.8,60.0,2,0.2222,2.2937,0.0084,1.4498,0.0104,0.2456,0.0023,-2.7138,0.037,0.554,0.0055,-7.0798,0.026
2.8,62.5,0,0.0,2.3229,0.0044,1.3246,0.0068,0.1954,0.0027,-3.0497,0.0481,0.4486,0.0063,-6.9,0.0207
2.8,62.5,1,1.0,2.3463,0.0076,1.337,0.0087,0.2334,0.0023,-2.5669,0.03,0.5403,0.0061,-4.2135,0.011
2.8,62.5,2,1.0,2.3541,0.0089,1.3398,0.0102,0.2457,0.0029,-2.4469,0.0501,0.5697,0.0073,-4.5211,0.0276
2.8,65.0,0,0.7778,2.3882,0.0058,1.2188,0.0095,0.2168,0.0028,-2.4569,0.0486,0.5126,0.0068,-8.3711,0.0346
2.8,65.0,1,0.6111,2.4106,0.0082,1.2251,0.0083,0.2499,0.0026,-2.1504,0.029,0.5942,0.0062,-5.4609,0.0326
2.8,65.0,2,0.6667,2.4102,0.0079,1.2279,0.0071,0.2483,0.0031,-2.1797,0.0329,0.5899,0.0078,-2.6096,0.0378
2.9,55.0,0,1.0,2.2268,0.0079,1.7168,0.0136,0.2103,0.0033,-3.8344,0.0742,0.4597,0.0073,-6.6852,0.0294
2.9,55.0,1,0.6667,2.2323,0.0084,1.7153,0.0131,0.2321,0.0028,-3.4661,0.0552,0.5089,0.0064,-3.894,0.0519
2.9,55.0,2,1.0,2.2256,0.0073,1.7127,0.0117,0.2177,0.0022,-3.6899,0.0543,0.4764,0.0052,-5.8926,0.0453
2.9,57.5,0,0.6667,2.2962,0.0082,1.6057,0.0124,0.2112,0.0021,-3.4622,0.0439,0.4772,0.005,-6.4465,0.023
2.9,57.5,1,0.9444,2.3016,0.0071,1.6076,0.011,0.2268,0.0028,-3.2259,0.0633,0.5136,0.0066,-4.7986,0.008
2.9,57.5,2,1.0,2.2996,0.0083,1.6111,0.0112,0.2148,0.0024,-3.4157,0.0578,0.4861,0.0054,-8.2025,0.0278
2.9,60.0,0,1.0,2.3771,0.0064,1.4999,0.0088,0.2367,0.0037,-2.8047,0.0602,0.5537,0.009,-4.1729,0.0041
2.9,60.0,1,1.0,2.3767,0.0068,1.495,0.0085,0.2451,0.0023,-2.6925,0.0377,0.5738,0.0054,-3.1386,0.0182
2.9,60.0,2,1.0,2.3658,0.007,1.4959,0.0093,0.2234,0.0022,-2.9591,0.0415,0.5216,0.0052,-7.2281,0.081
2.9,62.5,0,0.9444,2.4325,0.0089,1.3796,0.0102,0.2321,0.0036,-2.5571,0.0478,0.5576,0.0087,-6.755,0.1301
2.9,62.5,1,0.7778,2.4266,0.0067,1.3782,0.0072,0.2249,0.0025,-2.635,0.0301,0.5396,0.0063,-6.9789,0.1982
2.9,62.5,2,0.5,2.4282,0.0086,1.3806,0.0096,0.2204,0.0024,-2.7013,0.0339,0.5286,0.0064,-5.0737,0.0485
2.9,65.0,0,0.2778,2.4836,0.0075,1.261,0.0089,0.2237,0.002,-2.3753,0.0399,0.5499,0.005,-4.9996,0.0109
