Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,-90,0,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,-90,1,--,0,False,0.0,0.0,5.0,-0.002,1.973,0.0,2.53,1.808,0,0,0.1,[0.  0.  0.1 0.  0. ],--,0,0,0,0,1,0
0.5,-90,2,--,0,False,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0,[0.  0.  0.1 0.  0. ],--,0,0,0,0,1,0
0.5,-90,3,--,0,False,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0,[0.  0.  0.1 0.  0. ],--,0,0,0,0,1,0
0.5,-90,4,--,0,False,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0,[0.  0.  0.1 0.  0. ],--,0,0,0,0,1,0
0.5,-85,0,--,0,False,0.5,-84.71,2.718,4.002,0.124,0.0,2.201,4.033,0.046,-0.497,0.13,[0.003 0.028 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-85,1,--,0,False,0.5,-83.98,2.288,4.232,0.116,0.0,2.285,5.902,0.052,-0.493,0.133,[0.003 0.029 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-85,2,--,0,False,0.5,-85.06,2.856,4.078,0.122,0.0,1.744,2.909,0.043,-0.497,0.131,[0.003 0.028 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-85,3,--,0,False,0.5,-84.7,2.755,4.019,0.123,0.0,2.771,7.091,0.046,-0.496,0.13,[0.003 0.028 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-85,4,--,0,False,0.5,-85.06,2.829,4.09,0.121,0.0,1.878,2.968,0.043,-0.497,0.131,[0.003 0.028 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-80,0,--,4,False,0.5,-80.16,0.592,9.701,0.051,-11.424,1.728,3.216,0.085,-0.49,0.908,[0.017 0.05  0.191 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,1,--,0,True,0.5,-80.16,0.0,0.0,0.0,0.0,0.0,0.0,0.085,-0.49,0,[0.017 0.05  0.191 0.65  0.   ],--,0,0,0,0,0,1
0.5,-80,2,--,0,False,0.5,-80.16,1.075,5.388,0.091,0.0,1.518,2.795,0.085,-0.49,0.149,[0.008 0.041 0.1   0.    0.   ],--,0,0,0,0,1,0
0.5,-80,3,--,4,False,0.5,-80.27,0.602,9.711,0.051,-10.565,1.845,1.249,0.084,-0.49,0.907,[0.017 0.05  0.191 0.65  0.   ],--,1,0,0,0,0,0
0.5,-80,4,--,4,False,0.5,-79.25,0.794,6.577,0.075,-40.711,1.781,2.048,0.093,-0.49,0.796,[0.011 0.048 0.087 0.65  0.   ],--,1,0,0,0,0,0
0.5,-75,0,--,2,True,0.5,-79.25,0.0,0.0,0.0,-0.131,0.0,0.0,0.093,-0.49,0,[0.011 0.048 0.087 0.65  0.   ],--,0,0,0,1,0,0
0.5,-75,1,--,2,True,0.5,-79.25,0.0,0.0,0.0,0.504,0.0,0.0,0.093,-0.49,0,[0.011 0.048 0.087 0.65  0.   ],--,0,0,0,1,0,0
0.5,-75,2,--,4,True,0.37,-109.22,5.0,2.912,0.062,0.579,3.055,1.014,-0.121,-0.347,0.406,[0.001 0.05  0.155 0.2   0.   ],--,0,1,0,0,0,0
0.5,-75,3,--,2,True,0.37,-109.22,0.0,0.0,0.0,-8.482,0.0,0.0,-0.121,-0.347,0,[0.001 0.05  0.155 0.2   0.   ],--,0,0,0,1,0,0
0.5,-75,4,--,2,True,0.37,-109.22,0.0,0.0,0.0,0.887,0.0,0.0,-0.121,-0.347,0,[0.001 0.05  0.155 0.2   0.   ],--,0,0,0,1,0,0
0.5,-70,0,--,4,True,0.5,-70.08,0.237,11.62,0.04,-0.009,2.227,4.449,0.17,-0.469,0.449,[0.1   0.05  0.099 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,1,--,4,True,0.5,-69.85,0.24,11.348,0.041,0.053,2.908,4.26,0.171,-0.466,0.455,[0.1   0.05  0.105 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,2,--,4,True,0.5,-69.93,0.239,11.474,0.041,-0.047,1.746,4.857,0.171,-0.468,0.445,[0.1   0.05  0.095 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,3,--,4,True,0.5,-70.0,0.235,11.662,0.04,0.019,2.875,4.985,0.17,-0.467,0.452,[0.1   0.05  0.102 0.2   0.   ],--,0,1,0,0,0,0
0.5,-70,4,--,4,True,0.5,-69.93,0.237,11.556,0.041,0.463,2.484,4.815,0.171,-0.468,0.495,[0.1   0.05  0.145 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,0,--,4,True,0.5,-65.03,0.263,8.179,0.055,-8.785,3.023,3.354,0.21,-0.451,0.39,[0.1  0.05 0.04 0.2  0.  ],--,0,1,0,0,0,0
0.5,-65,1,--,4,True,0.5,-64.93,0.271,7.901,0.057,-0.83,1.954,2.709,0.211,-0.451,0.376,[0.1   0.05  0.026 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,2,--,4,True,0.5,-64.88,0.274,7.773,0.058,-0.759,2.716,2.424,0.211,-0.45,0.381,[0.1   0.05  0.031 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,3,--,4,True,0.5,-64.98,0.269,7.954,0.057,-10.813,2.073,2.864,0.211,-0.452,0.545,[0.096 0.05  0.198 0.2   0.   ],--,0,1,0,0,0,0
0.5,-65,4,--,4,True,0.5,-64.77,0.281,7.6,0.059,-9.683,2.089,2.495,0.213,-0.452,0.471,[0.095 0.05  0.126 0.2   0.   ],--,0,1,0,0,0,0
0.5,-60,0,--,4,True,0.5,-59.93,0.285,6.077,0.071,-4.808,2.558,2.103,0.249,-0.43,0.528,[0.079 0.05  0.2   0.2   0.   ],--,0,1,0,0,0,0
0.5,-60,1,--,4,True,0.5,-59.83,0.307,5.581,0.077,-5.16,2.568,1.684,0.25,-0.43,0.509,[0.068 0.05  0.19  0.2   0.   ],--,0,1,0,0,0,0
0.5,-60,2,--,4,True,0.5,-59.74,0.308,5.608,0.077,-7.619,2.686,1.919,0.252,-0.432,0.322,[0.069 0.05  0.003 0.2   0.   ],--,0,1,0,0,0,0
0.5,-60,3,--,4,True,0.5,-59.64,0.302,5.691,0.076,-5.371,3.109,2.253,0.253,-0.432,0.503,[0.074 0.05  0.179 0.2   0.   ],--,0,1,0,0,0,0
0.5,-60,4,--,4,True,0.5,-59.98,0.289,5.986,0.072,-4.398,2.828,2.364,0.249,-0.431,0.529,[0.084 0.05  0.195 0.2   0.   ],--,0,1,0,0,0,0
0.5,-55,0,--,4,True,0.5,-54.9,0.301,4.737,0.086,-7.72,2.433,1.96,0.286,-0.407,0.324,[0.073 0.05  0.001 0.2   0.   ],--,0,1,0,0,0,0
0.5,-55,1,--,4,True,0.5,-54.69,0.298,4.738,0.086,-7.247,2.333,1.806,0.289,-0.408,0.336,[0.068 0.05  0.018 0.2   0.   ],--,0,1,0,0,0,0
0.5,-55,2,--,4,False,0.5,-54.9,0.305,4.68,0.087,-8.731,2.387,2.081,0.286,-0.407,0.807,[0.071 0.05  0.036 0.65  0.   ],--,1,0,0,0,0,0
0.5,-55,3,--,4,True,0.5,-54.93,0.306,4.66,0.087,-8.368,2.693,2.099,0.285,-0.406,0.331,[0.068 0.05  0.013 0.2   0.   ],--,0,1,0,0,0,0
0.5,-55,4,--,4,False,0.5,-54.69,0.301,4.693,0.087,-10.601,2.616,2.294,0.289,-0.408,0.958,[0.066 0.05  0.192 0.65  0.   ],--,1,0,0,0,0,0
