vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,80.0,10,0.17,0.98,[3.74 6.85],[2. 2.],4.56,0.01,8.96,0.05,0.9667,0.0,4.6796,0.0667,20.5826,0.8561,-0.7837,0.0123,1.8894,0.0043,0.2106,0.955,0.0,0.5046,0.1062,1.5032,1.2171,-0.2613,0.0513,0.2544,0.0893,90.2603,7.6682,0.1696,0.0086
1.0,80.0,11,0.17,0.98,[3.21 5.54],[2. 2.],4.71,0.01,8.46,0.0,0.7333,0.0,4.7945,0.07,21.5107,0.5902,-0.8042,0.013,1.894,0.0028,0.206,0.955,0.0,0.3408,0.2087,3.9942,5.3824,-0.1934,0.0988,0.2838,0.1679,89.3416,9.7192,0.1627,0.0199
1.0,80.0,20,0.17,0.98,[1.   4.58],[2. 2.],5.43,0.0,5.18,0.15,0.0,0.0,5.5762,0.0701,28.7653,0.6932,-0.9439,0.014,1.9219,0.0022,0.1781,0.955,0.0,0.0,0.0,7.2005,1.4221,0.0583,0.0102,0.2851,0.0428,,,0.1383,0.0058
1.0,80.0,21,0.17,0.98,[2.5  5.41],[2. 2.],4.52,0.0,8.87,0.03,1.0,0.0,4.5968,0.0563,20.1812,0.8835,-0.7692,0.0104,1.8873,0.0046,0.2127,0.955,0.0,0.4973,0.0477,1.0638,0.2947,-0.2859,0.0305,0.2004,0.0484,95.0405,4.7866,0.1747,0.0034
1.0,80.0,22,0.17,0.98,[4.   6.41],[2. 2.],4.61,0.0,7.85,0.02,0.9,0.0,4.72,0.0742,22.2079,0.8493,-0.7901,0.015,1.8972,0.004,0.2028,0.955,0.0,0.3773,0.1273,1.2418,2.0661,-0.2315,0.0742,0.1027,0.1446,96.7295,10.9863,0.1815,0.0144
1.0,85.0,20,0.09,1.0,[1.   6.98],[2. 2.],4.62,0.0,8.51,0.08,0.9,0.0,4.746,0.0628,21.7909,1.0566,-0.3635,0.0054,1.8927,0.005,0.2073,0.967,0.0,0.4536,0.1522,2.3985,2.8461,-0.3345,0.0628,0.2214,0.1004,92.5255,3.4957,0.1717,0.0111
1.0,85.0,21,0.09,1.0,[2.5  3.89],[2. 2.],5.62,0.0,4.52,0.08,0.0,0.0,5.7893,0.1056,30.9613,1.081,-0.4557,0.0114,1.9261,0.0031,0.1739,0.967,0.0,0.0,0.0,5.0364,1.6966,-0.0169,0.0187,0.2177,0.0771,,,0.1426,0.0106
1.0,85.0,22,0.09,1.0,[4.   4.92],[2. 2.],4.54,0.01,9.06,0.01,1.0,0.0,4.6311,0.0814,20.8399,1.1474,-0.3534,0.0077,1.8879,0.0058,0.2121,0.967,0.0,0.4851,0.024,1.5939,0.5602,-0.3569,0.0342,0.2628,0.0721,90.8328,7.6026,0.1706,0.0065
1.0,90.0,0,0.0,1.0,[5.81 5.38],[2. 2.],5.53,0.0,5.52,0.03,0.0,0.0,5.6836,0.0793,32.1885,1.1598,0.0632,0.0041,1.9288,0.0032,0.1712,0.971,0.0,0.0,0.0,8.7458,1.1427,-0.104,0.0108,0.3897,0.032,,,0.1272,0.0039
1.0,90.0,1,0.0,1.0,[7.01 5.01],[2. 2.],4.69,0.0,7.83,0.01,0.8,0.0,4.8318,0.0496,23.2816,0.6471,0.0618,0.0018,1.8987,0.0029,0.2013,0.971,0.0,0.3649,0.183,2.7988,3.4103,-0.3891,0.0868,0.1643,0.1506,94.9333,3.357,0.1752,0.0166
1.0,90.0,2,0.0,1.0,[4.18 4.23],[2. 2.],4.74,0.0,7.11,0.01,0.8667,0.0,4.8463,0.061,23.023,1.0738,0.0619,0.0013,1.8975,0.0048,0.2025,0.971,0.0,0.3434,0.1216,1.212,1.6851,-0.3905,0.073,-0.0311,0.1689,102.147,10.9442,0.1926,0.0174
1.0,90.0,3,0.0,1.0,[3.8  4.44],[2. 2.],5.01,0.0,6.39,0.01,0.2667,0.0,5.0963,0.0634,25.512,1.4101,0.0628,0.0025,1.9075,0.0054,0.1925,0.971,0.0,0.0871,0.155,5.8291,3.4492,-0.2355,0.088,0.2056,0.245,107.6759,4.1158,0.1614,0.0272
1.0,90.0,4,0.0,1.0,[6.77 4.66],[2. 2.],5.49,0.0,4.62,0.01,0.0,0.0,5.6618,0.0901,32.0923,1.0029,0.062,0.002,1.9285,0.0027,0.1715,0.971,0.0,0.0,0.0,4.7999,0.8215,-0.1164,0.0134,0.1945,0.0426,,,0.1471,0.0062
1.0,90.0,10,0.0,1.0,[7.3  7.57],[2. 2.],4.73,0.0,8.49,0.05,0.6333,0.0,4.8384,0.0624,22.7484,1.1164,0.0625,0.002,1.8962,0.005,0.2038,0.971,0.0,0.2854,0.2178,6.2495,5.4852,-0.3339,0.1009,0.3596,0.1602,84.5445,12.2711,0.1566,0.0193
1.0,90.0,11,0.0,1.0,[6.77 5.13],[2. 2.],4.63,0.0,8.61,0.01,0.9667,0.0,4.7579,0.0679,21.9924,1.1458,0.0621,0.0012,1.8927,0.0054,0.2073,0.971,0.0,0.4345,0.0847,2.1817,1.5077,-0.3984,0.0746,0.2763,0.118,84.551,13.9514,0.167,0.0137
1.0,90.0,20,0.0,1.0,[1.   5.87],[2. 2.],4.59,0.0,8.47,0.01,1.0,0.0,4.6683,0.0565,21.763,0.5959,0.062,0.0011,1.8918,0.0028,0.2082,0.971,0.0,0.436,0.0197,1.362,0.356,-0.4473,0.0178,0.1715,0.064,94.6313,5.2443,0.1784,0.0042
1.0,90.0,21,0.0,1.0,[2.5  3.86],[2. 2.],5.73,0.01,4.37,0.05,0.0,0.0,5.9217,0.0994,35.0873,1.2209,0.0624,0.0036,1.936,0.0029,0.164,0.971,0.0,0.0,0.0,5.0891,0.6727,-0.0912,0.0131,0.2296,0.0552,,,0.1387,0.0071
1.0,90.0,22,0.0,1.0,[4.   6.92],[2. 2.],5.92,0.0,4.12,0.04,0.0,0.0,6.1016,0.12,34.3077,1.308,0.0617,0.004,1.9341,0.0031,0.1659,0.971,0.0,0.0,0.0,4.9086,0.9207,-0.078,0.0115,0.2287,0.0634,,,0.1356,0.0086
1.25,20.0,10,1.17,0.43,[3.23 3.54],[2. 2.],3.81,0.02,5.97,0.03,0.0,0.0,3.8906,0.0495,14.2659,0.3664,-11.2874,0.1406,1.9946,0.0014,0.1054,0.398,0.0,7.813,3.005,7.813,3.005,1.066,0.0133,-0.0944,0.0364,,,0.1185,0.0066
1.25,20.0,11,1.17,0.43,[4.78 3.28],[2. 2.],4.19,0.0,5.13,0.01,0.0,0.0,4.2825,0.049,17.3933,0.7715,-12.4365,0.1388,2.0045,0.0021,0.0955,0.398,0.0,5.026,0.8727,5.026,0.8727,1.102,0.0092,-0.0937,0.0424,,,0.1091,0.0063
1.25,20.0,20,1.17,0.43,[1.   4.38],[2. 2.],4.16,0.01,5.1,0.01,0.0,0.0,4.2428,0.0625,16.9749,0.5108,-12.3238,0.1894,2.0034,0.0014,0.0966,0.398,0.0,4.2672,1.3841,4.2672,1.3841,1.1011,0.0133,-0.107,0.0517,,,0.1124,0.0075
1.25,20.0,21,1.17,0.43,[2.5 3.7],[2. 2.],3.39,0.02,8.1,0.09,0.0,0.0,3.4729,0.0434,12.0273,0.3524,-10.0774,0.1308,1.9852,0.0017,0.1148,0.398,0.0,5.87,2.7591,10.8604,3.5359,1.0379,0.02,0.0535,0.0305,,,0.1129,0.005
1.25,20.0,22,1.17,0.43,[4.   5.05],[2. 2.],4.38,0.0,4.72,0.0,0.0,0.0,4.478,0.0689,18.8779,0.5651,-13.0027,0.2241,2.0084,0.0014,0.0916,0.398,0.0,3.5449,1.1488,3.5449,1.1488,1.1146,0.0136,-0.0844,0.0549,,,0.1031,0.0099
