V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,30,0,1,--,4,False,True,False,--,0.563,-99.712,1.5,30.0,1.5,30.0,0.203,0.49,3.537,0.152,0.367,--,-140.14,140.14,-19.958,0.247,0.017,nan,nan,nan,nan,--,0.928,[1.    0.766 1.    0.938 0.71  0.892 1.   ],[ 0.541 -0.995  0.017  0.209],[-100    0],--,1,0,0,0,0,0
1.5,30,0,2,--,4,False,True,False,--,0.54,-99.766,1.5,30.0,1.5,30.0,0.199,0.485,3.569,0.149,0.364,--,-137.942,137.942,-19.922,0.249,0.041,nan,nan,nan,nan,--,0.92,[0.999 0.783 1.    0.903 0.727 0.859 1.   ],[ 0.553 -0.996  0.016  0.205],[-100    0],--,1,0,0,0,0,0
1.5,30,0,3,--,4,False,True,False,--,0.542,-99.831,1.5,30.0,1.5,30.0,0.204,0.491,3.531,0.153,0.368,--,-140.32,140.32,-19.983,0.246,0.016,nan,nan,nan,nan,--,0.928,[1.    0.763 1.    0.94  0.708 0.895 1.   ],[ 0.538 -0.995  0.017  0.21 ],[-100    0],--,1,0,0,0,0,0
1.5,30,0,4,--,4,False,True,False,--,0.517,-99.821,1.5,30.0,1.5,30.0,0.203,0.489,3.541,0.152,0.367,--,-140.295,140.295,-19.98,0.246,0.016,nan,nan,nan,nan,--,0.929,[1.    0.768 1.    0.94  0.708 0.895 1.   ],[ 0.542 -0.995  0.017  0.209],[-100    0],--,1,0,0,0,0,0
1.5,35,0,0,--,4,False,True,False,--,0.541,-99.5,1.5,35.0,1.5,35.0,0.208,0.457,3.123,0.179,0.393,--,-139.916,139.916,-19.987,0.174,0.123,nan,nan,nan,nan,--,0.907,[0.999 0.75  1.    0.749 0.711 0.889 1.   ],[ 0.532 -0.994  0.017  0.205],[-100    0],--,1,0,0,0,0,0
1.5,35,0,1,--,4,False,True,False,--,0.517,-99.775,1.5,35.0,1.5,35.0,0.206,0.455,3.136,0.177,0.392,--,-139.075,139.075,-19.946,0.178,0.138,nan,nan,nan,nan,--,0.902,[0.998 0.757 1.    0.721 0.718 0.876 1.   ],[ 0.538 -0.994  0.017  0.203],[-100    0],--,1,0,0,0,0,0
1.5,35,0,2,--,4,False,True,False,--,0.533,-99.613,1.5,35.0,1.5,35.0,0.207,0.456,3.13,0.178,0.393,--,-138.964,138.964,-19.989,0.171,0.139,nan,nan,nan,nan,--,0.9,[0.999 0.754 1.    0.71  0.719 0.874 1.   ],[ 0.536 -0.994  0.017  0.204],[-100    0],--,1,0,0,0,0,0
1.5,35,0,3,--,4,False,True,False,--,0.519,-99.191,1.5,35.0,1.5,35.0,0.211,0.461,3.097,0.182,0.397,--,-141.763,141.763,-19.971,0.171,0.105,nan,nan,nan,nan,--,0.914,[0.999 0.735 1.    0.789 0.697 0.917 1.   ],[ 0.522 -0.993  0.018  0.208],[-100    0],--,1,0,0,0,0,0
1.5,35,0,4,--,4,False,True,False,--,0.533,-99.619,1.5,35.0,1.5,35.0,0.208,0.457,3.124,0.179,0.393,--,-140.16,140.16,-20.018,0.169,0.127,nan,nan,nan,nan,--,0.906,[0.999 0.75  1.    0.737 0.709 0.893 1.   ],[ 0.533 -0.994  0.017  0.205],[-100    0],--,1,0,0,0,0,0
1.5,40,0,0,--,4,False,True,False,--,0.507,-99.612,1.5,40.0,1.5,40.0,0.219,0.442,2.699,0.211,0.426,--,-144.727,144.727,-20.105,0.084,0.183,nan,nan,nan,nan,--,0.894,[0.999 0.709 1.    0.539 0.673 0.962 1.   ],[ 0.465 -0.991  0.022  0.291],[-100    0],--,1,0,0,0,0,0
1.5,40,0,1,--,4,False,True,False,--,0.537,-99.437,1.5,40.0,1.5,40.0,0.214,0.437,2.73,0.206,0.421,--,-141.009,141.009,-20.002,0.089,0.221,nan,nan,nan,nan,--,0.881,[1.    0.727 1.    0.495 0.703 0.906 1.   ],[ 0.518 -0.992  0.018  0.205],[-100    0],--,1,0,0,0,0,0
1.5,40,0,2,--,4,False,True,False,--,0.525,-99.584,1.5,40.0,1.5,40.0,0.213,0.436,2.732,0.206,0.421,--,-141.25,141.25,-20.034,0.087,0.221,nan,nan,nan,nan,--,0.882,[1.    0.728 1.    0.494 0.701 0.909 1.   ],[ 0.521 -0.992  0.018  0.203],[-100    0],--,1,0,0,0,0,0
1.5,40,0,3,--,4,False,True,False,--,0.525,-99.602,1.5,40.0,1.5,40.0,0.209,0.432,2.759,0.202,0.417,--,-138.977,138.977,-19.989,0.089,0.246,nan,nan,nan,nan,--,0.876,[0.999 0.744 1.    0.483 0.719 0.875 1.   ],[ 0.532 -0.993  0.017  0.199],[-100    0],--,1,0,0,0,0,0
1.5,40,0,4,--,4,False,True,False,--,0.54,-99.797,1.5,40.0,1.5,40.0,0.207,0.43,2.773,0.2,0.414,--,-136.893,136.893,-19.907,0.096,0.273,nan,nan,nan,nan,--,0.871,[0.999 0.752 1.    0.476 0.735 0.843 1.   ],[ 0.538 -0.994  0.017  0.197],[-100    0],--,1,0,0,0,0,0
1.5,45,0,0,--,4,False,True,False,--,0.541,-99.265,1.5,45.0,1.5,45.0,0.214,0.416,2.402,0.227,0.441,--,-139.615,139.615,-19.943,0.003,0.332,nan,nan,nan,nan,--,0.871,[0.999 0.727 1.    0.431 0.714 0.884 1.   ],[ 0.524 -0.991  0.018  0.194],[-100    0],--,1,0,0,0,0,0
1.5,45,0,1,--,4,False,True,False,--,0.529,-99.68,1.5,45.0,1.5,45.0,0.21,0.412,2.426,0.222,0.437,--,-136.709,136.709,-19.882,0.009,0.369,nan,nan,nan,nan,--,0.865,[1.    0.742 1.    0.426 0.736 0.84  1.   ],[ 0.535 -0.993  0.017  0.191],[-100    0],--,1,0,0,0,0,0
1.5,45,0,2,--,4,False,True,False,--,0.512,-99.625,1.5,45.0,1.5,45.0,0.217,0.42,2.383,0.23,0.445,--,-141.293,141.293,-20.041,0.001,0.313,nan,nan,nan,nan,--,0.875,[1.    0.715 1.    0.435 0.7   0.91  1.   ],[ 0.503 -0.99   0.019  0.218],[-100    0],--,1,0,0,0,0,0
1.5,45,0,3,--,4,False,True,False,--,0.535,-98.88,1.5,45.0,1.5,45.0,0.216,0.418,2.39,0.229,0.444,--,-141.268,141.268,-19.904,0.01,0.302,nan,nan,nan,nan,--,0.876,[0.999 0.719 1.    0.44  0.701 0.909 1.   ],[ 0.515 -0.991  0.018  0.201],[-100    0],--,1,0,0,0,0,0
