time,omega
0,0
0.051,0
0.102,0
0.153,0
0.204000000000001,0
0.256,0
0.307,0
0.358000000000001,0
0.409000000000001,0
0.459999999999999,0
0.512,0
0.563000000000001,0
0.613999999999999,0
0.664999999999999,0
0.715999999999999,0
0.767999999999999,0
0.818999999999999,0
0.869999999999999,0
0.920999999999999,0
0.972,0
1.024,0
1.075,0
1.126,0
1.177,0
1.228,0
1.28,0
1.331,0
1.382,0
1.433,0
1.484,0
1.536,0
1.587,0
1.638,0
1.689,0
1.74,0
1.792,0
1.843,0
1.894,0
1.945,0
1.996,0
2.048,0
2.099,0
2.15,0
2.201,0
2.252,0
2.304,0
2.355,0
2.406,0
2.457,0
2.508,0
2.56,0
2.611,0
2.662,0
2.713,0
2.764,0
2.816,0
2.867,0
2.918,0
2.969,0
3.02,0
3.072,0
3.123,0
3.174,0
3.225,0
3.276,0
3.328,0
3.379,0
3.43,0
3.481,0
3.532,0
3.584,0
3.635,0
3.686,0
3.737,0
3.788,0
3.84,0
3.891,0
3.942,0
3.993,0
4.044,0
4.096,0
4.147,0
4.198,0
4.249,0
4.3,0
4.352,0
4.403,0
4.454,0
4.505,0
4.556,0
4.608,0
4.659,0
4.71,0
4.761,0
4.812,0
4.864,0
4.915,0
4.966,0
5.017,0
5.068,431.2
5.12,1147.89
5.171,1478.4
5.222,1724.8
5.273,1848
5.324,1848
5.376,1872.87
5.427,1971.2
5.478,1909.6
5.529,1909.6
5.58,1971.2
5.632,1933.29
5.683,1909.6
5.734,1909.6
5.785,1971.2
5.836,1909.6
5.888,1872.87
5.939,1971.2
5.99,1909.6
6.041,1909.6
6.092,1909.6
6.144,1933.29
6.195,1909.6
6.246,1909.6
6.297,1909.6
6.348,1971.2
6.4,1872.87
6.451,1909.6
6.502,1971.2
6.553,1909.6
6.604,1909.6
6.656,1933.29
6.707,1909.6
6.758,1909.6
6.809,1971.2
6.86,1909.6
6.912,1872.87
6.963,1971.2
7.014,1909.6
7.065,1971.2
7.116,1909.6
7.168,1872.87
7.219,1971.2
7.27,1909.6
7.321,1909.6
7.372,1971.2
7.424,1872.87
7.475,1909.6
7.526,1971.2
7.577,1909.6
7.628,1909.6
7.68,1933.29
7.731,1909.6
7.782,1909.6
7.833,1971.2
7.884,1909.6
7.936,1872.87
7.987,1909.6
8.038,1909.6
8.089,1971.2
8.14,1909.6
8.192,1872.87
8.243,1909.6
8.294,1909.6
8.345,1971.2
8.396,1909.6
8.448,1933.29
8.499,1909.6
8.55,1971.2
8.601,1909.6
8.652,1909.6
8.704,1872.87
8.755,1971.2
8.806,1909.6
8.857,1909.6
8.908,1909.6
8.96,1872.87
9.011,1909.6
9.062,1909.6
9.113,1909.6
9.164,1909.6
9.216,1872.87
9.267,1909.6
9.318,1909.6
9.369,1909.6
9.42,1909.6
9.472,1872.87
9.523,1909.6
9.574,1909.6
9.625,1909.6
9.676,1909.6
9.728,1872.87
9.779,1909.6
9.83,1909.6
9.881,1909.6
9.932,1909.6
9.984,1872.87
10.035,2155.99
10.086,2402.39
10.137,2463.99
10.188,2525.59
10.24,2477.02
10.291,2525.59
10.342,2525.59
10.393,2587.19
10.444,2587.19
10.496,2537.44
10.547,2525.59
10.598,2525.59
10.649,2525.59
10.7,2525.59
10.752,2477.02
10.803,2525.59
10.854,2525.59
10.905,2525.59
10.956,2525.59
11.008,2477.02
11.059,2525.59
11.11,2525.59
11.161,2525.59
11.212,2525.59
11.264,2477.02
11.315,2525.59
11.366,2525.59
11.417,2525.59
11.468,2587.19
11.52,2537.44
11.571,2525.59
11.622,2525.59
11.673,2525.59
11.724,2525.59
11.776,2477.02
11.827,2525.59
11.878,2525.59
11.929,2525.59
11.98,2525.59
12.032,2537.44
12.083,2525.59
12.134,2525.59
12.185,2525.59
12.236,2525.59
12.288,2477.02
12.339,2525.59
12.39,2525.59
12.441,2525.59
12.492,2525.59
12.544,2477.02
12.595,2525.59
12.646,2525.59
12.697,2525.59
12.748,2525.59
12.8,2477.02
12.851,2525.59
12.902,2525.59
12.953,2525.59
13.004,2525.59
13.056,2477.02
13.107,2525.59
13.158,2587.19
13.209,2587.19
13.26,2525.59
13.312,2477.02
13.363,2525.59
13.414,2587.19
13.465,2587.19
13.516,2587.19
13.568,2537.44
13.619,2587.19
13.67,2587.19
13.721,2587.19
13.772,2587.19
13.824,2537.44
13.875,2587.19
13.926,2587.19
13.977,2525.59
14.028,2525.59
14.08,2477.02
14.131,2525.59
14.182,2587.19
14.233,2587.19
14.284,2587.19
14.336,2537.44
14.387,2587.19
14.438,2525.59
14.489,2525.59
14.54,2525.59
14.592,2477.02
14.643,2525.59
14.694,2587.19
14.745,2587.19
14.796,2587.19
14.848,2537.44
14.899,2587.19
14.95,2587.19
15.001,2587.19
15.052,2340.79
15.104,1993.7
15.155,1848
15.206,1724.8
15.257,1663.2
15.308,1601.6
15.36,1510.38
15.411,1540
15.462,1601.6
15.513,1540
15.564,1601.6
15.616,1510.38
15.667,1540
15.718,1540
15.769,1540
15.82,1540
15.872,1510.38
15.923,1540
15.974,1540
16.025,1540
16.076,1478.4
16.128,1510.38
16.179,1540
16.23,1540
16.281,1540
16.332,1540
16.384,1510.38
16.435,1540
16.486,1478.4
16.537,1540
16.588,1540
16.64,1510.38
16.691,1540
16.742,1540
