time,omega
0,0
0.076,0
0.152,0
0.228,0
0.304,0
0.38,0
0.456,0
0.532,0
0.608,0
0.684,0
0.76,0
0.836,0
0.912,0
0.988,0
1.064,0
1.14,0
1.216,0
1.292,0
1.368,0
1.444,0
1.52,0
1.596,0
1.672,0
1.748,0
1.824,0
1.9,0
1.976,0
2.052,0
2.128,0
2.204,0
2.28,0
2.356,0
2.432,0
2.508,41.34
2.584,289.36
2.66,454.7
2.736,620.05
2.812,702.72
2.888,826.73
2.964,868.07
3.04,909.41
3.116,950.75
3.192,992.08
3.268,950.75
3.344,992.08
3.42,992.08
3.496,992.08
3.572,992.08
3.648,992.08
3.724,992.08
3.8,1033.42
3.876,992.08
3.952,1033.42
4.028,992.08
4.104,992.08
4.18,992.08
4.256,992.08
4.332,992.08
4.408,992.08
4.484,992.08
4.56,992.08
4.636,992.08
4.712,1074.76
4.788,992.08
4.864,992.08
4.94,950.75
5.016,992.08
5.092,992.08
5.168,992.08
5.244,950.75
5.32,950.75
5.396,992.08
5.472,992.08
5.548,992.08
5.624,992.08
5.7,992.08
5.776,992.08
5.852,992.08
5.928,950.75
6.004,992.08
6.08,992.08
6.156,992.08
6.232,950.75
6.308,950.75
6.384,992.08
6.46,992.08
6.536,992.08
6.612,950.75
6.688,992.08
6.764,992.08
6.84,992.08
6.916,950.75
6.992,992.08
7.068,992.08
7.144,992.08
7.22,950.75
7.296,992.08
7.372,992.08
7.448,992.08
7.524,1446.79
7.6,2025.5
7.676,2232.18
7.752,2314.86
7.828,2356.19
7.904,2356.19
7.98,2314.86
8.056,2356.19
8.132,2314.86
8.208,2356.19
8.284,2356.19
8.36,2356.19
8.436,2314.86
8.512,2356.19
8.588,2356.19
8.664,2356.19
8.74,2314.86
8.816,2314.86
8.892,2356.19
8.968,2356.19
9.044,2314.86
9.12,2314.86
9.196,2356.19
9.272,2356.19
9.348,2314.86
9.424,2314.86
9.5,2314.86
9.576,2397.53
9.652,2397.53
9.728,2314.86
9.804,2356.19
9.88,2397.53
9.956,2356.19
10.032,2314.86
10.108,2356.19
10.184,2314.86
10.26,2397.53
10.336,2356.19
10.412,2314.86
10.488,2356.19
10.564,2314.86
10.64,2397.53
10.716,2356.19
10.792,2314.86
10.868,2314.86
10.944,2356.19
11.02,2314.86
11.096,2356.19
11.172,2397.53
11.248,2314.86
11.324,2356.19
11.4,2356.19
11.476,2356.19
11.552,2356.19
11.628,2356.19
11.704,2314.86
11.78,2356.19
11.856,2356.19
11.932,2314.86
12.008,2356.19
12.084,2356.19
12.16,2314.86
12.236,2314.86
12.312,2356.19
12.388,2356.19
12.464,2356.19
12.54,1942.83
12.616,1570.8
12.692,1405.45
12.768,1240.1
12.844,1157.43
12.92,1116.09
12.996,1074.76
13.072,1074.76
13.148,1074.76
13.224,1033.42
13.3,992.08
13.376,1033.42
13.452,992.08
13.528,992.08
13.604,992.08
13.68,992.08
13.756,992.08
13.832,992.08
13.908,992.08
13.984,992.08
14.06,992.08
14.136,992.08
14.212,992.08
14.288,992.08
14.364,992.08
14.44,992.08
14.516,1074.76
14.592,1033.42
14.668,992.08
14.744,1033.42
14.82,992.08
14.896,1033.42
14.972,992.08
15.048,992.08
15.124,1033.42
15.2,992.08
15.276,992.08
15.352,992.08
15.428,992.08
15.504,1033.42
15.58,992.08
15.656,992.08
15.732,992.08
15.808,992.08
15.884,992.08
15.96,992.08
16.036,992.08
16.112,992.08
16.188,992.08
16.264,992.08
16.34,992.08
16.416,1033.42
16.492,992.08
16.568,992.08
16.644,992.08
16.72,992.08
16.796,992.08
16.872,1033.42
16.948,992.08
17.024,992.08
17.1,992.08
17.176,1033.42
17.252,992.08
17.328,992.08
17.404,992.08
17.48,992.08
17.556,909.41
17.632,785.4
17.708,702.72
17.784,578.71
17.86,537.38
17.936,496.04
18.012,454.7
18.088,413.37
18.164,372.03
18.24,330.69
18.316,289.36
18.392,289.36
18.468,248.02
18.544,248.02
18.62,206.68
18.696,206.68
18.772,206.68
18.848,165.35
18.924,124.01
19,165.35
19.076,124.01
19.152,82.67
19.228,82.67
19.304,82.67
19.38,82.67
19.456,41.34
19.532,41.34
19.608,41.34
19.684,41.34
19.76,0
19.836,0
19.912,0
19.988,0
20.064,0
20.14,0
20.216,0
20.292,0
20.368,0
20.444,0
20.52,0
20.596,0
20.672,0
20.748,0
20.824,0
20.9,0
20.976,0
21.052,0
21.128,0
21.204,0
21.28,41.34
21.356,0
21.432,0
21.508,0
21.584,0
21.66,0
21.736,0
21.812,0
21.888,0
21.964,0
22.04,0
22.116,0
